2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.9;0.813333333333333;0.94;0.874285714285714;0.911111111111111;0.775;0.76
0.84;0.853333333333333;0.916;0.851428571428571;0.877777777777778;0.892857142857143;0.832727272727273
0.86;0.946666666666667;0.904;0.851428571428571;0.911111111111111;0.882142857142857;0.906086956521739
0.82;0.826666666666667;0.916;0.851428571428571;0.844444444444444;0.839285714285714;0.885416666666667
0.84;0.853333333333333;0.832;0.885714285714286;0.833333333333333;0.828571428571429;0.895833333333333
0.82;0.853333333333333;0.808;0.862857142857143;0.844444444444444;0.871428571428571;0.833333333333333
0.9;0.813333333333333;0.832;0.862857142857143;0.9;0.860714285714286;0.874782608695652
0.74;0.893333333333333;0.904;0.851428571428571;0.844444444444444;0.807142857142857;0.801739130434783
0.82;0.893333333333333;0.832;0.874285714285714;0.855555555555556;0.764285714285714;0.875
0.68;0.84;0.832;0.897142857142857;0.844444444444444;0.903571428571429;0.822916666666667
0.9;0.866666666666667;0.82;0.851428571428571;0.888888888888889;0.871428571428571;0.833333333333333
0.86;0.866666666666667;0.892;0.862857142857143;0.866666666666667;0.839285714285714;0.791666666666667
0.92;0.786666666666667;0.844;0.851428571428571;0.877777777777778;0.817857142857143;0.937391304347826
0.84;0.813333333333333;0.892;0.851428571428571;0.866666666666667;0.839285714285714;0.853913043478261
0.88;0.866666666666667;0.844;0.885714285714286;0.822222222222222;0.871428571428571;0.874782608695652
0.86;0.826666666666667;0.82;0.817142857142857;0.888888888888889;0.860714285714286;0.864583333333333
0.86;0.8;0.928;0.851428571428571;0.922222222222222;0.839285714285714;0.864347826086956
0.8;0.853333333333333;0.892;0.931428571428571;0.833333333333333;0.882142857142857;0.802083333333333
0.88;0.813333333333333;0.856;0.782857142857143;0.766666666666667;0.807142857142857;0.864583333333333
0.84;0.88;0.76;0.862857142857143;0.888888888888889;0.881538461538461;0.8125
0.86;0.88;0.916;0.851428571428571;0.877777777777778;0.839285714285714;0.853333333333333
0.84;0.88;0.868;0.874285714285714;0.911111111111111;0.828571428571429;0.791304347826087
0.82;0.866666666666667;0.904;0.874285714285714;0.866666666666667;0.85;0.875
0.92;0.853333333333333;0.88;0.828571428571429;0.877777777777778;0.839285714285714;0.874782608695652
0.86;0.826666666666667;0.868;0.92;0.9;0.85;0.853913043478261
0.86;0.813333333333333;0.904;0.897142857142857;0.788888888888889;0.882142857142857;0.874545454545455
0.86;0.906666666666667;0.784;0.828571428571429;0.822222222222222;0.860714285714286;0.84375
0.8;0.853333333333333;0.82;0.828571428571429;0.922222222222222;0.903571428571429;0.90625
0.84;0.92;0.88;0.897142857142857;0.833333333333333;0.828571428571429;0.854166666666667
0.78;0.88;0.784;0.771428571428571;0.855555555555556;0.775;0.864583333333333
0.78;0.88;0.868;0.885714285714286;0.822222222222222;0.860714285714286;0.927083333333333
0.88;0.906666666666667;0.82;0.885714285714286;0.833333333333333;0.860714285714286;0.875
0.82;0.893333333333333;0.82;0.851428571428571;0.8;0.839285714285714;0.853913043478261
0.8;0.893333333333333;0.784;0.851428571428571;0.844444444444444;0.828571428571429;0.895652173913044
0.84;0.84;0.844;0.851428571428571;0.844444444444444;0.807142857142857;0.90625
0.88;0.773333333333333;0.844;0.851428571428571;0.8;0.839285714285714;0.832727272727273
0.86;0.92;0.832;0.794285714285714;0.855555555555556;0.828571428571429;0.916666666666667
0.94;0.866666666666667;0.832;0.76;0.855555555555556;0.903571428571429;0.822608695652174
0.92;0.84;0.832;0.897142857142857;0.9;0.839285714285714;0.780454545454546
0.88;0.853333333333333;0.904;0.874285714285714;0.811111111111111;0.828571428571429;0.78125
0.88;0.866666666666667;0.82;0.851428571428571;0.877777777777778;0.914285714285714;0.854166666666667
0.92;0.866666666666667;0.88;0.817142857142857;0.866666666666667;0.860714285714286;0.895833333333333
0.86;0.88;0.844;0.862857142857143;0.844444444444444;0.85;0.875
0.78;0.853333333333333;0.832;0.874285714285714;0.833333333333333;0.85;0.83304347826087
0.84;0.853333333333333;0.844;0.84;0.866666666666667;0.892857142857143;0.791666666666667
0.84;0.84;0.892;0.851428571428571;0.822222222222222;0.871428571428571;0.874782608695652
0.84;0.933333333333333;0.808;0.885714285714286;0.777777777777778;0.892857142857143;0.84375
0.9;0.866666666666667;0.796;0.794285714285714;0.933333333333333;0.85;0.84375
0.86;0.866666666666667;0.952;0.885714285714286;0.788888888888889;0.871428571428571;0.802083333333333
0.82;0.866666666666667;0.784;0.828571428571429;0.844444444444444;0.828571428571429;0.916521739130435
0.82;0.853333333333333;0.856;0.84;0.866666666666667;0.85;0.801739130434783
0.88;0.88;0.868;0.851428571428571;0.811111111111111;0.925;0.843478260869565
0.84;0.773333333333333;0.82;0.828571428571429;0.877777777777778;0.85;0.833333333333333
0.82;0.866666666666667;0.856;0.862857142857143;0.888888888888889;0.839285714285714;0.84375
0.86;0.933333333333333;0.892;0.897142857142857;0.833333333333333;0.85;0.854166666666667
0.84;0.826666666666667;0.844;0.84;0.833333333333333;0.764285714285714;0.874545454545455
0.82;0.84;0.856;0.874285714285714;0.844444444444444;0.892857142857143;0.84375
0.96;0.853333333333333;0.856;0.817142857142857;0.866666666666667;0.806153846153846;0.895833333333333
0.86;0.853333333333333;0.856;0.794285714285714;0.877777777777778;0.892857142857143;0.812173913043478
0.86;0.893333333333333;0.88;0.851428571428571;0.855555555555556;0.839285714285714;0.895833333333333
0.88;0.826666666666667;0.856;0.862857142857143;0.877777777777778;0.828571428571429;0.854166666666667
0.84;0.933333333333333;0.892;0.817142857142857;0.866666666666667;0.828571428571429;0.875
0.88;0.933333333333333;0.856;0.828571428571429;0.822222222222222;0.839285714285714;0.822608695652174
0.86;0.786666666666667;0.808;0.817142857142857;0.822222222222222;0.817857142857143;0.802083333333333
0.92;0.853333333333333;0.832;0.828571428571429;0.888888888888889;0.828571428571429;0.853913043478261
0.8;0.933333333333333;0.892;0.84;0.833333333333333;0.817857142857143;0.842857142857143
0.74;0.826666666666667;0.82;0.897142857142857;0.866666666666667;0.795384615384615;0.895833333333333
0.78;0.88;0.832;0.851428571428571;0.877777777777778;0.925;0.853913043478261
0.92;0.893333333333333;0.868;0.828571428571429;0.933333333333333;0.860714285714286;0.885217391304348
0.78;0.866666666666667;0.916;0.908571428571429;0.9;0.882142857142857;0.822608695652174
0.88;0.826666666666667;0.928;0.851428571428571;0.822222222222222;0.871428571428571;0.854166666666667
0.8;0.853333333333333;0.832;0.828571428571429;0.877777777777778;0.892857142857143;0.864583333333333
0.84;0.853333333333333;0.88;0.851428571428571;0.866666666666667;0.903571428571429;0.885416666666667
0.96;0.786666666666667;0.856;0.897142857142857;0.833333333333333;0.807142857142857;0.833333333333333
0.86;0.72;0.856;0.862857142857143;0.833333333333333;0.892857142857143;0.812173913043478
0.92;0.906666666666667;0.832;0.874285714285714;0.766666666666667;0.796428571428571;0.853913043478261
0.92;0.866666666666667;0.808;0.874285714285714;0.822222222222222;0.85;0.8125
0.74;0.826666666666667;0.796;0.885714285714286;0.844444444444444;0.892857142857143;0.84375
0.78;0.826666666666667;0.796;0.828571428571429;0.811111111111111;0.839285714285714;0.864347826086956
0.8;0.813333333333333;0.844;0.84;0.9;0.807142857142857;0.875
0.82;0.92;0.892;0.897142857142857;0.9;0.871428571428571;0.885416666666667
0.92;0.826666666666667;0.868;0.851428571428571;0.9;0.925;0.833333333333333
0.84;0.88;0.88;0.817142857142857;0.833333333333333;0.882142857142857;0.802083333333333
0.8;0.866666666666667;0.832;0.851428571428571;0.855555555555556;0.828571428571429;0.8125
0.76;0.8;0.88;0.771428571428571;0.822222222222222;0.828571428571429;0.760416666666667
0.78;0.88;0.832;0.897142857142857;0.911111111111111;0.85;0.885217391304348
0.8;0.813333333333333;0.892;0.794285714285714;0.877777777777778;0.785714285714286;0.874782608695652
0.84;0.813333333333333;0.868;0.874285714285714;0.766666666666667;0.882142857142857;0.895833333333333
0.8;0.866666666666667;0.748;0.862857142857143;0.822222222222222;0.882142857142857;0.864090909090909
0.9;0.826666666666667;0.82;0.828571428571429;0.888888888888889;0.882142857142857;0.874782608695652
0.92;0.84;0.892;0.817142857142857;0.888888888888889;0.828571428571429;0.90625
0.9;0.893333333333333;0.88;0.851428571428571;0.911111111111111;0.828571428571429;0.906086956521739
0.76;0.826666666666667;0.916;0.817142857142857;0.844444444444444;0.816923076923077;0.895833333333333
0.78;0.92;0.88;0.84;0.877777777777778;0.860714285714286;0.822916666666667
0.84;0.813333333333333;0.868;0.817142857142857;0.8;0.903571428571429;0.895652173913044
0.8;0.76;0.784;0.794285714285714;0.888888888888889;0.892857142857143;0.84375
0.88;0.88;0.904;0.92;0.811111111111111;0.775;0.84375
0.82;0.866666666666667;0.808;0.851428571428571;0.844444444444444;0.871428571428571;0.78125
0.92;0.826666666666667;0.832;0.874285714285714;0.777777777777778;0.85;0.864347826086956
0.84;0.853333333333333;0.808;0.874285714285714;0.911111111111111;0.839285714285714;0.812173913043478
0.82;0.853333333333333;0.916;0.92;0.844444444444444;0.882142857142857;0.864583333333333
0.94;0.826666666666667;0.832;0.92;0.866666666666667;0.807142857142857;0.864583333333333
0.9;0.826666666666667;0.88;0.794285714285714;0.877777777777778;0.914285714285714;0.864583333333333
0.9;0.906666666666667;0.868;0.897142857142857;0.877777777777778;0.817857142857143;0.9375
0.88;0.826666666666667;0.856;0.782857142857143;0.788888888888889;0.871428571428571;0.832727272727273
0.86;0.853333333333333;0.76;0.862857142857143;0.866666666666667;0.871428571428571;0.875
0.94;0.906666666666667;0.856;0.874285714285714;0.822222222222222;0.882142857142857;0.791666666666667
0.84;0.866666666666667;0.844;0.828571428571429;0.833333333333333;0.85;0.780869565217391
0.78;0.88;0.832;0.828571428571429;0.788888888888889;0.871428571428571;0.822916666666667
0.82;0.813333333333333;0.808;0.874285714285714;0.911111111111111;0.860714285714286;0.906086956521739
0.9;0.88;0.88;0.92;0.866666666666667;0.860714285714286;0.822916666666667
0.86;0.88;0.868;0.874285714285714;0.855555555555556;0.796428571428571;0.854166666666667
0.8;0.933333333333333;0.868;0.817142857142857;0.877777777777778;0.817857142857143;0.916666666666667
0.78;0.853333333333333;0.868;0.828571428571429;0.844444444444444;0.892857142857143;0.84375
0.84;0.893333333333333;0.844;0.862857142857143;0.9;0.785714285714286;0.875
0.86;0.826666666666667;0.892;0.782857142857143;0.844444444444444;0.892857142857143;0.833333333333333
0.96;0.84;0.832;0.908571428571429;0.866666666666667;0.817857142857143;0.885217391304348
0.88;0.88;0.88;0.851428571428571;0.922222222222222;0.871428571428571;0.864583333333333
0.86;0.866666666666667;0.928;0.897142857142857;0.888888888888889;0.882142857142857;0.791666666666667
0.9;0.813333333333333;0.892;0.828571428571429;0.866666666666667;0.828571428571429;0.885217391304348
0.86;0.853333333333333;0.856;0.828571428571429;0.9;0.903571428571429;0.801739130434783
0.78;0.8;0.904;0.828571428571429;0.911111111111111;0.85;0.833333333333333
0.82;0.906666666666667;0.904;0.851428571428571;0.844444444444444;0.753571428571429;0.916666666666667
0.9;0.786666666666667;0.844;0.92;0.9;0.892857142857143;0.875
0.88;0.866666666666667;0.88;0.897142857142857;0.811111111111111;0.796428571428571;0.864583333333333
0.84;0.853333333333333;0.82;0.76;0.777777777777778;0.785714285714286;0.874782608695652
0.88;0.84;0.82;0.862857142857143;0.766666666666667;0.828571428571429;0.780869565217391
0.82;0.853333333333333;0.796;0.84;0.833333333333333;0.85;0.864583333333333
0.96;0.866666666666667;0.82;0.84;0.888888888888889;0.85;0.833333333333333
0.76;0.853333333333333;0.88;0.874285714285714;0.888888888888889;0.85;0.885416666666667
0.8;0.813333333333333;0.88;0.805714285714286;0.833333333333333;0.828571428571429;0.895652173913044
0.92;0.773333333333333;0.82;0.897142857142857;0.8;0.860714285714286;0.77
0.78;0.76;0.76;0.851428571428571;0.9;0.828571428571429;0.812173913043478
0.94;0.933333333333333;0.88;0.862857142857143;0.844444444444444;0.828571428571429;0.843478260869565
0.82;0.853333333333333;0.832;0.862857142857143;0.844444444444444;0.871428571428571;0.84375
0.92;0.866666666666667;0.868;0.885714285714286;0.8;0.839285714285714;0.853913043478261
0.84;0.853333333333333;0.784;0.851428571428571;0.911111111111111;0.882142857142857;0.864583333333333
0.84;0.906666666666667;0.904;0.874285714285714;0.8;0.871428571428571;0.853636363636364
0.8;0.933333333333333;0.808;0.862857142857143;0.833333333333333;0.860714285714286;0.916666666666667
0.82;0.786666666666667;0.856;0.862857142857143;0.844444444444444;0.892857142857143;0.853913043478261
0.76;0.906666666666667;0.82;0.817142857142857;0.855555555555556;0.85;0.895454545454546
0.84;0.76;0.82;0.794285714285714;0.866666666666667;0.796428571428571;0.854166666666667
0.94;0.826666666666667;0.844;0.885714285714286;0.888888888888889;0.860714285714286;0.84375
0.84;0.893333333333333;0.868;0.782857142857143;0.844444444444444;0.817857142857143;0.875
0.8;0.813333333333333;0.832;0.874285714285714;0.911111111111111;0.85;0.875
0.84;0.786666666666667;0.892;0.794285714285714;0.777777777777778;0.871428571428571;0.843478260869565
0.84;0.88;0.796;0.862857142857143;0.888888888888889;0.828571428571429;0.854166666666667
0.78;0.946666666666667;0.88;0.862857142857143;0.844444444444444;0.903571428571429;0.790909090909091
0.88;0.84;0.856;0.817142857142857;0.866666666666667;0.860714285714286;0.84375
0.84;0.84;0.88;0.897142857142857;0.811111111111111;0.871428571428571;0.812173913043478
0.78;0.84;0.808;0.851428571428571;0.788888888888889;0.817857142857143;0.822916666666667
