2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.5084;0.2615;0.1808;0.1327;0.1043;0.0928;0.0483
0.5126;0.2506;0.1793;0.1394;0.1084;0.0812;0.0499
0.506;0.2985;0.1939;0.1287;0.1074;0.0736;0.0497
0.5012;0.2903;0.1746;0.1524;0.1095;0.0796;0.0465
0.5286;0.2817;0.1761;0.1299;0.1151;0.0756;0.0452
0.524;0.2529;0.1791;0.1369;0.1221;0.0747;0.047
0.5004;0.2677;0.176;0.1338;0.1161;0.0795;0.0504
0.542;0.259;0.1806;0.1379;0.1061;0.077;0.0568
0.504;0.2736;0.1827;0.1299;0.1117;0.0737;0.0481
0.5066;0.2612;0.182;0.1516;0.1176;0.0876;0.046
0.5264;0.2578;0.1858;0.1401;0.106;0.0869;0.0505
0.5144;0.2525;0.179;0.1408;0.1095;0.0752;0.0444
0.5198;0.2727;0.1782;0.1396;0.1145;0.0798;0.051
0.5576;0.2636;0.1803;0.144;0.109;0.0795;0.0526
0.5098;0.2642;0.1818;0.1362;0.1107;0.0808;0.0541
0.5196;0.277;0.1956;0.1416;0.1112;0.0706;0.0472
0.5108;0.2666;0.193;0.1315;0.1118;0.0758;0.0496
0.5126;0.2655;0.1762;0.1324;0.1228;0.0753;0.0446
0.5288;0.2634;0.1811;0.1317;0.108;0.0736;0.045
0.5256;0.2606;0.1742;0.143;0.1135;0.0763;0.0477
0.5176;0.2725;0.1709;0.1363;0.1105;0.0736;0.0515
0.5192;0.2583;0.1816;0.1354;0.1076;0.0752;0.0567
0.5468;0.2669;0.1734;0.1397;0.1171;0.0791;0.049
0.5048;0.2651;0.1826;0.1381;0.1076;0.0842;0.0483
0.5004;0.2579;0.1889;0.1293;0.1112;0.0835;0.0561
0.5008;0.2582;0.1828;0.127;0.1083;0.0794;0.048
0.522;0.2644;0.1769;0.129;0.1041;0.0747;0.0461
0.5234;0.2563;0.1802;0.1307;0.121;0.0737;0.05
0.58;0.2692;0.1735;0.1325;0.1091;0.073;0.0471
0.522;0.2733;0.1822;0.1322;0.117;0.0758;0.0456
0.526;0.2624;0.1877;0.1344;0.1121;0.0798;0.0486
0.5162;0.2567;0.173;0.1409;0.107;0.0726;0.0474
0.522;0.2619;0.1815;0.1287;0.1118;0.0746;0.0506
0.5032;0.2711;0.1732;0.1437;0.112;0.0736;0.0485
0.5096;0.2544;0.1683;0.1331;0.1123;0.0802;0.0496
0.5288;0.2596;0.1733;0.1383;0.1145;0.0832;0.0526
0.6008;0.2593;0.175;0.1318;0.1134;0.0759;0.0478
0.548;0.262;0.18;0.1345;0.109;0.0711;0.0518
0.5128;0.2967;0.1913;0.1308;0.1186;0.0747;0.0488
0.5126;0.2558;0.1835;0.1467;0.1064;0.0772;0.0449
0.5096;0.2775;0.1689;0.1378;0.1097;0.0762;0.0474
0.5286;0.2541;0.1696;0.1581;0.1109;0.0717;0.0529
0.5364;0.2795;0.1709;0.1338;0.1127;0.0745;0.0502
0.522;0.267;0.1835;0.1497;0.1036;0.0752;0.0498
0.5162;0.2522;0.1781;0.1298;0.1127;0.0722;0.0464
0.503;0.2798;0.1763;0.1387;0.1085;0.0798;0.047
0.5198;0.276;0.1738;0.1405;0.1033;0.0723;0.0473
0.5264;0.274;0.1749;0.1286;0.1121;0.0738;0.0507
0.518;0.2544;0.1748;0.1324;0.1133;0.0775;0.0487
0.506;0.2703;0.1768;0.1272;0.1049;0.0821;0.0503
0.5196;0.2684;0.1799;0.1359;0.1158;0.0749;0.051
0.5126;0.2525;0.171;0.1348;0.105;0.0723;0.0542
0.5242;0.2615;0.175;0.1316;0.113;0.0789;0.0465
0.514;0.268;0.1956;0.1357;0.112;0.0732;0.0461
0.5476;0.2626;0.1874;0.1402;0.1094;0.0803;0.0513
0.5242;0.2668;0.1738;0.1408;0.1186;0.0781;0.05
0.4992;0.2773;0.2016;0.131;0.1093;0.0755;0.0491
0.5578;0.2516;0.1795;0.1358;0.1093;0.0849;0.0468
0.508;0.2768;0.1787;0.1455;0.1097;0.0789;0.0529
0.5264;0.2801;0.1713;0.1336;0.1053;0.0732;0.0527
0.52;0.2662;0.1748;0.1319;0.116;0.0736;0.0461
0.524;0.2508;0.19;0.135;0.1072;0.0795;0.0471
0.5126;0.2591;0.1722;0.1401;0.1064;0.0768;0.0505
0.5024;0.2544;0.1686;0.1378;0.1124;0.0765;0.0501
0.5126;0.2507;0.182;0.1331;0.1121;0.0794;0.0475
0.5162;0.2623;0.1765;0.1324;0.1133;0.0711;0.0571
0.5312;0.2517;0.1855;0.1314;0.1144;0.0872;0.0471
0.522;0.2577;0.1865;0.1275;0.1122;0.0761;0.0511
0.5384;0.256;0.189;0.1352;0.1139;0.0764;0.0532
0.506;0.2707;0.171;0.1381;0.105;0.0754;0.0486
0.505;0.2845;0.173;0.1301;0.1156;0.0779;0.0541
0.5016;0.2531;0.1755;0.1245;0.1239;0.0763;0.0529
0.5128;0.26;0.2014;0.1302;0.1137;0.0747;0.0474
0.5128;0.252;0.1954;0.1394;0.1112;0.0792;0.0512
0.518;0.2504;0.2089;0.1389;0.1174;0.0753;0.0475
0.5286;0.2652;0.178;0.1327;0.1183;0.0745;0.0507
0.5442;0.2665;0.1812;0.1369;0.1117;0.0748;0.0486
0.5352;0.2552;0.1802;0.1319;0.1069;0.0766;0.0508
0.5108;0.276;0.1698;0.141;0.1115;0.0813;0.0469
0.5128;0.2758;0.1773;0.1457;0.1039;0.0785;0.0499
0.542;0.2882;0.1753;0.1314;0.1129;0.0761;0.0463
0.5006;0.2572;0.1706;0.1312;0.1077;0.0805;0.0578
0.5336;0.2528;0.1877;0.1344;0.1079;0.0744;0.0531
0.5442;0.2663;0.1764;0.1432;0.1178;0.072;0.047
0.5;0.2524;0.1769;0.1511;0.1097;0.0746;0.0468
0.512;0.2636;0.173;0.1314;0.1097;0.0768;0.0552
0.5512;0.2516;0.1852;0.1428;0.1124;0.0703;0.0531
0.5016;0.2567;0.1785;0.138;0.1158;0.0726;0.0539
0.52;0.251;0.1876;0.1363;0.108;0.0744;0.0525
0.5264;0.2541;0.1705;0.1306;0.1094;0.0751;0.0547
0.551;0.2589;0.1716;0.1315;0.1079;0.082;0.0506
0.5308;0.2631;0.1898;0.1344;0.1056;0.0738;0.0493
0.503;0.2634;0.1744;0.1295;0.1145;0.0789;0.0461
0.5036;0.2524;0.1743;0.1349;0.1263;0.0755;0.0472
0.539;0.2544;0.1832;0.1383;0.1103;0.0799;0.0501
0.512;0.2794;0.1748;0.1518;0.116;0.071;0.0514
0.5;0.2582;0.1715;0.1333;0.1034;0.0759;0.0457
0.5108;0.2549;0.1782;0.1412;0.1166;0.0718;0.0464
0.5098;0.2654;0.1737;0.1516;0.1031;0.0836;0.0525
0.5576;0.2722;0.1742;0.1371;0.1092;0.0791;0.0459
0.4988;0.2508;0.1767;0.1355;0.1058;0.0715;0.0493
0.5112;0.2636;0.1787;0.1367;0.1079;0.0753;0.0487
0.518;0.2552;0.1727;0.1385;0.1119;0.0755;0.0455
0.5544;0.2535;0.1889;0.1315;0.108;0.0769;0.0466
0.5288;0.2535;0.1726;0.1385;0.1112;0.0744;0.0498
0.518;0.2917;0.1751;0.1342;0.1066;0.0813;0.0441
0.5084;0.255;0.1805;0.1311;0.1083;0.0734;0.0473
0.5126;0.2579;0.1708;0.1364;0.1171;0.0794;0.0491
0.566;0.2499;0.1766;0.1412;0.1102;0.0761;0.0477
0.5264;0.2587;0.1768;0.1357;0.1141;0.0761;0.0487
0.5544;0.2597;0.1758;0.1333;0.107;0.0789;0.0456
0.5004;0.2641;0.1864;0.1369;0.1037;0.0759;0.0461
0.52;0.2691;0.1727;0.1342;0.1051;0.071;0.05
0.5108;0.2665;0.1762;0.1367;0.11;0.0757;0.0525
0.5064;0.2672;0.1789;0.1439;0.1101;0.075;0.0477
0.508;0.2548;0.1821;0.1292;0.1069;0.0799;0.0467
0.5032;0.2726;0.1751;0.1336;0.1018;0.0705;0.0474
0.507;0.2576;0.1761;0.1299;0.1111;0.0792;0.0503
0.548;0.26;0.174;0.1314;0.1094;0.0803;0.0479
0.5312;0.2524;0.1765;0.1355;0.117;0.0772;0.0501
0.536;0.255;0.1864;0.1328;0.1107;0.0712;0.0492
0.5;0.2769;0.1753;0.1281;0.1128;0.0729;0.0514
0.5;0.2598;0.1771;0.1331;0.1184;0.0719;0.053
0.5312;0.2652;0.181;0.1356;0.1146;0.075;0.0471
0.5442;0.2501;0.1889;0.1362;0.1067;0.073;0.0481
0.5048;0.2601;0.1737;0.1392;0.1133;0.0781;0.0511
0.6144;0.2579;0.1888;0.1385;0.1045;0.0791;0.0481
0.508;0.2621;0.1766;0.1352;0.1078;0.0763;0.0496
0.5162;0.264;0.1904;0.1358;0.1196;0.0852;0.045
0.5448;0.253;0.1952;0.1308;0.117;0.0738;0.0476
0.5338;0.2784;0.1772;0.1371;0.1211;0.0809;0.0501
0.5048;0.2829;0.1832;0.1386;0.1065;0.0777;0.0538
0.5024;0.2605;0.1745;0.1408;0.1093;0.0787;0.0484
0.5364;0.2726;0.1696;0.135;0.1081;0.0794;0.0489
0.5544;0.2683;0.1732;0.1307;0.1154;0.0827;0.0497
0.5162;0.2582;0.1833;0.1423;0.1131;0.0736;0.0486
0.512;0.2638;0.1841;0.1354;0.1081;0.0742;0.0523
0.501;0.2673;0.1674;0.1359;0.1093;0.0745;0.05
0.5126;0.2728;0.1893;0.1405;0.1133;0.0737;0.0537
0.5176;0.2726;0.1799;0.1385;0.1062;0.0846;0.0464
0.5;0.2508;0.1715;0.1277;0.113;0.0805;0.0495
0.5336;0.2627;0.1669;0.1277;0.1039;0.0726;0.0504
0.542;0.2761;0.1708;0.1447;0.1085;0.0757;0.0462
0.516;0.2521;0.187;0.1344;0.1057;0.075;0.0491
0.509;0.2662;0.1809;0.1387;0.1068;0.0717;0.047
0.52;0.2588;0.186;0.1316;0.1084;0.0829;0.0455
0.5;0.2615;0.1916;0.1415;0.1108;0.076;0.0506
0.5144;0.2503;0.1862;0.1414;0.1106;0.0776;0.0494
