2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.05;0.37;0.36;1.32;2;5.09;22.06
0.08;0.58;0.16;2.21;1.57;2.73;16.14
0.07;0.15;0.55;0.67;1.6;5.36;7.4
0.09;0.43;0.49;1.19;2.44;4.69;11.54
0.08;0.33;1.15;1.07;3.17;3.39;12.15
0.09;0.47;0.89;1.27;1.75;4.6;19.8
0.05;0.48;0.47;1.99;1.51;3.51;20.7
0.13;0.27;0.83;1.69;2.48;6.85;7.31
0.09;0.36;0.84;1.63;3.3;10.61;15.78
0.16;0.59;0.85;1.07;2.68;4.4;18.33
0.05;0.35;0.87;1.84;1.8;5.15;17.67
0.07;0.59;0.8;1.14;2.65;6.25;31.45
0.04;0.48;1.09;2.15;2.97;8.22;7.23
0.08;0.74;0.3;1.71;1.66;4.23;11.14
0.06;0.4;1.01;0.92;1.49;2.94;12.28
0.07;0.4;1.21;2.11;1.6;2.88;4.19
0.07;0.49;0.42;0.95;1.21;6.25;12.63
0.1;0.33;0.57;1.07;3.62;4.86;19.67
0.06;0.58;0.63;1.97;3.45;5.89;16.87
0.08;0.24;1.83;1.1;0.83;3.56;29.4
0.07;0.23;0.71;0.92;2.43;4.74;11.66
0.08;0.34;0.56;1.05;0.8;4.23;17.36
0.09;0.3;0.51;1.8;2.59;8.02;7.29
0.04;0.41;1.05;1.38;1.89;6.34;17.87
0.07;0.57;0.95;1.69;1.49;5.86;8.12
0.07;0.37;0.27;0.71;3.81;1.89;7.52
0.07;0.34;1.44;2;2.26;3.16;19.87
0.1;0.34;0.91;1.19;1.88;5.55;13.73
0.08;0.34;0.96;1.22;2.11;5.49;23.79
0.11;0.26;0.89;3.02;0.94;7.26;10.87
0.11;0.42;0.35;1.26;3.08;1.91;7.23
0.06;0.13;1.59;1.21;4.78;4.43;15.86
0.09;0.25;1.43;1.77;2.82;5.75;12.42
0.1;0.19;0.9;1.8;2.41;7.18;11.07
0.08;0.32;0.83;3.48;2.65;9.83;6.45
0.06;0.59;1.25;0.91;3.95;6.55;20.79
0.07;0.17;0.69;2.2;1.79;5.25;10.31
0.03;0.19;0.92;2.28;2.91;3.45;25.51
0.04;0.4;0.83;1.42;1.51;5.2;33.62
0.06;0.47;0.45;1.17;2.96;6.24;13.97
0.06;0.43;0.69;2.7;1.95;2.3;8.79
0.04;0.25;0.94;2.37;2.54;4.27;5.7
0.07;0.23;0.83;2.61;3.37;8.32;6.56
0.11;0.36;0.72;1.29;2.17;6;23.95
0.08;0.22;0.83;1.24;1.26;1.5;16.22
0.08;0.42;1.13;1.14;1.71;4.75;10.67
0.08;0.24;1.4;0.86;3.75;1.57;16.65
0.05;0.35;0.79;1.46;0.89;4.11;18.28
0.07;0.3;0.21;0.58;3.7;7.04;10.75
0.09;0.46;1.08;2.08;2.69;5.46;4.79
0.09;0.48;0.82;1.92;2.48;7.13;23.9
0.06;0.34;0.81;2.35;2.85;2.2;14.83
0.08;0.59;0.65;1.68;2.24;5.92;18.43
0.09;0.38;1.42;1.79;1.19;5.05;14.5
0.07;0.32;0.75;1.54;2.75;4.71;13.87
0.08;0.35;1.05;0.86;2.3;8.59;11.69
0.09;0.38;0.77;1.58;1.25;5.73;23.53
0.02;0.37;0.82;2.01;1.91;8.55;6.59
0.07;0.58;0.41;2.21;1.41;5.57;25.1
0.07;0.46;0.56;1.62;1.48;5.66;3.92
0.06;0.62;1.12;1.44;3.26;7.65;10.86
0.08;0.05;0.66;1.09;2.08;4.68;15.23
0.06;0.21;1;2.08;2.32;3.57;21.34
0.07;0.33;1.23;1.49;1.75;5.02;10.91
0.04;0.39;0.85;1.7;1.74;6.57;16.35
0.1;0.11;0.83;1.72;2.21;6.6;16.87
0.13;0.37;1.27;1.41;3.15;3.48;4.99
0.11;0.2;0.66;1.75;1.33;2.4;10.58
0.04;0.33;0.58;1.06;1.43;7.27;14.18
0.11;0.45;0.98;1.39;1.9;3.9;21.97
0.06;0.36;0.53;1.55;3.94;2.48;8.91
0.1;0.55;0.85;1.28;1.39;3.67;21.02
0.08;0.31;0.87;1.76;2.12;5.74;12.02
0.02;0.6;1.09;0.83;2.13;4.98;21.93
0.07;0.88;1.14;1.64;3.34;4.09;22.21
0.04;0.1;0.84;1.32;3.06;7.39;25.92
0.04;0.4;1.56;1.11;3.92;3.92;17.08
0.13;0.63;1.24;1.41;2.82;2.82;18.62
0.11;0.44;1.79;1.37;4.44;7.75;20.01
0.1;0.58;0.69;1.35;2.08;5.35;12.7
0.09;0.29;0.44;1.26;3.42;4.27;8.46
0.04;0.3;0.85;2.04;2.07;3.42;20.4
0.08;0.18;0.8;0.9;2.69;5.53;20.93
0.1;0.33;0.57;1.62;1.33;5.53;14.06
0.12;0.35;0.6;1.87;2.51;6.84;27.04
0.11;0.26;0.95;1.06;1.12;6.63;20.47
0.1;0.28;0.57;1.64;1.53;11.15;9.18
0.08;0.58;0.83;1.78;2.52;2.54;12.94
0.1;0.35;1.28;1.8;3.16;2.02;10.5
0.05;0.35;0.85;2.3;1.39;3.94;9.05
0.04;0.27;0.61;1.16;1.32;4.6;12.6
0.05;0.33;0.7;2.18;1.31;5.8;11
0.12;0.32;0.55;1.41;3.16;9.53;4.31
0.11;0.2;0.65;2.73;2.13;4.48;18.42
0.08;0.5;0.85;2.27;2.63;3.94;6.17
0.1;0.52;0.78;2.31;1.66;6.4;12.15
0.06;0.18;0.74;0.34;2.96;11.46;16.09
0.09;0.26;1.07;1.96;2.32;4.71;23.88
0.04;0.28;1.19;0.83;4.22;3.89;11.52
0.08;0.33;1.22;0.81;1.4;8.3;25.07
0.09;0.26;0.27;0.88;2.02;3.62;15.32
0.03;0.65;0.64;0.45;1.29;4.71;13.12
0.05;0.36;0.51;2.69;1.76;4.68;9.62
0.05;0.26;0.78;1.52;1.05;3.94;2.89
0.06;0.46;0.96;1.69;4.36;5.62;27.01
0.07;0.47;1.47;1.75;1.73;4.33;21.07
0.03;0.16;0.76;0.31;2.11;2.87;29.67
0.08;0.3;0.69;1.54;2.56;6.08;20.57
0.11;0.18;0.88;1.56;2.76;4.46;13.37
0.09;0.32;0.69;0.87;0.55;2.35;9.27
0.05;0.23;0.5;0.66;3.49;4.94;24.04
0.07;0.34;1.17;1.39;3.09;5.56;13.64
0.1;0.05;0.84;1.92;1.75;8.18;12.43
0.11;0.39;0.63;1.6;2.21;4.26;13.92
0.08;0.08;0.93;2.09;1.99;10.26;17.01
0.07;0.3;0.63;2.72;3.61;4.16;22.37
0.02;0.35;1.3;0.87;1.54;6.42;13.87
0.06;0.29;0.64;1.03;1.55;2.67;13.21
0.07;0.27;0.25;0.38;0.99;4.12;17.76
0.05;0.5;1.09;2.59;1.42;6.51;12.54
0.07;0.39;0.58;1.19;1.44;3.96;20.49
0.11;0.54;0.45;1.4;1.86;4.88;22.59
