2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
21005.55;5986.205;3002.42;1873.105;1339.295;1391.91;907.79
21515.52;5681.385;2813.63;2358.795;1304.445;860.545;712.745
20717.53;8322.945;3573.995;1516.925;1286.55;915.525;472.62
20289.59;7695.365;2770.49;2548.725;1498.2;1023.515;572.77
23409.92;7059.835;3169.56;1741.32;1753.195;861.565;544.795
23126.39;5616.27;3246.11;1942.975;1661.76;870.385;846.73
20053.55;6504.245;2793.335;2183.005;1424.56;894.96;922.34
24936.67;5805.61;3181.83;2147.725;1319.97;1180.13;563.09
20478.71;6712.82;3226.76;1920.145;1670.7;1478.75;790.86
21144.64;6210.795;3168.455;2361.77;1700.465;1153.74;759.165
23147.55;5861.465;3329.73;2306.32;1325.06;1208.585;837.4
21713.77;5835.71;3152.035;2054.675;1574.24;1073.615;1164.035
22384;6812.51;3317.865;2273.1;1703.84;1331.825;478.93
26843.52;6485.68;2874.47;2366.355;1379.93;962.92;605.615
21164.24;6246.51;3365.57;1836.495;1302.42;930.98;617.645
22615.13;6787.18;3891.9;2393.95;1363.595;668.695;372.21
21334.25;6424.17;3400.135;1704.125;1319.905;1127.385;650.295
21510.4;6250.595;2901.705;1833.695;2236.42;947.28;816.885
23421.44;6333.46;3154.355;1986.8;1714.02;985.52;663.9
23409.92;5938.765;3511.515;2201.31;1350.195;822.235;981.205
22140.73;6624.125;2805.46;1784.5;1501.3;885.95;524.825
22368;5841.385;3149.025;1887.855;1124.52;795.815;911.81
25679.51;6241.1;2771.31;2253.225;1911.715;1247.605;412.235
20596;6316.625;3484.455;2032.87;1360.93;1208.09;846.225
20053.37;6070.155;3666.25;1886.85;1327.47;1210.75;619.32
20148.25;5740.21;2958.215;1501.17;1690.57;771.66;454.98
22615.13;6223.72;3368.155;2031.29;1390.44;828.655;858.52
22855.6;5673.66;3246.35;1735.025;1647.115;1013.51;633.57
