2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.4916;2.384;6.1054;10.2002;14.819;33.732;105.425
0.4874;2.468;5.0946;10.89;17.484;35.4972;111.4938
0.494;2.9808;6.0812;11.3324;16.1144;40.7704;95.6272
0.4988;2.6004;5.9496;8.1956;16.4874;34.3828;103.196
0.4714;2.8288;5.782;10.6472;16.5536;33.67;108.976
0.476;2.534;5.3156;11.0628;15.9172;37.915;100.2514
0.4996;2.3106;5.99;9.4328;15.8884;35.5456;90.9168
0.458;2.526;5.9168;10.524;18.6218;36.004;98.4844
0.496;2.556;6.241;9.8928;18.7696;35.468;89.8048
0.4934;2.734;6.18;13.342;18.3298;38.4758;106.3524
0.4736;2.386;6.454;8.9302;15.6144;35.0664;100.5984
0.4856;2.32;5.5784;9.2768;16.2776;34.848;108.2496
0.4802;2.375;5.4612;11.1932;16.828;38.6088;99.692
0.4424;2.644;5.8714;10.022;15.7408;36.438;102.088
0.4902;2.452;5.878;10.325;17.628;28.615;111.8146
0.4804;2.936;6.0444;10.694;17.448;36.752;85.504
0.4892;2.3392;5.971;11.104;15.4088;33.4128;99.7648
0.4874;2.3976;5.5;9.75;15.8474;38.091;100.8196
0.4712;2.541;5.2372;11.4052;15.8456;38.876;114.9096
0.4744;2.217;5.6928;8.0466;13.2088;37.0886;118.0546
0.4824;2.1692;5.1396;12.1226;17.9812;37.492;123.256
0.4808;2.355;6.4294;10.476;17.568;43.498;96.871
0.4532;2.533;6.0172;9.885;14.2184;38.4688;118.3432
0.4952;2.6848;5.1832;10.5894;16.1312;35.4168;92.308
0.4996;2.4956;5.7056;10.68;18.4096;33.771;89.9426
0.4992;2.7128;6.3592;10.9328;17.464;31.6968;102.055
0.478;2.4866;5.916;9.295;14.2448;31.4808;104.5664
0.4766;2.6782;5.07;11.0164;17.3368;33.68;107.036
0.42;2.331;6.3984;11.2486;16.422;35.1376;100.2708
0.478;2.3434;5.662;10.924;18.971;34.597;103.8468
0.474;2.4016;6.49;10.8158;16.1842;36.2128;112.626
0.4838;2.63;5.6056;10.8872;19.2296;39.896;112.1902
0.478;2.4508;6.9632;10.1792;14.945;35.9792;89.503
0.4968;2.0936;5.4864;9.483;16.5348;36.1094;108.13
0.4904;2.3008;5.68;11.2554;17.706;37.8092;109.842
0.4712;2.7132;6.244;9.7292;14.6464;36.2116;103.1052
0.3992;2.2088;4.93;10.5;19.1868;34.286;107.0556
0.452;2.1972;6.6;9.625;16.836;34.2304;92.568
0.4872;2.5234;6.31;11;16.6048;38.8208;104.125
0.4874;2.618;5.8076;10.5232;16.4734;38.4;100.8768
0.4904;2.0116;6.054;10.8472;17.8752;33.4002;97.32
0.4714;2.3492;6.3;11.74;14.9672;33.6612;123.4488
