2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.4916;0.7385;0.8192;0.8673;0.8957;0.9072;0.9517
0.4874;0.7494;0.8207;0.8606;0.8916;0.9188;0.9501
0.494;0.7015;0.8061;0.8713;0.8926;0.9264;0.9503
0.4988;0.7097;0.8254;0.8476;0.8905;0.9204;0.9535
0.4714;0.7183;0.8239;0.8701;0.8849;0.9244;0.9548
0.476;0.7471;0.8209;0.8631;0.8779;0.9253;0.953
0.4996;0.7323;0.824;0.8662;0.8839;0.9205;0.9496
0.458;0.741;0.8194;0.8621;0.8939;0.923;0.9432
0.496;0.7264;0.8173;0.8701;0.8883;0.9263;0.9519
0.4934;0.7388;0.818;0.8484;0.8824;0.9124;0.954
0.4736;0.7422;0.8142;0.8599;0.894;0.9131;0.9495
0.4856;0.7475;0.821;0.8592;0.8905;0.9248;0.9556
0.4802;0.7273;0.8218;0.8604;0.8855;0.9202;0.949
0.4424;0.7364;0.8197;0.856;0.891;0.9205;0.9474
0.4902;0.7358;0.8182;0.8638;0.8893;0.9192;0.9459
0.4804;0.723;0.8044;0.8584;0.8888;0.9294;0.9528
0.4892;0.7334;0.807;0.8685;0.8882;0.9242;0.9504
0.4874;0.7345;0.8238;0.8676;0.8772;0.9247;0.9554
0.4712;0.7366;0.8189;0.8683;0.892;0.9264;0.955
0.4744;0.7394;0.8258;0.857;0.8865;0.9237;0.9523
0.4824;0.7275;0.8291;0.8637;0.8895;0.9264;0.9485
0.4808;0.7417;0.8184;0.8646;0.8924;0.9248;0.9433
0.4532;0.7331;0.8266;0.8603;0.8829;0.9209;0.951
0.4952;0.7349;0.8174;0.8619;0.8924;0.9158;0.9517
0.4996;0.7421;0.8111;0.8707;0.8888;0.9165;0.9439
0.4992;0.7418;0.8172;0.873;0.8917;0.9206;0.952
0.478;0.7356;0.8231;0.871;0.8959;0.9253;0.9539
0.4766;0.7437;0.8198;0.8693;0.879;0.9263;0.95
