2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
10423.9196;4969.31365;3923.0882;3724.26345;3499.45065;3485.2371;3114.49875
10643.2256;4608.3383;3919.41805;3781.7538;3492.7535;3493.426;3417.93405
10303.226;5615.17145;4269.84405;3642.22845;3649.1694;3183.1388;3565.91275
10122.5588;5243.51765;4155.0808;3875.1741;3314.89315;3419.9462;3600.97935
11456.4736;5259.80865;3829.75505;3891.79275;3845.71985;3336.5881;3191.347
11335.196;4803.63425;4458.67085;3856.17135;3782.66755;3288.80985;3272.5113
10022.5036;4845.32565;4140.9495;3552.5732;3634.48745;3476.90585;3158.6314
12137.822;4727.382;4115.8492;3484.94985;3455.02335;3365.5229;3410.7065
10202.824;5180.1502;3975.50845;3789.38085;3762.35835;2922.27175;3388.85045
10491.2936;5265.0394;4000.1246;3891.5516;3514.1257;3810.5875;3774.4239
11336.4656;4563.0462;4096.7572;3726.14535;3415.0148;3357.86285;3158.66215
10726.6616;4765.81505;3981.9756;3667.3671;3470.20015;3057.2075;3384.1162
11007.92;5240.13365;3945.4612;4005.6456;3744.34175;3634.3477;3594.8776
12956.5856;4890.1982;3984.54625;3900.7067;3609.4321;3674.79895;3275.061
10491.9208;4985.308;4063.7349;3624.2997;3746.46285;3391.9835;3407.77775
11111.1436;5009.2948;4658.0715;3980.5644;3513.6122;3656.8532;3264.3667
10564.93;4865.0446;4018.7132;3633.50305;3755.4037;3381.0729;3231.6081
10643.2256;4760.92925;4155.7704;3572.3957;3623.3878;3490.01015;3332.2357
11456.5888;5067.6049;4137.15985;3482.11045;3352.7032;3442.805;3018.3005
11454.7456;4958.2875;3828.2285;3535.8933;3627.25145;3317.17975;3736.99515
10908.8536;5049.96945;4155.60225;3777.70995;3428.04285;3528.8733;3264.21455
11007.68;5022.24425;3951.5949;3489.3742;3649.6798;3545.6883;3570.32645
12447.4748;4873.11605;3884.2826;3933.70105;3327.62525;3620.11785;3521.0468
10250.48;5223.93725;3755.845;3860.43095;3724.1418;3549.8354;3543.84675
10022.5036;4671.54145;4341.34225;3740.59295;3691.1885;3437.33795;3232.69325
10062.52;5025.7264;4132.8799;3702.4257;3625.66245;3626.5455;3475.4185
11112.202;5090.6182;3776.12135;3657.8103;3363.35785;3456.97985;3784.60775
11221.3256;4833.36285;3889.848;3756.63765;3560.5929;3814.01875;3437.5555
14128;4968.471;3928.10145;3709.62275;3464.47355;3128.9235;3963.91685
11112.202;5094.55065;4096.295;3454.744;3588.3164;3481.4261;3535.9239
11336.254;4787.9016;4144.97585;3652.5708;3865.17425;3418.5114;3531.4028
10815.2488;4697.40725;4183.4564;3576.09535;3952.5989;3502.5555;3196.8653
11112.202;4810.78165;4312.07505;3635.50815;3274.5786;3443.9711;3477.4407
10250.32;5093.53005;3754.0886;3920.37035;3413.3159;3064.2811;3524.05945
10491.8816;4862.5784;3795.77245;3710.18455;3691.84785;3834.0074;3327.4537
11456.5888;4770.7318;3794.17325;3709.21635;3382.13605;3965.146;3176.6821
