2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.50845;0.26165;0.1811;0.13315;0.10455;0.09365;0.0498
0.5128;0.25155;0.1795;0.14025;0.1088;0.08145;0.05165
0.50605;0.29865;0.1941;0.129;0.10775;0.074;0.04995
0.50245;0.29095;0.17495;0.1532;0.11;0.0803;0.04715
0.5288;0.28235;0.17635;0.1307;0.11615;0.0764;0.0458
0.52645;0.25305;0.18025;0.13745;0.1228;0.07525;0.0476
0.50045;0.26835;0.1766;0.134;0.1166;0.07985;0.0512
0.54205;0.25965;0.18085;0.13825;0.1073;0.07765;0.0576
0.50405;0.2746;0.18295;0.13025;0.1123;0.0749;0.0488
0.5098;0.26275;0.18255;0.1518;0.11825;0.0881;0.04705
0.52645;0.25875;0.18695;0.14055;0.10635;0.08745;0.05095
0.51445;0.25275;0.17925;0.14135;0.1099;0.07615;0.0452
0.52;0.27385;0.17885;0.14015;0.1149;0.0808;0.0513
0.5578;0.2638;0.1807;0.14455;0.10945;0.0802;0.05345
0.5098;0.2647;0.18265;0.1365;0.11135;0.0814;0.0546
0.52205;0.2774;0.1968;0.1429;0.11165;0.07115;0.04775
0.51125;0.26695;0.1933;0.13205;0.112;0.0766;0.05035
0.5128;0.26605;0.1765;0.13275;0.1233;0.0758;0.0455
0.5288;0.2637;0.18125;0.13235;0.10945;0.07435;0.04575
0.5288;0.2617;0.17505;0.1437;0.1142;0.0769;0.04895
0.51805;0.27265;0.17145;0.1371;0.1113;0.07415;0.0519
0.52;0.25905;0.1822;0.13665;0.1079;0.07635;0.05745
0.54805;0.26715;0.1738;0.14035;0.11765;0.07985;0.0494
0.505;0.26585;0.18325;0.1383;0.10805;0.0845;0.0491
0.50045;0.25925;0.18945;0.12965;0.11145;0.0841;0.05675
0.50125;0.25865;0.1836;0.1275;0.10955;0.07985;0.04835
0.52205;0.2646;0.1776;0.1295;0.1045;0.07525;0.047
0.5242;0.25765;0.18075;0.13135;0.12125;0.0742;0.05045
0.58;0.2694;0.1737;0.13305;0.1097;0.0739;0.0481
0.52205;0.27395;0.18375;0.1326;0.1174;0.07615;0.0462
0.52645;0.26265;0.18835;0.1346;0.11265;0.0806;0.04895
0.5162;0.25685;0.17395;0.1412;0.10865;0.0731;0.0482
0.52205;0.26225;0.18235;0.12905;0.11235;0.0754;0.051
0.505;0.27135;0.17375;0.1439;0.1129;0.07435;0.049
0.5098;0.2545;0.1688;0.1335;0.1129;0.0808;0.0501
0.5288;0.25975;0.1737;0.1389;0.115;0.08395;0.05355
0.60125;0.25935;0.17555;0.1332;0.11385;0.0764;0.04825
0.54805;0.26215;0.18045;0.1357;0.10955;0.0716;0.05265
