2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.5008;0.3349;0.1762;0.117;0.0946
0.5064;0.3397;0.1765;0.1147;0.0862
0.513;0.3474;0.1768;0.125;0.0898
0.4994;0.3315;0.1789;0.1224;0.0918
0.498;0.3354;0.1846;0.1151;0.0956
0.524;0.351;0.1758;0.1228;0.09
0.5256;0.3448;0.1864;0.126;0.0971
0.539;0.3488;0.1747;0.1254;0.0885
0.502;0.3358;0.1744;0.114;0.091
0.527;0.3359;0.1791;0.1184;0.0886
0.508;0.3522;0.1818;0.1313;0.0853
0.5;0.3358;0.1937;0.1176;0.0919
0.5286;0.3359;0.178;0.1264;0.0857
0.5;0.3411;0.1732;0.118;0.0885
0.499;0.3379;0.1702;0.1173;0.1066
0.5364;0.3414;0.1793;0.121;0.0896
0.5264;0.3503;0.1733;0.1175;0.0861
0.5352;0.3578;0.1746;0.1213;0.0995
0.51;0.3582;0.1768;0.1159;0.0996
0.4988;0.3336;0.1854;0.1157;0.0869
0.5002;0.3534;0.1727;0.1194;0.0879
0.4998;0.3541;0.1711;0.1135;0.0871
0.5144;0.3348;0.1668;0.1278;0.0985
0.5084;0.3492;0.175;0.1191;0.0952
0.524;0.3406;0.1758;0.1148;0.095
0.5242;0.3414;0.1786;0.1201;0.0914
0.5208;0.3366;0.1766;0.1186;0.0879
0.5048;0.3505;0.1749;0.1117;0.091
0.5126;0.341;0.1751;0.1184;0.0946
0.5004;0.3702;0.173;0.1178;0.091
0.513;0.3371;0.1774;0.1226;0.091
0.518;0.3608;0.1814;0.1148;0.0915
0.507;0.3423;0.1789;0.1218;0.094
0.5286;0.343;0.1828;0.1141;0.0895
0.5264;0.3394;0.1789;0.1193;0.0925
0.522;0.3434;0.1824;0.1207;0.0892
0.5024;0.3449;0.1789;0.1224;0.0912
0.5798;0.34;0.1818;0.1149;0.0943
0.528;0.3401;0.1813;0.1188;0.0938
0.5448;0.334;0.1822;0.1151;0.0995
0.53;0.3384;0.1698;0.1147;0.0976
0.499;0.3299;0.1852;0.1203;0.0867
0.526;0.3615;0.1735;0.1194;0.0906
0.5036;0.345;0.1703;0.1221;0.0872
0.534;0.3364;0.1893;0.1193;0.0935
0.5308;0.3581;0.1676;0.1261;0.0872
0.501;0.3344;0.1786;0.1154;0.0923
0.536;0.3425;0.1914;0.1235;0.0879
0.5036;0.3445;0.1871;0.1298;0.0877
0.501;0.3335;0.1874;0.1122;0.0858
0.5072;0.3351;0.1839;0.1164;0.088
0.508;0.3413;0.173;0.1302;0.1046
0.511;0.3588;0.1749;0.1226;0.0962
0.5468;0.3348;0.1825;0.1241;0.0929
0.502;0.3548;0.1705;0.1171;0.0971
0.5144;0.3545;0.1751;0.1217;0.0858
0.5108;0.3349;0.1738;0.1177;0.0853
0.539;0.3372;0.169;0.1179;0.0948
0.5008;0.3539;0.1723;0.1188;0.0932
0.512;0.3542;0.1735;0.1229;0.0892
0.5054;0.336;0.1738;0.1253;0.0876
0.5064;0.3555;0.1787;0.1205;0.0899
0.501;0.3373;0.1785;0.126;0.0917
0.504;0.3427;0.1651;0.1205;0.0889
0.5056;0.3432;0.1681;0.1159;0.0943
0.5008;0.3387;0.1679;0.1107;0.0908
0.5004;0.3335;0.1734;0.1285;0.0899
0.5024;0.3544;0.1729;0.1166;0.087
0.5126;0.336;0.1764;0.1243;0.0894
0.524;0.3761;0.1693;0.1223;0.0937
0.4952;0.3464;0.1754;0.1203;0.0949
0.5096;0.3536;0.1736;0.1213;0.0883
0.5;0.3524;0.1694;0.1241;0.0898
0.5234;0.3381;0.186;0.1267;0.0902
0.524;0.3375;0.168;0.1234;0.092
0.5384;0.355;0.1715;0.1217;0.0884
0.512;0.343;0.1933;0.1287;0.0997
0.5168;0.3513;0.1797;0.1143;0.0916
0.5028;0.3529;0.1747;0.1165;0.0862
0.542;0.3555;0.1993;0.1175;0.0889
0.5544;0.3351;0.175;0.1174;0.089
0.5032;0.336;0.1703;0.1166;0.093
0.5024;0.3477;0.1692;0.1163;0.0996
0.499;0.3538;0.1866;0.122;0.0898
0.5216;0.3424;0.1855;0.1136;0.0961
0.5264;0.3404;0.1716;0.1284;0.0975
0.5;0.3332;0.1689;0.1203;0.0945
0.545;0.3455;0.1802;0.1257;0.0937
0.5192;0.336;0.1763;0.1161;0.0974
0.5198;0.3495;0.1791;0.1163;0.0877
0.5084;0.3524;0.1766;0.1166;0.0985
0.5198;0.3471;0.176;0.1154;0.0922
0.5036;0.3572;0.1716;0.1191;0.0867
0.5064;0.3456;0.1681;0.1198;0.0931
0.518;0.3553;0.1707;0.1204;0.0895
0.542;0.3368;0.1816;0.1292;0.0928
0.5192;0.3429;0.1988;0.1231;0.0959
0.508;0.344;0.1967;0.1204;0.087
0.4992;0.3573;0.18;0.1172;0.0962
0.542;0.3596;0.178;0.1237;0.0974
0.516;0.3361;0.173;0.1208;0.0862
0.497;0.3453;0.1709;0.1174;0.0867
0.5128;0.3626;0.174;0.1131;0.0919
0.522;0.3413;0.1733;0.1184;0.0914
0.5576;0.3492;0.1748;0.1156;0.0935
0.5132;0.3461;0.1961;0.1251;0.089
0.536;0.335;0.1774;0.1208;0.0959
0.522;0.356;0.1713;0.1219;0.0902
0.536;0.3361;0.1737;0.1215;0.0892
0.536;0.342;0.1806;0.1207;0.0893
0.4996;0.3333;0.1745;0.1161;0.0912
0.4988;0.3649;0.1789;0.1193;0.0906
0.5004;0.3427;0.1702;0.1221;0.0949
0.5576;0.3659;0.1727;0.1163;0.0859
