2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
10113.0967336683;6022.4667839196;4017.27422110553;3626.31206030151;3537.52572864322
10413.1023115578;6135.49291457286;4016.01773869347;3608.51507537688;3498.0975879397
10869.5967839196;6453.87658291457;4023.2659798995;3675.8716080402;3513.49386934673
10060.3023115578;6012.34577889447;4051.18909547739;3670.54266331658;3526.47703517588
10072.8683919598;6013.82015075377;4116.88386934673;3624.80688442211;3540.18959798995
11278.1033165829;6435.17693467337;4025.89110552764;3669.77864321608;3510.53979899497
11514.15959799;6261.80904522613;4137.40869346734;3688.83346733668;3541.03412060302
12050.9877386935;6409.43663316583;4010.27683417085;3677.52457286432;3509.79909547739
10173.4874874372;6046.02130653266;4003.40206030151;3620.02386934673;3516.04005025126
11514.15959799;6030.24326633166;4048.87572864322;3629.83683417085;3506.55427135678
10476.3095979899;6560.58613065327;4089.30964824121;3730.67984924623;3491.71844221106
10113.0967336683;6031.11703517588;4230.82195979899;3637.88045226131;3523.01316582915
11514.15959799;6047.39542713568;4034.9116080402;3700.34010050251;3492.42984924623
10052.7638693467;6201.83964824121;4012.23783919598;3632.91497487437;3512.35427135678
10090.4651256281;6079.95582914573;3947.90035175879;3626.89396984925;3598.26623115578
11908.6151256281;6286.87442211055;4047.13874371859;3652.28391959799;3510.86135678392
11393.4593467337;6477.14015075377;3977.47954773869;3639.87964824121;3495.97492462312
11908.6151256281;6632.04100502513;3999.73653266332;3657.26768844221;3558.5735678392
10618.1218592965;6684.17030150754;4016.71693467337;3616.81834170854;3567.84663316583
10052.7638693467;5996.27180904523;4126.09391959799;3630.75371859297;3501.93537688442
10060.3023115578;6551.16206030151;3977.18085427136;3649.94668341709;3504.76311557789
10050.2512562814;6539.39301507538;3972.42829145729;3605.10487437186;3496.84115577889
10780.5789447236;5999.49748743719;3923.421959799;3692.71763819095;3554.90502512563
10476.3095979899;6477.14015075377;4008.34889447236;3647.04211055276;3534.70095477387
11278.1033165829;6145.92809045226;4035.17773869347;3608.89296482412;3537.60603015075
11278.1033165829;6206.04703517588;4038.18979899497;3648.34120603015;3522.53055276382
11168.0643718593;6047.25070351759;4024.77748743719;3647.90447236181;3503.03608040201
10302.0100502513;6421.20748743719;3999.52849246231;3605.16552763819;3518.39718592965
10696.7606030151;6187.02959798995;4041.33954773869;3635.12949748744;3528.7727638191
10072.8683919598;6994.79542713568;3997.35824120603;3642.44;3519.36909547739
10869.5967839196;6069.54778894472;4026.84256281407;3673.70502512563;3520.59969849246
10963.8352261307;6750.42417085427;4069.23824120603;3615.85954773869;3515.80015075377
10413.1023115578;6223.52467336683;4047.59010050251;3659.99271356784;3531.34618090452
11514.15959799;6239.80849246231;4075.40447236181;3609.86522613065;3509.52381909548
11393.4593467337;6153.39100502513;4046.21693467337;3639.0208040201;3524.32512562814
11168.0643718593;6262.92809045226;4093.5772361809;3661.54206030151;3506.63809045226
10211.2611055276;6304.64467336683;4056.62959798995;3658.06286432161;3513.52326633166
14198.9949748744;6172.91663316583;4078.40487437186;3618.15010050251;3537.31824120603
11514.15959799;6179.97130653266;4086.50949748744;3639.45010050251;3535.27788944724
