2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.62;0.67;0.7;0.7075;0.629090909090909
0.64;0.79;0.712;0.7525;0.629090909090909
0.52;0.7;0.7;0.6625;0.694545454545454
0.56;0.595;0.7;0.69625;0.650909090909091
0.66;0.715;0.664;0.60625;0.694545454545454
0.84;0.715;0.628;0.67375;0.738181818181818
0.6;0.715;0.7;0.71875;0.716363636363636
0.6;0.745;0.712;0.64;0.650909090909091
0.66;0.76;0.712;0.65125;0.749090909090909
0.64;0.7;0.808;0.7525;0.792727272727273
0.78;0.7;0.748;0.67375;0.672727272727273
0.82;0.64;0.688;0.6625;0.661818181818182
0.8;0.73;0.736;0.67375;0.749090909090909
0.62;0.73;0.652;0.78625;0.672727272727273
0.72;0.61;0.64;0.69625;0.650909090909091
0.62;0.7;0.736;0.71875;0.694545454545454
0.78;0.655;0.724;0.6175;0.727272727272727
0.82;0.58;0.784;0.74125;0.716363636363636
0.66;0.73;0.664;0.685;0.749090909090909
0.78;0.715;0.796;0.685;0.727272727272727
0.56;0.775;0.736;0.7525;0.694545454545454
0.76;0.745;0.736;0.73;0.749090909090909
0.82;0.73;0.712;0.7525;0.770909090909091
0.62;0.685;0.76;0.71875;0.738181818181818
0.72;0.7;0.772;0.7075;0.738181818181818
0.72;0.655;0.616;0.6625;0.607272727272727
0.62;0.745;0.724;0.685;0.705454545454545
0.76;0.76;0.688;0.685;0.683636363636364
0.72;0.655;0.568;0.685;0.694545454545454
0.62;0.82;0.736;0.64;0.803636363636364
0.68;0.685;0.772;0.69625;0.650909090909091
0.74;0.82;0.676;0.64;0.727272727272727
0.72;0.64;0.724;0.775;0.738181818181818
0.72;0.7;0.7;0.80875;0.661818181818182
0.74;0.745;0.76;0.60625;0.770909090909091
0.7;0.685;0.712;0.71875;0.705454545454545
0.76;0.775;0.712;0.7975;0.661818181818182
0.68;0.745;0.736;0.7075;0.727272727272727
0.68;0.595;0.688;0.65125;0.727272727272727
0.68;0.76;0.748;0.685;0.738181818181818
0.66;0.73;0.676;0.7525;0.749090909090909
0.76;0.655;0.772;0.78625;0.727272727272727
0.7;0.79;0.664;0.685;0.672727272727273
0.7;0.715;0.796;0.7525;0.814545454545454
0.7;0.625;0.736;0.71875;0.650909090909091
0.78;0.685;0.748;0.62875;0.694545454545454
0.76;0.595;0.688;0.71875;0.683636363636364
0.78;0.625;0.748;0.65125;0.64
0.62;0.7;0.688;0.69625;0.694545454545454
0.72;0.7;0.64;0.62875;0.727272727272727
0.62;0.685;0.712;0.74125;0.770909090909091
0.7;0.67;0.712;0.65125;0.747
0.6;0.67;0.592;0.76375;0.736
0.78;0.805;0.76;0.69625;0.683636363636364
0.62;0.73;0.688;0.7975;0.683636363636364
0.74;0.625;0.724;0.6625;0.76
0.74;0.73;0.748;0.69625;0.661818181818182
0.72;0.775;0.652;0.7975;0.770909090909091
0.72;0.73;0.64;0.73;0.749090909090909
0.76;0.745;0.676;0.71875;0.738181818181818
0.6;0.595;0.628;0.69625;0.661818181818182
0.68;0.67;0.7;0.685;0.596363636363636
0.72;0.775;0.664;0.67375;0.694545454545454
0.66;0.61;0.652;0.71875;0.705454545454545
0.74;0.715;0.736;0.685;0.76
0.74;0.715;0.7;0.6175;0.825454545454545
0.74;0.655;0.772;0.73;0.814545454545454
0.82;0.64;0.688;0.7525;0.705454545454545
0.76;0.85;0.688;0.685;0.738181818181818
0.8;0.715;0.616;0.685;0.607272727272727
0.68;0.73;0.712;0.71875;0.650909090909091
0.68;0.7;0.76;0.595;0.705454545454545
0.7;0.79;0.664;0.7075;0.749090909090909
0.72;0.715;0.724;0.7975;0.618181818181818
0.68;0.73;0.76;0.64;0.76
0.64;0.79;0.676;0.6175;0.738181818181818
0.72;0.655;0.688;0.685;0.672727272727273
0.74;0.715;0.712;0.7525;0.727272727272727
0.78;0.61;0.784;0.7075;0.629090909090909
0.74;0.685;0.664;0.74125;0.749090909090909
0.62;0.745;0.688;0.685;0.683636363636364
0.68;0.7;0.604;0.71875;0.607272727272727
0.74;0.745;0.688;0.60625;0.749090909090909
0.64;0.73;0.688;0.71875;0.705454545454545
0.7;0.76;0.736;0.6625;0.683636363636364
0.7;0.76;0.76;0.6625;0.705454545454545
0.52;0.7;0.784;0.67375;0.803636363636364
0.72;0.745;0.76;0.6625;0.683636363636364
0.72;0.61;0.676;0.6175;0.770909090909091
0.64;0.775;0.64;0.73;0.618181818181818
0.66;0.7;0.676;0.7525;0.76
0.6;0.745;0.628;0.73;0.683636363636364
0.74;0.715;0.664;0.65125;0.672727272727273
0.72;0.745;0.796;0.67375;0.825454545454545
0.7;0.715;0.664;0.6625;0.694545454545454
0.54;0.745;0.688;0.71875;0.705454545454545
0.8;0.745;0.784;0.71875;0.683636363636364
0.82;0.715;0.736;0.74125;0.716363636363636
0.66;0.835;0.712;0.67375;0.738181818181818
0.66;0.67;0.616;0.60625;0.705454545454545
0.72;0.79;0.604;0.80875;0.749090909090909
0.6;0.76;0.676;0.74125;0.618181818181818
0.72;0.67;0.7;0.71875;0.694545454545454
0.62;0.745;0.7;0.73;0.770909090909091
0.64;0.655;0.712;0.7075;0.749090909090909
