2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.50125;0.33585;0.17755;0.11765;0.09645
0.5072;0.34015;0.17755;0.11515;0.08805
0.5162;0.3506;0.17755;0.1266;0.0917
0.5002;0.33545;0.1803;0.1251;0.0936
0.50045;0.33555;0.18575;0.11775;0.0972
0.5242;0.35195;0.1782;0.1241;0.09085
0.5288;0.345;0.18815;0.12805;0.0973
0.5392;0.34915;0.17675;0.1263;0.09075
0.50245;0.3366;0.17575;0.1169;0.0924
0.5288;0.33605;0.1801;0.11865;0.08975
0.50845;0.3554;0.18395;0.13355;0.0866
0.50125;0.33615;0.1948;0.1198;0.09315
0.5288;0.33685;0.17925;0.1286;0.08675
0.50005;0.34265;0.17645;0.1193;0.0916
0.5008;0.33805;0.17065;0.11815;0.10865
0.53645;0.34505;0.18025;0.12215;0.0906
0.52645;0.35165;0.1737;0.12035;0.0874
0.53645;0.3602;0.17605;0.1231;0.1014
0.51125;0.35915;0.1771;0.11665;0.1007
0.50005;0.33485;0.18565;0.1189;0.08905
0.5002;0.35375;0.1735;0.1211;0.0898
0.5;0.35445;0.1727;0.1145;0.0877
0.51445;0.335;0.1682;0.12825;0.09925
0.50845;0.35165;0.1759;0.12125;0.0958
0.5242;0.34065;0.17795;0.11535;0.0959
0.5242;0.3422;0.17915;0.12105;0.09335
0.52205;0.33665;0.1778;0.1215;0.0892
0.505;0.35115;0.1754;0.11455;0.0925
0.5128;0.34165;0.17815;0.1196;0.0952
0.50045;0.37115;0.17475;0.1203;0.0924
0.5162;0.33745;0.1781;0.12365;0.09275
0.51805;0.36145;0.183;0.1162;0.0925
0.5072;0.34355;0.1809;0.1229;0.095
0.5288;0.34335;0.18385;0.11525;0.0903
0.52645;0.34045;0.17985;0.12015;0.09355
0.52205;0.34435;0.1837;0.1225;0.09015
0.5032;0.34615;0.181;0.1237;0.09185
0.58;0.34105;0.1826;0.1167;0.0952
0.5288;0.34135;0.1833;0.11995;0.09525
0.545;0.33595;0.1825;0.1159;0.10065
0.53125;0.3386;0.1706;0.11575;0.0997
0.5008;0.33445;0.1862;0.1219;0.08825
0.52645;0.36335;0.17435;0.1206;0.0921
0.50405;0.34545;0.171;0.12335;0.088
0.53645;0.3366;0.1898;0.11985;0.09515
0.53125;0.35905;0.1705;0.1282;0.08835
0.5018;0.33655;0.17945;0.1172;0.09325
0.53645;0.34345;0.1918;0.1259;0.0903
0.50405;0.34515;0.1888;0.1304;0.09025
0.5018;0.33715;0.18815;0.11315;0.0878
0.50845;0.33695;0.1843;0.1175;0.08895
0.50845;0.34265;0.17445;0.13115;0.1052
0.5128;0.3606;0.177;0.12495;0.098
0.54805;0.33495;0.18295;0.1256;0.09385
0.50245;0.35615;0.17115;0.11775;0.09785
0.51445;0.35485;0.17725;0.12325;0.08675
0.51125;0.33555;0.17405;0.11855;0.0867
0.5392;0.3378;0.17025;0.1187;0.09515
0.5008;0.35395;0.17485;0.1199;0.09465
0.5128;0.35555;0.1745;0.1247;0.08955
0.5072;0.33615;0.17475;0.126;0.08885
0.5072;0.35555;0.18065;0.1212;0.0928
0.5018;0.33765;0.1819;0.12725;0.0933
0.50405;0.34335;0.16715;0.12185;0.09055
0.50605;0.34335;0.16925;0.1165;0.0954
0.50125;0.34065;0.1687;0.11225;0.0913
0.50045;0.33485;0.1742;0.12935;0.0909
0.50245;0.35485;0.1743;0.1174;0.0883
0.5128;0.33695;0.17725;0.1252;0.09045
0.5242;0.37645;0.1727;0.12375;0.09605
0.5002;0.3472;0.1758;0.1214;0.0963
0.5098;0.35455;0.1744;0.12255;0.0891
0.50005;0.35245;0.1702;0.12495;0.09205
0.5242;0.33915;0.18695;0.12785;0.09335
0.5242;0.34035;0.1702;0.12605;0.093
0.5392;0.35565;0.1718;0.1229;0.09005
0.5128;0.34365;0.1956;0.1301;0.1008
0.51805;0.35265;0.1815;0.11545;0.09355
0.50405;0.35395;0.1767;0.118;0.0879
0.54205;0.35555;0.20015;0.11855;0.08975
0.55445;0.33515;0.17815;0.11825;0.09035
0.5032;0.3374;0.17245;0.11805;0.0945
0.50245;0.35165;0.1706;0.11855;0.1003
0.5008;0.35485;0.18715;0.12285;0.0911
0.52205;0.3432;0.1863;0.11675;0.0975
0.52645;0.34105;0.1731;0.1297;0.0982
0.505;0.33385;0.16995;0.12185;0.09515
0.545;0.34555;0.18175;0.1265;0.0948
0.52;0.33845;0.1769;0.11785;0.09815
0.52;0.34985;0.1808;0.1173;0.0889
0.50845;0.35455;0.17815;0.11875;0.0994
0.52;0.34755;0.17655;0.11595;0.0936
0.50605;0.3574;0.174;0.12;0.0875
0.5072;0.34595;0.1691;0.1222;0.09395
0.51805;0.35655;0.17095;0.122;0.09065
0.54205;0.3386;0.18315;0.1308;0.09495
0.52;0.34335;0.1994;0.1244;0.09835
0.50845;0.3442;0.1976;0.1205;0.0881
0.50045;0.35745;0.1814;0.118;0.09725
0.54205;0.3622;0.17855;0.1282;0.09795
0.5162;0.33765;0.17605;0.12105;0.0866
0.5002;0.34565;0.1722;0.1186;0.0877
0.5128;0.3664;0.1757;0.11475;0.09375
0.52205;0.34165;0.1738;0.1208;0.0926
0.5578;0.35045;0.17595;0.11665;0.0945
0.51445;0.34615;0.1969;0.1268;0.09075
0.5392;0.33535;0.17915;0.1215;0.09775
0.52205;0.3592;0.17185;0.123;0.0916
0.53645;0.33715;0.17465;0.1234;0.0906
0.5392;0.34205;0.1806;0.1224;0.09005
0.50005;0.33485;0.1758;0.1165;0.09165
0.50005;0.36495;0.1808;0.12225;0.0919
0.50045;0.34405;0.174;0.1234;0.0966
