2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.19;0.37;1.83;2.58;6.98
0.18;0.23;1.63;2.77;7.58
0.24;0.44;1.47;3.43;9.36
0.22;0.51;1.42;4.66;8.16
0.17;0.49;1.62;5.42;4.13
0.08;0.34;1.91;3.38;6.04
0.2;0.34;2.09;3.74;6.32
0.2;0.29;1.53;5.16;10.44
0.17;0.34;1.75;4.39;3.45
0.18;0.35;1.3;2.82;5.93
0.11;0.32;1.23;5.15;5.7
0.09;0.54;1.8;5.11;7.92
0.1;0.42;2.17;3.98;6.64
0.19;0.33;2.39;2.39;7.15
0.14;0.53;1.85;3.19;10.48
0.19;0.32;1.78;3.68;8.56
0.11;0.38;1.96;4.19;6.42
0.09;0.52;1.08;3.08;5.93
0.17;0.33;2.34;4.86;10.38
0.11;0.4;0.87;5.35;7.73
0.22;0.3;2.11;2.08;8.56
0.12;0.38;1.99;3.8;6.02
0.09;0.36;1.21;3.31;7.49
0.19;0.42;1.3;2.34;7.59
0.14;0.32;1.25;5.15;5.59
0.14;0.44;2.6;3.67;10.04
0.19;0.38;1.88;4.93;7.13
0.12;0.37;2.02;5.37;7.64
0.14;0.41;2;1.59;7.26
0.19;0.24;1.11;5.42;5.77
0.16;0.39;1.68;3.95;8.02
0.13;0.18;1.35;5.35;4.22
0.14;0.39;1.94;2.31;6.16
0.14;0.41;1.55;3.25;8.71
0.13;0.26;1.26;4.67;5.57
0.15;0.45;1.42;3.97;8.37
0.12;0.21;1.41;2.01;8.77
0.16;0.41;1.49;3.12;4.95
0.16;0.69;1.99;3.93;6.92
0.16;0.31;1.44;3.03;7.08
0.17;0.3;1.42;2.8;8.21
0.12;0.44;0.72;2.84;7.55
0.15;0.23;1.86;3.94;6.55
0.15;0.37;0.82;3.01;4.84
0.15;0.52;1.32;4.82;7.38
0.11;0.39;2.01;4.21;5.9
0.12;0.51;1.66;2.66;9.07
0.11;0.43;1.73;4.16;9.6
0.19;0.5;2.02;4.09;7.74
0.14;0.32;1.86;3.79;10.25
0.19;0.45;1.15;3.93;5.66
0.15;0.49;2.35;6.55;5.01
0.2;0.4;1.98;3.51;4.79
0.11;0.31;1.11;3.22;6.61
0.19;0.33;1.79;3.15;6.44
0.13;0.37;1.85;4.33;7.47
0.13;0.3;1.25;3.66;6.3
0.14;0.24;2.09;3.51;5.85
0.14;0.3;2.58;3.73;7.57
0.12;0.26;1.66;3.09;6.38
0.2;0.57;2.03;4.4;9.15
0.16;0.43;1.46;3.94;13.12
0.14;0.39;2.29;3.26;9.92
0.17;0.47;1.83;3.98;7.34
0.13;0.37;1.75;5;5.44
0.13;0.37;1.69;5.51;2.91
0.13;0.53;1.28;3.6;2.06
0.09;0.39;1.84;2.57;8.04
0.12;0.19;2.21;4.09;8.19
0.1;0.31;2.12;4.13;12.18
0.16;0.42;1.34;3.97;8.6
0.16;0.44;1.3;3.8;5.64
0.15;0.23;2.5;3.05;7.09
0.14;0.37;0.85;3.25;9.32
0.16;0.3;1.85;6.7;5.28
0.18;0.29;1.68;4.55;6.7
0.14;0.53;2.4;2.52;6.91
0.13;0.25;2;3.67;5.22
0.11;0.5;1.42;3.58;6.77
0.13;0.33;1.64;3.92;4.33
0.19;0.41;2.11;4.96;5.15
0.16;0.32;1.95;4.51;8.79
0.13;0.26;1.62;5.64;6.21
0.18;0.27;1.47;2.76;6.28
0.15;0.28;1.42;5.2;10.24
0.15;0.31;2.45;3.34;5.01
0.24;0.35;1.57;4.51;3.19
0.14;0.35;1.88;4.03;4.46
0.14;0.62;2.32;6.96;6.46
0.18;0.21;2.3;3.58;9.23
0.17;0.26;1.49;2.33;6.04
0.2;0.2;1.65;4.5;7.24
0.13;0.4;2.36;3.54;8.9
0.14;0.29;1.4;3.83;4.05
0.15;0.37;1.62;3.68;7.67
0.23;0.26;1.81;4.29;6.35
0.1;0.23;1.72;2.94;7.22
0.09;0.34;1.69;2.93;7.58
0.17;0.14;1.62;4.1;4.24
0.17;0.52;2.31;4.38;6.99
0.14;0.35;1.39;1.47;8.03
0.2;0.31;1.72;3.86;8.35
0.14;0.4;1.5;4.94;6.94
0.19;0.35;1.74;2.54;6.88
0.18;0.32;1.5;4.27;5.81
0.13;0.43;1.42;4.56;8.98
0.1;0.39;1.42;3.62;6.44
0.19;0.46;0.85;4.08;8.97
0.11;0.26;1.91;5.78;8.71
0.14;0.21;2.62;3.06;6.38
0.19;0.54;2.09;4.51;7.46
0.19;0.37;2.18;2.6;10.32
0.15;0.32;1.16;2.54;10.93
0.18;0.38;1.37;4.65;6.94
0.12;0.31;1.74;5.76;6.29
0.15;0.37;1.59;5.51;7.27
0.12;0.56;1.09;4.7;4.66
0.21;0.39;2;3.42;8.53
0.15;0.45;1.67;3.81;10.6
0.11;0.45;1.65;3.23;10.26
0.14;0.43;1.48;3.67;6.07
0.14;0.2;1.25;3.72;6.23
0.16;0.34;2.26;4.55;8.39
0.14;0.4;1.83;4.34;7.7
0.11;0.19;2.73;5.7;4.62
0.11;0.26;1.8;5.05;7.61
0.13;0.4;1.69;3.18;7.55
0.12;0.39;1.73;1.93;9.94
0.12;0.54;1.39;5.73;6.91
0.17;0.45;1.96;3.56;8.67
0.13;0.51;1.24;5.4;6.57
0.12;0.24;1.71;3.68;4.95
0.25;0.34;1.71;4.63;7.63
0.18;0.45;1.36;3.31;6.47
0.12;0.47;1.86;3.05;9.94
