2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
10062.52;5828.78945;3856.8314;3316.2876;3456.3164
10360.9216;6167.17825;3951.37265;3566.81525;4157.525
10814.212;6610.9672;3947.4276;3704.3207;3061.0206
10009.9976;5609.88725;4250.73025;3655.2116;3878.3378
10022.482;5917.7198;4137.5785;3470.10385;3693.317
11221.616;6591.1366;3810.4055;3814.262;3409.7813
11454.7456;6286.48;4096.515;4269.7238;3440.59185
11990.576;6404.249;3875.57125;3149.6259;3229.13465
10122.598;6109.992;4055.384;3386.244;3366.4892
11455.552;6070.59125;3647.53385;3417.2241;3325.138
10423.852;6161.3832;4402.7789;3802.24345;3634.34995
10062.5;5911.791;4351.98455;4018.5646;4127.51225
11456.4736;6201.81845;4017.261;3435.7452;3186.24685
10002.5;5988.84165;3713.6884;3418.1721;3928.77515
10039.984;6123.04325;3981.836;3546.60345;3993.2287
11849.0356;6025.304;3762.03445;3452.6545;3215.3974
11336.4656;6453.53365;3938.70665;3643.56285;3777.41815
11848.1608;6352.6496;3626.0768;3653.19905;3287.09565
10564.75;6493.2882;4088.4293;3384.39945;3703.3512
10002.4988;5744.8792;4023.8677;3109.60415;3018.34695
10010.0008;6618.695;3801.71995;4006.8782;3283.47725
10000;6401.41105;3613.26465;3347.75705;3088.66465
10726.6616;6011.495;4040.0947;3620.4744;3442.51685
10423.9196;6811.2132;4112.4974;3782.51955;3523.6705
11221.616;6162.6944;3460.1876;3642.4766;3647.1884
11221.7128;6273.3016;3973.1675;3803.66975;3769.2643
11111.6728;6064.5144;4300.72;3603.3718;3607.59155
10250.48;6569.05465;3985.87265;4172.21685;3064.8113
10643.2256;6331.028;4329.42145;3362.9214;3743.0527
10022.5036;6753.961;3808.6508;3280.8748;3360.514
10814.212;5923.69925;4227.3386;3489.7819;3348.7822
10908.998;6781.1708;3852.5745;3896.5969;3572.87265
10361.008;6330.41205;3533.92455;3773.4165;3426.3078
11456.4736;6332.2734;4171.6674;3374.66885;3338.38005
11336.4656;6263.776;4031.15965;3819.67935;3771.01795
11112.202;6214.0094;3830.981;3518.87585;3250.1576
10160.1536;6135.85145;3997.66605;3522.5354;3660.1634
14127.68;5933.0636;4023.3737;3223.63435;3185.36735
11456.128;6023.34145;4598.80515;3644.9162;3936.4322
12290.32;6212.831;3981.2739;3444.50655;3361.96445
11581.25;6024.9494;4135.9042;3254.46475;4365.8444
10039.984;5609.44325;4254.9144;3696.94035;3558.57945
11336.254;6800.14165;3993.99565;3659.8456;3744.4452
