2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.03;0.12;0.18;0.12;0.13
0.09;0.15;0.18;0.18;0.19
0.15;0.15;0.21;0.18;0.17
0.09;0.12;0.22;0.17;0.17
0.1;0.15;0.21;0.17;0.2
0.11;0.15;0.18;0.22;0.13
0.08;0.16;0.16;0.17;0.12
0.09;0.06;0.16;0.12;0.18
0.03;0.12;0.14;0.24;0.21
0.11;0.17;0.14;0.12;0.2
0.09;0.11;0.17;0.22;0.18
0.17;0.13;0.15;0.17;0.24
0.13;0.14;0.14;0.15;0.19
0.07;0.07;0.12;0.22;0.2
0.05;0.19;0.24;0.19;0.21
0.09;0.13;0.19;0.14;0.13
0.08;0.15;0.11;0.18;0.19
0.07;0.17;0.13;0.15;0.19
0.1;0.17;0.1;0.26;0.16
0.09;0.11;0.18;0.12;0.17
0.15;0.13;0.15;0.11;0.17
0.11;0.16;0.21;0.21;0.18
0.11;0.13;0.15;0.13;0.23
0.11;0.07;0.14;0.11;0.16
0.1;0.19;0.18;0.28;0.17
0.06;0.14;0.22;0.13;0.16
0.11;0.09;0.1;0.18;0.14
0.09;0.13;0.17;0.12;0.14
0.12;0.16;0.15;0.18;0.19
0.11;0.14;0.17;0.18;0.18
0.12;0.11;0.16;0.15;0.16
0.15;0.18;0.18;0.22;0.22
0.05;0.13;0.19;0.24;0.12
0.13;0.04;0.2;0.15;0.16
0.11;0.16;0.14;0.16;0.16
0.08;0.13;0.25;0.18;0.15
0.13;0.21;0.19;0.19;0.2
0.1;0.1;0.18;0.15;0.21
0.08;0.15;0.2;0.16;0.12
0.07;0.18;0.16;0.15;0.18
0.07;0.12;0.16;0.17;0.12
0.06;0.13;0.1;0.12;0.19
0.06;0.15;0.19;0.2;0.19
0.15;0.14;0.16;0.13;0.21
0.03;0.12;0.12;0.18;0.21
0.08;0.11;0.12;0.2;0.11
0.12;0.14;0.15;0.19;0.17
0.13;0.13;0.13;0.25;0.23
0.06;0.1;0.13;0.2;0.14
0.12;0.15;0.16;0.18;0.2
0.1;0.14;0.12;0.2;0.21
0.09;0.18;0.15;0.18;0.13
0.07;0.18;0.25;0.16;0.12
0.09;0.11;0.22;0.2;0.16
0.12;0.11;0.14;0.19;0.17
0.15;0.13;0.15;0.17;0.15
0.1;0.11;0.2;0.15;0.16
0.07;0.13;0.15;0.16;0.23
0.15;0.08;0.21;0.2;0.22
0.06;0.2;0.15;0.21;0.16
0.08;0.14;0.15;0.19;0.25
0.08;0.17;0.12;0.15;0.14
0.1;0.14;0.21;0.2;0.22
0.08;0.1;0.18;0.19;0.16
0.08;0.13;0.2;0.13;0.21
0.1;0.17;0.19;0.15;0.21
0.1;0.13;0.16;0.17;0.15
0.09;0.15;0.18;0.16;0.19
0.08;0.19;0.14;0.17;0.2
0.11;0.09;0.14;0.15;0.2
0.12;0.18;0.15;0.12;0.18
0.11;0.18;0.17;0.17;0.18
0.11;0.12;0.18;0.17;0.22
0.07;0.08;0.14;0.2;0.12
0.15;0.14;0.17;0.17;0.21
0.08;0.17;0.14;0.17;0.16
0.1;0.1;0.18;0.18;0.15
0.1;0.11;0.26;0.19;0.21
0.13;0.08;0.15;0.18;0.2
0.13;0.1;0.22;0.24;0.18
0.11;0.14;0.13;0.13;0.18
0.11;0.13;0.18;0.23;0.22
0.06;0.14;0.22;0.18;0.2
0.11;0.1;0.18;0.16;0.25
0.06;0.16;0.21;0.18;0.16
0.1;0.11;0.14;0.2;0.2
0.14;0.14;0.18;0.16;0.2
0.07;0.12;0.18;0.2;0.15
0.09;0.11;0.23;0.24;0.19
0.13;0.2;0.18;0.19;0.15
0.13;0.08;0.18;0.23;0.19
0.1;0.1;0.15;0.1;0.13
0.11;0.16;0.12;0.18;0.21
0.11;0.12;0.14;0.15;0.23
0.08;0.13;0.14;0.22;0.12
0.1;0.15;0.17;0.13;0.15
0.07;0.14;0.2;0.11;0.21
0.13;0.18;0.17;0.22;0.21
0.08;0.2;0.23;0.14;0.23
0.11;0.18;0.15;0.23;0.2
0.07;0.08;0.18;0.16;0.19
0.15;0.12;0.14;0.15;0.15
0.07;0.11;0.12;0.2;0.27
0.08;0.13;0.12;0.23;0.17
0.06;0.1;0.14;0.17;0.14
0.16;0.14;0.19;0.12;0.19
0.11;0.07;0.13;0.12;0.27
0.1;0.14;0.14;0.19;0.18
0.09;0.16;0.18;0.17;0.23
0.12;0.1;0.13;0.15;0.21
0.11;0.12;0.18;0.23;0.14
0.08;0.11;0.2;0.19;0.17
0.06;0.1;0.19;0.17;0.18
0.11;0.13;0.22;0.21;0.14
0.1;0.21;0.16;0.19;0.19
0.08;0.2;0.19;0.17;0.09
0.1;0.08;0.17;0.17;0.22
0.12;0.13;0.12;0.18;0.12
0.05;0.18;0.15;0.19;0.17
0.07;0.11;0.15;0.16;0.23
0.11;0.1;0.22;0.19;0.21
0.11;0.17;0.21;0.15;0.15
0.13;0.12;0.2;0.21;0.19
0.1;0.11;0.12;0.14;0.15
0.09;0.13;0.11;0.18;0.17
0.11;0.09;0.15;0.19;0.17
0.16;0.14;0.11;0.11;0.14
0.1;0.17;0.14;0.18;0.18
0.11;0.17;0.13;0.18;0.14
0.08;0.12;0.19;0.13;0.23
0.1;0.17;0.15;0.17;0.23
0.11;0.14;0.14;0.15;0.23
0.04;0.17;0.24;0.14;0.2
0.12;0.14;0.13;0.18;0.13
0.11;0.12;0.2;0.15;0.08
0.11;0.13;0.19;0.22;0.18
0.08;0.2;0.06;0.24;0.19
0.11;0.12;0.11;0.15;0.22
0.1;0.12;0.13;0.24;0.22
0.07;0.13;0.18;0.13;0.15
0.11;0.16;0.19;0.22;0.18
0.08;0.17;0.14;0.17;0.2
0.06;0.13;0.15;0.16;0.1
0.11;0.11;0.16;0.18;0.17
0.07;0.15;0.13;0.16;0.13
0.11;0.13;0.19;0.21;0.21
0.09;0.12;0.22;0.26;0.21
0.07;0.18;0.22;0.18;0.18
0.15;0.15;0.15;0.24;0.17
0.09;0.13;0.13;0.21;0.17
0.11;0.16;0.18;0.18;0.15
0.07;0.12;0.11;0.16;0.15
0.05;0.12;0.08;0.19;0.19
0.08;0.11;0.17;0.15;0.26
0.12;0.1;0.13;0.21;0.13
0.11;0.12;0.19;0.11;0.15
0.12;0.13;0.15;0.19;0.14
0.15;0.1;0.12;0.24;0.18
0.09;0.12;0.11;0.14;0.21
0.07;0.07;0.17;0.2;0.15
0.18;0.13;0.15;0.15;0.16
0.07;0.14;0.17;0.12;0.2
0.12;0.16;0.18;0.19;0.21
0.14;0.14;0.18;0.09;0.19
0.11;0.07;0.18;0.17;0.19
0.14;0.14;0.18;0.25;0.2
0.13;0.17;0.12;0.18;0.22
0.1;0.12;0.15;0.21;0.14
0.13;0.19;0.16;0.16;0.25
0.08;0.09;0.18;0.2;0.16
0.14;0.1;0.17;0.22;0.16
0.09;0.05;0.16;0.18;0.19
0.06;0.13;0.18;0.18;0.15
0.07;0.13;0.14;0.11;0.14
0.1;0.1;0.14;0.18;0.21
0.07;0.09;0.18;0.14;0.24
0.18;0.17;0.2;0.21;0.14
0.05;0.18;0.16;0.19;0.13
0.12;0.13;0.16;0.22;0.12
0.08;0.22;0.19;0.11;0.21
0.13;0.09;0.14;0.18;0.17
0.06;0.16;0.2;0.14;0.19
0.09;0.12;0.14;0.18;0.24
