2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
12198.8583417085;6745.09291457286;4474.76145728643;3683.00889447236;3570.67819095477
12198.8583417085;6115.4251758794;4000.49954773869;3635.78175879397;3517.12512562814
13203.5489949749;6238.90095477387;4089.03733668342;3687.59909547739;3565.16753768844
12198.8583417085;6927.9035678392;4024.11010050251;3628.10889447236;3503.12371859296
10090.4651256281;6115.4251758794;3942.92145728643;3682.32859296482;3544.28035175879
11168.0643718593;7035.56286432161;4078.46376884422;3647.99366834171;3560.15507537688
11771.7073366834;6503.78135678392;3984.26668341709;3634.42477386935;3493.74944723618
10963.8352261307;6172.3932160804;3973.89130653266;3692.28391959799;3521.35984924623
11168.0643718593;8466.50934673367;4208.57472361809;3652.61201005025;3537.92954773869
10963.8352261307;6065.0251758794;4008.34959798995;3644.73070351759;3509.80170854271
10618.1218592965;6344.16326633166;3991.92326633166;3614.2140201005;3543.63688442211
10963.8352261307;6065.70371859296;4019.05060301508;3633.87864321608;3495.20216080402
11908.6151256281;6749.52507537688;4048.04527638191;3667.13532663317;3510.07442211055
11908.6151256281;6449.69150753769;4061.74155778894;3613.71587939698;3549.54869346734
10963.8352261307;6911.08668341709;4075.2740201005;3662.50502512563;3516.04271356784
10254.0985427136;5990.61552763819;4009.09211055276;3643.5848241206;3534.0040201005
13021.9264321608;6147.45809045226;3968.03904522613;3675.40386934673;3532.64010050251
12198.8583417085;6465.38135678392;4113.76115577889;3621.31422110553;3554.9551758794
12050.9877386935;6175.26778894472;3980.86567839196;3671.4108040201;3528.83773869347
11640.2324120603;6074.42256281407;3946.44577889447;3660.60467336683;3508.3048241206
10254.0985427136;6161.70130653266;4077.4508040201;3607.89201005025;3518.14261306533
10618.1218592965;6177.16427135678;4001.71221105528;3683.99442211055;3532.10055276382
13203.5489949749;6030.24326633166;4004.7491959799;3654.46728643216;3571.17949748744
11640.2324120603;6471.04065326633;4053.25211055276;3640.18638190955;3507.72281407035
11514.15959799;6398.58236180905;3996.81512562814;3637.90738693467;3540.55567839196
13783.1726633166;6187.02959798995;4031.88829145729;3753.09075376884;3521.51030150754
10618.1218592965;6305.22055276382;3985.03713567839;3626.35668341709;3509.14065326633
10618.1218592965;5966.99120603015;4049.23864321608;3659.38884422111;3545.23065326633
10060.3023115578;5987.78798994975;3996.85914572864;3642.96216080402;3540.4608040201
12198.8583417085;6069.54778894472;4120.19753768844;3616.64809045226;3522.53376884422
10696.7606030151;6027.76185929648;3987.13809045226;3669.05653266332;3531.83326633166
11908.6151256281;6052.5940201005;4015.24165829146;3696.55120603015;3544.36090452261
11908.6151256281;6530.53412060302;4061.78738693467;3670.84256281407;3565.04849246231
10173.4874874372;6185.47216080402;3962.76487437186;3705.9227638191;3501.66733668342
10072.8683919598;6117.34577889447;3993.74507537688;3707.15226130653;3559.19507537688
