2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
25020.77;11414.9;4993.03;1953.715;1574.39
24970.31;9986.14;3312.605;1664.465;1549.065
27166.25;10034.805;3420.16;2144.6;1857.145
24970.31;11934.16;3519.34;1656.855;1269.205
20094.4;9826.525;3039.64;1700.97;1572.3
22597.49;12118.035;3390.885;2126.225;1390.33
24001.92;10989.915;3305.18;1583.99;953.015
22133.51;9684.25;3104.28;2015.085;1328.51
22632.77;15708.2;3813.75;2313.775;1513.385
22126.29;9657.025;2823.435;1670.41;1331.385
21329.75;10356.15;3132.035;1689.47;1572.3
22104.63;9436.94;3212.66;2038.095;1627.4
24279.23;11440.795;3099.235;1836.625;1307.01
24322.97;10501.455;3252.96;1625.935;1857.88
22147.95;12350.875;3459.77;1967.15;1250.36
20478.71;9133.155;2988.095;1477.265;1031.085
26843.52;10005.64;2777.55;2046.78;1431.76
24987.13;10875.6;3572.53;1736.855;1632.73
24625.6;9679.715;2880.7;2329.99;1222.24
23693.75;9544.19;2741.68;1555.075;1388.555
20473.85;9564.16;3217.28;1362.85;1019.4
21325.25;9767.335;3365.005;2254.72;1308.6
27215.25;9255.69;3128.185;1694.31;1750.785
23681.25;10657.81;3261.745;1343.335;1094.365
23398.4;10764.19;3144.03;2069.595;1368.825
28577.36;9802.505;3408.98;2151.56;1127.12
21325.25;9988.61;3064.84;1824.45;1220.74
21329.75;9182;3208.72;1658.36;1657.465
20023.52;9682.685;3012.62;1824.76;1646.315
24953.49;9605.115;3580.55;1676.355;1796.79
21505.28;9249.005;3024.42;1984.675;1305.72
24264.65;9395.555;3154.455;2327.17;1383.105
24337.55;10739.125;3368.635;2143.73;1516.71
20287.63;9567.64;2871.805;2252.17;1038.545
20053.01;9589.5;2767.65;2375.985;1273.56
20094.72;10361.2;3600.245;2035.425;1028.27
24279.23;10617.94;2912.9;1855.785;1351.6
20377.6;11379.12;3386.235;2176.605;1541.58
21160.32;9937.76;3105.36;2679.555;1061.51
22615.13;9272.125;2942.13;1775.29;1193.99
21713.77;11351.355;3436.215;2253.435;1081.125
23421.44;10341.45;3122.09;1522.6;1638.335
27698.24;10316.205;3261.575;1503.925;1474.77
20988.65;11268.06;3260.525;1902.985;1545.785
20149.25;9368.56;2715.045;1636.975;1293.95
21160.32;12312.4;2859.905;2002.3;917.56
20094.08;10233.755;3453.2;1642.37;1275.845
21696.43;9809.875;3155.79;2219.195;1445.695
20855.36;11547.785;2997.515;2296.825;1042.695
21905.12;10104.35;3300.81;1859.305;1404.41
23988.4;10682.1;3536.91;1860.32;1756.185
23126.39;9479.83;3021.08;1917.385;1214.015
22140.73;9628.07;3951.585;1622.765;1085.755
23693.75;10538.98;3295.555;1894.575;1323.535
21505.28;14467.16;3254.09;1993.265;1447.915
23656.25;9710.28;3871.875;1763.47;1386.395
21510.4;11257.765;3128;1608.505;1556.83
20717.53;10189.1;3289.815;1888.895;1478.98
21690.65;9859.285;3213.74;2006.685;1638.52
21520.64;11086.28;3016.88;1834.52;1617.325
21160.32;10838.875;2855.82;2052.155;1880.785
20592;10229;3369.465;1666.89;1351.21
21911.6;9331.1;3595.965;2012.81;2191.53
