2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.94;0.82;0.784;0.865;0.858181818181818
0.82;0.775;0.784;0.7975;0.792727272727273
0.7;0.775;0.748;0.7975;0.814545454545454
0.82;0.82;0.736;0.80875;0.814545454545454
0.8;0.775;0.748;0.80875;0.781818181818182
0.78;0.775;0.784;0.7525;0.858181818181818
0.84;0.76;0.808;0.80875;0.869090909090909
0.82;0.91;0.808;0.865;0.803636363636364
0.94;0.82;0.832;0.73;0.770909090909091
0.78;0.745;0.832;0.865;0.781818181818182
0.82;0.835;0.796;0.7525;0.803636363636364
0.66;0.805;0.82;0.80875;0.738181818181818
0.74;0.79;0.832;0.83125;0.792727272727273
0.86;0.895;0.856;0.7525;0.781818181818182
0.9;0.715;0.712;0.78625;0.770909090909091
0.82;0.805;0.772;0.8425;0.858181818181818
0.84;0.775;0.868;0.7975;0.792727272727273
0.86;0.745;0.844;0.83125;0.792727272727273
0.8;0.745;0.88;0.7075;0.825454545454545
0.82;0.835;0.784;0.865;0.814545454545454
0.7;0.805;0.82;0.87625;0.814545454545454
0.78;0.76;0.748;0.76375;0.803636363636364
0.78;0.805;0.82;0.85375;0.749090909090909
0.78;0.895;0.832;0.87625;0.825454545454545
0.8;0.715;0.784;0.685;0.814545454545454
0.88;0.79;0.736;0.85375;0.825454545454545
0.78;0.865;0.88;0.7975;0.847272727272727
0.82;0.805;0.796;0.865;0.847272727272727
0.76;0.76;0.82;0.7975;0.792727272727273
0.78;0.79;0.796;0.7975;0.803636363636364
0.76;0.835;0.808;0.83125;0.825454545454545
0.7;0.73;0.784;0.7525;0.76
0.9;0.805;0.772;0.73;0.869090909090909
0.74;0.94;0.76;0.83125;0.825454545454545
0.78;0.76;0.832;0.82;0.825454545454545
0.84;0.805;0.7;0.7975;0.836363636363636
0.74;0.685;0.772;0.78625;0.781818181818182
0.8;0.85;0.784;0.83125;0.770909090909091
0.84;0.775;0.76;0.82;0.869090909090909
0.86;0.73;0.808;0.83125;0.803636363636364
0.86;0.82;0.808;0.80875;0.869090909090909
0.88;0.805;0.88;0.865;0.792727272727273
0.88;0.775;0.772;0.775;0.792727272727273
0.7;0.79;0.808;0.85375;0.770909090909091
0.94;0.82;0.856;0.7975;0.770909090909091
0.84;0.835;0.856;0.775;0.88
0.76;0.79;0.82;0.78625;0.814545454545454
0.74;0.805;0.844;0.71875;0.749090909090909
0.88;0.85;0.844;0.775;0.847272727272727
0.76;0.775;0.808;0.7975;0.781818181818182
0.8;0.79;0.856;0.775;0.770909090909091
0.82;0.73;0.82;0.7975;0.858181818181818
0.86;0.73;0.7;0.82;0.869090909090909
0.82;0.835;0.736;0.775;0.825454545454545
0.76;0.835;0.832;0.78625;0.814545454545454
0.7;0.805;0.82;0.80875;0.836363636363636
0.8;0.835;0.76;0.83125;0.825454545454545
0.86;0.805;0.82;0.82;0.749090909090909
0.7;0.88;0.748;0.775;0.76
0.88;0.7;0.82;0.76375;0.825454545454545
0.84;0.79;0.82;0.78625;0.727272727272727
0.84;0.745;0.856;0.83125;0.847272727272727
0.8;0.79;0.748;0.775;0.76
0.84;0.85;0.784;0.78625;0.825454545454545
0.84;0.805;0.76;0.85375;0.770909090909091
0.8;0.745;0.772;0.83125;0.770909090909091
0.8;0.805;0.808;0.80875;0.836363636363636
0.82;0.775;0.784;0.82;0.792727272727273
0.84;0.715;0.832;0.80875;0.781818181818182
0.78;0.865;0.832;0.83125;0.781818181818182
0.76;0.73;0.82;0.865;0.803636363636364
0.78;0.73;0.796;0.80875;0.803636363636364
0.78;0.82;0.784;0.80875;0.76
0.86;0.88;0.832;0.775;0.869090909090909
0.7;0.79;0.796;0.80875;0.770909090909091
0.84;0.745;0.832;0.80875;0.825454545454545
0.8;0.85;0.784;0.7975;0.836363636363636
0.8;0.835;0.688;0.78625;0.770909090909091
0.74;0.88;0.82;0.7975;0.781818181818182
0.74;0.85;0.736;0.73;0.803636363636364
0.78;0.79;0.844;0.85375;0.803636363636364
0.78;0.805;0.784;0.74125;0.76
0.88;0.79;0.736;0.7975;0.781818181818182
0.78;0.85;0.784;0.82;0.727272727272727
0.88;0.76;0.748;0.7975;0.825454545454545
0.8;0.835;0.832;0.775;0.781818181818182
0.72;0.79;0.784;0.82;0.781818181818182
0.86;0.82;0.784;0.775;0.836363636363636
0.82;0.835;0.724;0.73;0.792727272727273
0.74;0.7;0.784;0.78625;0.836363636363636
0.74;0.88;0.784;0.74125;0.792727272727273
0.8;0.85;0.82;0.8875;0.858181818181818
0.78;0.76;0.856;0.7975;0.770909090909091
0.78;0.82;0.832;0.83125;0.749090909090909
0.84;0.805;0.832;0.7525;0.869090909090909
