2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.54205;0.36035;0.2122;0.1264;0.1027
0.54205;0.33905;0.176;0.11995;0.09235
0.56125;0.34385;0.1833;0.12705;0.10085
0.54205;0.36705;0.1775;0.1187;0.08935
0.5008;0.33905;0.1702;0.1271;0.0979
0.52205;0.36995;0.1812;0.12195;0.0994
0.5338;0.35285;0.1739;0.1188;0.0872
0.51805;0.34125;0.17295;0.12785;0.0934
0.52205;0.4122;0.1936;0.1215;0.09645
0.51805;0.33745;0.17615;0.121;0.09075
0.51125;0.34785;0.1746;0.1161;0.09695
0.51805;0.3374;0.1777;0.11855;0.0873
0.53645;0.36215;0.18035;0.125;0.0906
0.53645;0.35095;0.18195;0.11645;0.0975
0.51805;0.36625;0.1826;0.12515;0.09205
0.50405;0.33465;0.17645;0.121;0.0955
0.5578;0.3402;0.1726;0.1252;0.09525
0.54205;0.35165;0.1849;0.1176;0.1009
0.5392;0.34115;0.1739;0.1247;0.09485
0.53125;0.33765;0.1705;0.124;0.09015
0.50405;0.3408;0.1825;0.1149;0.0922
0.51125;0.34185;0.1754;0.12725;0.0946
0.56125;0.33605;0.1756;0.1231;0.1019
0.53125;0.35235;0.18105;0.1196;0.0903
0.5288;0.34915;0.17555;0.1196;0.09705
0.5722;0.34165;0.17945;0.13655;0.0927
0.51125;0.34585;0.1745;0.11815;0.0905
0.51125;0.33375;0.18075;0.124;0.09905
0.5002;0.33455;0.1754;0.1207;0.09685
0.54205;0.33745;0.1869;0.11675;0.09375
0.5128;0.33595;0.1748;0.12505;0.09505
0.53645;0.33695;0.17705;0.1278;0.09795
0.53645;0.35615;0.18105;0.1253;0.1024
0.50245;0.3418;0.172;0.1291;0.0885
0.50045;0.33955;0.1749;0.1306;0.0998
0.5008;0.34915;0.175;0.13105;0.09055
0.53645;0.3478;0.1716;0.1197;0.09605
0.5032;0.35965;0.1861;0.11755;0.09255
0.5098;0.34035;0.1732;0.1493;0.0907
0.52205;0.33395;0.1778;0.1222;0.0936
0.51445;0.35935;0.18295;0.1308;0.09555
0.5288;0.34885;0.1802;0.11995;0.09185
0.5648;0.34585;0.177;0.11805;0.09765
0.50845;0.3574;0.17545;0.1288;0.0914
0.50125;0.33655;0.17295;0.1195;0.09195
0.5098;0.37295;0.17585;0.1273;0.0875
0.5008;0.34585;0.18575;0.1147;0.0896
0.51445;0.34255;0.1767;0.11895;0.091
0.5072;0.36595;0.1788;0.1273;0.08925
0.5162;0.34435;0.18275;0.11705;0.09325
0.5338;0.34915;0.18645;0.1286;0.09325
0.52645;0.33605;0.17805;0.12795;0.0928
0.51805;0.33965;0.1903;0.11555;0.09285
0.53125;0.3534;0.1777;0.11995;0.0961
0.5128;0.3914;0.1826;0.12195;0.1023
0.53125;0.3394;0.18955;0.1135;0.09555
0.5128;0.35935;0.17885;0.1174;0.09905
0.50605;0.3446;0.18415;0.1162;0.0885
0.51445;0.34055;0.17315;0.12585;0.09535
0.5128;0.3562;0.17025;0.1178;0.0958
0.5098;0.35585;0.1718;0.1246;0.0932
0.505;0.3446;0.187;0.11535;0.0898
0.5162;0.33795;0.18245;0.12725;0.08725
0.5242;0.34;0.16905;0.12355;0.1095
0.5072;0.33765;0.1871;0.1252;0.09645
