2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.4584;1.0672;4.6582;12.5648;21.3608
0.4592;1.21;5.3882;12.2584;24.692
0.4388;1.1812;5.904;13.0072;25.4794
0.4584;1.036;5.842;12.6304;23.76
0.4992;1.2104;5.7496;15.0672;23.9218
0.478;1.0216;6.368;11.7344;19.9
0.4662;1.1104;5.5774;12.6328;25.3548
0.482;1.1952;5.6998;14.3836;25.0992
0.478;0.8736;5.4648;11.1512;23.916
0.482;1.2452;6.1092;13.3506;23.0232
0.49;1.156;5.3024;11.9672;22.7258
0.4824;1.237;5.464;14.098;24.0044
0.4636;1.0636;6.1588;12.356;23.2728
0.464;1.122;5.4096;13.618;21.484
0.482;1.0388;5.6136;9.79;23.245
0.4984;1.288;6.21;14.087;23.9608
0.444;1.201;5.8208;12.8676;22.296
0.4584;1.12;5.5158;11.58;25.608
0.4608;1.19;6.239;13.0196;26.1704
0.47;1.2328;5.5714;12.0068;23.5448
0.4972;1.1968;4.9456;14.2142;22.9912
0.4888;1.2124;5.78;10.7408;23.953
0.4388;1.2496;5.1164;13.67;25.293
0.4712;1.1202;5.928;14.5328;24.0048
0.4712;1.133;5.6116;12.9292;24.6408
0.428;1.1916;6.122;12.3928;23.9532
0.4888;1.1568;5.572;13.6104;23.2326
0.49;1.3528;5.86;12.45;24.922
0.5;1.2968;6.489;11.2096;26.1966
0.4584;1.2308;5.316;12.922;21.8248
0.488;1.25;5.7014;11.6832;24.2996
0.464;1.246;5.5362;12.826;22.037
0.464;1.1428;6.1204;12.22;22.797
0.4976;1.3064;6.6024;13.323;24.074
0.5;1.236;6.7692;12.926;29.7506
0.5;1.1292;5.137;12.5936;21.706
0.4648;1.1474;6.144;14.1208;24.868
0.4986;1.07;5.7184;12.7568;25.8456
0.491;1.2432;5.8522;9.7816;22.2172
0.4784;1.33;5.728;12.8904;24.0056
0.4856;1.07;6.1536;11.5096;25.2216
0.4714;1.13;5.7656;13.1362;21.8288
0.4352;1.1558;5.3152;13.448;29.1304
0.492;1.0808;5.718;13.0488;27.4128
0.4992;1.2488;6.3174;12.4752;21.775
0.491;1.016;6.4264;15.343;22.906
0.501;1.1552;5.214;12.5864;22.784
0.4868;1.2344;6.2328;12.99;23.1896
0.4928;1.13;6.247;10.7212;24.718
0.4856;1.166;5.5444;11.0696;21.7244
0.4664;1.1378;5.9486;11.2128;23.638
0.4748;1.2508;5.5048;11.542;26.8768
0.482;1.2076;5.3634;12.588;25.7472
0.4688;1.1166;5.1814;11.9844;25.0156
0.4874;0.94;5.7358;12.8376;24.708
0.4688;1.2608;6.4558;13.356;21.1936
0.489;1.0704;5.2634;12.4696;22.9544
0.494;1.1702;5.8192;13.1788;23.2298
0.486;1.2052;6.2516;12.5088;23.3764
0.489;1.0934;5.9296;13.586;26.78
0.491;1.0892;5.418;12.4284;23.7902
0.495;1.16;5.932;12.4592;27.276
0.4856;1.2288;5.1872;14.588;22.9868
0.476;1.2008;6.3764;12.0424;23.062
0.4936;1.2768;5.2616;11.298;20.57
0.4422;1.1238;5.745;11.4812;24.456
0.4976;1.21;6.0264;11.9536;22.6922
0.4888;1.1416;5.6404;11.7432;22.3304
0.497;1.1292;6.156;12.0634;28.7116
0.4544;0.976;5.905;12.54;26.0678
0.491;1.1046;5.9134;13.388;22.972
0.4688;1.272;6.2972;12.3568;22.2376
0.492;1.1112;5.5468;12.0072;24.77
0.4524;1.2888;7.0066;14.1476;20.6016
0.4988;1.2308;6.12;12.205;27.724
0.4846;1.1712;5.4048;11.9616;24.8088
0.443;1.259;6.076;13.172;27.2018
0.4958;1.0288;6.2896;13.1064;24.6936
0.502;1.0044;5.7248;11.8848;21.1296
0.4844;1.196;5.4512;15.716;22.388
0.458;1.1104;5.7078;13.403;22.5768
0.458;1.2432;6.1692;12.4802;20.6726
0.4766;1.0314;4.96;13.7048;26.4412
0.498;1.1888;5.3928;12.444;22.189
0.4976;1.1568;4.992;11.7448;25.496
0.472;1.1432;5.8706;12.9666;21.1262
0.4978;0.9408;5.4904;14.103;22.668
0.4784;1.1;6.6154;14.6854;25.5544
0.4952;1.168;5.738;12.1;23.056
0.458;1.3638;5.716;12.601;20.6616
0.4792;1.3064;5.292;9.4608;26.7632
0.443;1.168;5.348;11.4104;25.0344
0.44;1.1594;5.675;13.844;25.2032
0.4888;1.07;5.2592;11.96;30.1224
0.4766;1.0844;6.1028;12.7106;26.8536
0.4664;1.1556;6.7714;14.2122;26.2224
0.474;1.23;5.8296;13.52;20.826
0.4988;1.3756;5.7446;12.7672;25.1498
0.4568;1.2002;6.126;12.1576;25.1176
0.4636;1.3324;4.9548;14.0472;23.8888
0.4792;1.108;4.995;10.4582;23.0328
0.4636;1.0632;5.8728;12.3712;23.4798
0.5;1.2;5.8356;14.574;22.6892
0.4952;1.1818;5.3632;12.0488;23.4874
0.4904;1.216;5.692;11.0392;23.742
0.4776;1.1092;6.68;13.4858;21.1
0.4636;1.2994;5.4694;13.1328;24.9236
0.48;1.2512;6.3892;12.328;23.4832
0.4928;1.04;5.6912;11.996;24.7974
0.493;1.1014;5.8272;11.992;23.1966
0.4792;1.01;6.246;13.6116;24.2656
0.484;1.222;6.268;11.17;24.0356
0.4558;1.18;6.4604;12.404;27.3458
0.4736;1.177;6.604;12.099;25.228
