2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.03;0.21;1.26;2.17;4.21
0.09;0.39;1.42;2.09;6.41
0.15;0.27;1.19;2.97;7.24
0.09;0.21;1.77;2.07;4.54
0.1;0.33;1.44;1.58;5.7
0.11;0.21;1.27;3.41;2.62
0.08;0.34;1.54;1.64;2.59
0.09;0.12;1.28;2.49;4.63
0.03;0.12;0.96;3.8;4.83
0.11;0.35;0.55;1.86;4.76
0.09;0.23;1.15;2.18;4.76
0.17;0.22;1.04;3.95;7.17
0.13;0.23;0.83;2.13;4.44
0.07;0.13;0.85;2.37;6.46
0.05;0.43;1.31;2.13;4.02
0.09;0.19;0.87;1.06;1.75
0.08;0.36;0.7;2.97;4.24
0.07;0.35;1.04;2.24;6.09
0.1;0.23;0.86;4.23;3.66
0.09;0.23;0.82;1.01;5.12
0.15;0.16;0.66;1.34;2.09
0.11;0.25;1.58;2.92;3.8
0.11;0.19;0.97;1.87;6.3
0.11;0.16;1.06;0.59;3.03
0.1;0.4;1.21;3.69;4.42
0.06;0.23;1.63;1.84;2.91
0.11;0.12;1.05;3;3.98
0.09;0.25;0.97;1.49;6.25
0.12;0.46;1.08;2.03;6.68
0.11;0.29;1.15;2.47;7.1
0.12;0.17;1.02;2.46;4.05
0.15;0.27;1.08;3.51;3.52
0.05;0.19;1.33;3.12;4.12
0.13;0.04;1.13;3.24;2.95
0.11;0.25;0.61;3.59;3.4
0.08;0.19;1.88;2.33;2.39
0.13;0.42;1.12;3.19;4.47
0.1;0.19;0.93;4.08;6.62
0.08;0.36;1.32;1.86;2.65
0.07;0.33;0.7;2.09;3.48
0.07;0.21;1.35;2.65;2.24
0.06;0.19;0.76;1.28;6.21
0.06;0.3;1.26;1.55;5.76
0.15;0.26;1.41;1.84;7.28
0.03;0.21;0.64;1.85;4
0.08;0.23;0.76;3.18;2.01
0.12;0.26;0.95;2.36;4.2
0.13;0.22;1.27;4.39;5.38
0.06;0.19;0.68;2.93;2.87
0.12;0.27;0.99;2.58;4.63
0.1;0.32;1.16;1.7;7.41
0.09;0.33;0.83;1.81;4.11
0.07;0.27;1.52;2.15;2.79
0.09;0.14;1.22;2.65;4.05
0.12;0.26;0.82;2.99;3.69
0.15;0.28;1.5;3.04;3.92
0.1;0.17;0.98;1.93;4.79
0.07;0.28;0.79;3.25;5.96
0.15;0.23;1.65;2.44;6.51
0.06;0.32;1.37;3.01;6.71
0.08;0.17;0.83;2.75;8.26
0.08;0.32;0.8;2.26;5.74
0.1;0.17;1.37;3.04;11.19
0.08;0.16;0.99;1.86;3.93
0.08;0.19;0.89;1.61;4.79
0.1;0.32;1.04;2.27;4.37
0.1;0.31;0.96;1.8;4.96
0.09;0.24;1.21;1.47;6.24
0.08;0.31;0.73;1.8;5.35
0.11;0.15;1.22;1.98;3.96
0.12;0.36;0.7;0.98;3.78
0.11;0.33;1.49;0.98;3.6
0.11;0.15;1.11;1.85;5.33
0.07;0.17;0.96;4.51;4.38
0.15;0.17;0.97;2.44;4.03
0.08;0.29;0.65;1.73;5.6
0.1;0.16;1.29;2.12;3.56
0.1;0.23;1.87;3.08;6.51
0.13;0.11;0.94;3.7;5.41
0.13;0.16;1.9;3.67;8.18
0.11;0.38;0.38;1.74;6.57
0.11;0.31;1.17;2.8;3.34
0.06;0.2;1.44;1.69;5.71
0.11;0.13;1.57;2.33;7.5
0.06;0.22;1.5;2.44;3.26
0.1;0.2;1.12;2.76;5.98
0.14;0.2;1.1;1.8;4.87
0.07;0.24;0.78;2.24;3.41
0.09;0.17;2.13;3.04;6.58
0.13;0.38;0.99;2.94;2.97
0.13;0.17;1.1;4;3.66
0.1;0.13;1.17;1.41;5.04
0.11;0.28;0.76;1.02;3.4
0.11;0.21;0.79;1.41;6.21
0.08;0.25;1.05;3.46;3.61
0.1;0.21;0.82;2;3.02
0.07;0.23;1.17;2.12;5.11
0.13;0.51;1.16;3.01;8.04
0.08;0.38;1.39;2.91;6.91
0.11;0.33;1.43;2.62;4.99
0.07;0.17;1.1;2.68;3.28
0.15;0.27;0.77;2.8;3.7
0.07;0.14;1.11;3.33;7.11
0.08;0.28;0.92;2.67;5.22
0.06;0.19;1.09;1.75;3.29
0.16;0.23;1.67;2.06;4.59
0.11;0.1;1.12;1.59;6.27
0.1;0.29;0.89;3.11;4.85
0.09;0.34;1.46;2.46;7.02
0.12;0.16;0.95;2.4;7.24
0.11;0.15;1.33;3.27;2.55
0.08;0.17;1.24;4.37;3.67
0.06;0.22;1.43;3.02;7.86
0.11;0.34;1.1;1.52;4.46
0.1;0.27;1.01;2.12;5.99
0.08;0.35;1.6;2.64;2.12
0.1;0.14;1.09;3.62;6.31
0.12;0.28;1;2.48;4.95
0.05;0.39;1.24;3.5;3.77
0.07;0.26;0.84;1.92;6.83
0.11;0.22;1.61;2.72;7.48
0.11;0.29;1.88;2.31;4.69
0.13;0.27;1.75;3.48;3.51
0.1;0.2;0.78;1.96;2.55
0.09;0.19;0.86;2.13;6.17
0.11;0.09;0.92;3.31;5.86
0.16;0.29;0.86;2.13;3.74
0.1;0.35;1.08;3.31;5.09
0.11;0.29;0.55;2.47;5.65
0.08;0.15;0.88;1.68;6.75
0.1;0.32;1.23;2.61;9.14
0.11;0.26;1.11;1.84;5.18
0.04;0.5;1.32;1.42;6.1
0.12;0.32;1.08;2.76;5.87
0.11;0.15;2.08;2.16;1.2
0.11;0.25;1.36;3.32;6.94
0.08;0.38;0.38;2.83;4.99
0.11;0.24;0.77;1.96;5.84
0.1;0.21;1.05;4.12;5.14
0.07;0.22;1.09;2.33;3.73
0.11;0.28;0.77;2.27;4.97
0.08;0.35;1.13;2.35;4.84
0.06;0.16;1.11;1.29;2.76
0.11;0.2;1.23;1.99;3.11
0.07;0.27;1.44;2.32;2.14
0.11;0.25;1.32;4.14;5.32
0.09;0.21;1.35;4.14;5.79
0.07;0.27;1.79;2.21;2.85
0.15;0.36;0.7;2.11;4.44
0.09;0.31;1.11;2.51;3.17
0.11;0.25;1.16;3.25;2.91
0.07;0.27;0.5;1.79;4.1
0.05;0.24;0.78;2.89;5.45
0.08;0.23;1.17;1.87;7.56
0.12;0.13;0.76;3.34;2.53
0.11;0.21;0.91;2.01;3.61
