2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.4584;0.64;0.7883;0.8745;0.8981
0.4592;0.661;0.8246;0.8805;0.9091
0.4388;0.6577;0.8187;0.8741;0.8999
0.4584;0.6331;0.8239;0.8823;0.9111
0.4992;0.6614;0.8322;0.8732;0.9028
0.478;0.6304;0.8217;0.8794;0.9012
0.4662;0.6472;0.8266;0.8821;0.913
0.482;0.6588;0.8277;0.8724;0.9071
0.478;0.5886;0.8067;0.8789;0.9049
0.482;0.6638;0.8248;0.8796;0.9104
0.49;0.6535;0.8259;0.8848;0.9047
0.4824;0.6628;0.8227;0.8821;0.9138
0.4636;0.6382;0.82;0.8751;0.9101
0.464;0.6495;0.819;0.8847;0.9034
0.482;0.6341;0.8188;0.8754;0.9086
0.4984;0.6664;0.8238;0.881;0.9054
0.444;0.6604;0.8279;0.8765;0.9056
0.4584;0.649;0.816;0.8831;0.9001
0.4608;0.659;0.8266;0.8771;0.9059
0.47;0.6637;0.8312;0.8769;0.9108
0.4972;0.6592;0.818;0.8861;0.909
0.4888;0.6583;0.8251;0.8737;0.9065
0.4388;0.6649;0.8252;0.8778;0.8995
0.4712;0.6483;0.8195;0.8815;0.9102
0.4712;0.6509;0.8256;0.8829;0.9038
0.428;0.6624;0.8215;0.8641;0.9082
0.4888;0.6552;0.8265;0.8826;0.91
0.49;0.6673;0.8206;0.8764;0.9016
0.5;0.6656;0.8247;0.8809;0.9047
0.4584;0.6632;0.8144;0.8837;0.9074
0.488;0.6644;0.8256;0.8755;0.9059
0.464;0.664;0.8241;0.8734;0.9036
0.464;0.6442;0.8202;0.8753;0.8981
0.4976;0.6584;0.8292;0.8714;0.9124
0.5;0.6606;0.8262;0.8696;0.9008
0.5;0.6528;0.8261;0.8693;0.9099
0.4648;0.6524;0.8286;0.8815;0.9052
0.4986;0.641;0.8145;0.8833;0.9084
0.491;0.6606;0.8274;0.8522;0.9099
0.4784;0.6676;0.823;0.8785;0.9066
0.4856;0.641;0.8174;0.8697;0.9048
0.4714;0.6515;0.8206;0.881;0.9104
0.4352;0.6545;0.8238;0.8823;0.9029
0.492;0.6428;0.8249;0.8719;0.9098
0.4992;0.6647;0.8279;0.8811;0.9087
0.491;0.6272;0.8249;0.8739;0.9133
0.501;0.6548;0.8144;0.886;0.9113
0.4868;0.6584;0.8242;0.883;0.9097
0.4928;0.6341;0.8228;0.8731;0.911
0.4856;0.656;0.8188;0.8836;0.9077
0.4664;0.6527;0.8136;0.8725;0.908
0.4748;0.6652;0.8223;0.8732;0.908
0.482;0.6607;0.815;0.8851;0.9079
0.4688;0.6492;0.8235;0.8815;0.9044
0.4874;0.6088;0.8176;0.8795;0.8983
0.4688;0.6608;0.8105;0.8872;0.905
0.489;0.6408;0.8218;0.8833;0.9015
0.494;0.6554;0.8161;0.8841;0.9125
0.486;0.6598;0.8278;0.8756;0.9058
0.489;0.6446;0.8302;0.8838;0.9047
0.491;0.6446;0.8293;0.8765;0.9089
