2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
12137.4856;6587.6294;4291.88545;3501.61525;3378.61075
12136.8128;6061.144;4155.6078;3798.71225;3264.00405
13137.47;6393.68645;4241.81085;3850.85855;3359.71005
12137.4856;6815.30625;4206.63425;3509.44225;3714.36245
10040.0128;6155.9116;3973.751;3515.913;3599.9619
11112.202;7014.7238;4283.27895;3540.0732;3218.0796
11712.8488;6520.98;3742.6524;3490.08635;3379.36
10908.998;6093.93;3924.37905;3660.2711;3245.71395
11112.202;8508.528;3940.51575;3631.18125;3335.50165
10908.998;6162.0988;3913.987;3444.8864;3418.706
10564.75;6526.58065;4118.93235;3746.121;3050.65225
10908.8536;6085.519;3850.69685;3304.75785;4066.3991
11849.0356;6723.8474;3938.4063;3748.48475;3828.51585
11848.744;6482.62825;4051.5981;3502.02865;3541.4132
10908.998;6889.65125;4030.6999;3767.4106;3567.3521
10202.6296;6021.7164;4003.973;3949.9293;3587.9605
12954.736;5974.287;3856.54145;3358.62885;3213.2134
12137.4856;6547.858;4027.9686;3591.79375;3245.28885
11990.7328;6218.093;4088.5541;3836.03545;3117.38865
11581.25;5840.76325;3849.141;3862.25975;3449.5463
10202.7268;6130.8928;3780.1702;3565.70625;3374.4476
10565.02;6221.71425;4151.36115;3797.24025;3452.91575
13137.47;5971.54085;3917.0364;3579.2858;3199.30395
11580.5;6469.10025;3922.56025;3448.65095;3444.6803
11456.5888;6416.03765;3998.8308;3665.67065;3452.6861
13713.968;5951.6464;3844.34225;3550.73045;3214.6266
10565.02;6413.486;3564.93065;3693.6075;3728.322
10564.75;5745.40125;3769.3473;3780.588;3895.0651
10010;5960.2978;3941.41355;3641.56195;3890.53205
12137.4856;6160.8236;3788.3211;3268.93225;3368.7965
10643.072;6020.855;4120.9596;3679.60105;3602.70245
11848.744;6005.039;3808.35345;3654.739;3718.5003
11848.744;6612.363;3976.8813;3913.04365;3280.19375
10122.6176;6118.895;3701.386;3901.8104;3576.0121
10022.5;6160.991;3893.4677;3593.7841;3470.9094
10040;6306.389;3647.33065;3559.46625;3571.66265
11848.1608;6360.2806;4071.2807;3276.73405;3251.878
10160.0896;6577.382;4124.23405;3193.57085;3461.2726
10491.764;6305.3874;4144.5128;4073.7046;3312.11795
11112.0256;5794.251;3921.4661;3687.58525;3458.4679
10726.6616;6664.9394;4065.6538;3863.00215;3576.9051
11456.4736;6394.98065;3766.7641;3503.6522;3519.5623
13323.9808;6376.52965;4180.3594;3852.18705;3402.81305
10423.852;6731.2952;4151.66085;3988.14175;3311.2388
10062.52;5888.61305;3725.65545;3410.52505;3305.14925
10491.764;7049.0978;3988.50005;3696.38515;3468.00065
10039.984;6215.152;4250.3482;3580.0489;3723.81805
10726.3148;6344.5166;4124.1603;3494.797;3507.41715
10361.0368;6770.51125;4055.6686;3472.69895;3482.3466
10814.6656;6260.5874;3933.2288;3790.9242;3189.50565
11712.7136;6610.36025;4024.1789;3813.86105;3566.9201
11335.8308;5880.0308;3914.36985;3975.7618;3667.3921
10908.998;6078.56865;4174.2897;3482.38905;3324.46045
11582;6320.439;4227.35345;3270.98005;3608.7657
10643.2256;7782.1792;3981.9068;3947.60165;3683.37505
11582;6175.8272;4095.06585;3449.7673;3457.382
10642.816;6616.7354;4047.4751;3756.54885;3742.35785
10303.226;6230.7832;4175.40225;3530.41215;3328.22845
10726.546;6001.2946;3786.1302;3750.2119;3332.5552
10642.816;6776.7296;4100.234;3598.3436;3625.41765
10491.764;6650.4844;3606.78745;3736.93865;3104.61395
10250.5;6245.1832;4139.49875;3898.17285;3427.98885
10814.6656;6175.24785;3827.26745;3369.35555;3788.23005
11221.616;6015.92;3879.9002;3516.60005;3733.30315
10360.9216;5928.39425;3928.4706;3806.79885;3271.3828
12956.8168;6399.871;3905.48525;3823.59105;3308.98405
10160.1536;5895.26485;4091.39065;3310.1048;3152.39855
10565.02;6478.644;4058.28185;3813.9332;3465.07615
10160.192;6306.83125;3923.59305;3864.4506;3334.9458
12446.3216;7429.69645;3875.71045;3566.44225;3311.0189
10491.764;6381.52625;4239.75985;3490.7393;3424.34265
11582;5806.873;3914.698;3633.88555;3270.3466
10423.852;6301.3914;4113.7262;3810.62195;3162.92825
12448.2436;5847.05525;3854.16985;3715.51935;3619.3252
10122.5588;5923.69925;4313.4968;3492.86155;3539.0243
10814.9896;6032.1984;4169.7691;3666.1487;3222.4059
12955.892;6089.8736;3786.6566;4032.2537;3425.1252
10250.42;6838.55445;4122.0728;3647.1401;3893.54285
10022.482;7221.1;3685.7186;3837.92105;3357.4913
10908.1316;6149.2736;4014.40045;3772.56485;3380.57045
12137.822;6520.98;3990.6638;3574.4485;3843.5874
12137.822;6137.56385;4077.2621;3669.41785;3493.60235
11221.3256;6954.73985;3580.78525;3690.3472;3022.09205
10122.598;6042.5932;3883.08865;3579.29515;3374.3836
10160.1536;6263.4232;4104.68805;3430.46115;3423.31145
11456.128;6152.54;4074.15745;3979.2927;3557.96205
10360.3168;7536.1646;3910.12925;3766.5237;3288.6723
11112.0256;6387.292;4054.72485;3792.927;3658.15325
10303.0808;6294.6146;4025.2899;3887.8836;3363.54455
12137.822;6033.2656;3688.2888;3932.8704;3171.4277
11111.6728;6024.7778;3938.0888;3711.4127;3311.51125
12955.892;6038.94325;3708.6908;3333.1352;3621.77005
13136;6199.3016;3977.1306;3573.8973;3609.8959
10565.02;6713.2994;3713.79565;3772.19615;3513.03955
11221.3256;6508.05925;4088.3879;3538.6364;3323.76035
11712.7136;6270.85785;4132.06205;3730.5807;3663.1305
11336.254;6012.90225;3777.93185;3553.15805;3676.53455
10062.53;5712.37705;4074.29915;3499.55425;3362.1558
12288.88;6115.56665;3904.0764;3478.32565;3674.1433
11849.0356;6085.159;4189.51725;3771.103;3473.81085
11111.6728;6513.45845;4219.3942;3640.8848;3345.23015
11849.0356;6850.88385;3852.75865;3958.34075;3490.48505
10062.5;6158.304;3968.26065;3887.9244;3237.3651
10250.48;6032.40745;3801.68015;3695.02745;3129.98165
10491.8816;6068.06925;3907.81115;3839.4834;3683.8295
11220.8416;6547.197;3930.15465;3776.7382;3169.06465
11849.0356;5988.17685;3816.73965;3673.6062;3684.74245
11008;6116.8718;4011.87375;3651.4145;3543.91675
10423.7168;6937.1024;4129.8816;3646.8483;3225.4298
10361.008;6733.3456;3849.2823;3495.4211;3463.04445
11111.6728;7036.0424;3721.93505;3742.12325;3592.19955
10815.184;6020.01585;3901.57445;3712.2358;3680.3013
12289.78;6458.596;3800.7759;3813.47145;3072.71075
11336.4656;6144.44825;3912.77685;3591.8386;3673.0742
11456.128;6290.29865;4074.05525;3622.7764;3632.424
11456.4736;6270.079;3723.25925;3384.8386;3310.64725
12290.32;6584.1216;3751.7888;3736.31365;3411.97465
10815.184;6093.9012;4002.83945;3966.1081;3846.0566
10423.852;6876.738;3773.27115;3427.87475;3475.7454
10122.6176;6316.5424;3994.5478;3636.6312;2976.9566
11581.75;6160.304;3726.4609;3644.6022;2928.0745
10423.852;6567.5176;3951.26575;3632.02545;3306.76105
12781.7416;6265.23425;3626.83725;3446.4331;3076.70745
10250.5;6566.768;3945.79365;3401.9228;3606.05085
11112.202;6640.895;3974.39325;3827.2957;3830.80635
10122.4216;6105.28225;3858.73675;3873.2779;3365.08065
11990.576;5887.514;3953.0405;3777.5454;3590.74965
11712.8488;6270.902;4013.5242;3643.5046;3661.7612
10122.6176;5902.08845;4071.78745;3833.85305;3635.35855
11008;6785.6678;3851.22805;3440.51985;3250.0639
11221.7128;6475.3126;3922.07185;3066.352;3067.7284
12781.306;6571.756;4314.3168;3776.06525;3287.35805
11456.4736;6574.22785;3996.76665;3494.9202;3597.68375
11220.8416;6643.43025;3804.7544;3856.8319;3187.24585
10908.998;6182.92725;3524.4665;3653.136;3627.18515
11581.25;6370.35365;4022.38785;3892.5374;3124.0367
12612.224;5883.8816;4336.25865;3783.3618;3639.5984
10423.852;5888.7776;3834.63725;3612.58985;3457.27025
11221.3256;6540.94225;4323.7718;3449.41775;3354.9992
11848.1608;5985.376;3692.05725;3742.4048;3674.9541
10726.6616;6012.6054;4123.18625;3748.83785;3364.90075
10360.9216;6491.30965;3772.48745;3622.17705;3051.4487
12290.32;6144.44825;3925.02855;3735.96025;3600.4244
10908.998;6463.56705;4232.6252;3677.9322;3246.69765
10726.6616;6000.39565;4220.2604;3629.54605;3526.75385
10908.8536;6737.67025;3791.03205;3767.11275;3570.61365
10122.598;6708.6684;3978.70875;3528.50275;3810.9054
13137.47;6286.3964;3565.77525;3511.8207;3257.22185
11581.75;6769.6856;3963.0698;3639.29775;3515.7504
10565.02;6556.99945;4294.7055;3751.5644;3125.3419
12136.8128;6315.1894;4172.1692;3981.88865;3480.6184
11336.4656;6301.3914;3954.91655;3796.5447;3529.3122
11849.0356;6197.735;4159.7846;3733.7012;3401.53495
12290.32;5868.90625;4155.4498;3918.61835;3587.69165
10643.2768;6961.75;3911.35485;3507.02365;3467.30405
10726.546;6482.87125;4089.86625;3630.47115;3450.3049
11712.7136;6176.419;4021.57025;3686.1714;3741.0599
10062.5;6717.4492;4478.1833;3857.6162;3212.21775
10908.1316;6992.9504;3962.17905;3673.2053;3268.3227
10908.998;6448.52185;3619.26985;3628.2852;3628.48085
10642.816;6263.4232;3801.6948;3436.95565;3474.41645
10062.47;6031.503;4122.92085;3668.3993;3203.62755
11456.128;5898.055;3935.91005;3608.0827;3530.0948
12289.78;6645.65525;4294.59465;3593.7686;3342.14245
11336.254;6468.3928;3767.6142;3600.17675;3526.86165
10640.768;6626.77825;3833.40505;3646.8411;3464.47165
10726.6616;6406.3646;3847.43295;3790.58785;3416.3229
10642.816;6068.1056;4169.26065;3329.79885;3673.2954
13516.1396;6363.45365;3717.5357;3816.5958;3647.7929
11456.128;6104.49925;4106.00005;3535.33925;3694.33865
10040.0096;6402.0096;3833.4378;3481.0052;3594.80275
10726.6616;6136.391;4049.82165;3915.7311;3221.2376
10250.42;5868.106;4208.2495;3550.64095;2934.58835
10908.8536;5909.91;4129.55065;3678.25995;3542.03565
10491.568;6825.31885;3707.98545;3565.1857;3927.2032
11336.4656;6547.11285;3939.6362;3650.85515;3420.32595
12288.88;6161.13285;3987.37385;3668.68935;3269.1803
10564.75;6078.56865;4172.5484;3322.14085;3268.5654
11990.1056;6248.92885;3829.88945;3684.59925;3539.8689
11008;6598.0886;3621.82225;3806.6891;3038.3953
10122.6176;5997.6254;3858.23285;3722.1737;3351.6295
10040;6104.496;4060.70585;3956.20835;3974.64165
12448.2436;6415.562;3903.0084;3981.5539;3185.7989
10726.546;7400.608;4302.518;3364.9571;3598.5014
10423.7168;6351.56105;3954.0738;3665.31355;3317.6563
10002.5;6511.79525;3664.1314;3714.9198;3739.0374
11712.8488;6310.4;3791.26905;3674.19965;3623.96745
10908.998;5892.43285;4187.91515;3866.96165;3638.14785
11581.25;6053.504;4200.98765;3689.34025;3548.85385
11221.3256;6277.0854;4045.4757;3247.41685;3842.9181
10002.5;6360.5472;3992.1363;3518.71185;3948.2592
12137.822;6060.50725;3915.39645;3923.0705;3544.2185
11221.616;6712.9834;3689.2921;3822.972;3477.66035
10908.998;6165.97765;3744.0841;3611.7748;3136.1356
10360.9216;6111.8408;3991.7895;3756.06675;3573.2527
11220.8416;6018.6736;4149.1736;3672.69425;3548.57835
10643.2768;6508.36725;4246.5781;3376.04825;3172.44255
10361.008;6356.2928;3769.3548;3387.72695;3344.86005
11008;6628.5464;3951.80755;3702.51145;3244.0218
10202.7916;6705.21425;4073.3013;3649.3463;3292.07205
11007.68;6839.94165;4098.5016;3773.6365;3459.89415
10643.2256;5790.9132;4112.3743;3842.572;3501.3703
11712.7136;6397.62725;4336.43335;3857.95405;3576.54055
10908.998;5966.9336;4641.0998;3575.6984;3569.0778
11582;7911.6452;3947.9552;3855.9448;3261.51865
11221.616;6343.152;3975.3869;3601.4955;3901.75185
10564.93;6070.15045;4090.99025;3601.23525;3671.9098
10361.008;6192.2604;4018.1777;3510.6088;3617.1929
10010.0008;7383.55025;4219.5428;3874.8506;3121.259
12290.5;6102.5798;3807.61565;3832.23325;3143.18855
11849.0356;6400.1804;4313.4722;3454.84345;3365.0264
11990.1056;6106.46;3483.6664;3968.78065;3861.84115
10423.9196;6023.372;4320.19595;3484.11225;3435.34525
11456.4736;6124.4164;3914.1191;3440.0892;3223.79555
10039.984;6061.144;3957.56155;3409.26605;3547.2025
11990.1056;6322.7092;3846.01165;3340.71955;3223.09
11336.4656;6137.966;3786.46925;3870.3921;3172.84505
11112.202;6368.76065;4152.70425;3345.81665;3159.21265
10250.32;6107.96865;4191.87405;3606.62835;3269.89025
11335.8308;6838.116;4172.3417;3625.93945;3641.03675
10423.9196;6723.596;4091.38665;3523.107;3451.23845
10814.9896;6253.06885;3517.61685;3531.49295;3394.0254
11848.744;5850.3326;3885.16165;3672.46865;3468.4744
13515.592;5990.90405;3961.1172;3238.5138;3252.6114
13323.9808;6837.6584;4133.86825;3797.0058;3351.75085
10009.9936;6164.68085;3940.29625;3725.49945;3470.77285
11712.7136;6496.42385;3996.08825;3581.4774;3220.7147
11336.254;6044.712;4036.05305;3625.4911;3560.48615
11847.286;6453.2246;3765.64045;3529.22745;3488.36965
11007.68;6466.432;4209.57595;3488.5727;3606.6871
10908.1316;6224.332;4017.329;3615.13055;3220.97435
10160.192;5909.0798;3874.4043;3426.56355;3471.95505
10814.9896;6064.5144;3772.0444;3553.8025;3560.2831
12612.224;6516.412;3928.97845;3711.11115;3373.07505
11007.92;6887.48165;3710.66225;3619.03025;3621.18645
10303.226;6312.42385;3928.0934;3404.2248;4039.4214
12446.3216;6365.56705;3973.5785;3576.11495;3134.7556
10491.8816;6391.3526;3808.8147;3646.13765;3525.5207
11582;5831.26265;4095.4794;3895.69775;3524.86385
10202.7916;6064.3014;3912.7298;3370.0532;3477.87985
10002.5;6806.3776;3898.40905;3545.2158;3632.8951
12137.822;6013.772;3955.4207;3821.4412;2970.35975
12290.5;6093.9992;3674.65085;3866.685;3601.80225
10089.9496;6415.768;4157.85215;3369.9662;3561.78465
10565.02;6524.0258;4073.35685;3826.055;3481.9981
13136.98;6019.16385;4014.40745;3549.2415;3514.38155
11456.4736;7125.699;4067.7988;3680.35;3311.3978
11112.202;6013.772;4113.02185;3525.80875;3795.4029
10009.988;6323.147;3882.65525;3772.64305;3662.624
10726.6616;5926.1304;3765.275;3770.8271;3365.7964
10491.8816;6650.96225;3941.0892;3677.0495;3273.74695
12956.8168;6768.57185;3987.80585;3639.3671;3444.6987
10815.2488;6342.0662;3967.54935;3692.65875;3534.2301
13136.98;6158.38625;3959.4344;3368.33015;3563.43555
10040.0128;6693.087;4582.85605;3490.98205;3792.0323
10062.5;6764.7136;3728.4284;3630.58935;3464.33195
10160.192;6002.805;3813.1507;3408.7198;3373.70275
10160.192;6664.223;4156.56265;3381.1506;3179.8946
13516.1396;6124.5294;4044.0025;3611.92645;3658.93645
10202.7916;6737.0752;4159.0564;3668.1993;3342.876
10643.2256;5837.24;4037.3989;3489.7153;3550.10035
10643.072;6845.3246;3900.9721;3898.46995;3295.8924
12956.5856;6110.98525;4328.7409;3783.47645;3261.4443
11456.4736;5972.41505;4031.9709;3696.4348;3349.461
14126.72;6344.89265;3942.61905;3329.35665;3395.26885
11220.8416;5979.7106;4408.52195;3573.1305;3251.8784
10423.852;6263.89465;4137.18785;3770.62385;3368.26015
11336.254;5925.27865;4409.77665;3675.45145;3458.2725
10643.2768;6500.8544;3860.68845;3350.5795;4016.0373
10062.5;6844.99105;3882.77585;3874.98325;3323.32755
10160.192;6431.102;3687.7076;3749.25895;3447.7325
11990.7328;6204.93025;4269.0448;3823.1904;3274.34975
11456.4736;6267.4988;4133.44605;3633.68795;3392.10045
