2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.9;0.835;0.88;0.89875;0.890909090909091
0.9;0.865;0.748;0.85375;0.956363636363636
0.92;0.865;0.88;0.9325;0.847272727272727
0.9;0.88;0.916;0.91;0.890909090909091
0.88;0.835;0.88;0.89875;0.912727272727273
0.84;0.88;0.928;0.865;0.934545454545454
0.82;0.865;0.892;0.92125;0.890909090909091
0.88;0.91;0.88;0.94375;0.901818181818182
0.96;0.865;0.88;0.89875;0.890909090909091
0.92;0.91;0.82;0.8425;0.923636363636364
0.94;0.865;0.868;0.80875;0.890909090909091
0.86;0.85;0.868;0.82;0.858181818181818
0.88;0.865;0.892;0.83125;0.912727272727273
0.84;0.82;0.892;0.89875;0.836363636363636
0.92;0.835;0.916;0.92125;0.912727272727273
0.92;0.85;0.844;0.8875;0.836363636363636
0.92;0.88;0.928;0.775;0.912727272727273
0.88;0.88;0.856;0.9325;0.901818181818182
0.96;0.925;0.856;0.955;0.825454545454545
0.9;0.925;0.916;0.8875;0.912727272727273
0.9;0.895;0.94;0.8875;0.857
0.96;0.91;0.88;0.9325;0.934545454545454
0.82;0.91;0.916;0.85375;0.88
0.98;0.97;0.928;0.89875;0.858181818181818
0.9;0.955;0.916;0.82;0.923636363636364
0.88;0.88;0.904;0.82;0.89
0.92;0.925;0.88;0.8875;0.901818181818182
0.88;0.94;0.904;0.8875;0.89
0.9;0.79;0.916;0.865;0.901818181818182
0.9;0.94;0.868;0.89875;0.934
0.84;0.835;0.856;0.91;0.890909090909091
0.92;0.79;0.892;0.92125;0.88
0.9;0.895;0.868;0.85375;0.912727272727273
0.92;0.91;0.832;0.865;0.869090909090909
0.92;0.955;0.892;0.8875;0.847272727272727
0.9;0.865;0.916;0.92125;0.858181818181818
0.9;0.88;0.94;0.908571428571429;0.847272727272727
0.98;0.895;0.916;0.85375;0.912727272727273
0.84;0.91;0.928;0.865;0.858181818181818
0.92;0.91;0.952;0.87625;0.901818181818182
0.88;0.91;0.904;0.91;0.901818181818182
0.84;0.865;0.892;0.8875;0.901818181818182
0.98;0.94;0.868;0.9325;0.869090909090909
0.9;0.85;0.94;0.91;0.945454545454545
0.94;0.895;0.88;0.83125;0.912
0.9;0.82;0.868;0.865;0.88
0.82;0.865;0.928;0.94375;0.847272727272727
0.84;0.88;0.904;0.91;0.901818181818182
0.92;0.955;0.904;0.8875;0.912727272727273
0.94;0.88;0.904;0.89875;0.890909090909091
0.86;0.955;0.892;0.955;0.847272727272727
0.86;0.88;0.868;0.8875;0.869090909090909
0.96;0.925;0.868;0.89875;0.847272727272727
0.92;0.895;0.856;0.87625;0.858181818181818
0.88;0.925;0.868;0.92125;0.901818181818182
0.84;0.85;0.856;0.92125;0.836363636363636
0.9;0.895;0.88;0.8875;0.890909090909091
0.88;0.925;0.904;0.865;0.890909090909091
0.94;0.88;0.856;0.8425;0.88
0.88;0.91;0.8875;0.8875;0.847272727272727
0.76;0.88;0.868;0.9325;0.912727272727273
0.76;0.895;0.844;0.865;0.890909090909091
0.9;0.88;0.88;0.8875;0.912727272727273
0.92;0.895;0.904;0.82;0.88
0.94;0.895;0.892;0.9325;0.923636363636364
0.94;0.925;0.976;0.89875;0.901818181818182
0.9;0.85;0.928;0.8875;0.88
0.98;0.925;0.892;0.865;0.912727272727273
0.8;0.865;0.952;0.83125;0.934545454545454
0.88;0.82;0.964;0.94375;0.88
0.88;0.925;0.892;0.92125;0.967272727272727
0.98;0.88;0.856;0.91;0.88
