2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.05;0.23;0.63;1.14;5.01
0.05;0.18;1.97;2.75;1.51
0.04;0.15;0.75;0.98;5.32
0.05;0.14;0.31;0.94;2.51
0.06;0.17;0.44;2.15;1.22
0.08;0.14;0.43;1.82;0.88
0.09;0.15;0.55;0.41;4.03
0.06;0.12;1.06;0.51;3.62
0.02;0.15;0.73;1.99;2.29
0.04;0.12;1.05;2.09;1.36
0.03;0.21;0.86;1.42;2.17
0.07;0.28;0.79;3.36;3.39
0.06;0.21;1;5.43;2.62
0.08;0.3;1.07;1.41;3.12
0.04;0.2;0.46;1.7;0.92
0.04;0.22;1.17;1.73;6.03
0.04;0.17;0.83;4.07;1.75
0.06;0.14;0.87;1.71;3.58
0.02;0.08;0.98;1.15;5.78
0.05;0.08;0.73;1.38;0.78
0.05;0.13;0.43;1.76;3.29
0.02;0.09;0.43;0.94;1.12
0.09;0.15;0.42;1.68;3.08
0.01;0.05;0.56;1.22;3.29
0.05;0.09;0.8;1.55;3.41
0.06;0.17;0.83;3.4;2.98
0.04;0.05;0.7;1.78;1.64
0.06;0.07;0.33;2.08;3.24
0.05;0.35;0.68;1.96;3.39
0.05;0.1;0.9;1.19;2.36
0.08;0.2;1.31;1.46;2.19
0.04;0.32;0.68;0.89;2.77
0.05;0.19;1.27;2.96;0.68
0.04;0.12;1.29;1.6;4.96
0.04;0.06;0.87;3;4.31
0.05;0.15;0.5;1.17;2.78
0.05;0.11;0.37;1.45;3.43
0.01;0.19;0.71;1.66;2.53
0.08;0.12;0.52;3.03;2.68
0.04;0.12;0.1;1.43;3.24
0.06;0.12;0.62;2.06;1.28
0.08;0.12;0.63;3.36;2.63
0.01;0.1;1.06;0.91;3.14
0.05;0.16;0.79;1.4;3.03
0.03;0.1;0.69;3.34;4.45
0.05;0.18;1.22;2.27;2.99
0.09;0.15;0.39;0.86;5.05
0.08;0.11;0.54;2.81;3.6
0.04;0.03;0.42;1.57;2.68
0.03;0.08;0.54;1.75;3.83
0.07;0.09;0.82;0.53;5.03
0.07;0.14;0.57;1.68;4.72
0.02;0.11;0.69;1.84;4.11
0.04;0.13;1.12;1.89;5.2
0.06;0.14;0.82;1.25;1.89
0.08;0.22;0.75;2.13;2.99
0.05;0.1;0.71;1.17;3.01
0.06;0.08;0.46;1.58;3.43
0.03;0.11;0.7;2.99;2.24
0.06;0.06;0.85;2.71;6
0.12;0.2;0.82;1.05;1.96
0.12;0.13;1.37;2.04;3.41
0.05;0.14;1.09;2.39;2.05
0.04;0.13;0.27;2.66;3.94
0.03;0.13;0.64;1.23;3.05
0.03;0.08;0.25;1.27;2.18
0.05;0.13;0.57;2.09;2.12
0.01;0.14;1.09;2.05;1.7
0.1;0.12;0.27;1.91;2.68
0.06;0.27;0.26;0.88;3.31
0.06;0.05;0.64;1.33;0.94
0.01;0.17;0.76;0.25;4.36
0.05;0.13;0.5;1.83;5.56
0.02;0.13;0.39;1.68;3.6
0.06;0.21;1.17;1.47;1.81
0.05;0.21;0.86;0.87;4.81
0.05;0.11;0.9;1.1;1.19
0.06;0.34;1.22;1.05;3
0.11;0.11;1.04;1.6;3.53
0.09;0.06;0.25;1.19;2.13
0.03;0.12;0.32;1.66;2.6
0.04;0.18;0.47;1.03;1.8
0.01;0.09;0.94;2.11;2.62
0.09;0.11;1.22;2.42;4.36
0.03;0.12;1.36;1.44;4.12
0.09;0.18;0.88;1.43;4.97
0.02;0.16;0.59;3.21;1.62
0.03;0.01;0.39;1.83;2.15
0.1;0.08;0.51;1.42;2.46
0.06;0.17;0.5;1.76;2.61
0.01;0.2;0.38;2.83;5.21
0.08;0.1;0.89;1.27;3.67
0.03;0.12;1.88;2;2.57
0.04;0.09;1.31;1.21;2.5
0.07;0.06;0.73;0.8;4.5
0.05;0.18;0.92;0.05;2.67
0.07;0.04;1.37;3.59;1.59
0.04;0.14;0.27;2.38;0.92
0.06;0.12;1.11;1.28;3.76
0.09;0.14;0.47;2.89;5.59
0.01;0.32;1.02;1.34;3.69
0.07;0.18;0.55;0.92;2.62
0.06;0.11;0.47;1.15;2.9
0.03;0.08;0.69;3.57;1.95
0.03;0.15;0.67;1.94;4.18
0.05;0.14;0.34;0.74;3.55
0.05;0.2;0.59;0.43;7.56
0.03;0.07;0.87;1.65;0.87
0.06;0.09;0.56;1.8;3.02
0.04;0.14;0.79;3.03;0.95
0.09;0.11;0.35;4.05;0.92
0.04;0.22;0.76;1.61;2.47
0.13;0.08;0.54;2.63;2.19
0.06;0.17;0.48;2.89;3.52
0.08;0.09;0.75;2.03;5.54
0.04;0.07;1.07;3.32;2.62
0.03;0.05;0.32;1.12;3.32
0.08;0.05;0.82;1.83;1.81
0.03;0.1;0.57;1.15;3.64
0.07;0.16;0.76;2.18;2.96
0.02;0.09;1.05;1.14;5.32
0.06;0.17;0.74;2.15;2.76
0.06;0.1;0.72;2.11;1.08
0.05;0.17;0.32;2.67;6.34
0.02;0.13;1.1;1.07;2.08
0.05;0.1;1.17;2.24;2.88
0.06;0.07;0.48;0.94;0.7
0.07;0.15;0.35;2.39;3.59
0;0.09;0.74;1.49;4.6
0.05;0.1;0.91;0.81;4.66
0.08;0.07;0.57;0.59;2.82
0.05;0.13;1.15;0.6;2.77
0.09;0.12;0.14;2.78;2.9
0.08;0.11;0.67;1.83;1.53
0.08;0.12;0.49;2.97;2.01
0.02;0.15;0.79;2.51;5.89
0.04;0.09;0.38;1.73;6.04
0.06;0.06;0.94;2.62;1.97
0.07;0.15;0.39;2.97;5.32
0.06;0.07;1.33;2.13;2.62
0.04;0.26;0.72;1.86;2.92
0.07;0.13;0.55;1.16;2.55
0.02;0.16;0.66;2.66;5.46
