2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
21719.55;16162.315;7114.26;5172.18;3657.11
20053.55;18867.995;6149.995;3737.105;2905.885
20596;14043.22;6969.145;2600.28;1743.23
22147.95;13717.625;8448.955;5296.14;1844.485
20380.16;14747.445;6749.06;3938.67;2493.25
20000;16245.7;5597.96;3232.78;2587.105
20147.75;13326.845;5853.32;3980.02;2777.78
20023.76;14816.48;8516.985;6424.66;3051.65
20095.68;17303.605;7812.06;5438.85;3752.045
20596;15514.99;6397.71;3633.745;4058.895
21343.25;15451.21;9107.095;3613.34;1796.84
21002.17;12700.87;8352.685;3252.3;2461.85
24656.96;15216.285;6946.84;5977.955;3907.17
20023.68;12266.585;5354.44;4324.9;2998.09
23432.96;15023.76;8113.785;6273.76;3109.78
21931.04;12899.785;7497.985;6528.72;2801.545
20381.44;15349.45;6890.21;4026.8;4442.11
20213.84;17057.225;6059.015;3297.53;3100.63
20861.12;13767.09;11153.22;5262.245;2862.005
25717.95;17508.46;7202.725;3881.67;1634.015
20148.75;16062.93;5389.915;4042.955;2698.8
20000;15961.855;8539.57;4600.87;2445.73
21707.99;15322.805;8930.905;6470.67;3034.86
20053.91;13254.375;6352.605;4003.57;2627.915
20481.95;15156.015;7134.405;4127.57;3325.99
20213.84;15536.105;6599.215;4387.42;2116.235
20000;14688.575;5684.85;5211.925;1953.94
20380.16;16927.13;7049.69;4046.65;2842.915
22147.95;12216.89;10581.505;4309.925;2677.05
20291.55;14017.84;7322.53;5847.93;4070.685
20592;17802;6756.285;3707.325;3336.78
20381.44;13434.8;6644.705;4076.76;3110.665
20005.95;16922.37;8957.575;4979.67;2178.88
22884.64;16220.15;6726.87;5231.03;3721.365
21525.76;12754.5;8262.11;4964.635;2368.525
20291.55;14833.06;7621.215;3966.725;2089.65
20053.55;14144.535;7141.725;5071.59;2443.585
20005.99;13294.135;6526.475;3016.865;2390.915
20000;17538.77;7219.26;3178.09;3494.84
20095.36;14627.53;6899.43;5391.03;2526.86
20380.16;14857.15;6356.21;6636.93;2841.435
20094.72;14676.5;6598.635;5116.19;2269.13
20485.19;16549.335;6476.055;4973.235;2474.21
20719.95;14104.26;7775.375;4768.935;3069.12
20292.53;16817.82;8247.195;4914.515;2184.87
21338.75;14610.275;7186.755;5660.25;2405.24
20289.59;14395.925;4224.02;4515.71;3533.32
20023.68;14761.27;6695.01;5306.26;2362.815
23432.96;16346.455;7730.865;5693.165;3004.965
20149.25;14180.88;5583.675;4232.195;2690.915
20005.93;16134.775;6145.335;5389.495;3495.03
21002.17;13735.54;5705.65;3323.54;2415.42
