2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.4856;0.782;4.9476;12.571;26.2276
0.4996;0.6624;5.0216;16.0784;26.1748
0.4952;0.896;4.704;13.2944;25.805
0.482;0.92;2.942;12.792;27.3176
0.4968;0.8516;5.3586;16.32;30.012
0.5018;0.7558;6.3212;13.5622;30.585
0.4988;0.9716;5.3972;12.562;29.6408
0.5;0.8506;4.9886;13.538;29.984
0.4992;0.7604;3.5204;11.4388;21.4176
0.495;0.9056;5.2308;15.97;20.7456
0.4888;0.8188;4.6182;13.6456;26.504
0.494;1.0082;4.6056;13.9664;31.08
0.4626;0.8488;5.2826;13.7512;30.7062
0.4998;1.0974;5.2116;13.172;27.7584
0.4714;0.8402;5.264;11.7456;30.824
0.4838;1.0886;4.33;12.5212;26.0104
0.497;0.824;5.4656;15.0096;30.3384
0.4982;0.7104;5.1764;12.92;24.9574
0.4928;0.9488;3.4616;13.2716;26.3094
0.452;0.6952;5.1732;16.1346;27.564
0.4988;0.7844;5.2164;14.2464;23.5488
0.5002;0.85;3.3708;15.808;32.471
0.4856;0.826;4.0358;9.7752;29.824
0.4996;0.948;6.5514;14.74;27.1704
0.496;0.8268;4.4;13.4008;28.6876
0.4984;0.8056;5.608;13.7424;28.2152
0.5002;0.844;5.3754;12.4312;20.3286
0.4968;0.7964;4.9808;13.6114;30.887
0.4824;1.0812;3.8146;14.0774;28.2592
0.4976;0.9008;5.1594;12.1216;28.8422
0.4958;0.7208;4.7416;12.387;24.7176
0.4968;0.9614;4.4962;12.4164;26.0904
0.5;0.78;5.0256;13.3088;25.3672
0.4766;0.788;4.578;12.864;28.6014
0.4874;0.9758;5.6168;13.2432;25.1116
0.4976;0.864;5.1168;14.4672;30.8586
0.5;0.9836;4.3656;15.97;25.7688
0.5;0.9612;4.606;13.748;28.9736
0.5;0.8384;4.3782;14.39;22.2974
0.4994;0.8632;5.3168;13.582;23.7344
0.497;0.8912;4.8816;13.5322;27.2818
0.4994;0.855;4.668;13.5304;25.2316
0.496;0.7366;4.2728;12.2016;26.8488
0.494;0.8968;4.86;10.659;28.576
0.4976;0.7306;4.48;13.8232;29.512
0.4892;0.8808;4.8656;11.5404;25.9792
0.4976;0.898;6.3836;15.109;31.78
0.5006;0.8452;4.28;13.93;31.7658
0.4714;0.7788;5.0022;12.646;32.0682
0.4988;0.9216;5.408;12.3688;21.5388
0.5004;0.81;5.016;12.532;27.1412
0.4916;0.969;4.84;12.8874;25.7992
0.4984;0.8524;4.4572;15.2112;30.368
0.5;1.0212;4.492;12.7464;25.481
0.5002;0.749;5.9042;15.2368;28.3076
0.4994;0.9256;5.002;13.2108;24.8344
0.4888;0.801;5.32;16.4356;26.7084
0.4976;0.9;5.5018;12.4726;25.0056
0.5;0.7744;5.7326;11.9992;24.2782
0.4982;0.8954;5.1696;15.7436;28.687
0.499;1.0294;4.48;13.59;25.4848
0.4992;0.8908;5.2872;14.8006;26.256
0.492;0.6458;5.2424;12.2852;27.6716
0.5;0.81;4.172;13.083;27.0144
0.4996;0.798;4.8952;13.146;27.0708
0.4976;0.684;3.65;14.4004;30.2406
0.4856;0.856;4.8204;14.4912;29.4906
0.4996;0.7998;5.0172;13.7372;29.9736
0.496;1.0286;4.0428;12.1788;22.3278
0.4994;0.9344;6.1758;16.4736;27.6016
0.4992;0.866;2.7176;10.9804;25.451
0.4988;0.8764;4.916;14.6992;25.053
0.5004;0.8004;4.2056;12.3428;26.1464
0.5002;0.788;5.24;13.9936;28.2038
0.4902;0.8612;3.4192;14.7284;25.922
0.5;0.8344;6.0218;13.058;29.3108
0.4976;0.92;5.668;14.4962;26.102
0.495;0.8714;4.9464;16.2648;24.3384
0.4964;0.7584;5.0338;14.063;27.6388
0.5012;0.6416;4.256;12.188;26.6768
0.4976;0.7878;4.3112;14.4648;23.2152
0.493;1.0568;5.1224;9.6256;32.2632
0.4988;0.9116;5.2226;12.1052;26.4144
0.482;1.0296;4.276;11.3192;31.16
0.496;1.0488;3.9032;10.2002;26.0418
0.4976;0.8154;4.3088;17.214;27.124
0.4992;0.935;4.7544;13.288;26.416
0.4976;0.9116;5.7728;10.5108;25.8928
0.497;0.745;4.7836;15.548;27.1776
