2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.4856;0.5675;0.7356;0.7829;0.8322
0.4996;0.5358;0.7628;0.8186;0.8439
0.4952;0.5975;0.7382;0.8462;0.8943
0.482;0.6014;0.7036;0.7857;0.8772
0.4968;0.5879;0.7415;0.8145;0.8539
0.5018;0.5632;0.7608;0.834;0.8492
0.4988;0.6071;0.7603;0.8105;0.8543
0.5;0.5854;0.7163;0.7516;0.8419
0.4992;0.5609;0.7224;0.7797;0.8227
0.495;0.5798;0.7506;0.8228;0.8117
0.4888;0.5803;0.6944;0.8225;0.8784
0.494;0.6233;0.7095;0.8421;0.8597
0.4626;0.5809;0.7422;0.7838;0.8187
0.4998;0.6279;0.7739;0.8074;0.8496
0.4714;0.5849;0.7164;0.7664;0.8384
0.4838;0.6191;0.7332;0.7607;0.8585
0.497;0.5783;0.7373;0.8237;0.8102
0.4982;0.5502;0.7606;0.8294;0.8481
0.4928;0.6002;0.6619;0.7757;0.857
0.452;0.5476;0.7363;0.814;0.8798
0.4988;0.5708;0.7673;0.8157;0.8556
0.5002;0.5719;0.7106;0.8032;0.8542
0.4856;0.5785;0.695;0.7574;0.8427
0.4996;0.6075;0.7523;0.8156;0.861
0.496;0.5808;0.7406;0.8132;0.8419
0.4984;0.5761;0.7472;0.814;0.8668
0.5002;0.5857;0.7632;0.7858;0.8687
0.4968;0.5576;0.7361;0.8182;0.848
0.4824;0.6288;0.6706;0.8055;0.8549
0.4976;0.5978;0.7328;0.7713;0.8173
0.4958;0.5528;0.7497;0.8203;0.8381
0.4968;0.6146;0.7442;0.8105;0.843
0.5;0.5595;0.702;0.7952;0.8609
0.4766;0.5648;0.7492;0.7855;0.8379
0.4874;0.6152;0.7154;0.7984;0.8692
0.4976;0.5847;0.7233;0.8117;0.8705
0.5;0.5975;0.7317;0.7888;0.8658
0.5;0.6108;0.7474;0.8392;0.8619
0.5;0.5552;0.7318;0.8428;0.8305
0.4994;0.5908;0.7349;0.7806;0.8593
0.497;0.5858;0.7498;0.7573;0.8461
0.4994;0.5856;0.7437;0.7955;0.8671
0.496;0.5587;0.7507;0.7897;0.8684
0.494;0.6004;0.7258;0.7957;0.8409
0.4976;0.5572;0.7147;0.803;0.8722
0.4892;0.5892;0.7355;0.7802;0.8648
0.4976;0.5911;0.7917;0.8001;0.8385
0.5006;0.586;0.7461;0.7851;0.8632
0.4714;0.5679;0.7208;0.7863;0.8432
0.4988;0.5934;0.7647;0.8111;0.8546
0.5004;0.5757;0.7558;0.7819;0.8403
0.4916;0.6024;0.7636;0.8317;0.8668
0.4984;0.5851;0.7017;0.8432;0.8672
0.5;0.6219;0.7452;0.8184;0.8246
0.5002;0.5585;0.7526;0.808;0.8717
0.4994;0.6052;0.7443;0.7993;0.8652
0.4888;0.5745;0.748;0.8354;0.8466
0.4976;0.582;0.7289;0.8153;0.8354
0.5;0.5578;0.7406;0.8138;0.8456
0.4982;0.5957;0.6726;0.8007;0.8593
0.499;0.5986;0.7526;0.821;0.8549
0.4992;0.5977;0.74;0.831;0.8588
0.492;0.5333;0.7161;0.7526;0.8341
0.5;0.5769;0.7452;0.8015;0.8621
0.4996;0.57;0.719;0.7892;0.8562
0.4976;0.546;0.729;0.8112;0.8578
0.4856;0.5896;0.7771;0.8248;0.8382
0.4996;0.5457;0.7362;0.8052;0.8688
0.496;0.614;0.672;0.8023;0.8632
0.4994;0.5981;0.7528;0.8349;0.8361
0.4992;0.5885;0.6729;0.7725;0.853
0.4988;0.5932;0.7608;0.8178;0.8466
0.5004;0.5733;0.7052;0.787;0.8673
0.5002;0.5729;0.7441;0.838;0.8447
0.4902;0.5888;0.7229;0.846;0.8414
0.5;0.5638;0.7377;0.8189;0.8618
0.4976;0.599;0.747;0.7708;0.8292
0.495;0.5846;0.7524;0.8083;0.8407
0.4964;0.5649;0.7216;0.7801;0.8661
0.5012;0.5318;0.7142;0.7708;0.85
0.4976;0.5724;0.7416;0.8177;0.8397
0.493;0.632;0.7339;0.7579;0.8528
0.4988;0.5987;0.7642;0.8042;0.8405
0.482;0.6219;0.7149;0.7692;0.8696
0.496;0.6078;0.6967;0.7829;0.8654
0.4976;0.5787;0.7242;0.8109;0.8489
0.4992;0.6056;0.7268;0.8025;0.8821
0.4976;0.5984;0.7728;0.7812;0.8272
0.497;0.556;0.7432;0.8349;0.8703
0.5002;0.598;0.7587;0.8129;0.8679
0.494;0.5885;0.7152;0.8222;0.8423
0.4992;0.5984;0.7434;0.779;0.8608
0.494;0.5843;0.741;0.8197;0.8665
0.5;0.5683;0.7707;0.822;0.8446
0.4916;0.5688;0.6988;0.7794;0.8739
0.494;0.5753;0.6975;0.7808;0.8672
0.5;0.578;0.7772;0.7981;0.8642
0.4992;0.6216;0.7246;0.7636;0.8696
0.5;0.5844;0.7252;0.8304;0.8356
0.496;0.578;0.7188;0.8444;0.8476
0.4996;0.6095;0.7195;0.8259;0.8623
0.4736;0.609;0.7333;0.8073;0.8709
0.4846;0.5851;0.6844;0.7692;0.8194
0.5;0.5772;0.729;0.777;0.8363
0.5;0.5814;0.7458;0.814;0.8436
0.5;0.5878;0.726;0.789;0.8859
0.5;0.5988;0.7592;0.7724;0.8301
0.492;0.5803;0.7321;0.8014;0.8241
0.484;0.5839;0.6954;0.829;0.8411
0.493;0.5795;0.7505;0.8187;0.8767
0.5;0.5541;0.7083;0.7938;0.8359
0.4902;0.6045;0.7618;0.8041;0.8573
0.5004;0.5704;0.6923;0.7795;0.8321
0.5;0.5795;0.7629;0.7775;0.8504
0.5;0.5903;0.7277;0.7952;0.8722
0.4904;0.5692;0.7638;0.8022;0.8758
0.5;0.5613;0.7583;0.805;0.887
0.5;0.5732;0.7377;0.8252;0.8262
0.4888;0.5844;0.7646;0.8005;0.86
0.4996;0.5953;0.7531;0.7819;0.8563
0.4998;0.598;0.7646;0.8344;0.8503
0.4984;0.6166;0.7331;0.8175;0.8664
0.4998;0.572;0.7732;0.8246;0.8101
0.5;0.5708;0.7579;0.8246;0.8235
0.4928;0.5797;0.7252;0.7979;0.8723
0.4944;0.5952;0.7356;0.8063;0.8814
0.5;0.618;0.7185;0.8032;0.8544
0.5;0.5828;0.7527;0.8128;0.7993
0.4928;0.5963;0.7296;0.8138;0.834
0.496;0.6001;0.7799;0.7811;0.8404
0.4958;0.5549;0.7276;0.8247;0.8696
0.496;0.5737;0.7153;0.8088;0.8264
0.4996;0.5736;0.6797;0.798;0.8878
0.4936;0.5433;0.7175;0.8294;0.8574
0.493;0.6013;0.72;0.835;0.8648
0.4952;0.5741;0.7223;0.8034;0.8886
0.4994;0.5884;0.7827;0.8299;0.8626
0.493;0.5865;0.7603;0.7927;0.8522
0.5;0.587;0.7739;0.8048;0.8562
0.5;0.5542;0.7403;0.8201;0.8691
0.4968;0.5864;0.7379;0.8422;0.8765
0.4916;0.5822;0.748;0.7828;0.8602
0.5;0.5843;0.7268;0.7962;0.8338
0.4944;0.605;0.7448;0.8132;0.8425
0.498;0.5988;0.739;0.8157;0.8636
0.5;0.5499;0.6871;0.8184;0.8238
0.5;0.6008;0.7426;0.811;0.8305
0.4992;0.5678;0.7264;0.8041;0.8653
0.5004;0.5898;0.7409;0.7763;0.8739
0.4944;0.6187;0.7628;0.77;0.8386
0.5;0.5659;0.7195;0.7646;0.8358
0.5012;0.607;0.7181;0.8219;0.8353
0.4904;0.5733;0.7234;0.8363;0.8257
0.4952;0.5544;0.6909;0.7753;0.8417
0.5006;0.586;0.7026;0.8109;0.873
0.5;0.548;0.7277;0.7622;0.8719
0.498;0.6065;0.7533;0.8221;0.8679
0.4988;0.6077;0.7425;0.8047;0.855
0.5006;0.576;0.7317;0.7952;0.8582
0.5002;0.6006;0.7566;0.8025;0.8173
0.4928;0.5873;0.7479;0.7922;0.8262
0.4988;0.594;0.7056;0.7983;0.8729
0.498;0.5952;0.7127;0.7986;0.8459
0.5;0.6013;0.7601;0.8528;0.8472
0.497;0.61;0.7379;0.8214;0.829
0.496;0.6012;0.7192;0.7394;0.8979
0.494;0.5916;0.7432;0.7756;0.8391
0.4976;0.5975;0.676;0.8342;0.8346
0.4964;0.5917;0.7161;0.8218;0.83
0.4996;0.6023;0.753;0.8087;0.8362
0.4982;0.5912;0.6789;0.82;0.8832
0.496;0.5794;0.744;0.7952;0.8552
0.4996;0.5684;0.7672;0.8394;0.8442
0.4994;0.5455;0.7336;0.8079;0.8291
0.5002;0.6109;0.7192;0.8341;0.85
0.498;0.6035;0.7024;0.8153;0.833
0.4988;0.5715;0.7673;0.7864;0.8836
0.5;0.5528;0.7479;0.7962;0.8474
0.5;0.5742;0.6863;0.8152;0.8571
0.5;0.591;0.7316;0.789;0.8437
0.4988;0.5652;0.754;0.8115;0.8671
0.4988;0.5815;0.6788;0.7886;0.7969
0.494;0.5655;0.7096;0.8276;0.833
0.4996;0.5822;0.7648;0.8087;0.8784
0.5;0.6025;0.7181;0.7855;0.8603
0.484;0.5519;0.7146;0.7971;0.8608
0.494;0.5688;0.7648;0.7849;0.8536
0.4984;0.6074;0.7622;0.8397;0.865
0.495;0.6174;0.7377;0.8267;0.8608
0.4976;0.581;0.7445;0.8098;0.8677
0.4984;0.5624;0.69;0.8256;0.847
0.4976;0.5704;0.7203;0.8155;0.8274
0.4984;0.5815;0.7671;0.817;0.8484
0.4988;0.58;0.7346;0.7913;0.8534
0.4984;0.56;0.6925;0.7528;0.8836
0.4976;0.5844;0.7081;0.7853;0.8519
0.491;0.5849;0.7251;0.8646;0.8433
0.4976;0.6135;0.7062;0.8126;0.8569
0.5004;0.5602;0.7311;0.8607;0.8619
0.4988;0.574;0.7581;0.7566;0.8695
0.499;0.588;0.7574;0.7736;0.825
0.486;0.5708;0.7398;0.7994;0.8563
0.4976;0.58;0.7322;0.8145;0.847
0.502;0.6067;0.7435;0.8381;0.8497
0.482;0.5998;0.7266;0.8125;0.845
0.493;0.5563;0.6901;0.8019;0.8484
0.4952;0.5732;0.7413;0.8409;0.866
0.4992;0.5776;0.7136;0.7984;0.8534
0.492;0.5844;0.7117;0.7776;0.8684
0.496;0.5803;0.7189;0.8008;0.8476
0.4996;0.6095;0.7442;0.8075;0.8505
0.4952;0.5959;0.7135;0.8019;0.864
0.5002;0.5958;0.7431;0.8396;0.8799
0.4868;0.6077;0.7683;0.8018;0.8388
0.4928;0.5516;0.6596;0.8407;0.8638
0.4802;0.6132;0.7313;0.8383;0.8806
0.494;0.5853;0.7009;0.8147;0.8488
0.4992;0.579;0.7394;0.8205;0.8622
0.4992;0.5778;0.7467;0.7521;0.8692
0.5;0.5591;0.7083;0.79;0.8425
0.4992;0.608;0.7271;0.8208;0.8539
0.4856;0.588;0.7433;0.8083;0.8097
0.4916;0.5544;0.7211;0.8049;0.8413
0.4856;0.6186;0.742;0.8036;0.8719
0.4802;0.5546;0.6991;0.8046;0.8689
0.4994;0.5852;0.7188;0.8097;0.8346
0.4712;0.5808;0.7423;0.7741;0.836
0.4872;0.5786;0.6997;0.7708;0.8657
0.4982;0.5722;0.7368;0.8066;0.8496
0.4976;0.5665;0.7402;0.7749;0.8429
0.4928;0.5679;0.728;0.7988;0.8674
0.4776;0.5916;0.7189;0.8174;0.8302
0.4996;0.5609;0.7029;0.8537;0.8678
0.4952;0.585;0.7656;0.8091;0.8724
0.4868;0.5842;0.7346;0.8293;0.8795
0.4976;0.5806;0.769;0.7732;0.8722
0.5;0.5648;0.7196;0.7988;0.8215
0.4994;0.542;0.719;0.8283;0.8498
0.4928;0.5916;0.7325;0.7888;0.8678
0.493;0.6266;0.7784;0.7907;0.866
0.4968;0.6185;0.7199;0.8249;0.8461
0.4944;0.5724;0.717;0.7896;0.8728
0.4976;0.5558;0.7283;0.8091;0.808
0.5002;0.606;0.6921;0.8425;0.8724
0.4964;0.5586;0.6981;0.808;0.8476
0.497;0.5818;0.7232;0.8087;0.853
0.496;0.5834;0.7478;0.8426;0.8587
0.484;0.5852;0.7682;0.8114;0.8612
0.5;0.5998;0.7505;0.8131;0.8571
0.4976;0.5669;0.7351;0.7913;0.8611
0.4988;0.5917;0.7117;0.8371;0.8641
0.491;0.6176;0.708;0.7969;0.8636
0.4968;0.5477;0.7517;0.832;0.8835
0.4856;0.5912;0.7368;0.8081;0.8452
0.501;0.5747;0.7156;0.7919;0.8681
0.4996;0.5457;0.7373;0.8172;0.8398
0.4988;0.5571;0.7551;0.8072;0.8553
0.4968;0.6138;0.6913;0.8082;0.8645
0.4916;0.5852;0.7092;0.831;0.8377
0.4916;0.6162;0.7329;0.8095;0.878
0.494;0.6096;0.7473;0.7748;0.8578
0.4992;0.5929;0.7536;0.8166;0.8157
0.4996;0.5535;0.7308;0.7785;0.8159
0.496;0.6079;0.746;0.8239;0.8676
0.4456;0.5878;0.6863;0.7801;0.8262
0.4976;0.5654;0.752;0.8232;0.8658
0.4992;0.5918;0.6948;0.8362;0.8642
0.4904;0.5713;0.7015;0.8351;0.8715
0.4968;0.6219;0.7247;0.8059;0.888
0.4736;0.5815;0.6986;0.8183;0.8526
0.5;0.5742;0.7486;0.8106;0.8594
0.5;0.5657;0.7563;0.7891;0.8169
0.494;0.5896;0.7404;0.8422;0.8432
0.5;0.5908;0.7077;0.7956;0.8418
0.4976;0.5925;0.6895;0.8173;0.8411
0.4824;0.5855;0.7478;0.7949;0.869
0.5004;0.5664;0.7051;0.7988;0.8773
0.5;0.5847;0.7026;0.8284;0.8637
0.5;0.5864;0.6884;0.793;0.8556
0.4968;0.5904;0.6977;0.7735;0.8368
0.4976;0.6239;0.7126;0.8146;0.8406
0.4952;0.5904;0.7024;0.7958;0.851
0.482;0.5978;0.7617;0.7935;0.8589
0.5;0.5934;0.7248;0.7929;0.8506
0.4994;0.5986;0.7212;0.7953;0.8646
0.5;0.5736;0.7009;0.855;0.867
0.4998;0.566;0.7851;0.8465;0.8563
0.5;0.5408;0.7245;0.8258;0.8481
0.4976;0.5984;0.7443;0.8047;0.8405
0.4996;0.6;0.745;0.8064;0.861
0.4916;0.5905;0.7222;0.8114;0.8648
0.4998;0.5992;0.7392;0.7499;0.8502
0.5008;0.5928;0.7348;0.7769;0.8911
0.4872;0.5964;0.7123;0.8425;0.8527
0.4988;0.5794;0.7064;0.8115;0.8569
0.4996;0.6024;0.7551;0.7987;0.854
0.5004;0.5976;0.745;0.8032;0.837
0.4994;0.5651;0.7114;0.8081;0.8344
0.4984;0.5994;0.7609;0.7806;0.8567
0.4928;0.5413;0.7267;0.777;0.8652
0.4998;0.5623;0.7276;0.7964;0.8401
0.4992;0.5747;0.7655;0.8186;0.8678
0.4996;0.553;0.7524;0.8483;0.8468
0.5;0.6107;0.7222;0.8095;0.8401
0.4992;0.524;0.7212;0.8112;0.835
0.5;0.5897;0.7294;0.7871;0.8438
0.5002;0.5765;0.739;0.8166;0.8731
0.499;0.6016;0.705;0.8104;0.8614
0.5;0.5692;0.7377;0.804;0.8324
0.5;0.6032;0.7549;0.8112;0.8311
0.4976;0.6013;0.7228;0.8233;0.8415
0.4872;0.5787;0.7449;0.8231;0.8415
0.497;0.5826;0.7663;0.7945;0.8672
0.5;0.5815;0.7442;0.7685;0.8349
0.486;0.5587;0.745;0.7923;0.7987
0.5004;0.5925;0.731;0.8118;0.8374
0.4976;0.5916;0.7132;0.821;0.8326
0.4968;0.5749;0.7474;0.8079;0.8781
0.4988;0.554;0.6878;0.8232;0.8746
0.5;0.5596;0.725;0.8343;0.835
0.4808;0.5812;0.7366;0.8226;0.8513
0.4984;0.6139;0.7492;0.7727;0.8729
0.4916;0.599;0.7632;0.7992;0.8513
