2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.51445;0.43355;0.266;0.21785;0.16825
0.50045;0.46485;0.23965;0.1817;0.15625
0.505;0.40285;0.26275;0.15415;0.10675
0.51805;0.39875;0.2967;0.215;0.1235
0.5032;0.41305;0.25905;0.186;0.14675
0.5;0.4374;0.23955;0.16725;0.15105
0.50125;0.39295;0.2417;0.19045;0.14655
0.5002;0.4152;0.2838;0.24875;0.1586
0.5008;0.43955;0.27855;0.2205;0.1784
0.505;0.42065;0.25065;0.17885;0.1885
0.51125;0.42065;0.3061;0.1785;0.1222
0.50845;0.37795;0.2917;0.1591;0.14115
0.5392;0.41915;0.25815;0.2178;0.18165
0.5002;0.37305;0.2272;0.1932;0.1516
0.5288;0.41515;0.28375;0.23415;0.162
0.5162;0.38245;0.26795;0.24015;0.14245
0.5032;0.42215;0.26295;0.17755;0.1904
0.5018;0.44985;0.24085;0.17095;0.1524
0.5072;0.39995;0.3387;0.2244;0.1436
0.54805;0.4526;0.26435;0.1864;0.12045
0.50125;0.42935;0.23275;0.185;0.14505
0.5;0.42935;0.29005;0.19715;0.14595
0.51445;0.42215;0.30515;0.2435;0.1579
0.50045;0.39265;0.2479;0.18495;0.1402
0.50405;0.41955;0.25975;0.18825;0.15825
0.5018;0.42395;0.2529;0.18805;0.1338
0.5;0.41435;0.23745;0.2154;0.1317
0.5032;0.44255;0.2645;0.18225;0.15245
0.51805;0.37155;0.32955;0.19545;0.14545
0.50245;0.4024;0.2674;0.2292;0.1833
0.505;0.44875;0.2516;0.18025;0.1626
0.5032;0.3878;0.25665;0.19;0.15775
0.50005;0.44235;0.29885;0.20575;0.1395
0.5242;0.43555;0.2519;0.21505;0.1623
0.5128;0.385;0.28575;0.2029;0.13125
0.50245;0.41545;0.27695;0.1886;0.12995
0.50045;0.40255;0.2687;0.212;0.1344
0.50005;0.38985;0.25295;0.16185;0.1385
0.5;0.44485;0.2686;0.1579;0.1707
0.5008;0.40935;0.26525;0.22;0.14125
0.5032;0.41435;0.2505;0.2435;0.1549
0.5008;0.415;0.25665;0.2058;0.1332
0.50405;0.44165;0.2499;0.2107;0.13225
0.50605;0.4014;0.2744;0.20505;0.1594
0.50245;0.4434;0.2855;0.1991;0.12865
0.51125;0.41215;0.2648;0.2226;0.13615
0.50245;0.40895;0.20845;0.2001;0.16225
0.5002;0.41435;0.25405;0.2165;0.1375
0.5288;0.43215;0.27975;0.21425;0.1577
0.50125;0.40695;0.2354;0.1893;0.1459
0.50005;0.42435;0.24555;0.21845;0.16085
0.50845;0.3978;0.23665;0.16865;0.13445
0.5018;0.41505;0.29865;0.1576;0.13355
0.5;0.37845;0.2556;0.1831;0.17615
0.5;0.44195;0.2485;0.19235;0.12875
0.5008;0.39515;0.25625;0.2013;0.1369
0.51125;0.42615;0.25305;0.16575;0.1539
0.5032;0.41815;0.2721;0.1858;0.1653
0.50045;0.44235;0.26065;0.18685;0.155
0.5018;0.40495;0.32835;0.20035;0.1421
0.5018;0.4022;0.2485;0.1792;0.1454
0.5008;0.40295;0.26065;0.1696;0.1419
0.50845;0.46855;0.2842;0.2482;0.16615
0.5002;0.42355;0.25515;0.1987;0.13895
0.50045;0.43015;0.2814;0.2111;0.1444
