3 Cat.;6 Cat.;9 Cat.;12 Cat.;15 Cat.;25 Cat.;35 Cat.
0.908;0.88;0.876;0.908;0.908;0.844;0.856
0.892;0.912;0.856;0.856;0.88;0.848;0.872
0.876;0.872;0.816;0.844;0.836;0.852;0.824
0.88;0.852;0.9;0.844;0.812;0.856;0.852
0.884;0.844;0.872;0.868;0.824;0.892;0.856
0.888;0.864;0.868;0.86;0.824;0.864;0.864
0.92;0.86;0.888;0.892;0.868;0.844;0.84
0.896;0.896;0.836;0.848;0.88;0.852;0.856
0.88;0.876;0.912;0.9;0.872;0.852;0.792
0.924;0.876;0.868;0.844;0.86;0.836;0.848
0.888;0.828;0.872;0.816;0.884;0.856;0.836
0.88;0.86;0.884;0.816;0.832;0.836;0.876
0.924;0.884;0.892;0.828;0.872;0.86;0.876
0.924;0.88;0.884;0.884;0.856;0.856;0.84
0.896;0.904;0.876;0.864;0.868;0.884;0.808
0.888;0.84;0.856;0.84;0.86;0.836;0.868
0.896;0.844;0.912;0.884;0.88;0.816;0.844
0.896;0.9;0.88;0.852;0.912;0.856;0.86
0.896;0.892;0.892;0.828;0.864;0.812;0.852
0.908;0.86;0.848;0.86;0.836;0.884;0.868
0.916;0.872;0.868;0.828;0.836;0.856;0.848
0.912;0.86;0.84;0.848;0.852;0.852;0.892
0.868;0.88;0.86;0.836;0.84;0.868;0.84
0.888;0.88;0.888;0.812;0.88;0.868;0.816
0.888;0.884;0.876;0.836;0.844;0.868;0.832
0.916;0.864;0.828;0.892;0.868;0.86;0.896
0.884;0.832;0.896;0.844;0.812;0.876;0.828
0.908;0.864;0.876;0.9;0.856;0.884;0.808
0.896;0.828;0.888;0.828;0.868;0.84;0.872
0.908;0.868;0.86;0.876;0.864;0.884;0.836
0.9;0.884;0.868;0.836;0.896;0.884;0.9
0.888;0.896;0.844;0.836;0.832;0.884;0.88
0.884;0.912;0.876;0.824;0.832;0.848;0.868
0.872;0.892;0.872;0.876;0.896;0.88;0.84
0.916;0.924;0.848;0.9;0.88;0.828;0.776
0.904;0.9;0.856;0.892;0.86;0.86;0.856
0.908;0.844;0.88;0.864;0.856;0.88;0.848
0.896;0.884;0.884;0.872;0.832;0.82;0.908
0.924;0.884;0.856;0.828;0.872;0.856;0.86
0.912;0.816;0.872;0.868;0.876;0.86;0.86
0.884;0.868;0.904;0.864;0.884;0.888;0.852
