2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
83783.7674310777;30306.789085213;19167.5956516291;15106.9759022556;14514.6987969925
74145.9569047619;31169.4404010025;18697.5678822055;15783.1743984962;14386.9896115288
72882.2937468672;33574.8260776942;19083.2675062657;15310.6288847118;14821.8474937343
63739.9827694236;28336.819160401;18864.6279824561;15076.1827443609;14600.7737593985
78788.9724310777;33961.2311904762;19051.7018295739;15336.9260401003;14812.9479949875
80179.6172431078;29586.7418671679;17827.5145614035;16104.5024686717;14487.6907769424
81599.2653634085;32553.0080325815;16939.2952005013;14938.0019924812;14785.359085213
84526.7601002506;32047.92160401;19254.7597869674;15709.7143984962;14516.5125689223
70437.0877318296;34393.6176566416;17701.1561278195;15410.7323558897;14461.9431453634
75437.3511904762;28093.0095363409;19212.3240225564;15402.4494611529;14387.8643859649
89143.0819047619;31633.5253258145;18514.9668796992;14985.7815162907;14916.335914787
73510.6758897243;29878.2176566416;18964.640112782;15456.200037594;14598.6205263158
63223.9961904762;29103.6689724311;19352.0362030075;15544.4560651629;14682.4741102757
101009.839799499;31926.3779573935;18908.2178822055;15389.7127192982;14453.701679198
86800.7508897243;34331.0758897243;17846.8579824561;15185.5406641604;14550.5699498747
74145.9569047619;31374.9110776942;18251.332593985;15144.4335463659;14800.8758145363
68674.0082205514;31927.9734461153;18026.5254010025;15819.9868922306;14688.4276065163
71038.206716792;27986.1719423559;17845.5408145363;14913.5539473684;14495.4064912281
65867.9147994987;28314.3238220551;19220.7365538847;15036.8337468672;14540.2616541353
78788.9724310777;30312.6035213033;19479.55660401;15597.338283208;14628.3947117794
78788.9724310777;33369.4326942356;17297.4859273183;15448.4814661654;14485.2529197995
77427.0397994987;33224.7424686717;18670.6069799499;15054.7781203008;14482.9868922306
78788.9724310777;32804.8808145363;18364.9669298246;16053.3126566416;14708.211679198
82320.0579573935;30068.4456265664;18150.2314912281;15547.542481203;14333.5538095238
69255.0203634085;33776.5313408521;19277.4497869674;15370.8269924812;14487.9663533835
73510.6758897243;29665.6779949875;18538.1317418546;15233.3446867168;14433.3602631579
75437.3511904762;32943.3169047619;17942.1503884712;15370.853320802;14562.8406015038
61223.1829573935;30791.0035213033;17859.2883834586;15249.584887218;14568.1323433584
71646.0922431078;31263.014047619;18347.6987092732;15315.8202130326;14477.4468421053
88354.6456265664;30664.5110776942;17619.8318170426;15220.5772556391;14367.2746115288
74145.9569047619;32015.9860776942;17285.8559273183;15860.950764411;14842.110952381
79480.6877318296;31888.2945363409;18616.1620175439;15190.1231077694;14433.0161152882
83048.2127318296;28539.2823182957;18570.7915789474;15452.3111904762;14821.3601754386
66416.0401002506;31107.8726942356;17956.0801629073;15104.870112782;14822.6946491228
86800.7508897243;30659.7334461153;17640.7157518797;15625.535;14603.164235589
59322.0653634085;33999.1193107769;17492.7456265664;14961.7404135338;14573.7866917293
