2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.876666666666667;0.935;0.926;0.89875;0.932727272727273
0.95;0.9325;0.918;0.912380952380953;0.967272727272727
0.956666666666667;0.92;0.918;0.930625;0.94
0.91;0.885;0.942;0.930625;0.912727272727273
0.926666666666667;0.91;0.938;0.931428571428571;0.927272727272727
0.94;0.9325;0.922;0.919375;0.930909090909091
0.92;0.95;0.896;0.911875;0.921166666666667
0.893333333333333;0.9575;0.984;0.925;0.885454545454545
0.89;0.88;0.902;0.93625;0.890909090909091
0.95;0.8875;0.97;0.9175;0.916363636363637
0.92;0.955;0.94;0.86125;0.925454545454546
0.96;0.95;0.904;0.930625;0.929090909090909
0.92;0.9175;0.93;0.930625;0.925454545454546
0.9;0.945;0.904;0.919375;0.94
0.93;0.915;0.902;0.908125;0.878181818181818
0.923333333333333;0.915;0.898;0.92125;0.912962962962963
0.906666666666667;0.9225;0.918;0.926875;0.9285
0.946666666666667;0.8875;0.952;0.92125;0.936363636363637
0.923333333333333;0.865;0.888;0.88375;0.914545454545455
0.966666666666667;0.9125;0.932;0.92875;0.943636363636364
0.893333333333333;0.895;0.938;0.934375;0.930909090909091
0.933333333333333;0.905;0.902;0.9325;0.898181818181818
0.906666666666667;0.925;0.876;0.915625;0.947272727272727
0.916666666666667;0.93;0.922;0.896875;0.934545454545454
0.89;0.97;0.9;0.938125;0.929090909090909
0.96;0.9125;0.944;0.92125;0.934545454545455
0.91;0.925;0.95;0.91375;0.923636363636364
0.92;0.925;0.916;0.930625;0.887272727272727
0.93;0.94;0.88;0.919375;0.910909090909091
0.93;0.915;0.892;0.95125;0.958181818181818
0.89;0.8925;0.894;0.91;0.913833333333333
0.936666666666667;0.8775;0.95;0.94375;0.943636363636364
0.886666666666667;0.9425;0.908;0.91375;0.907407407407407
0.926666666666667;0.92;0.906;0.9475;0.894545454545455
0.896666666666667;0.9175;0.96;0.911875;0.941818181818182
0.926666666666667;0.905;0.908;0.95125;0.855166666666667
0.916666666666667;0.945;0.946;0.90625;0.901818181818182
0.9;0.9125;0.914;0.91375;0.918181818181818
0.95;0.91;0.908;0.925;0.896363636363636
0.923333333333333;0.93;0.884;0.93625;0.932727272727273
0.93;0.94;0.946;0.911875;0.923636363636364
0.93;0.9375;0.92;0.930625;0.934
0.893333333333334;0.935;0.942;0.86875;0.898181818181818
0.95;0.92;0.916;0.914285714285714;0.852727272727273
0.91;0.8875;0.95;0.9175;0.941818181818182
0.99;0.9475;0.894;0.923125;0.934545454545454
0.936666666666667;0.9175;0.952;0.89875;0.941818181818182
0.946666666666667;0.94;0.902;0.908125;0.978181818181818
0.886666666666666;0.9325;0.96;0.955;0.95
0.903333333333333;0.9175;0.948;0.923125;0.923636363636364
0.916666666666667;0.8925;0.946;0.94375;0.930909090909091
0.923333333333333;0.88;0.948;0.934375;0.972727272727273
0.923333333333333;0.95;0.94;0.926875;0.903636363636364
0.876666666666667;0.905;0.884;0.934375;0.974545454545454
0.93;0.9475;0.916;0.91375;0.927272727272727
0.94;0.8975;0.956;0.96625;0.92
0.92;0.8825;0.92;0.93625;0.899166666666667
0.916666666666667;0.9425;0.922;0.955;0.924833333333333
0.936666666666667;0.8525;0.9;0.911875;0.927272727272727
0.853333333333334;0.87;0.952;0.919375;0.887272727272727
0.903333333333333;0.9325;0.93;0.923125;0.932727272727273
0.916666666666667;0.8925;0.926;0.926875;0.947272727272727
0.936666666666667;0.9075;0.89;0.92875;0.9
0.906666666666667;0.93;0.924;0.88375;0.929090909090909
0.896666666666667;0.9225;0.96;0.923125;0.970909090909091
0.916666666666667;0.885;0.932;0.91;0.927272727272728
0.89;0.8425;0.932;0.925;0.9
0.88;0.9125;0.914;0.923125;0.904666666666667
0.886666666666666;0.945;0.914;0.9325;0.907272727272727
0.896666666666667;0.94;0.932;0.870625;0.929090909090909
0.95;0.9775;0.966;0.930625;0.925454545454545
0.92;0.9475;0.898;0.911875;0.970909090909091
0.946666666666667;0.93;0.942;0.94375;0.910166666666667
0.936666666666667;0.9275;0.924;0.92125;0.894545454545455
0.923333333333333;0.97;0.89;0.874375;0.956363636363636
0.883333333333334;0.8975;0.922;0.899047619047619;0.927272727272727
0.926666666666667;0.9775;0.93;0.9025;0.921166666666667
0.916666666666667;0.91;0.908;0.870625;0.918181818181818
0.946666666666667;0.9125;0.94;0.919375;0.949090909090909
0.9;0.9025;0.926;0.902857142857143;0.904666666666667
0.93;0.915;0.906;0.94375;0.892727272727273
0.93;0.92;0.896;0.92875;0.925454545454546
0.84;0.9025;0.93;0.930625;0.9
0.93;0.925;0.912;0.945625;0.914545454545455
0.91;0.95;0.914;0.934375;0.889090909090909
0.936666666666667;0.905;0.91;0.870625;0.929090909090909
0.926666666666667;0.92;0.94;0.915625;0.963333333333333
0.933333333333333;0.9775;0.916;0.92875;0.949090909090909
0.886666666666666;0.94;0.9;0.94375;0.888166666666667
0.916666666666667;0.88;0.924;0.895;0.905454545454545
0.99;0.9025;0.92;0.942857142857143;0.921818181818182
0.923333333333333;0.8975;0.906;0.915625;0.890909090909091
0.946666666666667;0.925;0.908;0.889375;0.892727272727273
0.956666666666667;0.9225;0.922;0.95125;0.92
