2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.7016125;0.3954625;0.2464125;0.1433;0.117575
0.6596125;0.4086;0.23655;0.16625;0.110575
0.6540125;0.4311125;0.246075;0.14805;0.1322
0.6128125;0.3782875;0.2392;0.142325;0.1214125
0.68;0.4225875;0.2398875;0.1517375;0.1254625
0.68605;0.3875125;0.2177875;0.169;0.116875
0.6922;0.4227625;0.1994125;0.135525;0.127775
0.7048;0.41265;0.248875;0.15915;0.118675
0.6431125;0.4358375;0.215825;0.1507875;0.114925
0.6653125;0.3766375;0.2477;0.153575;0.1095375
0.72445;0.4107625;0.2325875;0.1368;0.1334875
0.6568;0.3954625;0.2409375;0.151525;0.1197375
0.61045;0.38715;0.2510375;0.1566375;0.1242375
0.7738;0.4160125;0.233475;0.154575;0.1134375
0.7145125;0.44145;0.216775;0.14565;0.1175375
0.6596125;0.40185;0.2234375;0.14445;0.13105
0.6352;0.4167625;0.220025;0.1651875;0.124775
0.6458;0.3754875;0.2190125;0.1361375;0.1153
0.6225125;0.3790125;0.2449125;0.13985;0.116775
0.68;0.3960125;0.2489625;0.158175;0.1223375
0.68;0.4315875;0.2076;0.1524375;0.115225
0.67405;0.4299125;0.2359125;0.1424375;0.1150375
0.68;0.4133375;0.2278375;0.1731625;0.123425
0.6953125;0.3972625;0.2247375;0.1575375;0.1076
0.6378125;0.4356375;0.24415;0.1526625;0.113925
0.6568;0.39185;0.2272;0.1458875;0.113
0.6653125;0.4235375;0.2201;0.150325;0.118375
0.60125;0.4030125;0.2175125;0.1491875;0.1191
0.6485125;0.4098625;0.2289875;0.1505875;0.1145125
0.7211125;0.40285;0.209125;0.14435;0.1076875
0.6596125;0.4172875;0.206175;0.167975;0.1291125
0.6830125;0.41435;0.228;0.1447;0.1139625
0.69845;0.3784625;0.2327;0.15235;0.1305625
0.625;0.4021375;0.22135;0.141675;0.13115
0.7145125;0.4034625;0.2146625;0.1628;0.1198875
0.59245;0.4304875;0.21225;0.13755;0.1194
0.6128125;0.4242625;0.2125375;0.1637125;0.1170625
0.6922;0.3665375;0.22715;0.1461875;0.1256375
0.6770125;0.3758375;0.2540875;0.157575;0.1149375
0.6711125;0.4174625;0.256;0.1438;0.1247
0.6770125;0.3773875;0.2072;0.1655;0.1169375
0.7016125;0.3797375;0.2371625;0.1678875;0.128075
0.7048;0.38805;0.2578125;0.142;0.1212875
0.6770125;0.3980125;0.2202375;0.1553125;0.1041
0.6128125;0.3956125;0.230925;0.1592125;0.132975
0.6891125;0.4401375;0.2549625;0.141975;0.094675
0.6485125;0.3940875;0.23875;0.143925;0.12065
0.71125;0.3957625;0.2270875;0.1537875;0.1142375
0.68605;0.3793875;0.2246875;0.167425;0.1346
0.6596125;0.4158875;0.2289375;0.138625;0.119925
0.7278125;0.4167625;0.2005875;0.1506875;0.11625
0.7211125;0.39875;0.2290375;0.1413125;0.1243375
0.7556125;0.44005;0.2277875;0.1463;0.1265125
0.5946125;0.38115;0.2408375;0.1606875;0.130175
0.5946125;0.45395;0.2333625;0.1337;0.12315
0.6058;0.4105375;0.2185375;0.15075;0.1202875
0.66245;0.42585;0.2293875;0.162925;0.1244125
0.7485125;0.39245;0.2237;0.160725;0.1236875
0.6431125;0.38455;0.1926625;0.15845;0.1111125
0.6352;0.3805125;0.223275;0.1467375;0.1192625
0.7346125;0.4086;0.25355;0.1541875;0.1354625
0.6711125;0.4096625;0.2188625;0.15385;0.1244375
0.6176125;0.4509625;0.238375;0.141075;0.1207625
0.6682;0.3937375;0.2146125;0.1584125;0.11405
0.7145125;0.4167875;0.2207375;0.14495;0.12855
0.6830125;0.4270875;0.2530375;0.1461625;0.117175
0.6485125;0.4035875;0.2340875;0.1493375;0.1089375
0.7592;0.4293375;0.2107875;0.1523875;0.1166875
0.68;0.3980125;0.2581125;0.1448375;0.1095625
0.6596125;0.37945;0.2343875;0.1413125;0.1338875
0.7485125;0.4659875;0.2511125;0.15275;0.1140625
0.75205;0.4156125;0.2385125;0.15555;0.1203625
0.60125;0.42345;0.232575;0.1422125;0.1340625
0.6485125;0.38385;0.2230625;0.1650375;0.1211125
0.6326125;0.4184375;0.2255875;0.149475;0.1193625
0.5741125;0.4479875;0.2265375;0.157475;0.1218125
0.66245;0.4063375;0.2320125;0.1408375;0.1261875
0.7346125;0.39535;0.2369;0.1425;0.119375
0.66245;0.4117375;0.2095125;0.1418;0.11625
0.67405;0.4364875;0.22755;0.1671875;0.14295
0.7016125;0.4278;0.230475;0.14485;0.110475
0.7485125;0.4062125;0.2152;0.1487875;0.121575
0.67405;0.4094125;0.2364625;0.1618375;0.1145625
0.6891125;0.41045;0.2369125;0.152175;0.1118625
0.6891125;0.4128375;0.237125;0.149525;0.1201375
0.7080125;0.4155375;0.2284375;0.1626875;0.1218
0.6922;0.4016125;0.209225;0.1526375;0.1245
0.71125;0.4158875;0.2388;0.153325;0.1328625
0.64045;0.39715;0.22685;0.159225;0.110025
0.6326125;0.4161625;0.24455;0.1505875;0.1148375
0.7145125;0.42295;0.2294625;0.15855;0.102225
0.6540125;0.3960875;0.234225;0.1401875;0.106425
0.68;0.4320375;0.22405;0.150825;0.1169375
0.7080125;0.4022875;0.257575;0.156175;0.107125
0.7016125;0.41915;0.21705;0.1568375;0.1229375
0.5722;0.4371875;0.248075;0.1494125;0.1147125
