2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
83567.6548;30244.763775;19291.3418083333;15438.0932583333;14774.9127916667
73960.0067666667;31039.5956;18668.910325;15452.7190416667;14116.7937416667
72699.1126;33421.971225;18928.4908583333;15092.7938083333;14785.5051416667
63579.0158333333;28191.1249;18595.3135083333;14818.197025;14593.9456416667
78588.64;33831.2203416667;19133.4031666667;15508.238;14576.7216166667
79974.9510666667;29430.7899916667;17876.52975;16331.631;13930.3643
81392.7045333333;32514.8722583333;16704.2036583333;14768.0014416667;14900.2162916667
84309.9818666667;31956.0470666667;19350.8378166667;15774.1496583333;14408.1772916667
70256.2723;34336.7447416667;17515.4796416667;15224.858775;14512.990175
75247.7108333333;27987.3947333333;19162.495925;15637.328875;14653.9407833333
88916.9322666667;31666.8655916667;18462.498175;15377.9147916667;14976.3060333333
73326.4810666667;29744.0684583333;19107.2416416667;15539.0839083333;14806.12585
63065.1998666667;28977.6892;19515.896425;15911.2169916667;14343.371275
100755.1248;31881.9456583333;18609.3218083333;15281.7531333333;14380.1195
86581.8184;34327.4913666667;17779.0486416667;14887.3110416667;14176.5460666667
73959.1555;31269.7241333333;18366.5191416667;15236.866125;14934.5289
68499.7994666667;31842.074825;17742.5265583333;16495.377575;14796.7658
70859.4448;27853.7974083333;17634.1899583333;14911.3682583333;14210.387075
65702.7958;28247.4490583333;18563.5506583333;15238.3677916667;14662.773625
78591.52;30161.5205333333;19210.5352916667;15216.9689166667;14771.7167416667
78589.6;33262.261425;17222.4968583333;15734.8992416667;14451.4465583333
77232.776;33162.060225;18685.7244583333;15037.7276583333;14233.8373916667
78589.6;32708.7269416667;18272.5291416667;16089.1625916667;14435.8090333333
82113.0208333333;30059.980525;18112.2837166667;15071.8619083333;14510.5260583333
69081.01;33669.536775;19166.4375833333;14956.285025;14945.7906416667
73326.0629333333;29483.2068333333;18557.7589666667;15522.1529;14478.4017916667
75247.27;32872.116925;17829.0029583333;15026.9491083333;14413.541075
61068.91;30610.486825;17785.3100583333;15291.4753416667;14366.7199416667
71466.4324666667;31114.8372333333;18348.5171916667;14940.3156916667;14174.230475
88131.1793666667;30588.6414666667;17716.8118166667;15120.4152416667;14124.9176666667
73956.1760666667;31902.3415666667;17079.1580583333;15772.3533916667;14764.8311
79280.3389;31901.6977666667;18416.7714833333;15026.6869;14714.316825
82835.5648;28495.757875;18116.8314333333;15356.261025;14516.910225
66249.6666666667;31034.719375;17731.6952333333;15427.9057416667;14537.1439416667
86583.5345;30673.344675;17412.4126333333;15403.4511333333;14331.0988083333
59173.3904;33864.275275;17389.771975;14677.759775;14455.681225
63579.6175;33083.6968416667;17459.1493333333;15922.333725;14155.1230916667
81392.7045333333;26990.5764416667;18597.037725;14953.263075;14531.7732083333
77907.1088666667;27905.2511083333;19688.0836583333;15343.306225;14408.846375
76564.2316;31972.4956083333;19764.817175;14901.3223083333;14585.6578833333
77908.0529333333;28262.335475;17311.521475;16227.565975;14315.431375
83573.0311333333;28259.891125;18819.903725;15675.8579416667;14726.114875
84311.6202666667;29182.0067666667;19239.443375;14338.322925;13809.8667583333
77907.5809;30135.938325;17949.3805666667;15227.7082833333;13982.1280916667
63580.52;30125.5859916667;18381.2441583333;16009.4002083333;15209.2724083333
80683.3939;34432.6262666667;19498.707925;15117.4134583333;13972.59785
71465.2443666667;29716.0677416667;18445.036375;15292.775325;14654.17515
85818.7166666667;30494.0778;18024.1186583333;15214.012975;14515.4141916667
79975.9433333333;28435.4896916667;18287.972175;16087.4981416667;15022.4871666667
73957.4529666667;31950.7452583333;18088.937075;15177.2667416667;14742.3392083333
89714.155;31877.6959916667;16887.116775;15724.424075;14297.6559583333
88132.9482666667;29988.9875;18208.5971666667;14970.17105;14862.8803666667
