2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
116854.711666667;36314.6158333333;15201.775;5636.67;3981.22583333333
104090.108333333;38049.84;14215.8283333333;7009.26333333333;3737.38833333333
102350.378333333;42332.8683333333;15038.8466666667;6233.95166666667;4900.86333333333
89027.2083333333;33151.3616666667;14154.1108333333;5838.4425;5567.72333333333
110405.333333333;42760.8016666667;14560.1683333333;6093.80916666667;5407.295
112422.813333333;35178.1833333333;12478.7966666667;8301.15583333333;4371.36333333333
114222.293333333;40514.5583333333;10185.4483333333;5869.795;5221.36416666667
117995.52;39607;14912.545;7493.85583333333;4526.10166666667
98499.6383333333;43727.2733333333;12289.9741666667;6992.51833333333;4158.665
105902.708333333;32434.0408333333;14686.4491666667;6947.34333333333;4130.40833333333
124439.093333333;38989.0758333333;13429.9108333333;5835.42416666667;5308.59
103258.453333333;35541.8925;14974.4691666667;6625.48;4470.57333333333
88323.8933333333;34058.1333333333;15077.0658333333;7148.475;4763.76166666667
139854.133333333;39290.1191666667;14725.8508333333;6866.40666666667;3947.8425
121376.698333333;43671.4066666667;12368.0333333333;5901.71333333333;5149.8725
103919.855;38220.8766666667;13426.4791666667;5630.92666666667;4829.3325
96092.5866666667;39486.9166666667;12632.5858333333;8200.37666666667;4882.66583333333
99678.2933333333;32340.4108333333;11842.5933333333;4986.125;4035.73083333333
92161.6283333333;32975.6433333333;15832.5125;5701.69666666667;4341.29333333333
110693.333333333;36530.0375;15635.8491666667;6677.555;4185.10916666667
110165.333333333;42043.6758333333;10461.0291666667;6521.20166666667;4147.20083333333
108565.2;41898.1916666667;14059.38;5384.79;4424.00333333333
110261.333333333;40663.9883333333;13001.0241666667;8408.4425;4672.43833333333
115182.291666667;35955.8925;12470.4675;7061.63;3756.18333333333
96826.9583333333;42764.7283333333;15456.8316666667;6421.94916666667;4263.60166666667
103258.453333333;35538.88;13404.5075;5818.42583333333;4125.80916666667
105638.208333333;41279.035;12236.8516666667;6551.8825;4153.30083333333
85409.3333333333;37449.7108333333;12628.69;6369.35166666667;4910.66416666667
100441.498333333;38247.8033333333;13220.4516666667;6324.65;3801.25916666667
123470.218333333;37059.3066666667;11765.3658333333;5579.90666666667;3624.05333333333
103707.038333333;39657.1416666667;11157.6675;7963.31083333333;5343.77916666667
111433.701666667;39335.4566666667;13857.2083333333;5746.70666666667;3960.2375
115937.693333333;33119.8433333333;14202.7966666667;6892.99083333333;5150.68333333333
92966.6666666667;38009.2216666667;12632.1141666667;5879.94583333333;5068.965
121090.681666667;37030.82;11574.555;6804.37166666667;4448.61333333333
82646.1466666667;43224.79;11432.4225;5068.91;4910.85166666667
89057.2916666667;41404.7141666667;11403.1716666667;7779.26083333333;3846.15916666667
114068.533333333;30468.5966666667;13619.9383333333;5862.26666666667;5015.93583333333
109623.308333333;32380.0666666667;16437.2208333333;7152.89916666667;4379.5975
107564.588333333;39689.6441666667;16882.4591666667;6163.065;4495.15333333333
109481.698333333;33009.5758333333;10348.5875;7756.05916666667;4668.98833333333
117284.818333333;33099.1333333333;14673.3025;6990.08333333333;4777.23
117995.52;34598.1833333333;16543.5866666667;6057.2575;4845.38166666667
109623.308333333;36424.8141666667;12648.4208333333;6053.8475;4663.56666666667
89027.2083333333;36263.7083333333;13540.1958333333;7312.19166666667;6141.90833333333
113773.688333333;44068.7858333333;16651.5575;5903.315;3021.66833333333
100481.101666667;35609.0483333333;14422.01;6294.65833333333;4125.22083333333
120482.666666667;36837.1608333333;13161.7791666667;7053.51083333333;3394.51333333333
112025.906666667;33046.1383333333;12507.8433333333;7282.04916666667;4973.44333333333
103792.165;39526.5233333333;13623.8075;5456.09916666667;4838.1075
125473.958333333;39514.2683333333;9919.81416666667;6098.4675;4148.71166666667
123411.255;36379.0833333333;12777.1616666667;5999.54916666667;4356.91583333333
134345.455;44196.4266666667;13037.8166666667;5864.84333333333;5127.2125
83142.5783333333;34738.8866666667;15031.455;6596.18833333333;4367.27666666667
83344.4183333333;45841.4433333333;14503.7308333333;4637.72833333333;4504.42833333333
86935.4133333333;40545.2616666667;12153.1416666667;5925.875;4367.47166666667
104797.493333333;40947.78;13972.7175;7172.28;4956.56
132028.958333333;35055.4033333333;12499.5433333333;6661.05916666667;5075.4225
98766.7816666667;33822.1166666667;9661.88666666667;7264.66666666667;3836.69333333333
