2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
23693.75;61247.7083333333;110957.516666667;221631.611428571;320459.261111111
20023.76;59886.4316666667;128162.090666667;187973.678214286;297276.321777778
22597.49;60230.5733333333;110948.546;202202.617142857;295578.428444444
20478.71;57344;129989.123333333;187639.877142857;330825.528888889
28090.79;66063.9983333333;114480.128666667;215848.008928571;311125.980222222
21713.77;53475.8933333333;113640.533333333;213145.6875;279196.327777778
20005.91;63585.6083333333;123720.478;204114.285714286;324918.544222222
24641.28;59578.6666666667;126811.37;189926.094285714;297097.094888889
21719.55;54454.1716666667;112090.698666667;200008.777142857;296079.027777778
21510.4;58989;127728.75;190932.220357143;283463.345777778
23136.97;66949.845;132051.795333333;206429.222857143;327256.331777778
23386.88;55761.4583333333;109543.794;221444.361785714;330361.902
21911.6;58665.5883333333;131274.054;240021.659642857;398999.152
23421.44;62861.3016666667;108087.05;244845.165714286;323182.394666667
20998.79;71459.4133333333;115730.027333333;183608.723214286;300852.465777778
22836.24;63191.6666666667;110953.031333333;208194.370357143;296687.118222222
21515.52;55589.3333333333;112072.202666667;211908.516071429;289884.258
25717.95;57108.4616666667;120199.744666667;192604.914285714;290263.089777778
20717.53;57849.44;110756.544;196004.455357143;319671.105777778
21329.75;56390.9333333333;118629.85;207686.571428571;316160.113777778
21931.04;53727;116036.352;185105.325714286;316206.212222222
20849.6;60242.3333333333;119360.67;205281.682857143;323612.214444444
20988.65;61557.52;109555.554;230521.142857143;313992.654222222
22874.96;71505.6533333333;112560.192;202734.115357143;287974.656
21525.76;54097.7333333333;112032.128;191938.72;286499.079111111
20380.16;56189.7983333333;113348.85;245458.461071429;345054.577777778
20023.76;60870.8266666667;125512.434;206615.702857143;296111.527777778
20000;68517.1333333333;134577.282;205922.991071429;341055.288888889
22140.73;65145.9583333333;140083.968;190158.676785714;288644.245333333
21148.56;61288.2083333333;114416.03;183069.348571429;305471.985777778
20005.87;53473.2533333333;112812.491333333;193987.177142857;326193.776
