2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10302.0100502513;48083.1390476191;93971.9724040067;163632.897875469;274468.942574575
11514.15959799;43014.2397994987;100500.707935448;193259.374267835;282531.125847848
10302.0100502513;42072.8653634085;91476.5155314413;166732.056323529;275475.475475475
11278.1033165829;41671.561716792;103281.434924875;173628.279852941;252977.849691692
10090.4651256281;44142.3558897243;94375.4911574847;166991.588285357;254259.379379379
10696.7606030151;46190.0351002506;98058.0661992209;178448.687812891;306025.596028028
12511.2322110553;43554.814047619;99545.3302225932;172188.570466208;268435.336586587
10618.1218592965;42844.4351002506;98637.2648636617;163449.560750939;271574.853445445
10618.1218592965;41207.9508897243;98934.7098553144;170831.822981852;250740.81764965
10254.0985427136;47239.229085213;109876.291240957;172540.707133917;279711.809601602
10476.30959799;43941.2711904762;103653.023043962;189268.709640175;266755.348790791
10113.0967336683;43941.2711904762;92260.1963327768;173628.279852941;295830.666538539
12198.8583417085;41933.9779573935;90874.4213745131;180680.882352941;289202.044796797
10140.7686432161;45226.8248746867;100500.707935448;166732.056323529;250260.260292292
10302.0100502513;42520.3448746867;110334.959604897;162929.868338548;297924.975697698
10140.7686432161;45941.2082205514;90353.1249916528;163632.897875469;285483.238790791
10696.7606030151;45226.8248746867;100500.707935448;173260.55649562;271574.853445445
10696.7606030151;49285.2130325815;122438.241157485;168951.556198373;260859.06031031
10050.2512562814;44560.2969423559;92883.8949415693;173628.279852941;263277.024736737
10072.8683919598;40664.7947994987;90874.4213745131;174379.351142053;262916.239601602
11514.15959799;51603.3975062657;98345.0528714524;188720.424580726;257838.63988989
12511.2322110553;42366.0401002506;102198.759716194;191516.292368586;261864.627379379
12846.0261809045;45226.8248746867;97228.383311074;170184.458576345;262916.239601602
10254.0985427136;42366.0401002506;122438.241157485;163271.278551314;289840.621871872
11514.15959799;45697.7403634085;93405.0062103506;195051.904633917;257295.576538539
11168.0643718593;43941.2711904762;95709.1245464663;161412.49767209;300068.388388388
10302.0100502513;40351.0025062657;90510.9668113522;186581.486908636;271110.760682683
11063.3165829146;41800.2127318296;90152.7545965498;192091.839599499;281956.660532533
10072.8683919598;43189.2308897243;96445.4646633278;160763.612719024;269306.385907908
10113.0967336683;44560.2969423559;104029.975381191;181610.88640801;254259.379379379
12511.2322110553;42216.8832205514;96194.8514245965;204764.692665832;261524.326568569
12050.9877386935;46190.0351002506;104029.975381191;161765.928113267;250673.230352352
11908.6151256281;43369.4187468672;95473.9980856984;167800.846761577;295143.444886887
11168.0643718593;40461.4127318296;91255.6732387312;175545.103429287;293785.285127127
10140.7686432161;41548.0172431078;90172.7884307179;204764.692665832;290484.579331331
10211.2611055276;43369.4187468672;94171.1741791875;181143.225785357;257295.576538539
10302.0100502513;41207.9508897243;105193.116533111;164213.266583229;289840.621871872
11168.0643718593;43014.2397994987;91255.6732387312;162608.64681164;254259.379379379
11168.0643718593;44560.2969423559;94171.1741791875;197519.270591364;319864.766016016
11771.7073366834;45697.7403634085;95019.1880690039;176348.435544431;275986.607409409
11908.6151256281;44142.3558897243;98058.0661992209;160923.915897998;269306.385907908
11514.15959799;42520.3448746867;90713.9712020033;171163.250112641;274468.942574575
10254.0985427136;41800.2127318296;96445.4646633278;167525.979524406;266755.348790791
10780.5789447236;50576.1555889724;95244.0212854758;218900.768463705;256519.019019019
10302.0100502513;40162.9151002506;95949.4068781302;163098.048610763;274468.942574575
10544.6440201005;45941.2082205514;97776.2973010573;167256.228038173;287318.536298298
10618.1218592965;47239.229085213;90791.6835614914;173628.279852941;337269.727199199
10413.1023115578;41207.9508897243;100176.978080134;196894.117647059;319864.766016016
11393.4593467337;45697.7403634085;101848.532977184;183045.840503755;250610.652124124
11393.4593467337;49919.5029573935;100500.707935448;178884.545732165;291133.923205205
10544.6440201005;40664.7947994987;103653.023043962;163271.278551314;282531.125847848
10060.3023115578;44777.1779573935;92408.5141903172;169868.511689612;272044.154556557
13390.9354773869;45226.8248746867;92720.3593544797;228914.617525031;282531.125847848
12050.9877386935;51957.1601002506;97499.7387646077;181143.225785357;285483.238790791
10869.5967839196;45697.7403634085;94584.9287479132;200728.558748436;251815.096346346
12675.807839196;41933.9779573935;91845.6147801892;160222.778726533;274969.588790791
10050.2512562814;42072.8653634085;101164.021903172;189268.709640175;323357.318760761
11168.0643718593;46968.8172431078;104412.301752922;174762.710187735;270198.182664665
10140.7686432161;43014.2397994987;99545.3302225932;171841.618823529;258402.014016016
12511.2322110553;40122.8080325815;91363.5740456316;175944.149189612;321599.692334334
10476.30959799;42844.4351002506;101848.532977184;163632.897875469;273483.352664665
10090.4651256281;44348.6937468672;111268.920205899;169557.715397372;273483.352664665
12050.9877386935;52316.6305889724;93226.2138286032;179325.687612641;258691.324316316
10413.1023115578;40223.0877318296;112711.602092376;186060.264083229;250340.342934935
10140.7686432161;43189.2308897243;101848.532977184;184528.901176471;274468.942574575
12675.807839196;43014.2397994987;96701.2532053422;160560.765757197;301524.698490491
10963.8352261307;50576.1555889724;124241.238870339;163449.560750939;257295.576538539
10173.4874874372;45697.7403634085;92260.1963327768;171163.250112641;264771.495847848
11514.15959799;44348.6937468672;106404.89705064;196274.511642678;309136.726358358
10544.6440201005;40664.7947994987;97776.2973010573;165058.03534418;280823.643643644
11393.4593467337;41933.9779573935;97776.2973010573;233341.033091364;284882.159601602
10780.5789447236;54200.3330325815;90152.7545965498;173260.55649562;258985.720442442
12352.2613065327;47796.3737468672;131987.727551475;173260.55649562;274468.942574575
10090.4651256281;47515.0758897243;96962.2237952142;195660.443604506;257031.654886887
10618.1218592965;40190.4924310777;90152.7545965498;178448.687812891;327851.123475475
10413.1023115578;44777.1779573935;90172.7884307179;165058.03534418;274969.588790791
10869.5967839196;44560.2969423559;94171.1741791875;165510.880650814;340208.370292292
10780.5789447236;43189.2308897243;98637.2648636617;184528.901176471;252977.849691692
11393.4593467337;46190.0351002506;107665.600005565;208283.715147059;250260.260292292
10476.30959799;40664.7947994987;93226.2138286032;175151.292368586;255788.047409409
10173.4874874372;40825.6080325815;92408.5141903172;163449.560750939;258402.014016016
10052.7638693467;45459.6172431078;100829.719671675;161643.090663329;332488.239601602
10052.7638693467;49285.2130325815;92883.8949415693;171841.618823529;254259.379379379
11278.1033165829;43554.814047619;100500.707935448;171499.847061952;263277.024736737
11278.1033165829;40913.5961904762;91255.6732387312;162766.735219024;265549.579691692
10060.3023115578;41207.9508897243;100500.707935448;185544.430538173;300068.388388388
10413.1023115578;42072.8653634085;116806.027913189;189268.709640175;283695.997247247
10072.8683919598;49599.5719423559;97776.2973010573;175151.292368586;323357.318760761
11514.15959799;41933.9779573935;98058.0661992209;178884.545732165;289202.044796797
11063.3165829146;61713.9719423559;91476.5155314413;175151.292368586;260859.06031031
12846.0261809045;43189.2308897243;98934.7098553144;160841.256370463;289840.621871872
10696.7606030151;43369.4187468672;92408.5141903172;176757.968463705;261524.326568569
10780.5789447236;46190.0351002506;107239.911942126;182083.87109199;256270.299901902
10140.7686432161;45226.8248746867;90453.3369003895;183045.840503755;252977.849691692
12050.9877386935;42216.8832205514;92720.3593544797;184528.901176471;301524.698490491
13203.5489949749;40825.6080325815;90212.8582359488;178018.107434293;289202.044796797
11063.3165829146;49285.2130325815;96194.8514245965;176757.968463705;262560.580580581
10090.4651256281;48673.1390476191;96701.2532053422;163632.897875469;350385.162124124
10052.7638693467;44560.2969423559;90353.1249916528;161893.795294118;253496.856088088
12511.2322110553;40524.1674310777;91978.7503672788;206859.044508761;281956.660532533
11278.1033165829;40524.1674310777;101848.532977184;168951.556198373;270651.871871872
10618.1218592965;43745.4277694236;122438.241157485;167800.846761577;289202.044796797
11908.6151256281;41006.6456265664;108975.519287702;169557.715397372;258117.786778779
10963.8352261307;40303.3403634085;96194.8514245965;218104.662077597;271110.760682683
10963.8352261307;44999.3495739348;98637.2648636617;166991.588285357;281956.660532533
11514.15959799;48673.1390476191;96445.4646633278;164213.266583229;284286.414286286
11278.1033165829;42844.4351002506;92260.1963327768;174379.351142053;252075.638520521
10780.5789447236;44560.2969423559;94799.492493044;165744.930165832;264771.495847848
10618.1218592965;42679.806716792;90791.6835614914;204077.909640175;313970.372964965
10544.6440201005;40122.8080325815;93226.2138286032;184528.901176471;305261.659421421
11640.2324120603;43745.4277694236;108975.519287702;174379.351142053;291133.923205205
10544.6440201005;45941.2082205514;101164.021903172;162608.64681164;267585.001643644
11640.2324120603;44777.1779573935;106404.89705064;177592.798250939;295143.444886887
10060.3023115578;50912.9151002506;103281.434924875;160403.024283479;270651.871871872
13390.9354773869;42844.4351002506;90160.2672008904;216529.991289111;272998.39964965
11640.2324120603;44142.3558897243;94171.1741791875;165984.068886108;252213.442754755
10413.1023115578;41207.9508897243;91717.5326933779;188177.567662703;340208.370292292
10618.1218592965;40461.4127318296;98345.0528714524;175151.292368586;251061.271223223
11063.3165829146;49919.5029573935;99545.3302225932;175944.149189612;259589.781463463
13584.1286934673;42216.8832205514;98934.7098553144;160450.594493116;259589.781463463
11168.0643718593;41429.5719423559;108096.756460768;162455.600750939;306795.063865866
11063.3165829146;42844.4351002506;102554.312743461;229787.843604506;264390.171421421
10780.5789447236;53052.7779573935;90962.1868447412;193259.374267835;310725.622934935
10869.5967839196;41104.7619047619;95019.1880690039;165510.880650814;288568.842124124
12846.0261809045;40461.4127318296;91152.8102392877;165744.930165832;262916.239601602
10090.4651256281;43014.2397994987;93971.9724040067;174001.209561952;271110.760682683
10140.7686432161;40825.6080325815;98934.7098553144;182562.186783479;268868.269901902
10060.3023115578;56653.634085213;95019.1880690039;175944.149189612;271574.853445445
13988.1126130653;44560.2969423559;107665.600005565;162455.600750939;268007.581853854
10963.8352261307;44560.2969423559;100500.707935448;165058.03534418;291788.659571572
12846.0261809045;40524.1674310777;101503.623377852;169868.511689612;264390.171421421
10052.7638693467;43745.4277694236;90150.2504173623;176757.968463705;255788.047409409
10140.7686432161;40122.8080325815;122438.241157485;227186.164709011;251942.856808809
10302.0100502513;53429.4969423559;106819.681252087;189822.430838548;290484.579331331
12511.2322110553;41548.0172431078;108096.756460768;173628.279852941;262560.580580581
14415.8673869347;46444.2355889724;106404.89705064;174001.209561952;295143.444886887
10869.5967839196;43554.814047619;90874.4213745131;184029.190491239;252657.004046046
10544.6440201005;42844.4351002506;100500.707935448;176348.435544431;275475.475475475
12050.9877386935;40162.9151002506;91717.5326933779;162307.594746558;298633.981853854
10476.30959799;40913.5961904762;115748.469671675;174001.209561952;306795.063865866
10869.5967839196;57518.9495739348;93971.9724040067;163098.048610763;263277.024736737
10413.1023115578;45226.8248746867;90353.1249916528;169868.511689612;277551.523235235
11393.4593467337;40664.7947994987;110334.959604897;160560.765757197;267585.001643644
