2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10643.072;46327.6666666667;104237.025;184801.570514286;264892.066933333
10908.5648;43635.4625333333;101677.511253333;167590.243571429;260927.51968
10202.7268;45826.1248;92254.116;176535.547707143;268596.79824
12137.822;45825.8176;93248.8128;164632.788364286;285801.210822222
12781.7416;40640.8106666667;99070.848;173042.981028571;268165.897777778
10160.2048;41695.6558666667;96033.7450133333;167046.416628571;287030.537768889
10122.6176;47960.9450666667;95314.46096;170618.05875;257306.43328
10039.984;42736.3303;97612.836;173783.052885714;256262.3
11112.0256;46850.7642666667;90490.1855466667;160159.982628571;290191.18768
11336.4656;41695.5206666667;110613.852;183794.487307143;251210.391502222
10250;42737.2378;102027.49212;176127.04;263747.680533333
12290.5;47676.5425;92254.38;167315.556657143;283410.288111111
11007.68;40811.3068;107058.877653333;172324.2;252892.476408889
11007.92;45826.2784;97612.473;166269.446428571;272245.199431111
10423.9196;43830.2836;101678.3744;214706.295942857;302694.59968
11007.92;44886.0768;105015.152973333;181381.998628571;254415.97408
10302.9356;44237.0725666667;97612.0293333333;174543.720457143;269926.842097778
10360.9216;43445.773;97611.626;173042.869942857;281673.265493333
10908.998;42111.2744333333;98472.5704;166782.597714286;298332.14848
12137.822;46073.2494666667;90022.49688;201795.584;271771.41656
11007.68;44885.0442666667;100332.678826667;162252.346428571;262297.628
10423.852;46072.8493;97065.98332;160302.527657143;255531.925066667
10022.4928;43081.0791666667;94217.76348;161824.010071429;267314.965688889
12137.822;41212.4684;94426.98144;214704.164342857;276745.383302222
10815.184;45113.53;101332.0316;178224.185178571;255070.51
10009.988;41967.6048;106641.05796;183299.957028571;267315.271866667
10643.2768;43830.8413;100008.91836;160810.2916;273698.552844444
11112.202;44030.9866666667;100009.87092;166523.010742857;316141.751666667
12956.5856;40490.4181333333;96033.0727333333;164211.15715;256774.313173333
10726.3148;44031.4666666667;91000.7146666667;183798.452528571;259329.58888
11988.224;48549.4938666667;114007.62804;214706.295942857;265679.500071111
11112.202;49794.3838666667;103479.030493333;181854.910985714;291491.132871111
11848.744;40563.1225;92106.2901066667;168445.225885714;285801.651386667
11988.224;42736.1851;93249.08928;183795.226585714;273208.09984
10002.4996;41567.25;90490.1620266667;162894.1038;253806.90076
10002.4988;49471.6814666667;101333.946906667;183304.4992;258431.813671111
10022.5036;41444.128;94640.9406933333;162405.129021429;331210.034897778
12956.5856;45113.665;95314.0941866667;165303.572628571;282247.400111111
10491.568;40903.9560333333;104237.775;191275.890421429;312830.958306667
11336.254;40360.24;96284.0666666667;186873.885235714;250422.528542222
10009.9936;41967.6048;99071.232;166523.233685714;273699.096475556
