2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
0.505;0.5072;0.5882;0.500528125;0.518432
0.51805;0.51125;0.5242;0.529403125;0.505
0.50845;0.5465125;0.544005555555556;0.5120125;0.5288
0.53125;0.54205;0.510272222222222;0.514028125;0.513778
0.5098;0.5128;0.515022222222222;0.501128125;0.53645
0.545;0.5210125;0.5242;0.5276125;0.518818
0.51445;0.52645;0.5392;0.530628125;0.535912
0.5338;0.5091125;0.537355555555556;0.591378125;0.523328
0.53645;0.5378125;0.521355555555556;0.5378125;0.507688
0.5098;0.5002;0.53125;0.517578125;0.5098
0.50405;0.5171125;0.532088888888889;0.50845;0.5002
0.5;0.5098;0.500022222222222;0.509453125;0.539762
0.5392;0.5120125;0.508888888888889;0.518528125;0.529768
0.5338;0.5288;0.525688888888889;0.5242;0.5512
0.54205;0.50245;0.5018;0.535778125;0.506498
0.5032;0.5128;0.505338888888889;0.53645;0.530258
0.52;0.5098;0.521355555555556;0.5190125;0.503362
0.50405;0.51805;0.503472222222222;0.522578125;0.550562
0.5392;0.5015125;0.519338888888889;0.503828125;0.523762
0.5392;0.5078125;0.593888888888889;0.5091125;0.51805
0.51805;0.5066125;0.518688888888889;0.5528125;0.509522
0.5128;0.5098;0.502005555555555;0.515753125;0.514112
0.5242;0.5435125;0.502688888888889;0.55445;0.508978
0.51125;0.5465125;0.510272222222222;0.5078125;0.522472
0.51805;0.5528125;0.50245;0.521528125;0.543218
0.5338;0.5105125;0.503755555555556;0.545;0.578408
0.57605;0.5078125;0.527222222222222;0.5496125;0.560552
0.55445;0.5098;0.54205;0.5091125;0.500338
0.5008;0.5276125;0.508888888888889;0.510153125;0.532768
0.5392;0.5351125;0.5162;0.513203125;0.532768
0.5242;0.5105125;0.545;0.52;0.517298
0.51445;0.5666125;0.510755555555556;0.502278125;0.524642
0.5162;0.5120125;0.5072;0.500903125;0.534848
0.5242;0.5171125;0.54205;0.556953125;0.5018
0.5008;0.52;0.522755555555556;0.531878125;0.519602
0.51125;0.5120125;0.535555555555556;0.50125;0.549928
0.5392;0.5120125;0.5512;0.533153125;0.518818
0.52;0.5338;0.515605555555556;0.507503125;0.50605
0.50605;0.52;0.523472222222222;0.5120125;0.569192
0.5648;0.51445;0.53645;0.530628125;0.51125
0.50605;0.53645;0.508022222222222;0.5153125;0.524642
0.52205;0.5465125;0.51445;0.529403125;0.505408
0.5018;0.5162;0.574755555555556;0.567528125;0.500032
0.50125;0.5300125;0.52205;0.514028125;0.540328
0.5338;0.5136125;0.544005555555556;0.524753125;0.539762
0.53125;0.50845;0.515605555555556;0.51125;0.509248
0.50605;0.53125;0.50845;0.517578125;0.508192
0.505;0.5351125;0.538272222222222;0.522578125;0.571442
0.56125;0.5190125;0.507605555555556;0.5242;0.533282
0.53125;0.5378125;0.54205;0.539903125;0.518432
0.51805;0.5288;0.523472222222222;0.514028125;0.505202
0.5032;0.50125;0.520672222222222;0.5512;0.517298
0.5162;0.5231125;0.532938888888889;0.5021125;0.5128
0.51125;0.51125;0.524938888888889;0.5002;0.557122
0.545;0.5136125;0.528005555555556;0.5078125;0.51445
0.5128;0.5010125;0.535555555555556;0.525878125;0.565522
0.5648;0.5338;0.528005555555556;0.534453125;0.5008
0.5032;0.5351125;0.5338;0.585078125;0.500018
0.5002;0.5968;0.52;0.516653125;0.504802
0.505;0.5378125;0.502938888888889;0.5528125;0.505
0.5002;0.5171125;0.5392;0.5190125;0.5578
0.5578;0.5078125;0.503472222222222;0.531878125;0.5018
0.5018;0.5055125;0.523472222222222;0.510153125;0.518818
0.5162;0.52205;0.517422222222222;0.512403125;0.514792
0.5128;0.52205;0.500022222222222;0.5435125;0.548672
0.54205;0.5378125;0.540138888888889;0.60125;0.531752
0.5288;0.53645;0.547022222222222;0.54805;0.559858
0.545;0.5190125;0.55445;0.511628125;0.538642
0.52205;0.5153125;0.505688888888889;0.5098;0.510368
0.5098;0.5015125;0.51445;0.503403125;0.529282
0.53125;0.5045125;0.530422222222222;0.520503125;0.512482
0.50845;0.54205;0.558938888888889;0.52645;0.50405
0.50605;0.5136125;0.52205;0.517578125;0.503698
0.50125;0.5528125;0.541088888888889;0.5105125;0.541472
0.54205;0.51125;0.505688888888889;0.5055125;0.524642
0.52205;0.5171125;0.500355555555556;0.5338;0.50845
0.5128;0.5435125;0.5072;0.5136125;0.582418
0.5968;0.5406125;0.523472222222222;0.5231125;0.504418
0.505;0.5091125;0.541088888888889;0.5078125;0.525088
0.52645;0.5072;0.54205;0.528203125;0.516562
0.51445;0.5136125;0.517422222222222;0.5091125;0.533282
0.5242;0.52205;0.547022222222222;0.529403125;0.50605
0.5018;0.5010125;0.5512;0.52;0.520808
0.52;0.5018;0.500555555555556;0.5325125;0.533282
0.53645;0.5435125;0.508888888888889;0.5300125;0.53645
0.5288;0.5351125;0.52205;0.5055125;0.500882
0.5002;0.50245;0.500938888888889;0.553628125;0.513448
0.5128;0.5392;0.508888888888889;0.5072;0.560552
0.5512;0.505;0.510755555555556;0.5242;0.549298
0.54205;0.5091125;0.543022222222222;0.51445;0.535912
0.52645;0.5338;0.504355555555555;0.52;0.514112
0.52;0.5098;0.504355555555555;0.5231125;0.525992
0.5338;0.5288;0.518688888888889;0.50245;0.518432
0.52205;0.5648;0.513338888888889;0.512403125;0.52205
0.5288;0.5120125;0.502005555555555;0.5162;0.503362
0.5008;0.5242;0.52205;0.544253125;0.561952
0.5392;0.5136125;0.52;0.518528125;0.500648
0.50245;0.51805;0.530422222222222;0.5338;0.510952
0.5072;0.5231125;0.502222222222222;0.51445;0.505832
0.5098;0.5288;0.502688888888889;0.5018;0.5338
0.53125;0.5338;0.535555555555556;0.505;0.52
0.51805;0.5136125;0.549088888888889;0.51805;0.558482
0.5512;0.55445;0.556672222222222;0.506903125;0.530258
0.5288;0.50245;0.547022222222222;0.5162;0.51125
0.5128;0.5002;0.500355555555556;0.5242;0.52
0.52205;0.50605;0.523472222222222;0.5325125;0.512482
0.5128;0.53125;0.535555555555556;0.539903125;0.525088
0.5128;0.53645;0.515605555555556;0.5120125;0.513122
0.5098;0.58405;0.522755555555556;0.507503125;0.534848
0.52645;0.51805;0.519338888888889;0.555278125;0.515842
0.52;0.5465125;0.513888888888889;0.500903125;0.505202
0.5032;0.52;0.512272222222222;0.528203125;0.501058
0.50125;0.53645;0.532938888888889;0.538503125;0.542632
0.5392;0.50845;0.540138888888889;0.5021125;0.506728
0.50405;0.5105125;0.519338888888889;0.5325125;0.52645
0.53125;0.5325125;0.513338888888889;0.560378125;0.502048
0.50045;0.60125;0.5722;0.5028125;0.527848
0.52;0.54805;0.5338;0.52205;0.545602
0.545;0.5153125;0.532088888888889;0.5276125;0.544402
0.5338;0.5120125;0.54205;0.552003125;0.506962
0.51125;0.5018;0.510272222222222;0.533153125;0.518818
0.5162;0.52205;0.509338888888889;0.510153125;0.523328
