2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
0.5;0.5;0.5;0.5;0.5
