2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
22376;54222.4583333333;111417.956666667;182857.142857143;295843.710222222
20023.6;53813.0983333333;108056.981333333;183022.990357143;281609.018666667
20381.44;54473.4383333333;108514.944;186131.750357143;278965.467777778
20480.33;60986.9866666667;113413.746;184506.891428571;278967.874444444
20094.08;54464.7683333333;112889.155333333;203989.614642857;278045.455777778
20147.75;53728.3333333333;108057.109333333;187024.330357143;283610.737777778
20023.76;54910.6666666667;108000;184643.084642857;278255.025777778
20005.87;55436.1083333333;118334.304;183841.703928571;278424.664888889
20376.32;53586.56;109889.235333333;187007.705357143;278519.427777778
20053.01;53476.2533333333;109414.933333333;182860.546785714;288491.535777778
20715.11;56651.0783333333;108003.571333333;206228.075357143;289321.547333333
21160.32;54346.24;117289.038;188832.062857143;288134.940444444
20380.16;55796.875;108512.832;183346.125714286;284151.950222222
20846.72;54002.2916666667;113666.133333333;195097.142857143;282293.348222222
20094.72;53432.0416666667;134349.482666667;183430.716785714;278735.01
20378.88;54906.6666666667;111889.182;183428.423214286;279512.545111111
20094.72;53587.6266666667;108088.85;199904.724642857;287783.805555556
20287.63;55067.1983333333;111646.805333333;196701.622857143;295882.650666667
20148.25;53525.495;108032.25;185154.577142857;278423.793777778
20852.48;60559.8416666667;112890.980666667;189129.875357143;280553.638444444
20380.16;53653.9583333333;110232.083333333;185700.623928571;277777.777777778
20023.68;53902.6133333333;108056.832;184499.631428571;281601.825777778
20053.55;53652.6083333333;109574.958;182860.531785714;297357.970888889
20214.56;53476.2533333333;108000;183265.215357143;277777.777777778
20214.56;53656.1183333333;108912.384;186773.505714286;283867.562
20855.36;53526.475;110984.428666667;183620.455357143;288169.784888889
20148.75;53526.8016666667;108430.195333333;182887.6175;283059.911111111
20855.36;53349.1466666667;110222.083333333;183196.285714286;277830.471111111
20005.97;53333.3333333333;108915.114666667;183524.942857143;283607.601777778
20023.68;53333.3333333333;112608.576;185698.221071429;277777.777777778
20376.32;55248.36;116220.672;202861.165357143;283902.898444444
20590;54221.7083333333;108128.592;182857.142857143;278966.751333333
20215.28;53333.3333333333;109154.304;197205.544642857;298343.953111111
20023.6;53349.0266666667;111881.922;182887.848928571;283862.631333333
20381.44;56023.8133333333;109726.266666667;191310.714285714;297305.268666667
20000;56214.0983333333;108174.472666667;182860.5275;282307.342444444
20053.55;53728.6666666667;119507.958;192788.205714286;279374.547555556
20094.4;53586.3466666667;110053.632;183953.42;316336.369777778
