2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10050.2512562814;41104.7619047619;90152.7545965498;164839.232794118;250973.640682683
10090.4651256281;40110.2758897243;91594.5007011686;161202.002503129;274969.588790791
10211.2611055276;40140.354085213;90453.3369003895;160222.778726533;253145.81849049
10254.0985427136;41104.7619047619;103653.023043962;160202.753444931;256519.019019019
10211.2611055276;43554.814047619;90190.3186199221;163271.278551314;251574.634316316
10355.0070854271;40591.9601002506;90240.4078797997;160503.174721527;250260.260292292
10072.8683919598;40524.1674310777;90160.2672008904;160290.367008761;251251.571571572
10050.2512562814;40664.7947994987;94584.9287479132;160290.367008761;250272.772934935
10052.7638693467;40162.9151002506;90791.6835614914;160222.778726533;250252.752754755
10050.2512562814;40913.5961904762;91476.5155314413;162455.600750939;250372.87767968
10140.7686432161;41548.0172431078;92260.1963327768;170505.560750939;250553.082364364
10052.7638693467;40190.4924310777;90641.2822259321;160262.830491239;250452.966088088
10140.7686432161;40664.7947994987;90962.1868447412;171499.847061952;257295.576538539
11063.3165829146;40140.354085213;90190.3186199221;160841.256370463;253318.82007007
10476.30959799;40110.2758897243;90400.7234279354;164014.747938048;250250.25025025
10211.2611055276;41429.5719423559;92720.3593544797;160322.911142053;250372.87767968
10113.0967336683;40461.4127318296;90240.4078797997;167256.228038173;262210.044286286
10355.0070854271;43189.2308897243;91978.7503672788;161893.795294118;255788.047409409
10052.7638693467;40100.2506265664;90212.8582359488;160222.778726533;251354.243205205
10113.0967336683;40190.4924310777;90353.1249916528;160210.262878598;250372.87767968
10052.7638693467;40303.3403634085;92260.1963327768;163271.278551314;250290.290802803
10072.8683919598;40190.4924310777;90160.2672008904;160262.830491239;253496.856088088
10060.3023115578;40190.4924310777;91255.6732387312;160290.367008761;253679.92825025
10052.7638693467;40664.7947994987;90310.5403227601;160202.753444931;251251.571571572
10413.1023115578;41104.7619047619;93405.0062103506;160262.830491239;250610.652124124
10476.30959799;40260.7029573935;99237.3956594324;160690.983779725;264013.987139139
10140.7686432161;40110.2758897243;91363.5740456316;162766.735219024;252075.638520521
