2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
20000;54906.6666666667;108003.494;189014.973214286;278717.67
20093.76;53348.9333333333;110039.04;184202.571428571;309678.943777778
20377.6;53395.7866666667;108430.518;182887.3025;281534.520888889
20478.71;54901.3333333333;126662.158;182860.490357143;285932.222222222
20377.6;58679.2783333333;108055.658666667;186893.080357143;279501.024666667
20715.11;54100.3466666667;108126.912;183261.326071429;277790.840888889
20053.19;54001.165;108014.064;182977.742857143;279090.666666667
20000;54214.9583333333;114192.816;182978.514285714;277807.103777778
20005.91;53432.375;108899.754666667;182887.276785714;277781.021111111
20000;54601.2533333333;109868.075333333;185861.214285714;277937.79
20211.68;55579.7333333333;110940.696666667;196517.302857143;278170.812666667
20005.91;53474.5733333333;108691.226666667;182940.401785714;278042.863777778
20211.68;54214.2083333333;109142.208;197977.056785714;286994.418888889
22360;53395.8933333333;108056.362666667;183714.925714286;281773.727777778
20998.79;53348.96;108351.6;187916.0975;277777.777777778
20375.04;55399.0783333333;111582.634666667;183020.750357143;277936.396222222
20147.75;53900.2133333333;108127.728;192338.521071429;293282.767777778
20707.85;58088.375;110580.174;185117.397142857;284941.319333333
20005.87;53333.3333333333;108088.016666667;182887.296071429;279218.867777778
20147.75;53474.4533333333;108286.794;182870.605714286;277937.332666667
20005.91;53648.0183333333;110978.822;187004.205357143;277830.172444444
20053.19;53473.1333333333;108014.08;182941.473214286;281984.881777778
20023.68;53474.9333333333;109559.082;182977.485714286;282247.106444444
20005.95;54205.2083333333;108224.768;182860.491071429;279076.266666667
20852.48;54898.6666666667;112596.48;182940.116071429;278245.553777778
20995.41;53582.72;120796.8;183512.482857143;295522.451555556
20212.4;53348.9733333333;109706.906666667;186276.571428571;280141.195777778
22126.29;55773.9583333333;108428.098;188228.571428571;278947.177111111
20710.27;54334.2933333333;110012.16;183611.294642857;278039.875777778
20023.52;56411.84;112073.744;183614.669642857;277807.227777778
20381.44;53893.4933333333;113113.685333333;184467.134285714;283293.325555556
20005.91;54890.6666666667;108174.146;184948.883928571;278104.488888889
21918.08;53997.2216666667;116501.140666667;186078.895357143;282999.466666667
20288.61;55579.7333333333;108056.426666667;184332.760357143;297107.635333333
20289.59;53809.8716666667;112066.037333333;183073.28;295537.054222222
21918.08;53337.245;108031.65;186296.32;284375.227777778
20053.55;58141.4583333333;108014.005333333;184637.416785714;277781.020222222
20094.72;61301.7083333333;113920.482;187653.285714286;283258.958444444
20594;53349.04;109565.55;183943.7;278834.161777778
20023.6;53899.7333333333;111392.33;182857.142857143;281765.561111111
21719.55;53901.1733333333;109702.389333333;182887.026071429;279808.194444444
20373.76;53348.96;120157.972666667;185653.1675;277986.332444444
20023.36;53337.265;108426.000666667;198271.577142857;279501.965111111
20053.37;54101;109559.082;182976.791428571;278251.441777778
20000;53395.52;108689.136;192312.4375;280322.119111111
20588;53368.3283333333;108088.216666667;183823.951071429;292534.617111111
20023.76;53333.3333333333;109413.333333333;183947.171428571;284405.827777778
20211.68;53994.9683333333;108031.89;182977.537142857;293242.563777778
20052.65;53805.435;108171.728666667;191511.970357143;283508.033777778
20380.16;54216.4583333333;108014.069333333;186480.790357143;277986.474666667
21005.55;54102.96;108013.984;183613.544642857;280140.547777778
20852.48;53803.8216666667;108088.483333333;183130.431071429;277790.750222222
20712.69;53337.2016666667;111406.424666667;183339.542857143;302387.119777778
20212.4;53337.255;109711.424;186263.405714286;278828.257777778
20148.75;53396.3733333333;108126.576;195772.982857143;277936.461555556
20148.25;56846.3333333333;108014.064;184327.720357143;319452.956222222
20712.69;53997.785;115451.141333333;197021.455357143;278041.531777778
20592;53368.6583333333;111375.672666667;184622.680357143;287277.457777778
20094.4;53337.2283333333;108349.466666667;182860.474642857;279498.908666667
20147.75;53333.3333333333;109023.638;212050.606785714;277829.475555556
20005.85;53396.0533333333;108000;186269.988571429;289416.177777778
20147.75;53806.645;109023.252666667;184474.394285714;281998.705777778
21152.48;53652.0683333333;110191.25;186077.5225;280707.777777778
20053.55;53349.0533333333;108087.583333333;183424.318928571;280511.775333333
20287.63;53525.3316666667;109709.488;183127.538214286;277829.319111111
20717.53;53524.515;113358.99;188775.362857143;281306.379777778
20147.25;53724;108593.19;190001.665714286;279073.777777778
20023.6;53995.5316666667;108592.514;187707.951428571;277895.121777778
20590;55404.3683333333;108425.678;183072.457142857;277986.446222222
20023.6;53475.1733333333;108031.83;197427.962857143;284973.718
20378.88;56834.3333333333;110041.344;187157.085714286;288466.987777778
20023.68;56867.3333333333;108031.734;183068.068571429;293318.739777778
22352;55593.1733333333;110022.912;185874.714285714;284082.254222222
20712.69;53396.1066666667;117212.742;183718.765714286;280713.777777778
21510.4;57633.0683333333;115431.392;182887.405357143;278247.153777778
20291.55;53652.0683333333;108172.643333333;185107.74;279647.857777778
20000;53396.2133333333;108224;186078.208928571;285198.705777778
22615.13;53368.5383333333;110018.304;182870.588571429;291083.406222222
20477.09;55981;108003.486;184958.705357143;279803.472222222
20023.6;54905.3333333333;109281.55;183611.776785714;279225.727777778
20712.69;57076.4283333333;108284.85;190270.704642857;277777.777777778
20291.55;53583.36;108031.458;183506.462857143;279659.121777778
20146.75;53368.6583333333;108003.531333333;182870.531428571;295544.355555556
20213.84;54337.7066666667;108908.288;186952.580357143;277895.841777778
21696.43;53585.92;113846.518;185861.857142857;282954.666666667
20481.95;53368.7783333333;113105.984;183425.888214286;284713.555555556
20211.68;53349.12;112555.008;199408.642857143;281759.027777778
20292.53;64339.9316666667;113346.822;184065.074642857;277985.536
23398.4;53349;110377.717333333;183190.5;285885.555555556
20000;53651.2583333333;108504.192;182910.971428571;278041.387777778
20005.89;53999.475;109137.024;186957.830357143;283497.841777778
20094.4;55225.7733333333;108003.524666667;183828.698928571;278720.110444444
20147.75;53649.3683333333;116803.333333333;187193.188571429;295198.870888889
20005.83;53368.5683333333;109145.664;184779.337142857;281994.097777778
21002.17;53349.0933333333;108225.109333333;186261.211428571;297633.249777778
21892.16;53432.375;117496.448;185294.346071429;285921.111111111
22133.51;53337.2083333333;108222.890666667;186255.36;277894.497777778
20211.68;53337.2516666667;111382.079333333;184075.131071429;310280
20053.01;54212.7083333333;109134.432;184068.9425;287727.338888889
20210.96;53349.0133333333;108783.75;213671.497142857;281325.739777778
20000;54224.7083333333;113042.448;182941.526785714;292384.983777778
21505.28;58426.6133333333;108693.84;192258.263928571;278958.568666667
20005.89;54602.3333333333;108172.251333333;183021.240357143;280897.183777778
20377.6;54217.2083333333;108426.807333333;186073.403928571;279815.416666667
20094.08;53475.5333333333;108126.288;200848.2275;297627.841777778
20053.01;56891.3333333333;110032.128;187398.800357143;286262.239777778
20023.44;55407.895;108690.965333333;183193.214285714;281101.909333333
21690.65;54097.7333333333;108685.738666667;186766.074285714;283321.715777778
20290.57;54474.4016666667;109400;183512.902857143;317689.603777778
20717.53;55409.6583333333;110592.81;182910.868571429;278831.137777778
20005.91;53897.3333333333;110583.09;194514.763214286;280497.945555556
21510.4;54343.68;112807.015333333;188772.842857143;285934.444444444
