2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10000;41001.9733333333;90002.4998933333;164632.999678571;250722.643857778
10040;40009.9985333333;91441.81248;161000.477142857;274693.59772
10160.2048;40040.0021333333;90302.5758266667;160022.49955;252892.661368889
10202.824;41001.92;103479.243653333;160002.499821429;256262.466666667
10160.1536;43445.9099;90040.0008533333;163067.155;251323.043106667
10303.1776;40490.4769333333;90090;160302.539757143;250009.999928889
10022.5036;40422.8549;90009.9996266667;160090.002828571;251000.314666667
10000;40563.07;94427.12256;160090.0036;250022.49924
10002.4996;40062.5008333333;90640.3242666667;160022.500064286;250002.499915556
10000;40811.2528;91324.02352;162252.423571429;250122.50196
10090.0648;41443.7824;92106.30132;170291.726628571;250302.512906667
10002.5;40090.0108;90490.2090666667;160062.499821429;250202.5108
10090.0576;40563.085;90810.5184;171284.608521429;257038.080586667
11007.92;40040;90040.0002133333;160640.170057143;253065.385555556
10423.852;40009.9968;90250.0533333333;163809.290178571;250000
10160.192;41325.9385;92565.8026666667;160122.50315;250122.500653333
10062.53;40360.2544;90090.00672;167047.07875;261947.69776
10303.1776;43081.12;91825.40628;161691.414771429;255531.807253333
10002.4988;40000;90062.5026666667;160022.5;251102.85672
10062.53;40089.9964;90202.5324;160009.999057143;250122.499128889
10002.5;40202.5729;92106.2901066667;163067.14625;250039.999715556
10022.4928;40090.006;90009.9997866667;160062.500535714;253243.30048
10010;40090.0048;91103.5584;160090.001542857;253426.217595556
10002.5;40562.965;90160.01024;160002.499957143;251000.261333333
10361.0368;41001.8933333333;93249.12384;160062.499107143;250360.0352
10423.9196;40160.0384;99071.712;160490.1022;263749.603217778
10090;40010;91211.2519466667;162563.218285714;251823.49144
10908.8536;41567.25;90302.5742133333;164007.92;250902.756711111
10303.1776;40640.7424;91441.6512;160562.651071429;250202.51044
10010;41967.448;92897.25968;160562.644642857;250022.49912
10160.2048;40360.2016;93620.9358933333;161210.719085714;254208.088391111
10002.5;41001.8933333333;90122.5124133333;161563.714285714;250250.012
10815.184;40422.8098333333;96034.4493066667;162405.33495;254005.063111111
10122.598;41443.9744;90039.99744;161102.9851;264892.356795556
10122.6176;40302.6694;92897.30592;160160.012342857;263749.79792
10814.9896;40002.4999666667;90022.4988;162563.159771429;255070.618
10022.5036;43081.2016666667;90009.9987733333;161323.3464;250002.499844444
10039.984;45113.3275;94217.9427866667;163616.394857143;254208.103333333
10250.48;40009.9996;91103.53488;160810.2916;250810.20304
10010;40360.2544;92407.5612666667;160000;253065.461777778
10726.6616;40360.24;91211.18096;160022.499035714;251563.194444444
10160.192;40010.0001333333;98768.9638933333;162104.662571429;250160.004835556
10009.9936;40002.4999666667;90302.5709866667;171626.684685714;251322.991382222
10022.5;40490.4508;91103.52312;160090.000257143;250360.03584
10000;40039.9973333333;90490.2064533333;167046.3765;251961.010488889
10250.5;40022.4994;90062.5033333333;160722.751842857;261262.741391111
10010.0008;40000;91000.8586666667;160810.293914286;255070.573
10090.0576;40422.838;90022.49928;160089.993571429;261947.52848
10022.5036;40302.6734333333;90122.5098;166523.419471429;254416.12304
10160.192;40563.0925;90009.9997866667;162726.140371429;250160.005404444
10423.9196;40490.4704;90009.99968;160562.647857143;251823.49792
