40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.9;0.883333333333333;0.9625;0.96;0.945;0.9325;0.925;0.93375
0.9;0.916666666666667;0.9375;0.94;0.925;0.93;0.945;0.93
0.9;0.983333333333333;0.9125;0.94;0.915;0.925;0.918333333333333;0.91375
0.95;0.95;0.9375;0.91;0.92;0.9325;0.921666666666667;0.9225
0.925;0.916666666666667;0.925;0.94;0.9;0.93;0.931666666666667;0.9225
0.975;0.933333333333333;0.9;0.94;0.915;0.89;0.941666666666667;0.9125
0.875;0.9;0.9125;0.95;0.93;0.945;0.931666666666667;0.93375
0.95;0.95;0.8875;0.94;0.935;0.9175;0.92;0.94125
0.9;0.933333333333333;0.9125;0.92;0.94;0.8925;0.933333333333333;0.92625
0.975;0.933333333333333;0.9;0.94;0.9;0.9375;0.92;0.905
0.975;0.933333333333333;0.875;0.92;0.915;0.925;0.928333333333333;0.9525
0.925;0.883333333333333;0.9375;0.94;0.895;0.9;0.918333333333333;0.9175
0.925;0.933333333333333;0.8875;0.88;0.935;0.9;0.943333333333333;0.9175
0.925;0.9;0.95;0.94;0.895;0.935;0.931666666666667;0.9325
0.875;0.95;0.9125;0.94;0.94;0.945;0.943333333333333;0.93
0.95;0.9;0.925;0.94;0.935;0.935;0.92;0.92625
0.95;0.916666666666667;0.9;0.92;0.945;0.935;0.93;0.9375
0.825;0.933333333333333;0.9375;0.92;0.925;0.9275;0.915;0.9125
0.875;0.966666666666667;0.9625;0.94;0.965;0.92;0.938333333333333;0.92125
0.95;0.9;0.9625;0.88;0.94;0.9175;0.915;0.91875
0.975;0.966666666666667;0.9125;0.94;0.955;0.925;0.94;0.915
0.9;0.966666666666667;0.925;0.91;0.94;0.93;0.901666666666667;0.93875
0.9;0.916666666666667;0.9;0.92;0.895;0.9175;0.933333333333333;0.9175
0.9;0.916666666666667;0.95;0.93;0.925;0.925;0.92;0.9425
0.9;0.866666666666667;0.9375;0.97;0.92;0.93;0.94;0.9225
0.9;0.9;0.9375;0.9;0.91;0.9275;0.898333333333333;0.93
0.9;0.966666666666667;0.925;0.9;0.94;0.9175;0.925;0.91875
0.9;0.883333333333333;0.975;0.91;0.915;0.935;0.955;0.925
0.925;0.916666666666667;0.8875;0.87;0.935;0.915;0.915;0.92625
0.875;0.916666666666667;0.9125;0.92;0.9;0.9325;0.926666666666667;0.94125
0.875;0.883333333333333;0.9;0.95;0.895;0.93;0.915;0.925
0.9;0.933333333333333;0.9125;0.95;0.89;0.9225;0.921666666666667;0.9275
0.925;0.9;0.8625;0.95;0.935;0.93;0.928333333333333;0.93125
0.925;0.95;0.9125;0.88;0.915;0.9225;0.9;0.93
0.85;0.966666666666667;0.9125;0.95;0.935;0.9075;0.93;0.92625
0.975;0.933333333333333;0.95;0.9;0.935;0.9325;0.93;0.91625
0.975;0.916666666666667;0.925;0.96;0.895;0.9275;0.938333333333333;0.9175
0.975;0.933333333333333;0.95;0.91;0.935;0.94;0.943333333333333;0.92375
0.95;0.85;0.9375;0.89;0.925;0.93;0.915;0.89125
0.95;0.916666666666667;0.9625;0.93;0.905;0.94;0.95;0.92375
0.95;0.95;0.925;0.93;0.91;0.9375;0.915;0.91125
0.975;0.983333333333333;0.9375;0.92;0.905;0.945;0.93;0.9375
0.975;0.866666666666667;0.9375;0.94;0.92;0.92;0.935;0.92625
0.9;0.9;0.875;0.92;0.93;0.9225;0.915;0.92
0.975;0.95;0.9625;0.91;0.975;0.9225;0.923333333333333;0.93125
0.925;0.9;0.9125;0.94;0.91;0.9125;0.938333333333333;0.9225
0.975;0.933333333333333;0.9375;0.94;0.94;0.9125;0.915;0.93
0.95;0.933333333333333;0.8875;0.92;0.915;0.9075;0.935;0.92
0.925;0.85;0.9125;0.94;0.9;0.9175;0.926666666666667;0.92125
0.95;0.95;0.9125;0.89;0.92;0.9225;0.928333333333333;0.9175
0.925;0.966666666666667;0.95;0.93;0.96;0.9275;0.918333333333333;0.94375
0.95;0.9;0.9375;0.89;0.935;0.9275;0.928333333333333;0.92125
1;0.916666666666667;0.9125;0.94;0.935;0.91;0.923333333333333;0.93375
0.95;0.966666666666667;0.9;0.95;0.955;0.93;0.928333333333333;0.925
0.95;0.95;0.9375;0.96;0.925;0.9175;0.908333333333333;0.9125
0.85;0.883333333333333;0.95;0.94;0.92;0.92;0.901666666666667;0.92125
0.875;0.916666666666667;0.95;0.91;0.91;0.9225;0.915;0.9375
0.95;0.866666666666667;0.9625;0.91;0.91;0.9275;0.925;0.9275
1;0.966666666666667;0.8875;0.91;0.9;0.92;0.92;0.94375
0.975;0.983333333333333;0.925;0.87;0.92;0.9275;0.936666666666667;0.935
0.875;0.85;0.925;0.92;0.935;0.93;0.926666666666667;0.93125
