40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-0.977324604581973;-0.995964696112997;-1.01046965482575;-1.02181686046512;-1.04333413475545;-1.00321619501213;-1.02232150005127;-1.0207613936973
-0.989187027592778;-0.98574724357069;-1.05524007851015;-0.994545488929632;-0.999611740835813;-1.03281208420649;-1.02962564899362;-1.02049989890874
-0.975534359608463;-1.04215315351966;-0.996612970099019;-1.025648760695;-1.01406597827148;-1.01448596047351;-1.01551303488045;-1.02747188325752
-0.98996707034702;-0.998785053798007;-0.992705622273613;-0.990810508791065;-1.04464846331833;-1.02275744545962;-1.03183625922737;-1.02891103793844
-1.07692174045682;-1.0206896679378;-1.00183484083167;-1.06923970321798;-1.01804020560931;-1.03604845463682;-1.03685389214267;-1.01843672311082
-0.989187027592778;-0.98574724357069;-1.05421725663418;-0.997267258403008;-1.0416957841484;-1.02934399510399;-1.03737041002467;-1.02763327048566
-0.989187027592778;-1.01135377600916;-1.06287994261634;-1.03514288651086;-1.02634444359413;-1.0202205775623;-1.01188903673285;-1.0392091015667
-0.99345423138242;-1.02346382144239;-0.998743703433629;-1.02997963020405;-1.01946666652019;-1.0342464940758;-1.03211763814788;-1.01362249102262
-0.999885605759379;-1.00284163602817;-0.988104233989034;-1.02253997093023;-1.02996263452805;-1.03221753794642;-1.02117897865808;-1.03130453892283
-0.975;-1.0323122863157;-0.98764521425812;-0.99037358718293;-0.995859098704979;-1.03362631752816;-1.0240146265152;-1.01321376866249
-1.06287261062559;-1.03285609090757;-1.06292622235392;-0.992288755041712;-1.04333413475545;-1.02961823219477;-1.02872030176769;-1.01643909337318
-0.980295234293693;-1.03683915451944;-1.03790170517977;-1.06843204097082;-1.03086169100415;-1.01284840093041;-1.03640400975269;-1.02386650041699
-1.06334937712344;-0.984284404872634;-0.998431324105729;-1.01932883230079;-1.03206848245127;-1.01952065352593;-1.0306464995155;-1.01800327311552
-1.04198729308446;-1.05389423076923;-1.01347870784152;-1.00469241545071;-1.03646059206952;-1.02704386776477;-1.02228458208054;-1.0136660816229
-0.989187027592778;-1.0348476227135;-1.01634055862149;-0.99694494957041;-1.02390170328579;-1.01800155067211;-1.02766909766858;-1.0327597038336
-0.980583214404838;-0.989466173615351;-1.02430639182169;-1.00673630704494;-1.01556096795252;-1.03082060808994;-1.0251889229106;-1.0178518165765
-0.977324604581973;-1.02029978821434;-1.0287326603702;-1.02484395742837;-1.00149008861297;-1.01614873601012;-1.04841825653756;-1.02407731284759
-0.977324604581973;-1.01241148381699;-1.02430639182169;-1.02645356396162;-1.02967408670994;-1.0370327180354;-1.017704914505;-1.02806432170732
-1.05775764439411;-1.00579156148576;-1.00660011949799;-1.00747981246675;-1.03442979964865;-1.04277876038242;-1.02667843817971;-1.02628855124454
-0.977201934155484;-1.01552406330749;-0.989654147036811;-1.0050214360632;-1.01533275997835;-1.02507589311817;-1.02109383934277;-1.02274316842075
-1.07290491873072;-1.01925793361889;-1.00392545466186;-1.00673630704494;-1.02725926598837;-1.02934399510399;-1.04492386402541;-1.01881531758773
-0.988406984838536;-0.995964696112997;-1.04511169397025;-1.02826302950829;-1.02089851240287;-1.03965891017545;-1.02305310841397;-1.02789896565076
-0.977324604581973;-0.992588437420397;-0.992567816257104;-1.06318474766117;-1.02483698335012;-1.02405721817514;-1.02228458208054;-1.0250933380875
-1.04659123075349;-1.02346382144239;-1.03509274873524;-1.03744515015514;-1.03163825401056;-1.03379915098814;-1.01792767610918;-1.02775524931561
-0.98996707034702;-0.995964696112997;-0.992567816257104;-1.0096077739475;-1.00477006098716;-0.999317036248033;-1.01679112008939;-1.01445856091934
