40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
1602.47626582278;3532.65;8176.80628930818;9972.50256281407;40591.9601002506;178018.107434293;394763.785822908;679310.984866323
1542.73449367089;4461.76134453781;6601.57987421384;10959.2000502513;42366.0401002506;168080.833842303;378024.168940784;697081.18355222
1602.47626582278;3792.17030812325;6530.91949685535;9872.68748743719;46968.8172431078;172540.707133917;397221.986434529;700167.017398374
2477.13955696203;3934.62198879552;6692.61006289308;13356.6111055276;42433.5178070175;179384.194746558;403735.567307478;675556.588243433
1602.47626582278;3532.65;7867.56485849057;10052.4704020101;46444.2355889724;175112.905134543;405101.655025021;697081.18355222
1602.47626582278;3813.27745098039;8768.08176100629;11514.15959799;43526.0230701754;171163.250112641;373199.695058382;723368.064666198
1711.80253164557;4129.75014005602;6482.50322327044;11278.1033165829;42776.9501879699;178884.545732165;398482.569676119;666447.428568637
1662.58259493671;3712.65;6450.31572327044;11063.3165829146;44358.6416165414;178018.107434293;383724.016125938;706589.70257661
1620.25316455696;4077.00630252101;6282.74221698113;10060.3023115578;40190.4924310777;178884.545732165;386817.918577982;665400.783365385
2283.69651898734;4284.80896358543;8430.42146226415;9912.59422110553;46277.7493859649;176348.435544431;393566.103865721;673156.397686835
1562.6079113924;4284.80896358543;7676.27798742138;13390.9354773869;44560.2969423559;167525.979524405;405675.865910481;687376.449219043
2289.09367088608;3640.33837535014;6482.50322327044;10756.5789447236;44999.3495739348;170010.671542553;396618.515429525;675556.588243433
2128.61265822785;4661.06442577031;6936.3534591195;10272.9126130653;45275.595;174762.710187735;384734.637199055;667548.613083177
1602.47626582278;4284.80896358543;6844.6088836478;10052.4704020101;43141.0897368421;169868.511689612;393052.121234362;707416.63588571
1562.6079113924;3572.52450980392;7006.59127358491;10544.6440201005;42110.7107894737;177172.753992491;387890.633862941;676584.865540963
1630.38481012658;4129.75014005602;7263.59874213837;10959.2000502513;40422.7107894737;168134.129414894;421536.468725327;687376.449219043
1630.38481012658;3813.27745098039;7006.59127358491;10959.2000502513;44560.2969423559;180301.76896433;379887.712762024;698613.660737961
2289.09367088608;3883.75350140056;6804.14591194969;10544.6440201005;45459.6172431078;184528.901176471;390098.355075063;694078.77724828
1630.38481012658;3996.18151260504;6480.52327044025;10272.9126130653;42110.7107894737;172801.601505006;383724.016125938;686936.60257661
2473.72658227848;3934.62198879552;6582.76108490566;10544.6440201005;44142.3558897243;175112.905134543;416796.890743675;676787.487367886
1602.47626582278;3632.47072829132;7619.76108490566;11278.1033165829;42776.9501879699;181240.571968085;385765.928942174;698613.660737961
1630.38481012658;3721.18991596639;6530.91949685535;13021.9264321608;43745.4277694236;173260.55649562;384734.637199055;688793.085491714
2128.61265822785;4129.75014005602;7459.11949685535;11427.66959799;44999.3495739348;177612.517600125;380658.34028357;696187.77548546
1602.47626582278;3632.47072829132;6530.91949685535;10413.5992462312;40803.5298370927;161011.592540676;379759.757486795;667514.479988274
1991.37215189873;4240.8068627451;8430.42146226415;10544.6440201005;40422.7107894737;171163.250112641;399764.185489297;697081.18355222
1783.5746835443;3670.62408963585;6936.3534591195;11182.8261809045;45275.595;185209.195247184;401667.549980539;686936.60257661
2695.92436708861;3630.25210084034;6601.57987421384;10959.2000502513;40122.4731954887;163207.1334199;402982.499304976;699291.432633677
1845.08892405063;4129.75014005602;6804.14591194969;10140.7686432161;43745.4277694236;171841.618823529;402982.499304976;698613.660737961
2477.13955696203;4461.76134453781;6936.3534591195;10272.9126130653;44806.524122807;181240.571968085;405101.655025021;698613.660737961
1602.47626582278;3883.75350140056;8768.08176100629;9972.50256281407;47366.0479323308;171841.618823529;384458.488762858;687376.449219043
1991.37215189873;3712.65;8137.65416666667;10574.7698994975;48541.5107894737;169364.588739049;392389.32530581;688323.541225766
1662.58259493671;3934.62198879552;6844.6088836478;10060.3023115578;43931.8416165414;183534.839349186;403735.567307478;690230.460288462
1602.47626582278;4426.45392156863;7006.59127358491;13021.9264321608;45459.6172431078;164471.779177096;397849.226377537;670783.62257661
2114.50158227848;3640.33837535014;7189.59127358491;11514.15959799;47942.8170551378;170010.671542553;378980.055380873;674346.231020169
1711.80253164557;3721.18991596639;7867.56485849057;11981.9538190955;41800.2127318296;177612.517600125;396618.515429525;685980.530457317
2128.61265822785;3813.27745098039;6342.56485849057;10574.7698994975;40603.0265789474;180301.76896433;397849.226377537;678038.946704972
1743.2914556962;3721.18991596639;6692.61006289308;11182.8261809045;43526.0230701754;171841.618823529;406488.948792049;688793.085491714
1602.47626582278;4240.8068627451;6440.25157232704;11278.1033165829;42679.806716792;168080.833842303;384458.488762858;714294.912633677
1602.47626582278;4077.00630252101;9449.16863207547;10272.9126130653;45459.6172431078;178018.107434293;399100.947144843;723368.064666198
1620.25316455696;4240.8068627451;6692.61006289308;13757.5397487437;40742.6758897243;168080.833842303;373964.197165694;685980.530457317
1630.38481012658;3532.65;8746.28938679245;10272.9126130653;45765.964924812;166477.628285357;391905.131965527;698613.660737961
1845.08892405063;3934.62198879552;6450.31572327044;11063.3165829146;44358.6416165414;169868.511689612;405101.655025021;711627.106141338
1876.58227848101;4284.80896358543;6601.57987421384;12050.9877386935;45459.6172431078;177612.517600125;364626.769642758;725246.334134615
1876.58227848101;3792.17030812325;6692.61006289308;10413.5992462312;43931.8416165414;173260.55649562;411317.468579372;731725.461225766
1968.58259493671;4661.06442577031;7915.39119496855;11182.8261809045;41800.2127318296;172801.601505006;380815.912706422;698613.660737961
1743.2914556962;3512.73963585434;9449.16863207547;13356.6111055276;43931.8416165414;179384.194746558;382734.039033917;732972.460288462
1542.73449367089;3512.73963585434;7189.59127358491;10413.5992462312;43141.0897368421;164471.779177096;389673.684870726;706589.70257661
1845.08892405063;4077.00630252101;6703.40259433962;10152.5749246231;41526.6696867168;177612.517600125;397221.986434529;660714.204190119
1783.5746835443;4129.75014005602;7089.42893081761;10869.5967839196;40603.0265789474;175112.905134543;391905.131965527;711627.106141338
2114.50158227848;3996.18151260504;6582.76108490566;10544.6440201005;44806.524122807;184528.901176471;390778.996385877;695569.563176986
1662.58259493671;4883.22913165266;7393.88058176101;11063.3165829146;46811.0686842105;170677.373970588;370345.14528913;693167.511007661
1542.73449367089;4077.00630252101;6804.14591194969;10869.5967839196;43931.8416165414;168656.18428035;402390.649876286;702478.666167136
1991.37215189873;4129.75014005602;6582.76108490566;9972.50256281407;43526.0230701754;172540.707133917;395408.782007228;668606.510081301
1876.58227848101;4129.75014005602;8176.80628930818;10544.6440201005;45459.6172431078;169252.065081352;394219.994350848;708247.807079425
1630.38481012658;3996.18151260504;7393.88058176101;10869.5967839196;40803.5298370927;178018.107434293;383477.52940784;725989.234471545
2128.61265822785;3572.52450980392;7263.59874213837;10756.5789447236;46444.2355889724;170010.671542553;388589.168329163;656053.387680582
1783.5746835443;4077.00630252101;6692.61006289308;11063.3165829146;46968.8172431078;185209.195247184;386482.40647206;688793.085491714
1991.37215189873;4661.06442577031;6844.6088836478;11514.15959799;43931.8416165414;175925.122406133;383724.016125938;704103.682802533
1662.58259493671;3996.18151260504;6582.76108490566;10050.2512562814;40461.4127318296;173260.55649562;405101.655025021;662565.0991995
1968.58259493671;3640.33837535014;7915.39119496855;12352.2613065327;45941.2082205514;175925.122406133;376370.530998054;691159.620775485
2473.72658227848;4883.22913165266;6530.91949685535;10869.5967839196;46811.0686842105;171841.618823529;398482.569676119;664374.528768762
1562.6079113924;4077.00630252101;6804.14591194969;11063.3165829146;48673.1390476191;160722.632794118;418355.184432861;709104.621264071
1542.73449367089;3572.52450980392;7089.42893081761;12352.2613065327;42679.806716792;171841.618823529;375574.388457048;706589.70257661
1783.5746835443;4077.00630252101;6804.14591194969;10211.2611055276;41800.2127318296;173551.190941802;401667.549980539;668601.95353424
1620.25316455696;3996.18151260504;7006.59127358491;10060.3023115578;45275.595;165919.035046934;386482.40647206;697729.16860616
2114.50158227848;3670.62408963585;6601.57987421384;11771.7073366834;44358.6416165414;184528.901176471;383724.016125938;676787.487367886
2128.61265822785;3532.65;7263.59874213837;10413.1023115578;42110.7107894737;178018.107434293;399100.947144843;666447.428568637
1542.73449367089;4240.8068627451;6482.50322327044;10211.2611055276;41265.2960526316;185544.430538173;402982.499304976;692608.803702314
1620.25316455696;4426.45392156863;6692.61006289308;11771.7073366834;40913.5961904762;171364.735672716;371028.30236447;700874.590682458
1562.6079113924;3640.33837535014;6302.67303459119;10090.4651256281;44560.2969423559;194183.373970588;395408.782007228;673042.601638524
2473.72658227848;3792.17030812325;6804.14591194969;11981.9538190955;43745.4277694236;162826.044308511;371731.767140673;710813.645654315
1542.73449367089;4661.06442577031;6480.52327044025;10140.7686432161;48083.1390476191;183182.086611389;395408.782007228;703336.461300813
1562.6079113924;4077.00630252101;6342.56485849057;10413.5992462312;52681.8295739348;186581.486908636;391233.419184042;691159.620775485
1968.58259493671;3572.52450980392;7915.39119496855;10756.5789447236;41526.6696867168;165919.035046934;407054.353650264;725246.334134615
1602.47626582278;3934.62198879552;8176.80628930818;11278.1033165829;46968.8172431078;170505.560750939;385765.928942174;681916.873609287
1660.84050632911;4634.43151260504;7619.76108490566;11514.15959799;43369.4187468672;179384.194746558;384734.637199055;697729.16860616
2114.50158227848;4077.00630252101;6844.6088836478;10574.7698994975;44999.3495739348;173551.190941802;388589.168329163;676787.487367886
1662.58259493671;3712.65;6480.52327044025;10152.5749246231;40002.4792105263;183182.086611389;379759.757486795;684224.824715447
1743.2914556962;3792.17030812325;6804.14591194969;11063.3165829146;49285.2130325815;177612.517600125;394763.785822908;678038.946704972
2114.50158227848;4077.00630252101;6936.3534591195;11427.66959799;44999.3495739348;181610.88640801;382734.039033917;703336.461300813
1542.73449367089;3512.73963585434;8460.90062893082;10413.5992462312;42776.9501879699;175545.103429287;391233.419184042;698613.660737961
1662.58259493671;3712.65;6703.40259433962;12291.9156281407;42433.5178070175;168134.129414894;385765.928942174;675383.581751094
1562.6079113924;3572.52450980392;8746.28938679245;10696.7606030151;40262.539160401;173551.190941802;396618.515429525;733680.233345841
2477.13955696203;3934.62198879552;6480.52327044025;10756.5789447236;44999.3495739348;180301.76896433;409327.300195997;651984.194321451
1630.38481012658;3712.65;6601.57987421384;11278.1033165829;42110.7107894737;172540.707133917;406488.948792049;731725.461225766
1968.58259493671;4129.75014005602;6936.3534591195;10413.1023115578;44358.6416165414;166991.588285357;389673.684870726;725989.234471545
1630.38481012658;4129.75014005602;6844.6088836478;11693.9618592965;42072.8653634085;174321.610265957;380815.912706422;719675.245841932
1660.84050632911;3632.47072829132;6703.40259433962;9972.50256281407;41548.0172431078;164029.976223404;380815.912706422;688793.085491714
1562.6079113924;3532.65;6844.6088836478;10756.5789447236;45459.6172431078;176348.435544431;371225.708557131;722271.544715447
2128.61265822785;3532.65;7006.59127358491;9972.50256281407;42433.5178070175;179384.194746558;390098.355075063;702478.666167136
1602.47626582278;3712.65;6482.50322327044;11063.3165829146;44999.3495739348;173260.55649562;394219.994350848;686936.60257661
1662.58259493671;3813.27745098039;8176.80628930818;10544.6440201005;45275.595;162465.145885482;382517.201690297;704952.595372108
1662.58259493671;3712.65;8460.90062893082;11514.15959799;53429.4969423559;187322.373670213;391905.131965527;678038.946704972
1991.37215189873;4077.00630252101;7089.42893081761;11182.8261809045;43141.0897368421;184184.912393617;418355.184432861;674202.832970607
1562.6079113924;3532.65;7676.27798742138;14638.7786934673;44806.524122807;182562.186783479;395982.402670281;685980.530457317
1562.6079113924;3630.25210084034;6692.61006289308;12675.807839196;47366.0479323308;170010.671542553;394219.994350848;694078.77724828
2128.61265822785;4077.00630252101;6582.76108490566;11063.3165829146;42776.9501879699;167549.679602628;382517.201690297;688323.541225766
1562.6079113924;3712.65;7619.76108490566;12050.9877386935;43931.8416165414;179384.194746558;391233.419184042;689731.207004378
1602.47626582278;3632.47072829132;6703.40259433962;9912.59422110553;42433.5178070175;166991.588285357;405101.655025021;666511.134471545
1968.58259493671;3670.62408963585;7263.59874213837;10413.5992462312;44806.524122807;170505.560750939;412250.918299972;692608.803702314
1743.2914556962;4077.00630252101;8768.08176100629;9972.50256281407;45765.964924812;169364.588739049;395982.402670281;673042.601638524
1743.2914556962;5128.82016806723;6844.6088836478;11514.15959799;40422.7107894737;164213.266583229;417300.875729775;709926.933345841
2283.69651898734;3712.65;6450.31572327044;10756.5789447236;46968.8172431078;174762.710187735;417300.875729775;707416.63588571
1542.73449367089;3792.17030812325;7189.59127358491;13021.9264321608;46277.7493859649;177172.753992491;366130.204171532;678038.946704972
1630.38481012658;4077.00630252101;6936.3534591195;12050.9877386935;42776.9501879699;166991.588285357;399100.947144843;695569.563176986
1620.25316455696;3813.27745098039;7189.59127358491;10756.5789447236;42366.0401002506;166477.628285357;383724.016125938;719675.245841932
1991.37215189873;3883.75350140056;6482.50322327044;9912.59422110553;41808.4521428571;172072.7975;383477.52940784;690230.460288462
1991.37215189873;3572.52450980392;7619.76108490566;10413.5992462312;42110.7107894737;167549.679602628;407897.484905477;680603.620763759
1542.73449367089;4284.80896358543;7263.59874213837;11427.66959799;39762.6644736842;184528.901176471;373964.197165694;704103.682802533
1662.58259493671;3630.25210084034;8430.42146226415;10696.7606030151;45941.2082205514;188411.392994368;402390.649876286;668601.95353424
1711.80253164557;3712.65;7676.27798742138;11693.9618592965;45459.6172431078;163207.1334199;410778.432028079;714294.912633677
1662.58259493671;4077.00630252101;6936.3534591195;11278.1033165829;45765.964924812;164029.976223404;373199.695058382;719675.245841932
1630.38481012658;3996.18151260504;6804.14591194969;11514.15959799;47515.0758897243;165510.880650814;387890.633862941;709926.933345841
1743.2914556962;3883.75350140056;7189.59127358491;11427.66959799;48541.5107894737;174001.209561952;400373.710558799;700167.017398374
1660.84050632911;3721.18991596639;6582.76108490566;12675.807839196;42433.5178070175;171163.250112641;365149.496936336;688793.085491714
