40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
3187.625;7014.95;16805.3;19890.61;81168.16;361877.36;801222.705;1372547.77625
3047.725;9111.6;13180.8;22199.49;85328;338596.48;761912.64;1413312.5
3188.875;7579.73333333333;13014.2;19654.65;96034.72;349008;807090.035;1420576.59
5144.825;7950.65;13397.5;27638.03;85632.545;365234.9125;822350.361666667;1363568.22625
3187.625;7014.95;16161.6875;20077.47;94825;355364.3225;825342.125;1413425
3187.625;7669.85;18087.5;23432.96;88198.715;345787.52;750836.375;1475098.74125
3412.4;8356.4;12956.8625;22894.32;86386.625;363895.26;809763.458333333;1341973.53125
3324.975;7435.85;12823.9;22376;90046.385;361771.52;775574.915;1435298.87
3200;8285.75;12487.8625;20023.76;80214.56;363784.32;782925.125;1339594.01875
4710.975;8710.4;17391.3375;19748.75;94560.905;357920;798435.545;1357378.87625
3094.425;8727.46666666667;15643.5;27698.24;90495.8;337204.4;826119.96;1391158.16875
4723.2;7223.46666666667;12954.8375;21721.07;91441.76;343340.0625;805392;1363275.40625
4346.6;9573.33333333333;13966.2;20594.03;92201.965;354251.68;778042.925;1344220
3187.625;8718.93333333333;13801.0625;20074.23;87313.325;342794.92;796979.64;1438008.03125
3094.875;7107.41666666667;14183.4875;21160.32;84876.705;359806.08;785551.815;1365248
3223.8;8343.33333333333;14735.9;22190.67;80905.655;338983.4125;863482.998333333;1391303.07625
3223.8;7673.88333333333;14183.4875;22208.31;90442.88;367280.6025;766501.305;1416833.44
4710.4;7790;13653.2;21168.16;92484.4;376951.72;790603.925;1406403.88
3223.6;8054.4;12894;20597.41;84867.095;349936.3575;775542.245;1389496.32
5127.8;7945.01666666667;13191.3625;21160.32;89488;355364.3225;852317.908333333;1366308.94625
3186.375;7250.28333333333;15583.2625;22874.96;86447.875;369668.9475;780424.961666667;1416717.92
3223.8;7414.8;13013.3;26866.64;88577.36;350689.28;778042.925;1394870.28875
4356.4;8356.4;15180;23283.25;91422.4;361228.1875;768141;1411698.41625
3188.875;7250.28333333333;13013.3;20927.25;81801.695;321913.22;765896.106666667;1344680.25875
4049.6;8652.65;17412.3625;21156.4;80899.875;345700.4;812897.508333333;1413312.5
3580.8;7294.93333333333;13961.3;22728.39;92268.235;378817.4225;817375.573333333;1389357.6
5610.825;7200;13176;22208.31;80194.875;327425.3325;820273.333333333;1418939.90625
3752.875;8369.46666666667;13660.4;20214.56;88577.36;347489.68;819935.333333333;1417180
5162.875;9111.6;13971.1;20604.17;91179.875;369452.7225;825463.625;1416948.96
3188.875;7796.66666666667;18132.5;19890.61;97125.125;347397.2;776919.706666667;1391544.58875
4056.8;7435.85;16737.5375;21304.21;99757.305;341948.0925;795739.708333333;1393026.14
3324.975;7950.65;13801.0625;20023.52;89195.545;374650.88;822527.251666667;1397987.88625
3187.625;9073.85;14176.2625;26889.76;92569.04;330374.8125;808162.893333333;1351601.75
4363.875;7224;14589.3375;23398.4;98484.815;343445.6875;764428.311666667;1360971.44375
3412.4;7414.8;16192.9375;24521.85;84015.44;361119.8125;805728;1387937.94125
4366.2;7665.81666666667;12629.1875;21298.43;81322.875;367239.1975;808262.12;1369204.34375
3513.825;7412.4;13390;22717.81;88183.505;347327.84;828745.761666667;1394373.26375
3186.375;8662.28333333333;12800;22874.96;86062.08;338659.2;777015.746666667;1454168.73625
3188.875;8270.75;19694.1875;20600.79;92505.56;361842.08;811230.933333333;1475015.01875
3200;8662.28333333333;13392.5;28591.11;81520.64;338627.84;752652.271666667;1387937.94125
3223.6;7014.65;18139.8875;20597.41;93355.895;334862.5;794427.733333333;1417064.48
