40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.9;0.833333333333333;0.85;0.84;0.81;0.865;0.85;0.8825
0.8;0.766666666666667;0.925;0.92;0.89;0.865;0.85;0.8675
0.8;0.833333333333333;0.875;0.88;0.85;0.86;0.89;0.86
0.8;0.966666666666667;0.825;0.88;0.83;0.85;0.836666666666667;0.8275
0.9;0.9;0.875;0.82;0.84;0.865;0.843333333333333;0.845
0.85;0.833333333333333;0.85;0.88;0.8;0.86;0.863333333333333;0.845
0.95;0.866666666666667;0.8;0.88;0.83;0.78;0.883333333333333;0.825
0.75;0.8;0.825;0.9;0.86;0.89;0.863333333333333;0.8675
0.9;0.9;0.775;0.88;0.87;0.835;0.84;0.8825
0.8;0.866666666666667;0.825;0.84;0.88;0.785;0.866666666666667;0.8525
0.95;0.866666666666667;0.8;0.88;0.8;0.875;0.84;0.81
0.95;0.866666666666667;0.75;0.84;0.83;0.85;0.856666666666667;0.905
0.85;0.766666666666667;0.875;0.88;0.79;0.8;0.836666666666667;0.835
0.85;0.866666666666667;0.775;0.76;0.87;0.8;0.886666666666667;0.835
0.85;0.8;0.9;0.88;0.79;0.87;0.863333333333333;0.865
0.75;0.9;0.825;0.88;0.88;0.89;0.886666666666667;0.86
0.9;0.8;0.85;0.88;0.87;0.87;0.84;0.8525
0.9;0.833333333333333;0.8;0.84;0.89;0.87;0.86;0.875
0.65;0.866666666666667;0.875;0.84;0.85;0.855;0.83;0.825
0.75;0.933333333333333;0.925;0.88;0.93;0.84;0.876666666666667;0.8425
0.9;0.8;0.925;0.76;0.88;0.835;0.83;0.8375
0.95;0.933333333333333;0.825;0.88;0.91;0.85;0.88;0.83
0.8;0.933333333333333;0.85;0.82;0.88;0.86;0.803333333333333;0.8775
0.8;0.833333333333333;0.8;0.84;0.79;0.835;0.866666666666667;0.835
0.8;0.833333333333333;0.9;0.86;0.85;0.85;0.84;0.885
0.8;0.733333333333333;0.875;0.94;0.84;0.86;0.88;0.845
0.8;0.8;0.875;0.8;0.82;0.855;0.796666666666667;0.86
0.8;0.933333333333333;0.85;0.8;0.88;0.835;0.85;0.8375
0.8;0.766666666666667;0.95;0.82;0.83;0.87;0.91;0.85
0.85;0.833333333333333;0.775;0.74;0.87;0.83;0.83;0.8525
0.75;0.833333333333333;0.825;0.84;0.8;0.865;0.853333333333333;0.8825
0.75;0.766666666666667;0.8;0.9;0.79;0.86;0.83;0.85
0.8;0.866666666666667;0.825;0.9;0.78;0.845;0.843333333333333;0.855
0.85;0.8;0.725;0.9;0.87;0.86;0.856666666666667;0.8625
0.85;0.9;0.825;0.76;0.83;0.845;0.8;0.86
0.7;0.933333333333333;0.825;0.9;0.87;0.815;0.86;0.8525
0.95;0.866666666666667;0.9;0.8;0.87;0.865;0.86;0.8325
0.95;0.833333333333333;0.85;0.92;0.79;0.855;0.876666666666667;0.835
0.95;0.866666666666667;0.9;0.82;0.87;0.88;0.886666666666667;0.8475
0.9;0.7;0.875;0.78;0.85;0.86;0.83;0.7825
0.9;0.833333333333333;0.925;0.86;0.81;0.88;0.9;0.8475
0.9;0.9;0.85;0.86;0.82;0.875;0.83;0.8225
0.95;0.966666666666667;0.875;0.84;0.81;0.89;0.86;0.875
0.95;0.733333333333333;0.875;0.88;0.84;0.84;0.87;0.8525
0.8;0.8;0.75;0.84;0.86;0.845;0.83;0.84
0.95;0.9;0.925;0.82;0.95;0.845;0.846666666666667;0.8625
