40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
1853.125;4388.31333333333;6541.609375;10491.9208;43033.083;165711.628125;398150.305555556;681490.5549
1761.2;3542.72222222222;8086.28125;11008;42005.422;184298.24005;389773.256;739207.6822
1761.2;3781.48333333333;6362.45875;10815.184;40321.6215;176127.68;386495.1875;705307.55396875
1610;3542.75;6302.90625;9922.6376;44448.8962;187088.18625;382412.8855;719984.3767625
1721.475;3681.61;7865.74;10491.764;45345.9682;180454.62625;394433.222888889;718189.6192
1641.785;4249.10222222222;7217.79625;10814.6656;42005.3259;178660.57025;395652.234322222;702894.0675625
1821.9875;4621.33333333333;6263.280625;10702.6336;44031.92;177794.1736;398149.4375;682823.71736875
1690.36;3602.19333333333;7571.765625;11008;42669.87;166776.5075;372997.296;726688.108525
1640.08;3962.88;6362.428125;11456.5888;43635.7754;165710.977875;385138.833333333;703661.16765625
1582.4375;3690.18;6560.3;10000;44886.8512;170460.870925;372994.4448;718187.1992
2255.06;4248.96;7412;12290.5;40701.3832;173782.61285;406149.5563;689300.06375
1641.6625;4389.51666666667;6263.280625;10815.184;40321.477;183304.96;380495.8633;718187.1992
1821.9875;3760.53333333333;6801.8125;11007.92;45161.053;176128;405336.2066;661213.3232
1523.45;3600;7628.30125;12290.32;40022.148;170292.3776;372145.112055556;693644.7115625
1543.05;3542.72222222222;6661.493125;10160.192;43635.992;176127.92;377708.992;699728.746
1690.36;4842.53555555556;7044.4;10010;44694.4825;176127.68;412436.736;649628.01705625
2260.48;5076.83333333333;6650.75;11712.308;47247.2925;170291.6096;365296.218688889;706147.7559625
1582.25;3851.33333333333;6801.8125;10360.9216;48418.0249;182952.373925;447801.378988889;674960.3792
1721.475;4249.10222222222;7144.4025;10160.1536;43821.8229;176126.72;384413.897488889;680176.67040625
1690.405;4248.96;6801.671875;11712.308;45345.9682;178264.094175;387566.6125;694230.96475
1821.9875;3760.56888888889;7347.35875;10040.0096;47822.9194;175324.9876;381259.075822222;721815.16375
1853;4622.22222222222;7044.8;11922.002;41695.577;173783.43425;404762.02;695751.785275
1609.985;4043;8125.70125;10090.0576;40501.5145;177386.68625;388264.782222222;687892.3868125
1610;3901.81;6410;10361.52;43417.0369;168444.9856;406714.216888889;659406.464
1853;3610;6263.275;10702.778;42573.1072;184296.31925;393891.477688889;712902.5078125
2101.025;3690.18;6541.3825;11221.616;45345.8624;167340.151125;376911.827222222;704511.28
2101.76;4095.33555555556;7865.92;11456.4736;40640.8192;174892.43425;422802.6605;697293.0695875
1640;3542.66666666667;7412.5;10521.766;45650.0794;176127.92;376066.2118;685141.6645625
2660.985;4205.10555555556;7818.34375;10101.806;44247.7219;189581.5078;385444.4426;680178.12649375
1543.0725;3503.21;6661.493125;11008;45345.9682;178264.66185;400032.9216;678886.10048125
1821.685;4595.26;8125.70125;11370.25;43821.8229;175324.45525;395651.908966667;696644.875
1640.08;4095.33555555556;7347.634375;10361.52;41695.6784;165711.5631;418006.2625;699729.3389
1543.05;3690.16;6661.493125;12229.2548;43821.8229;173043.7216;396888.4256;675134.3539375
1641.785;3483.46666666667;6801.390625;10642.816;43033.083;171857.312675;389348.3736;696644.875
2650;3760.53333333333;6441.6775;10702.6336;41422.6252;174101.46635;376056.853333333;722915.9334625
1721.475;5085.76;7628.15;11221.7128;40501.1535;165209.14235;398768.2776;666030.68359375
1821.9875;4388.31333333333;9769.6;10361.008;44693.875;174893.526425;408985.9456;706146.7718125
1641.785;3690.18;8712.15625;11635.4556;46693.1632;181383.767;398765.287822222;664984.83328125
1640.06;3542.75;6661.3875;9922.5788;43821.4867;175324.9876;410434.725;672728.99085625
1966.48;3602.19333333333;6441.930625;10702.6336;43416.2764;183304.384;418500.868266667;686945.61628125
1853;4595.75;6560.3;9922.6376;45345.8624;168528.151625;388659.933166667;675134.26243125
1641.785;3503.21;6541.609375;11008;40701.5155;172325.03125;412436.16;667131.091
1582.4375;3962.8;7572.09625;10491.8816;46328;172324.78625;380497.9775;706973.96875
1610;3690.16;7045.12;11456.5888;46851.3952;165209.5025;389770.3811;676161.595
1721.475;4595.75;6661.493125;11126.8856;43821.8229;186022.14335;391578.544355556;686946.461575
1523.45;3640.03555555556;6661.3875;14565.5848;40360.252;181012.696875;422806.0313;698176.3774
1641.785;5962.5;6962.7775;12611.6096;45826.3552;163403.794175;404764.045;693643.9122125
1853;3600;6362.45875;11007.92;46692.3205;182952.373925;386495.555;686503.568
1523.45;3542.72222222222;6801.390625;11990.7328;48551.4562;174103.5415;381259.310933333;676364.48336875
1610;3503.21;6441.829375;9863;42572.9024;166233.682625;365825.091766667;698176.7384
1943.9225;4424.58;6892.94;10361.43;41695.6784;167923.86385;374436.091888889;688362.450025
1761.28;5353.09333333333;6661.493125;9922.6376;45162.3784;186021.878125;390905.954822222;695752.6403125
1853.125;4042.75;6962.596875;11455.552;44247.1672;170949.29605;405337.403666667;667096.84515625
2102.005;3962.8;7217.29;10702.6336;42005.3259;178660.108;404763.4375;696645.4375
1610.005;3901.81;7144.628125;12956.8168;41162.0625;167340.23235;395652.234322222;686505.8222
1610;3901.62222222222;7218.20125;11990.1056;40811.296;170292.3776;399431.026266667;698852.104375
2446.0625;3781.48333333333;6490.10125;10702.778;44446.6912;169797.51125;380498.5541;698175.2222
1761.28;3610;7817.953125;9863.03;43635.992;178264.472625;385443.263822222;698173.4894
2260.48;3690.18;6362.428125;10361.52;47962.7744;167870.1056;380341.08;686943.44266875
2088;4595.75;7628.15;11368;52549.145;166776.205;389348.892;687892.8034
1543.0725;3781.48333333333;6892.75625;10643.2768;41422.8439;170292.3776;431665.7536;689795.4717
1943.9225;3781.34888888889;7217.79625;11635.4556;46851.26;189284.8801;363612.695466667;670364.0425
1640.06;3962.88;6962.596875;11221.7128;43260.9304;169152.572925;408985.5038;673924.48804375
1761.28;3962.8;6409.99625;11456.5888;44886.464;167316.42625;388659.537133333;685549.31453125
1610;3760.42666666667;6650.78125;11370.5;39902.4352;178660.108;370718.5765;677615.16015625
1640.06;4205.42666666667;6560.3;12611.6096;49161.28;181972.654375;383403.9058;688360.7104375
2087.4375;3609.99333333333;7572.09625;9823.3236;44886.464;168527.87255;384137.626488889;713843.21735625
1690.405;3503.21;6650.78125;11008;42669.87;184297.75985;400039.713;722915.30554375
1610;4042.25;6801.390625;10361.43;42327.3115;171626.759;382197.995555556;685551.42604375
2088;3542.72222222222;6362.428125;11635.164;40161.88;165711.43305;379570.852133333;698176.7384
1761.28;3962.8;6560.3;13713.1016;44886.7544;177795.232;392724.5778;711182.251
1523.45;3681.7;6650.78125;11008;42005.422;177390.479375;405337.802688889;724790.889375
1943.5;3690.16;7865.74;11221.616;44247.1672;166782.308;385444.4426;731258.995
1582.4375;3602.13888888889;6302.921875;11008;41967.056;179159.93975;436561.958333333;698176.7384
2088;4095.22666666667;6650.78125;10491.8816;41444.1472;167870.6936;407556.899466667;732514.3234
1966.48;3690.1;6441.98125;10814.9896;45345.545;173783.092;396287.68;706146.7718125
1821.9875;3602.19333333333;7144.4025;11990.1056;42327.4204;176128;397516.941155556;660300.8528125
1690.405;3962.88;8125.49;11370.5;44886.464;180076.365875;387201.939555556;711182.3392
1640.06;3681.43;6560.32;10491.9208;45162.3784;176127.92;398150.479166667;695134.5584
1609.985;4095.33555555556;6302.921875;10903.8528;53294.8864;164265.879375;395078.578488889;692732.91386875
1965.76;4249.10222222222;7572.09625;10904.2056;43033.2199;179547.0176;397517.602666667;702039.12323125
1690.36;4622.22222222222;6541.609375;10250.5;44693.2675;162252.52;415425.273155556;668188.5959
1943.9225;3901.81;6801.8125;10250.48;47247.595;181971.52625;382415.080933333;707801.03375
1721.2725;3640;7572.09625;11126.674;42669.87;177390.29875;386160.1066;725535.4912
1641.785;4095.22666666667;6440;10815.184;43821.4867;171626.759;400039.272;655643.2197625
1610.005;3901.81;6893.00125;11008;42326.767;190415.945475;382198.241;688362.57428125
1690.36;4205.42666666667;9028.84;10904.382;44694.28;171626.759;388657.160933333;703663.59775
1721.475;4389.51666666667;6440.015;10361.0368;45651.2799;169040.095;386160.28;662150.7475
1761.2;5352.91;7045.04;9863.03;40321.6504;175324.9876;394433.852266667;690727.0789
1543.0725;3503.21;7218.20125;10521.8816;46851.3952;190416.2535;377708.796;663959.28671875
1821.685;4424.4;8086.736875;10904.2056;46161.2422;173334.09375;396889.2661;708660.88616875
1610.005;3681.7;6761.575;10221.472;42669.9925;182951.66825;403399.096433333;706146.0337
1853;3781.08;6541.53375;9863;42259.72;197901.54785;404763.8425;668183.8452625
1641.785;3760.56888888889;6243.475;10361.008;41703.9205;169039.375;372888.625;697293.0695875
1721.475;3690.16;7865.74;10702.778;42005.3259;179545.856;398149.4375;676364.1997
1582.4375;3962.88;6661.17625;12290.32;39663.255;166233.682625;383401.9456;666030.68359375
1966.3;3503.21;6243.474375;11712.7136;45826.24;162563.264;386495.4325;692175.8584
1610.005;4595.75;7218.20125;10521.8816;45345.8624;177795.4966;393236.5921;700434.98424375
2442.805;3901.81;6661.493125;11007.68;45651.2799;167870.1056;405336.904888889;672621.3002125
1966.3;3962.88;8713;12289.78;47396.1424;172324.78625;396285.12;710369.18630625
1582.4375;3901.81;6801.671875;10702.6336;48420.1135;179159.741725;384413.6708;702896.1739
1600;3760.42666666667;6801.8125;10010.0008;42327.4204;174893.838475;392724.289;690727.583
1543.0725;3690.1;7144.628125;11635.4556;44694.28;170947.9348;387567.248555556;724793.0284375
2255.06;4595.75;7572.09625;11635.4556;54854.428;178653.4516;421184.880222222;681490.5549
2446.0625;3602.19333333333;8407.775;10101.806;42260.08;177792.4096;379570.852133333;697289.99715625
1761.2;4622;6893.00125;11635.4556;47247.595;178660.8476;389773.1191;676363.91603125
1943.9225;5352.91;6263.275;10361.0368;49680.2755;176128;383404.1236;683797.12975
1543.05;3610;7144.628125;10250.5;40501.4062;167316.57205;416440.407933333;677614.18359375
1543.0725;3962.88;9770.815;13323.9808;42573.056;169798.039375;385444.088966667;702895.6278125
1721.475;3681.61;7571.765625;10702.3448;47962.7744;174543.1016;384413.330766667;698173.4894
2102.005;3901.81;7347.634375;10221.5396;41443.888;169655.7436;380340.72;674961.0754
1966.48;4205.42666666667;6302.921875;10160.192;44694.28;176950.95185;379443.118933333;733221.568
1543.0725;3483.46666666667;6892.94;10521.5348;41967.644;167923.86385;399427.262833333;651576.7042
1640.08;3851.33333333333;6801.671875;11635.4556;41212.904;180076.15885;401332.736;731267.6815625
1543.0725;4042.75;6761.44;10361.43;51827.2672;184297.75985;402645.835555556;725533.7984
1543.0725;4389.51666666667;6962.596875;11126.8856;44246.6125;172585.449625;402646.305;719222.4199375
1966.3;4424.4;6243.475;10815.184;42005.422;174893.838475;404764.045;688362.2015125
1523.4475;3602.19333333333;6801.390625;10815.2488;45650.7997;181013.994225;384138.053333333;721818.505
1721.475;3600;7144.628125;11221.616;45825.8944;173042.944;392060.846388889;702039.59725
1853.125;3781.48333333333;7572.09625;10904.382;42004.8454;177390.29875;403397.130988889;686507.036
1641.785;3760.53333333333;7817.953125;10000;44694.28;160810.324;397517.3546;704511.28
1543.0725;3690.16;6243.475;10815.184;43033.083;170948.42485;378664.227666667;677614.18359375
1600;4389.51666666667;6362.45875;10221.472;44694.28;184977.39685;396286;673781.4562
2445.16;4424.58;7628.30125;13688.0676;44031.92;163003.081725;397517.3546;685551.7779625
1690.405;3962.8;8125.49;11126.674;40701.5155;171626.5856;406145.8025;693644.9780125
1582.4375;4205.10555555556;6490.09;10643.2256;46162.0225;181013.34555;384138.053333333;687893.3390125
1761.28;3602.13888888889;11052.55;10361.008;44247.537;171626.5856;398767.594222222;689299.145
1600;3690.1;6661.3875;10815.184;44886.464;169152.572925;373652.486222222;666093.7522
2446.0625;5653.58333333333;6661.3875;10040.0096;41703.4159;183305.3056;391578.2656;692174.3032
1523.45;3503.21;7571.765625;10002.204;43417.0369;164266.1325;404762.83;672621.5845
1821.9875;3781.48333333333;6801.8125;11126.674;43821.8229;169797.51125;364322.8373;709482.8845625
1600;3542.75;6441.98125;11635.4556;45825.8944;177390.479375;410972.911666667;706974.3090625
2088;4842.53555555556;6410;10160.192;47247.2925;180075.7448;380498.5541;677615.16015625
1640.08;4043;8407.04;11922.002;42572.6464;171626.2966;382412.8855;695134.21615
2446.0625;4249.10222222222;8407.04;10491.8816;40921.5427;167870.7328;389347.92;719225.42378125
1610.005;3602.19333333333;7045.12;11370.5;45345.545;177794.791;396890.4428;689798.92246875
1600;3600;6650.75;11370.25;46694.0059;167870.6936;391576.802133333;680174.486275
1690.405;4043;6490.10125;11007.92;40090.0162;166269.40625;390452.271666667;703662.6257125
1690.405;4095.22666666667;6441.98125;11370.25;43033.2199;169656.128;370036.218833333;668183.32546875
2446.0625;3640.03555555556;7865.74;11990.1056;42573.056;177390.479375;402055.3005;713840.0374
1821.9875;3483.46666666667;6761.44;14564.1736;42906.6464;173042.944;395078.578488889;719221.2184
1761.28;4205.10555555556;7571.765625;10904.2056;41695.6784;172585.58285;393888.786488889;709480.1289625
1641.785;4248.53333333333;8691.55;11456.5888;47822.5945;179159.741725;383157.9136;699729.1165625
1821.685;3602.19333333333;6650.75;10010;42327.0937;164266.1325;388263.096822222;688362.2015125
1721.475;4043;6650.75;10814.9896;45825.3184;177389.9375;386159.8176;657349.18729375
1543.05;3781.48333333333;6263.280625;11008;44693.2675;174893.526425;383404.2325;654820.4765875
