40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.225;0.0666666666666667;0.175;0.12;0.15;0.1525;0.158333333333333;0.15375
0.15;0.0666666666666667;0.15;0.14;0.155;0.105;0.141666666666667;0.16125
0.15;0.133333333333333;0.15;0.14;0.17;0.195;0.155;0.1375
0.15;0.1;0.075;0.14;0.145;0.1525;0.17;0.15
0.1;0.0833333333333333;0.125;0.14;0.19;0.155;0.143333333333333;0.15
0.1;0.216666666666667;0.1625;0.12;0.135;0.175;0.165;0.15
0.175;0.183333333333333;0.125;0.22;0.185;0.16;0.168333333333333;0.15625
0.175;0.116666666666667;0.1625;0.19;0.145;0.1425;0.165;0.14375
0.175;0.1;0.15;0.15;0.15;0.15;0.138333333333333;0.12875
0.075;0.0833333333333333;0.15;0.11;0.145;0.1275;0.143333333333333;0.15875
0.225;0.183333333333333;0.1625;0.14;0.165;0.155;0.18;0.14125
0.2;0.133333333333333;0.1875;0.13;0.17;0.1675;0.15;0.1325
0.2;0.266666666666667;0.075;0.19;0.145;0.1325;0.148333333333333;0.14625
0.225;0.15;0.1125;0.16;0.175;0.1375;0.133333333333333;0.16125
0.05;0.166666666666667;0.1125;0.11;0.175;0.1825;0.146666666666667;0.17
0.05;0.1;0.225;0.19;0.13;0.1;0.148333333333333;0.18
0.175;0.0833333333333333;0.1375;0.09;0.13;0.1275;0.16;0.15125
0.1;0.133333333333333;0.1375;0.2;0.18;0.1475;0.166666666666667;0.16625
0.15;0.133333333333333;0.1625;0.08;0.19;0.1275;0.176666666666667;0.15875
0.125;0.2;0.1;0.17;0.205;0.1525;0.123333333333333;0.14625
0.1;0.116666666666667;0.125;0.14;0.125;0.1875;0.15;0.16125
0.2;0.0833333333333333;0.1625;0.14;0.17;0.175;0.156666666666667;0.1475
0.225;0.133333333333333;0.15;0.14;0.13;0.14;0.175;0.15
0.2;0.116666666666667;0.1375;0.14;0.15;0.1575;0.161666666666667;0.1375
0.05;0.116666666666667;0.175;0.17;0.17;0.105;0.15;0.145
0.1;0.1;0.0875;0.14;0.145;0.1425;0.17;0.13625
0.15;0.2;0.1625;0.09;0.145;0.14;0.156666666666667;0.145
