40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.515;0.544444444444444;0.5103125;0.503;0.53565;0.54125;0.514733333333333;0.51220625
0.51875;0.52;0.50125;0.5192;0.5056;0.507;0.522288888888889;0.50616875
0.545;0.504444444444444;0.5525;0.5064;0.52635;0.5018;0.5074;0.5177375
0.5;0.500555555555556;0.53;0.5616;0.5276;0.510125;0.516755555555556;0.508765625
0.56125;0.516666666666667;0.5140625;0.52;0.5024;0.5217375;0.512777777777778;0.517109375
0.56;0.503333333333333;0.50875;0.524;0.5375;0.5075;0.516377777777778;0.519190625
0.5225;0.516666666666667;0.54375;0.511;0.5054;0.5084;0.5177;0.5106875
0.505;0.531111111111111;0.50625;0.5364;0.5325;0.5075;0.5253;0.5136875
0.5;0.555;0.515;0.5112;0.507;0.50585;0.503577777777778;0.51438125
0.59;0.531111111111111;0.57875;0.504;0.5072;0.520475;0.5192;0.5106875
0.545;0.523333333333333;0.5;0.5024;0.5136;0.5324;0.510755555555556;0.51026875
0.49625;0.513333333333333;0.528125;0.5312;0.5072;0.5205;0.516533333333333;0.515753125
0.51875;0.5;0.525;0.5;0.5018;0.50725;0.515588888888889;0.50995625
0.5;0.586666666666667;0.513125;0.528;0.5276;0.511625;0.51925;0.51975
0.50125;0.497777777777778;0.528125;0.506;0.5076;0.506525;0.511244444444445;0.52185
0.53;0.506666666666667;0.55;0.5028;0.503;0.5152;0.5091;0.516575
0.5125;0.496666666666667;0.513125;0.506;0.54125;0.51305;0.511705555555556;0.5076875
0.58;0.577777777777778;0.5;0.5126;0.52465;0.5116;0.505488888888889;0.5102375
0.49;0.526666666666667;0.5;0.5448;0.50595;0.513175;0.51375;0.50511875
0.5025;0.525;0.5065625;0.5056;0.5085;0.520825;0.50925;0.5048375
0.50375;0.51;0.5196875;0.5126;0.5136;0.5092;0.510133333333333;0.5187625
0.50375;0.5;0.509375;0.516;0.548;0.5133;0.5084;0.50805
0.5375;0.527222222222222;0.5109375;0.5442;0.5144;0.5143375;0.511333333333333;0.514828125
0.495;0.523333333333333;0.50875;0.524;0.5112;0.522575;0.524533333333333;0.519971875
0.52;0.5;0.4984375;0.5364;0.52755;0.5119625;0.524888888888889;0.5119625
0.51125;0.501666666666667;0.513125;0.5096;0.5075;0.514725;0.514933333333333;0.52614375
0.505;0.544444444444444;0.513125;0.5144;0.521;0.51995;0.505911111111111;0.519996875
0.49875;0.522222222222222;0.5028125;0.528;0.5276;0.512;0.509916666666667;0.507815625
0.5;0.498333333333333;0.5065625;0.4976;0.5119;0.51125;0.507194444444444;0.5155
0.64625;0.517777777777778;0.5525;0.528;0.518;0.51935;0.518027777777778;0.5134875
0.5225;0.508333333333333;0.515625;0.528;0.55115;0.5153125;0.514722222222222;0.50344375
0.5075;0.502777777777778;0.515;0.5096;0.5341;0.50975;0.505133333333333;0.511625
