40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.485;0.455555555555556;0.4896875;0.497;0.46435;0.45875;0.485266666666667;0.48779375
0.48125;0.48;0.49875;0.4808;0.4944;0.493;0.477711111111111;0.49383125
0.455;0.495555555555556;0.4475;0.4936;0.47365;0.4982;0.4926;0.4822625
0.5;0.499444444444444;0.47;0.4384;0.4724;0.489875;0.483244444444444;0.491234375
0.43875;0.483333333333333;0.4859375;0.48;0.4976;0.4782625;0.487222222222222;0.482890625
0.44;0.496666666666667;0.49125;0.476;0.4625;0.4925;0.483622222222222;0.480809375
0.4775;0.483333333333333;0.45625;0.489;0.4946;0.4916;0.4823;0.4893125
0.495;0.468888888888889;0.49375;0.4636;0.4675;0.4925;0.4747;0.4863125
0.5;0.445;0.485;0.4888;0.493;0.49415;0.496422222222222;0.48561875
0.41;0.468888888888889;0.42125;0.496;0.4928;0.479525;0.4808;0.4893125
0.455;0.476666666666667;0.5;0.4976;0.4864;0.4676;0.489244444444444;0.48973125
0.50375;0.486666666666667;0.471875;0.4688;0.4928;0.4795;0.483466666666667;0.484246875
0.48125;0.5;0.475;0.5;0.4982;0.49275;0.484411111111111;0.49004375
0.5;0.413333333333333;0.486875;0.472;0.4724;0.488375;0.48075;0.48025
0.49875;0.502222222222222;0.471875;0.494;0.4924;0.493475;0.488755555555556;0.47815
0.47;0.493333333333333;0.45;0.4972;0.497;0.4848;0.4909;0.483425
0.4875;0.503333333333333;0.486875;0.494;0.45875;0.48695;0.488294444444444;0.4923125
0.42;0.422222222222222;0.5;0.4874;0.47535;0.4884;0.494511111111111;0.4897625
0.51;0.473333333333333;0.5;0.4552;0.49405;0.486825;0.48625;0.49488125
0.4975;0.475;0.4934375;0.4944;0.4915;0.479175;0.49075;0.4951625
0.49625;0.49;0.4803125;0.4874;0.4864;0.4908;0.489866666666667;0.4812375
0.49625;0.5;0.490625;0.484;0.452;0.4867;0.4916;0.49195
0.4625;0.472777777777778;0.4890625;0.4558;0.4856;0.4856625;0.488666666666667;0.485171875
0.505;0.476666666666667;0.49125;0.476;0.4888;0.477425;0.475466666666667;0.480028125
0.48;0.5;0.5015625;0.4636;0.47245;0.4880375;0.475111111111111;0.4880375
0.48875;0.498333333333333;0.486875;0.4904;0.4925;0.485275;0.485066666666667;0.47385625
0.495;0.455555555555556;0.486875;0.4856;0.479;0.48005;0.494088888888889;0.480003125
0.50125;0.477777777777778;0.4971875;0.472;0.4724;0.488;0.490083333333333;0.492184375
0.5;0.501666666666667;0.4934375;0.5024;0.4881;0.48875;0.492805555555556;0.4845
0.35375;0.482222222222222;0.4475;0.472;0.482;0.48065;0.481972222222222;0.4865125
0.4775;0.491666666666667;0.484375;0.472;0.44885;0.4846875;0.485277777777778;0.49655625
0.4925;0.497222222222222;0.485;0.4904;0.4659;0.49025;0.494866666666667;0.488375
0.4875;0.476666666666667;0.483125;0.4846;0.476;0.4844;0.49;0.4821875
0.5;0.493333333333333;0.4984375;0.4802;0.4964;0.48605;0.478088888888889;0.49175
0.42125;0.480555555555556;0.4925;0.4872;0.4895;0.4674875;0.486933333333333;0.48970625
0.5;0.480555555555556;0.4278125;0.4892;0.4886;0.4935;0.485905555555556;0.485134375
0.455;0.486666666666667;0.495625;0.4944;0.47625;0.4810375;0.487727777777778;0.480525
0.50125;0.491666666666667;0.5;0.501;0.49685;0.49;0.4848;0.48624375
0.43875;0.503333333333333;0.4690625;0.443;0.4976;0.4951;0.476333333333333;0.491425
0.5;0.48;0.4975;0.4802;0.4813;0.4913;0.48575;0.481978125
0.4;0.472777777777778;0.4825;0.4868;0.4473;0.468825;0.490133333333333;0.491925
0.5;0.480555555555556;0.49625;0.4558;0.4964;0.479;0.471766666666667;0.48358125
0.495;0.475555555555556;0.48875;0.4776;0.4945;0.48575;0.473233333333333;0.49109375
0.5;0.480555555555556;0.49625;0.482;0.48125;0.4958;0.4949;0.49155
0.475;0.46;0.4953125;0.4856;0.4748;0.489875;0.478733333333333;0.47975
0.37625;0.497777777777778;0.4625;0.484;0.4636;0.48065;0.487222222222222;0.489125
0.485;0.5;0.49875;0.486;0.4867;0.475025;0.4883;0.48425
0.485;0.486666666666667;0.5;0.4802;0.4896;0.489125;0.480444444444444;0.4938125
0.5;0.486111111111111;0.47;0.4996;0.4829;0.48605;0.492416666666667;0.48508125
