40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.375;0.183333333333333;0.2375;0.19;0.18;0.2425;0.205;0.24375
0.25;0.2;0.25;0.22;0.195;0.215;0.198333333333333;0.2225
0.25;0.183333333333333;0.1875;0.15;0.235;0.2325;0.236666666666667;0.255
0.225;0.2;0.2375;0.22;0.27;0.225;0.243333333333333;0.2225
0.25;0.233333333333333;0.225;0.26;0.225;0.26;0.233333333333333;0.2075
0.2;0.266666666666667;0.1625;0.18;0.24;0.2575;0.245;0.19125
0.3;0.3;0.2625;0.26;0.22;0.1975;0.216666666666667;0.2125
0.2;0.333333333333333;0.2625;0.16;0.155;0.225;0.218333333333333;0.225
0.15;0.2;0.225;0.19;0.22;0.2575;0.228333333333333;0.235
0.25;0.183333333333333;0.1875;0.2;0.19;0.225;0.235;0.2375
0.225;0.2;0.2625;0.19;0.18;0.235;0.218333333333333;0.22125
0.175;0.233333333333333;0.225;0.21;0.225;0.2525;0.225;0.20625
0.25;0.166666666666667;0.175;0.34;0.24;0.21;0.25;0.19625
0.05;0.2;0.2;0.24;0.27;0.1875;0.211666666666667;0.2225
0.3;0.216666666666667;0.1875;0.26;0.23;0.2225;0.201666666666667;0.2125
0.2;0.2;0.2;0.22;0.205;0.2;0.171666666666667;0.24375
0.325;0.25;0.2875;0.29;0.255;0.2475;0.201666666666667;0.24125
0.275;0.183333333333333;0.2375;0.21;0.195;0.205;0.228333333333333;0.2175
0.3;0.25;0.25;0.22;0.275;0.25;0.25;0.235
0.2;0.15;0.2;0.26;0.235;0.21;0.235;0.21
0.225;0.233333333333333;0.2125;0.19;0.27;0.24;0.223333333333333;0.20625
0.325;0.266666666666667;0.1875;0.26;0.19;0.2375;0.236666666666667;0.2125
0.175;0.283333333333333;0.2;0.22;0.23;0.2125;0.248333333333333;0.20875
0.2;0.25;0.2125;0.26;0.24;0.2275;0.228333333333333;0.2325
0.35;0.183333333333333;0.2125;0.24;0.195;0.21;0.208333333333333;0.205
0.125;0.166666666666667;0.125;0.17;0.185;0.22;0.223333333333333;0.2125
0.225;0.233333333333333;0.1875;0.26;0.265;0.2;0.233333333333333;0.20625
0.25;0.2;0.3125;0.25;0.195;0.21;0.195;0.23375
0.225;0.25;0.3;0.15;0.19;0.2575;0.223333333333333;0.215
0.175;0.233333333333333;0.1875;0.25;0.17;0.2425;0.23;0.23875
0.2;0.216666666666667;0.225;0.23;0.23;0.2325;0.256666666666667;0.23
0.25;0.233333333333333;0.2375;0.15;0.245;0.22;0.201666666666667;0.215
0.175;0.316666666666667;0.2875;0.18;0.225;0.2;0.186666666666667;0.235
0.25;0.233333333333333;0.225;0.26;0.225;0.235;0.201666666666667;0.25125
0.275;0.133333333333333;0.2125;0.19;0.25;0.1925;0.21;0.2075
0.15;0.166666666666667;0.2875;0.23;0.2;0.2175;0.24;0.225
0.175;0.2;0.2375;0.22;0.255;0.23;0.213333333333333;0.23
0.175;0.2;0.1875;0.18;0.175;0.2075;0.218333333333333;0.2125
0.15;0.133333333333333;0.2375;0.28;0.25;0.255;0.208333333333333;0.21
0.175;0.233333333333333;0.2625;0.14;0.2;0.225;0.243333333333333;0.245
0.3;0.233333333333333;0.1625;0.23;0.22;0.225;0.221666666666667;0.2225
0.125;0.233333333333333;0.1875;0.18;0.195;0.275;0.233333333333333;0.22875
0.3;0.2;0.1875;0.22;0.255;0.23;0.233333333333333;0.23625
0.325;0.133333333333333;0.1875;0.27;0.235;0.2275;0.241666666666667;0.22
0.15;0.216666666666667;0.2375;0.17;0.295;0.2725;0.25;0.23875
0.125;0.25;0.25;0.19;0.21;0.1875;0.238333333333333;0.22375
0.275;0.25;0.2375;0.24;0.23;0.2475;0.223333333333333;0.21625
0.3;0.15;0.2625;0.24;0.185;0.24;0.231666666666667;0.23125
0.325;0.183333333333333;0.2875;0.26;0.24;0.265;0.246666666666667;0.22375
0.225;0.15;0.2;0.25;0.175;0.2175;0.211666666666667;0.20875
0.125;0.266666666666667;0.1375;0.24;0.2;0.2225;0.245;0.20875
0.15;0.4;0.175;0.22;0.28;0.215;0.206666666666667;0.23875
0.075;0.166666666666667;0.1875;0.23;0.185;0.2325;0.243333333333333;0.2175
0.15;0.183333333333333;0.2;0.18;0.265;0.225;0.241666666666667;0.2175
0.25;0.183333333333333;0.1125;0.21;0.18;0.2275;0.221666666666667;0.21375
0.2;0.233333333333333;0.2125;0.16;0.215;0.2075;0.253333333333333;0.2375
0.175;0.15;0.2375;0.22;0.24;0.2125;0.211666666666667;0.22125
0.375;0.25;0.2125;0.26;0.27;0.2175;0.223333333333333;0.215
0.25;0.183333333333333;0.175;0.17;0.16;0.2325;0.246666666666667;0.2025
0.275;0.216666666666667;0.1625;0.14;0.215;0.255;0.225;0.23375
0.275;0.233333333333333;0.2625;0.29;0.215;0.2625;0.248333333333333;0.19375
0.225;0.166666666666667;0.25;0.2;0.2;0.255;0.235;0.2375
0.175;0.166666666666667;0.2125;0.22;0.235;0.24;0.246666666666667;0.2275
0.2;0.166666666666667;0.2875;0.21;0.195;0.24;0.215;0.2525
0.25;0.0833333333333333;0.1875;0.2;0.22;0.2325;0.236666666666667;0.24
0.25;0.1;0.25;0.23;0.2;0.2025;0.22;0.2325
0.225;0.233333333333333;0.1875;0.28;0.205;0.195;0.246666666666667;0.21625
0.15;0.266666666666667;0.15;0.23;0.305;0.2375;0.206666666666667;0.20625
0.225;0.233333333333333;0.2875;0.24;0.195;0.23;0.231666666666667;0.24
0.25;0.25;0.3;0.24;0.17;0.245;0.213333333333333;0.23125
0.25;0.233333333333333;0.225;0.23;0.22;0.2225;0.218333333333333;0.23375
0.15;0.2;0.2375;0.27;0.26;0.1975;0.185;0.215
0.175;0.366666666666667;0.1625;0.3;0.225;0.215;0.243333333333333;0.25375
0.275;0.283333333333333;0.1875;0.21;0.2;0.25;0.205;0.22625
0.2;0.25;0.225;0.23;0.19;0.185;0.245;0.23625
0.375;0.25;0.2625;0.2;0.23;0.2525;0.216666666666667;0.21375
0.3;0.216666666666667;0.1625;0.23;0.275;0.2225;0.24;0.2225
0.25;0.166666666666667;0.175;0.22;0.215;0.235;0.228333333333333;0.21625
0.225;0.283333333333333;0.1875;0.24;0.225;0.1975;0.208333333333333;0.20125
0.15;0.166666666666667;0.3;0.16;0.21;0.2075;0.223333333333333;0.21625
