40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-1.02589143765614;-1.01095799563531;-1.01378040738535;-1.03421353759166;-1.00722013912499;-1.01621291031712;-1.00955760832766;-1.01069466834358
-1.00041025304408;-1.02506511994852;-1.01877446194281;-1.02147909390876;-1.02597090495375;-1.00768777907257;-1.00743858627946;-1.0085717708874
-1.02616754497547;-1.04391411309892;-1.00186335403727;-1.03155439871888;-1.01799698682451;-1.01248600919806;-1.02350778860815;-1.01757669717118
-1.00731707317073;-1.03344904968304;-1.02004300666868;-1.00683819932817;-1.00817174879825;-1.01095658716566;-1.02704350867306;-1.01633612668562
-1.00457872787191;-1.0008864265928;-1.0058435407342;-1;-1.02299259016548;-1.01910632651299;-1.01829813897715;-1.01369298426559
-1.01597633136095;-1.04252113501297;-1.0074691706172;-1.0002957042957;-1.01718599212201;-1.01623654362772;-1.01396350742908;-1.02005086421619
-1.00773142446008;-1.04160594944978;-1.03947458776939;-1.01498241859043;-1.03084945072213;-1.02189827642373;-1.01535885394905;-1.01085332622804
-1.00175778035199;-1.0007756232687;-1.00927388525144;-1.02567158971973;-1.00613128036856;-1.01931883439193;-1.00754434743021;-1.02097934900419
-1.03993524015111;-1.02313889393664;-1.0091317732873;-1.0114799641116;-1.01075278360738;-1.02121201211787;-1.00829755016568;-1.01908574645883
-1.00210558352303;-1.02765721207227;-1.01602574530956;-1.01312785477473;-1.01064187674939;-1.01588171917623;-1.02479068490088;-1.0158133152209
-1.06681766704417;-1.0020923667151;-1.01007481355793;-1.02767522311695;-1.01886697149509;-1.01057238558608;-1.01076022040121;-1.01674934173655
-1.02268770742361;-1.02778002099653;-1.00011812332075;-1.03101177769429;-1.00291316317847;-1.01984914214181;-1.01214940042304;-1.01044029047583
-1.01287621455091;-1.01276414692951;-1.00432324198079;-1.00008058362949;-1.00985048292959;-1.02317609728671;-1.0234271540366;-1.02427419244492
-1.00186335403727;-1.02899135912138;-1.02852470930233;-1.00897827701706;-1.02396861727361;-1.01536162558228;-1.01247364921748;-1.01592689392886
-1.01975266282341;-1.00350180584758;-1.00442022363057;-1.0138991616887;-1.03602572958038;-1.01639508340532;-1.02923944019553;-1.02286938488397
-1;-1.02399851909965;-1.03840451738805;-1.00262737658533;-1.02209982982705;-1.0094349213998;-1.02266249748184;-1.0162953084205
-1.05274295946606;-1.0008864265928;-1.05274295946606;-1.01432547841383;-1.01764355314763;-1.01362480638988;-1.01688397308589;-1.01495342924277
-1.00044635604443;-1.00526117706095;-1.03863743560321;-1.0034863782925;-1.00152058404806;-1.00626910465366;-1.02117964776514;-1.01945798267843
-1.07379206377597;-1.00023444078696;-1.00947770368413;-1.03017007291197;-1.00051054898197;-1.01448951268234;-1.01378533568051;-1.0102578317093
-1.02481028763575;-1.00021721677373;-1.00046918904204;-1.00489570485678;-1.03725658559755;-1.02149764691497;-1.00547528732964;-1.01880344054243
-1.04103671706264;-1.02613172079739;-1.0004992199688;-1.01348791299537;-1.02324867166168;-1.01635378370701;-1.01019299815205;-1.01253566844472
-1.00051856240062;-1.01930151036482;-1.04952101191974;-1.00955848884843;-1.01512103930524;-1.01480826844263;-1.00567722619128;-1.01878442601611
-1.0004430732876;-1.00081132606259;-1.01470526694141;-1.00262880560761;-1.02329510903161;-1.01442487614012;-1.01713075106784;-1.01294749759565
-1.00054153401818;-1.00502595304929;-1.00198136030633;-1.00031408629061;-1.0105364259064;-1.02790342020864;-1.01526476847142;-1.00978867411239
-1.05217921985455;-1.01002074661919;-1.03701254233647;-1.03439067719914;-1.01574063808991;-1.00861391909279;-1.01568172864719;-1.01735452283701
-1.02225755166932;-1.05062427276503;-1.00112979928949;-1.00733238247799;-1.0292918313974;-1.01839137827099;-1.02244896202472;-1.01085113625649
-1.08906858354101;-1.00807566190618;-1.03703190590322;-1.02233949645345;-1.00100410254408;-1.00429886180315;-1.01352550332101;-1.01832578478087
-1.01208626273797;-1.01276414692951;-1.03827576903737;-1.00265024118654;-1.02446000182549;-1.00127334562429;-1.00938057650279;-1.02204076136275
-1;-1.03568178648772;-1.01236985355763;-1.01216244043538;-1.03921476976886;-1.00689449908386;-1.02360006359019;-1.01564006963751
-1.03411318781859;-1.00526117706095;-1.00173291387294;-1.03793963946459;-1.04038681546398;-1.02619468073726;-1.00798869661354;-1.0040485633128
-1.02387823319349;-1.01921412497836;-1.0100590171696;-1.01980889045549;-1.01943545768338;-1.02236299907313;-1.01401825297804;-1.01900569769838
-1.0631730181422;-1.01047417406802;-1.0114272826373;-1.01628664495114;-1.01790728859117;-1.01548836170742;-1.01535230449617;-1.01495780603078
-1.0155469840744;-1.02644594730998;-1.01389681811767;-1.04869416544377;-1.01122694710246;-1.01814538920946;-1.00747966653364;-1.00907950516312
-1.07381465517241;-1.02122988565539;-1.02775814160575;-1.00130677290837;-1.00095525454787;-1.01007413298067;-1.02416364214774;-1.0291878141437
-1.03833693304536;-1.01274511657811;-1.01145563642686;-1.01348791299537;-1.00325736414994;-1.0219659416482;-1.0169255036205;-1.01622362938993
-1.0647074683203;-1.00095906373711;-1.00606504748694;-1.04122781943315;-1.01743351188572;-1.02870706598111;-1.0191315393678;-1.01214656278685
-1.00829268292683;-1.003663003663;-1.02786335603228;-1.03409748366605;-1.02530905722302;-1.01778221045052;-1.00780423212542;-1.00976279868455
-1.02387823319349;-1.06050695012265;-1.00952508100569;-1.01814538920946;-1.03605907477673;-1.02654917502243;-1.01900781592308;-1.010948217056
-1.01287621455091;-1.0008864265928;-1.00625758867701;-1.01911721198506;-1.02052580081162;-1.00592750908916;-1.01334902189991;-1.01483542534582
-1.00210558352303;-1.00095906373711;-1.01378040738535;-1.00980658615169;-1.02801838915455;-1.02135996946515;-1.02779553554336;-1.03319510733386
-1.03646582146125;-1.02640503875969;-1.01331797760732;-1.02979651162791;-1.03248714216082;-1.01905680646746;-1.02530805321598;-1.02008431993903
-1.00682926829268;-1.03414056039226;-1.02061319807623;-1.02985377741673;-1.01429725484983;-1.00820072166527;-1.01390786940075;-1.02510365682241
-1.05346972720311;-1.01276414692951;-1.05126778482697;-1.05345592123998;-1.00099152030144;-1.00301383695935;-1.01045765360644;-1.01204049492334
-1.01448212215149;-1.04391411309892;-1.01491491218892;-1.00751182869128;-1.01652271763867;-1.01221630773931;-1.01850189803691;-1.01656760939735
-1.01050635911209;-1.07329900597516;-1.00013033608391;-1.02343561494995;-1.03004531077063;-1.01022674074764;-1.02736158041683;-1.01282614020916
-1.00819472220867;-1.03220081785822;-1.01378040738535;-1.04232722795136;-1.00500569872492;-1.0184392516679;-1.02081270772755;-1.02163348482468
-1.00510352872558;-1.02293191825077;-1.0072436374279;-1.0262707084966;-1.03209526246598;-1.03499090289477;-1.0071228568109;-1.00919242277499
-1.00047917634182;-1.00021594076652;-1.04186818560307;-1.03084945072213;-1.01221141421697;-1.03452328995398;-1.00610172027213;-1.01269787810724
-1.00675585039572;-1.00596684909596;-1.00291532180096;-1.02179722393441;-1.00873308639554;-1.00956210589144;-1.01964057832822;-1.01973142305153
-1.01050635911209;-1.01747833881088;-1.02775814160575;-1.00117928286853;-1.00597011180434;-1.02107552743603;-1.01194029627698;-1.02316493585223
-1.03435249212429;-1.05291496384037;-1.03993524015111;-1.01987546531709;-1.01050983515123;-1.01202938362979;-1.02236708806562;-1.01872881819421
-1.05346972720311;-1.04051226249268;-1.06749802280416;-1.05352376274001;-1.00771575505673;-1.02525180315744;-1.00662331089036;-1.00709793405058
-1.04263356718834;-1.0057666876233;-1.01709057888494;-1.01069078058388;-1.00064654527314;-1.01826625973422;-1.01082641021452;-1.02599078715998
-1.00536591767399;-1.07088719644894;-1.00013013586184;-1.0124531924721;-1.00872438050792;-1.02054352673416;-1.00824517598666;-1.00866300319787
-1.02943313953488;-1.01747833881088;-1.01183153918081;-1.03865898165386;-1.01828817032578;-1.01908574645883;-1.01178163598676;-1.02814344763457
-1.03764928142501;-1.00023826884764;-1.02832600869767;-1.00387747709339;-1.03327962554878;-1.00643747056352;-1.01647939057445;-1.02181137451564
-1.05368321407123;-1.02677327518323;-1.01931267473912;-1.0114799641116;-1.02165784303806;-1.0104423744779;-1.01802345214413;-1.01208981888157
-1.02372722372296;-1.02613172079739;-1.02419082494619;-1;-1.01970830834779;-1.00955262339302;-1.00690069685618;-1.01044372166548
-1.00042010118531;-1.00524545433162;-1.02489226217277;-1.02121018005796;-1.01695245471448;-1.00949036630877;-1.01606147829206;-1.02090873894051
-1.02589143765614;-1.00023444078696;-1.04128440366972;-1.01755452674003;-1.03430017227941;-1.00511640252412;-1.01137454933087;-1.01856873981515
-1.05434782608696;-1.04833358168969;-1.03947458776939;-1.04036257718955;-1.0216636469715;-1.01829236830062;-1.01774496503685;-1.02394424122088
-1.00047589353113;-1.03457334216211;-1.01336452959294;-1.03182452159224;-1.0009705518993;-1.00614831893481;-1.0105516953325;-1.0130684543608
-1.05824820691154;-1.00092336103416;-1.00722527933174;-1.01091844399201;-1.03732545589836;-1.02135467085859;-1.02166917291507;-1.02031083140712
-1.02372722372296;-1.02117837151596;-1.02489226217277;-1.00031168831169;-1.0254755109739;-1.01769405963665;-1.00634885592982;-1.00543247602801
-1.00773142446008;-1.04599086207762;-1.06543282415017;-1.00200243333671;-1.01198919514784;-1.0250542311004;-1.01046413828722;-1.01885761871018
-1;-1.03778058129667;-1.00320783763483;-1.02304401661191;-1.04350976884566;-1.02489228949393;-1.00439076685474;-1.01292779439778
-1.05875076126675;-1.01503332860587;-1.02052698439757;-1.0000785435376;-1.01091984140263;-1.02945271047816;-1.00527738904544;-1.00422608591437
-1.08578870975837;-1.01276414692951;-1.00322273565635;-1.00455816191932;-1.01367443525205;-1.01467632348244;-1.00592072416157;-1.02284717726843
-1;-1.04719283970708;-1.02943313953488;-1.01628664495114;-1.02302324781634;-1.01535651181957;-1.01579679848357;-1.01240306616441
-1.00449103979236;-1.01930151036482;-1.01760189540107;-1.00741463414634;-1.00863561732636;-1.00742039236011;-1.00388308261076;-1.01077415037362
-1.00186335403727;-1.01615948150583;-1.03440134907251;-1.01775169278507;-1.02159427086911;-1.00186980809001;-1.0162763534759;-1.01520829509611
-1.0155469840744;-1.00335528677446;-1.01607941503585;-1.02035822186024;-1.00751280791806;-1.02298835632865;-1.01791224680134;-1.02176934844762
-1.04263356718834;-1.05199137545259;-1.00012232772237;-1.02777632879556;-1.00462353467336;-1.01622226822648;-1.02865647844241;-1.01625494853037
-1.03646582146125;-1;-1.02058115912264;-1.00953420748252;-1.01925498607999;-1.0294396190016;-1.01257569070427;-1.01039853411902
-1.00048574199551;-1.0371767907955;-1.05108864552315;-1.01668592076576;-1.00770792044677;-1.00468794622712;-1.0084422701915;-1.00693875634927
-1.00198757763975;-1.00192680977392;-1;-1.000079033179;-1.02803860577342;-1.00573248180287;-1.00800883110091;-1.016555768852
-1.00041025304408;-1.02336354250518;-1.00563169426767;-1.03241701213383;-1.01050708579706;-1.00387388965111;-1.02472885500596;-1.01412111255785
-1.02435035435217;-1.03220081785822;-1.05915575149788;-1.00617083994688;-1.02002230937804;-1.0197493162925;-1.01036810318069;-1.01658959872808
-1.0072436374279;-1.0036483249207;-1.03478754796969;-1.01064606841342;-1.00838844858076;-1.01126785128962;-1.02189265762247;-1.01009285465491
-1.0005119966392;-1.01542607084747;-1.00013013586184;-1.03084945072213;-1.01718137720411;-1.03207176507675;-1.02623509384345;-1.01341120455977
-1.04304702786587;-1.02103258752759;-1.02400554148734;-1.01532592583047;-1.0108297662909;-1.01907503258062;-1.01004349769597;-1.01093279676692
-1.02761627906977;-1.0007005228067;-1.0058435407342;-1.00910824485415;-1.01613437551467;-1.03370043305208;-1.01358762852225;-1.01526224129688
-1.00200622987171;-1;-1.00322273565635;-1.04003869747807;-1.00871785114173;-1.01722519249255;-1.02076783037633;-1.01724885793153
-1.04980824511694;-1.01930151036482;-1.02576112950171;-1.00931892772441;-1.03874038438189;-1.00808912621454;-1.01252787866288;-1.01016067613623
-1.02579941860465;-1.0133314423486;-1.00457627118644;-1.01814538920946;-1.02463045952886;-1.02039741177857;-1.03312242094276;-1.01420747594534
-1.02940792053326;-1.00354094677591;-1.02673086313208;-1.01291699069343;-1.00878797179657;-1.0177900580725;-1.01818746610098;-1.02271193280595
-1.06413536250164;-1.01291640269675;-1.01203007518797;-1.00068640719522;-1.02516066071479;-1.0246472094923;-1.01251839083622;-1.00871577446789
-1.00821921149226;-1.00020956175756;-1.0129020891226;-1.00368390680766;-1.01790728859117;-1.01549815740461;-1.01922024170923;-1.01204711548598
-1.00481189851269;-1.00322344322344;-1.01329470242176;-1.00489570485678;-1.00255637650627;-1.01139996669309;-1.02911216580333;-1.00662345403333
-1.00841514726508;-1.05062427276503;-1;-1.01925955905073;-1.01237354133084;-1.01470144247711;-1.00866699420162;-1.00992906279099
-1.02955266176371;-1;-1.00881742653042;-1.00388143532281;-1.00397541373678;-1.02732058707836;-1.00783130364375;-1.01560786559207
-1.04263356718834;-1.00307692307692;-1.03966782388108;-1.00931892772441;-1.05176429123952;-1.00395366462967;-1.01634714271916;-1.01351915330447
-1.03993524015111;-1.00022550978129;-1.02336378819589;-1.01538301180436;-1.01221141421697;-1.00402638685586;-1.00427143931759;-1.01642434119335
-1.00510352872558;-1.0175276577367;-1.04313888441135;-1.01572967138796;-1.02708353189899;-1.01441314278253;-1.01421696949329;-1.0183826711358
-1.00054153401818;-1.06985229500982;-1.00292525236499;-1.02119806989553;-1.01201669035385;-1.02010155792856;-1.01370531630559;-1.01086012071515
-1.00050871377466;-1.02178146411828;-1.06510091424851;-1.00291423509812;-1.01062351234497;-1.00671953826634;-1.00876882862112;-1.00746360138446
-1.04908025394758;-1.04198614889933;-1.00051599094149;-1.0198310815884;-1.00958934224568;-1.01403429416442;-1.02580264137815;-1.01652677372364
-1.00673137895712;-1.00526117706095;-1;-1.00617733852917;-1.01079177424605;-1.01577110447128;-1.02247030419284;-1.01589875808591
-1.01464302089958;-1.0121778265227;-1.02993883879074;-1.02061102242921;-1.01790728859117;-1.01421898715806;-1.01912756021236;-1.0097253132751
-1.02407449466273;-1.00755584222708;-1.04613985028345;-1.03792959387849;-1.01652271763867;-1.02546530287711;-1.01460034844592;-1.01399439920819
-1.01042695209131;-1.01141142993746;-1.02501786169648;-1.03893933730569;-1.02655930056996;-1.01128599610268;-1.01428000794922;-1.01393702218132
-1.02164772554157;-1.03007974159685;-1.05767176931292;-1.01495983332484;-1.01297755990608;-1.00990664791546;-1.00882253095605;-1.00775011132766
-1.00054153401818;-1.00092336103416;-1.03701254233647;-1.03076185580071;-1.02960583329929;-1.02504704650135;-1.01122186221797;-1.01063534528133
-1.00188200511185;-1.00186974580021;-1.01550674214218;-1.00199634392271;-1.01100788218725;-1.02232641189529;-1.02803311772693;-1.00662021043391
-1.00054153401818;-1.02031277050032;-1.01807618908223;-1.01710270307831;-1.01647139754324;-1.02039436936998;-1.00817093297776;-1.01919900946472
-1.03764928142501;-1.01930151036482;-1.02489226217277;-1.03786457771214;-1.02850128375043;-1.01943412440911;-1.03058479818158;-1.01470854738252
-1.01327381187532;-1.00548067649895;-1.02489226217277;-1.00716213108222;-1.02982917188898;-1.02491125287885;-1.01774882415243;-1.01334246155058
-1.00449103979236;-1.02911751806941;-1.00300951691552;-1.00285431119921;-1.02819548743494;-1.01354161404675;-1.00747974515709;-1.01711630185011
-1.00575581678943;-1.000231251854;-1.02123787563212;-1.0284019884299;-1.02452117695241;-1.00814916297827;-1.02511750527761;-1.01646297998768
-1.0301243413569;-1.00320876770134;-1.04613921174319;-1.039163514821;-1.00826749084652;-1.01066283524431;-1.0179861162149;-1.02159658720419
-1.00507429171345;-1.0051045611724;-1.06807627892814;-1.01871384415553;-1.03420770743195;-1.01936095090865;-1.00747930995236;-1.00845022466867
-1.00049559055687;-1.01005112703101;-1.0218948663415;-1.02475749753942;-1.00031168831169;-1.01072032512453;-1.01526336327643;-1.00515782189959
-1.00050871377466;-1.01050456133316;-1.00180901323375;-1.01094080279499;-1.01093242999069;-1.03057921712261;-1.00789674370163;-1.0086610292521
-1.03670540254376;-1.00339442484035;-1.01112907470767;-1.01585233441911;-1.02586131960409;-1.01592140857282;-1.01517372828271;-1.0105046408266
-1.0166118459973;-1.02798473559876;-1.01067548772695;-1.03243454418686;-1.00784452362714;-1.0382866752233;-1.03057412010139;-1.00946328741476
-1.00057435426171;-1.04375219953901;-1.02978085972157;-1.01581731479149;-1.0051980316518;-1.02844649972586;-1.01937458908818;-1.01310330306831
-1.0166118459973;-1;-1.01382697006329;-1.00195782811871;-1.00450512874136;-1.01137650600484;-1.01822988003802;-1.00876126596463
-1.01200679331727;-1.03489289355425;-1.02118399405769;-1.0035061657724;-1.00397429104414;-1.01803483334977;-1.02387100229302;-1.02616486140577
-1.01970248276261;-1.04391411309892;-1.00790594519589;-1.03432960476076;-1.02652648089856;-1.00990799556019;-1.00573739977721;-1.02148708607694
-1.00770694112482;-1.00571589866629;-1.01375712685382;-1.00617733852917;-1.04833283833342;-1.01974095825422;-1.01162455473902;-1.01256748136448
-1.01655816209725;-1.03996585831199;-1.00185869132292;-1.02250543928053;-1.01038486769362;-1.01318910537649;-1.00554118194717;-1.01388633667946
-1.03411318781859;-1.06330368697855;-1.02654623308126;-1.05786782690962;-1.00070940384136;-1.01163540590608;-1.00819065713181;-1.02475425877709
-1.00211180124224;-1.01338855165371;-1.01382697006329;-1.01069078058388;-1.00071838363682;-1.01450221384584;-1.02377181505879;-1.01407601689375
-1.01442849494648;-1.04619633442129;-1.01714427695875;-1.02152351385085;-1.02224943387714;-1.02409220199935;-1.01806414476112;-1.0291120218414
-1.01200679331727;-1.01674498193769;-1.01038916031481;-1.03698877130758;-1.00094291913274;-1.01086346410371;-1.0167000022283;-1.01517723130609
-1.0155469840744;-1.03903253742422;-1.01331797760732;-1.03833099080941;-1.01349490154151;-1.01059928147106;-1.0289778131358;-1.03225633300571
-1.02579941860465;-1.01378840752404;-1.03113466460658;-1.00437157093094;-1.02002230937804;-1.0240954862745;-1.01372780148285;-1.01985452457637
-1.04908025394758;-1.03046363952456;-1.03081852033905;-1.03599918381474;-1.01237843524746;-1.02240353062158;-1.01568762870809;-1.00591107504148
-1.04034815464544;-1.00775046746701;-1.01655816209725;-1.01767404047134;-1.00313068418559;-1.02792146105749;-1.01491051595224;-1.01579967777795
-1.01287621455091;-1.04017072558373;-1.00048674022892;-1.00696173387758;-1.00557621424029;-1.01254056275561;-1.01613318282101;-1.02152255864547
-1.07277360894804;-1.04025725063385;-1.04315229961164;-1.02693467635305;-1.01743351188572;-1.02080905753272;-1.02292370894645;-1.01449109538765
-1.01597633136095;-1.0121778265227;-1.02673086313208;-1.0007413784068;-1.01792670328336;-1.00170362312758;-1.00215405371117;-1.01811933521838
-1.00173913043478;-1.00836820083682;-1.06349810317125;-1.01274066019785;-1.00573831185575;-1.01933220125115;-1.00999725653471;-1.00851448784099
-1.02770838064956;-1.00524545433162;-1.02679990915285;-1.00136796638347;-1.04522614104659;-1.00780201343198;-1.02309842138763;-1.01971908477315
-1.02119509509311;-1.00974957429481;-1.03038427414739;-1.01383144257055;-1.00557477677055;-1.01767317530944;-1.00844106915151;-1.03340296729657
