40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
3047.525;7657.75;13447.4125;21269.53;88404.08;328063.5475;737751.188333333;1320333.21125
3568;8684.8;12892;22797.52;84761.385;335642.64;786452.395;1371723.59
3292;7933.75;13455.8625;20072.61;81735.545;332225.7575;805781.453333333;1368335.12
3093.075;7223.2;12761.9125;20000;88274.12;345155.9;775287.026666667;1349907.75
3407;8676.26666666667;13169.6;20022.96;84732.555;342064.56;760689.6;1384010.13
3292.8;8667.73333333333;14571.2875;21140.72;91151.36;348950.4925;763134.548333333;1329180.84375
3222.8;7222.8;12942.6875;22296;81872.72;342875.3125;740820;1390217.15
3780;8016;12942.6875;20840.96;82283.425;348297.5;740522.975;1380623.6
3223.4;8035.2;13631.6;20577.13;83329.28;339732.6325;793844.125;1363016
4672;7013.75;12948.7625;22320;85949.44;333305.6;748288.158333333;1368604.2
3320.075;8035.2;12487.6875;22146.57;80838.08;346657.36;751841.975;1328910.09375
3185.125;7569.06666666667;13007.9;19607.75;82246.395;350675.4375;788673.635;1405318.03875
3223;8040;14291.2;20815.04;88317.44;339477.56;756800;1356181.08875
3414.2;7292.8;13008.8;21128.96;94325;338600.5025;807940.541666667;1403153.19
3200;7653.71666666667;14562.2625;20206.64;87477.92;330081.1875;783910.791666667;1363340
4035.2;7223.2;16140.8;21132.88;84751.775;336912.8;763715.421666667;1355530.86125
3047.575;7104.08333333333;14979.1625;19879.83;79665.725;326263.4825;779045.791666667;1381664.09375
5072.625;6967.75;12944.7125;22137.75;79346.625;338173.12;757317.085;1331094.17
3564.8;6967.68333333333;12823;20369.92;94040.705;349808;735548;1380449.36
3780;7661.78333333333;12823.2;21125.04;87066.905;340844;746629.758333333;1342624.64
3047.675;7776.66666666667;15517.1375;20300.17;85157;339376.64;735620.106666667;1373132.58875
3047.575;7222.93333333333;13179.2625;20206.64;87529.76;337091.8725;770924.813333333;1345028.35
3047.725;7103.25;12892.8;20023.12;83323.52;356308.1775;763108.145;1324717.93625
4035.2;7240.48333333333;14553.2375;23306.24;85184;329056.8625;763266.565;1371564.83
3561.6;8623.75;12533.6375;20576;88926.585;343715.84;783834.465;1333406.72
4710.975;7410;14703.5;21275.31;79485.955;325202;758842.306666667;1374822.4
3183.875;7569.06666666667;14562.2625;20206.64;87894.515;321484.8;746665.066666667;1391888.13875
3200;8336.8;13164.1375;20566.99;93091.785;328360.76;786491.998333333;1358387.06125
3501.675;7104.08333333333;12891.2;22675.49;94525;356012.9325;742205.506666667;1299460.74
3322.525;7776.66666666667;12948.7625;21252.19;85969.92;349030.4275;760713.12;1378624.30625
4336.8;7242.11666666667;13377.5;20891.25;85908.48;338443.8575;766521;1357641.12
3407;8030.4;13173.2125;23837.49;82786.375;343674.88;737762.791666667;1324799.04
4330.125;7641.61666666667;14118.4625;20093.12;79483.995;332272.8;790341.333333333;1446608.5
3775;7569.06666666667;13377.5;21125.04;80174.595;349885.76;765562.791666667;1363699.19375
4307.625;7223.46666666667;12763.1375;23208.25;85888;356439.3975;775607.16;1340265.17
3293.6;7293.33333333333;14118.4625;22633.17;88375.2;341313.0525;742141.44;1328879.6
3322.525;9520;12944.7125;21479.68;92947.725;356928;775575.146666667;1335415.08
3185.125;7223.2;12764.3625;21489.92;85523.645;325485.5625;755491.775;1355214.35
3223.4;7223.46666666667;13173.2125;20823.68;90143;349782.08;802300.185;1467596
3505.725;8030.4;13170.1875;22344;91228.8;345155.9;800155.826666667;1389598.22
3291.2;8330.26666666667;13460.0875;22128.93;84531.52;330187.1;757363.011666667;1417019.19
3740.775;7569.06666666667;15530.3625;25238;79485.465;323870.1;749894.4;1337976.14625
3405.2;8684.8;13179.2625;20578;84703.725;335602.08;775383.066666667;1363926.12875
3181.375;10039.4666666667;12487.7625;21656.09;89824.505;331131.3625;804618.965;1344944.08
3293.6;7928.11666666667;13173.2125;23220.75;80844.965;344067.8575;784607;1394511.55625
3093.975;7649.68333333333;13168;21684.97;91209.44;366452.5025;737635.155;1322516.07125
3047.625;6967.68333333333;15001.2125;22787.84;83900.52;370228.0625;736844.76;1340512.71875
3291.2;7106.58333333333;12624.1875;21866.24;81757.595;332188.16;776376.761666667;1381846.34375
3181.375;7427.75;14118.4625;20091.84;81866.24;349730.24;755003.28;1401512.94125
3501.675;8633.38333333333;15120;21252.19;82272.845;333416.2725;783796.301666667;1373090.98625
3740.775;8667.73333333333;16719.3125;25898.24;82320;352597.5075;736278.335;1311108.67625
3785;7401.6;13638.8;20832.32;80205.92;343695.36;750032.64;1422325.75625
3094.425;10023.3333333333;12487.7625;20570.37;81757.595;345813.4575;743579.306666667;1322767.37
3574.4;7427.75;13380;23352.32;85425.635;345155.9;751703.631666667;1435526.12
3775;6967.75;13795.4375;19883.75;91267.52;326290.8625;765397.171666667;1391739.03125
4035.2;8030.4;13451.6375;20840.96;86264.125;331175.5425;775190.986666667;1342327.2
3322.525;7661.78333333333;13767.3125;20000;86658.56;330101.4375;736386.635;1328910.09375
3047.525;7104.08333333333;13772.9375;21859.76;85867.52;330091.3125;766791;1390169.54
3568;6967.75;15130;20904.75;91306.24;324671.9175;753231.253333333;1374986.24
3992.625;8614.11666666667;14571.2875;23375.36;86264.125;345025.22;769661.208333333;1408164.26125
3047.625;8330.26666666667;13170.1875;22601.43;79484.485;326242.9475;748217.105;1340760.78125
4001.075;7223.33333333333;13168;20835.2;93363.2;349782.08;783529.158333333;1389741.05
3322.525;7783.33333333333;13772.9375;20023.12;87940.145;343592.96;738042.453333333;1306692.04
3292.8;8693.33333333333;18648.4625;19745.75;82817.625;355043.84;746730.578333333;1383202.11
3200;7950.65;12626.0625;21879.2;96854.48;352538.2175;732195.213333333;1347184.64
