40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.925;0.9;0.8625;0.94;0.875;0.9125;0.918333333333333;0.88125
0.9;0.95;0.875;0.9;0.89;0.91;0.903333333333333;0.90625
0.9;0.8;0.8625;0.86;0.865;0.9075;0.9;0.88625
0.95;0.95;0.925;0.84;0.895;0.9225;0.911666666666667;0.89875
0.875;0.916666666666667;0.8875;0.87;0.915;0.9375;0.905;0.87875
0.85;0.916666666666667;0.925;0.91;0.91;0.915;0.915;0.91125
0.925;0.866666666666667;0.8875;0.86;0.915;0.91;0.898333333333333;0.9125
0.9;0.933333333333333;0.9;0.91;0.91;0.8875;0.883333333333333;0.8925
0.9;0.883333333333333;0.95;0.85;0.93;0.8775;0.93;0.8925
0.95;0.916666666666667;0.9;0.92;0.93;0.9025;0.896666666666667;0.8975
0.9;0.933333333333333;0.925;0.91;0.905;0.8725;0.891666666666667;0.8975
0.925;0.95;0.9125;0.91;0.89;0.8675;0.9;0.89625
0.85;0.9;0.9;0.85;0.905;0.905;0.91;0.8875
0.9;0.933333333333333;0.9375;0.89;0.875;0.9175;0.878333333333333;0.8975
0.825;0.916666666666667;0.9375;0.94;0.885;0.9175;0.901666666666667;0.90375
0.875;0.916666666666667;0.85;0.93;0.855;0.91;0.893333333333333;0.89
0.875;0.9;0.925;0.89;0.935;0.8925;0.893333333333333;0.89875
0.975;0.9;0.8375;0.92;0.92;0.91;0.906666666666667;0.915
0.9;0.966666666666667;0.875;0.83;0.875;0.9175;0.893333333333333;0.89375
0.925;0.933333333333333;0.9;0.93;0.93;0.8875;0.893333333333333;0.895
0.95;0.85;0.9625;0.9;0.895;0.8925;0.875;0.885
0.95;0.933333333333333;0.8625;0.87;0.875;0.9;0.906666666666667;0.9075
0.9;0.916666666666667;0.9;0.88;0.865;0.8725;0.89;0.9225
0.975;0.933333333333333;0.9125;0.87;0.87;0.8975;0.89;0.88375
0.925;0.85;0.8125;0.93;0.905;0.91;0.91;0.9075
0.9;0.933333333333333;0.8375;0.85;0.885;0.92;0.898333333333333;0.8775
0.9;0.916666666666667;0.85;0.95;0.915;0.9075;0.888333333333333;0.885
0.925;0.916666666666667;0.85;0.93;0.91;0.9;0.908333333333333;0.905
1;0.95;0.9;0.9;0.935;0.9175;0.893333333333333;0.89125
0.9;0.85;0.925;0.86;0.88;0.895;0.906666666666667;0.91
1;0.883333333333333;0.9125;0.87;0.92;0.88;0.895;0.91
0.8;0.9;0.875;0.92;0.915;0.895;0.883333333333333;0.89375
0.85;0.816666666666667;0.9375;0.89;0.88;0.8825;0.89;0.90625
0.9;0.883333333333333;0.925;0.94;0.89;0.925;0.92;0.9025
0.95;0.9;0.9375;0.87;0.895;0.9125;0.896666666666667;0.88875
0.875;0.85;0.8875;0.92;0.925;0.8975;0.901666666666667;0.88
0.85;0.883333333333333;0.975;0.92;0.88;0.905;0.908333333333333;0.9025
0.875;0.866666666666667;0.8875;0.88;0.91;0.9025;0.908333333333333;0.905
0.875;0.85;0.8625;0.96;0.9;0.905;0.931666666666667;0.88875
0.925;0.883333333333333;0.8875;0.86;0.895;0.8975;0.883333333333333;0.9025
0.85;0.883333333333333;0.8875;0.96;0.905;0.895;0.895;0.90625
0.75;0.883333333333333;0.95;0.91;0.895;0.8725;0.901666666666667;0.90375
0.9;0.85;0.8875;0.9;0.925;0.9025;0.916666666666667;0.8825
0.9;0.866666666666667;0.9125;0.89;0.92;0.8925;0.901666666666667;0.9
0.825;0.916666666666667;0.8875;0.83;0.86;0.91;0.906666666666667;0.88625
0.95;0.916666666666667;0.8875;0.9;0.92;0.915;0.906666666666667;0.8825
0.975;0.916666666666667;0.9125;0.91;0.9;0.91;0.911666666666667;0.88375
0.85;0.9;0.925;0.92;0.925;0.8775;0.908333333333333;0.9
0.9;0.966666666666667;0.9;0.91;0.865;0.89;0.893333333333333;0.91
0.925;0.966666666666667;0.85;0.89;0.875;0.8975;0.885;0.89875
0.925;0.916666666666667;0.8875;0.94;0.91;0.9175;0.896666666666667;0.89625
0.85;0.933333333333333;0.925;0.86;0.92;0.8925;0.895;0.91375
0.9;0.866666666666667;0.925;0.93;0.92;0.9;0.906666666666667;0.91
0.85;0.9;0.9625;0.88;0.885;0.9;0.896666666666667;0.88375
0.9;0.983333333333333;0.95;0.91;0.905;0.92;0.886666666666667;0.8875
0.95;0.9;0.9375;0.95;0.91;0.8775;0.921666666666667;0.9
0.975;0.883333333333333;0.9;0.86;0.885;0.895;0.895;0.90875
0.925;0.85;0.8875;0.9;0.89;0.9075;0.9;0.905
0.95;0.95;0.95;0.92;0.88;0.895;0.873333333333333;0.90375
0.9;0.933333333333333;0.95;0.88;0.865;0.885;0.881666666666667;0.895
0.975;0.9;0.9125;0.9;0.905;0.9075;0.913333333333333;0.9
0.85;0.95;0.9375;0.85;0.88;0.9;0.906666666666667;0.90125
0.8;0.866666666666667;0.9;0.91;0.94;0.8825;0.896666666666667;0.86625
0.925;0.9;0.8875;0.94;0.885;0.895;0.916666666666667;0.9225
0.875;0.916666666666667;0.8875;0.88;0.84;0.9;0.883333333333333;0.89625
0.95;0.916666666666667;0.925;0.91;0.895;0.915;0.89;0.8675
0.9;0.933333333333333;0.95;0.89;0.91;0.93;0.9;0.89375
0.95;0.933333333333333;0.8875;0.86;0.9;0.9075;0.888333333333333;0.90375
0.925;0.95;0.8875;0.89;0.91;0.905;0.893333333333333;0.8925
0.95;0.866666666666667;0.9;0.95;0.895;0.895;0.898333333333333;0.89
0.9;0.95;0.95;0.92;0.92;0.9075;0.888333333333333;0.9075
0.95;0.9;0.9;0.88;0.875;0.9025;0.901666666666667;0.90625
0.925;0.9;0.85;0.93;0.88;0.905;0.888333333333333;0.8975
0.9;0.916666666666667;0.9125;0.94;0.915;0.915;0.916666666666667;0.89875
0.85;0.9;0.8875;0.89;0.915;0.8875;0.893333333333333;0.88625
0.9;0.95;0.9375;0.9;0.885;0.9175;0.916666666666667;0.9
0.9;0.95;0.9375;0.92;0.91;0.885;0.898333333333333;0.9175
0.9;0.916666666666667;0.9125;0.95;0.9;0.905;0.893333333333333;0.91
0.9;0.833333333333333;0.95;0.86;0.875;0.895;0.915;0.9125
0.9;0.916666666666667;0.8875;0.95;0.92;0.9025;0.9;0.90375
0.825;0.916666666666667;0.9125;0.86;0.915;0.8825;0.888333333333333;0.89875
0.95;0.883333333333333;0.9125;0.92;0.92;0.915;0.895;0.91625
0.825;0.933333333333333;0.925;0.96;0.88;0.8725;0.921666666666667;0.8725
0.9;0.85;0.9125;0.92;0.9;0.915;0.893333333333333;0.90875
0.925;0.85;0.9;0.92;0.9;0.91;0.885;0.9025
0.9;0.9;0.8625;0.9;0.915;0.87;0.886666666666667;0.8925
0.9;0.9;0.9;0.89;0.865;0.8575;0.893333333333333;0.90125
0.875;0.916666666666667;0.8625;0.88;0.88;0.895;0.893333333333333;0.8925
0.975;0.916666666666667;0.9125;0.91;0.91;0.8925;0.878333333333333;0.90125
0.95;0.933333333333333;0.8375;0.91;0.885;0.9125;0.898333333333333;0.90875
0.875;0.883333333333333;0.875;0.9;0.875;0.8975;0.876666666666667;0.90375
0.95;0.866666666666667;0.9125;0.89;0.87;0.91;0.898333333333333;0.90875
0.95;0.883333333333333;0.9625;0.85;0.915;0.8925;0.893333333333333;0.9025
0.825;0.883333333333333;0.9;0.85;0.9;0.9;0.898333333333333;0.8775
