40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.075;0.1;0.1375;0.06;0.125;0.0875;0.0816666666666667;0.11875
0.1;0.05;0.125;0.1;0.11;0.09;0.0966666666666667;0.09375
0.1;0.2;0.1375;0.14;0.135;0.0925;0.1;0.11375
0.05;0.05;0.075;0.16;0.105;0.0775;0.0883333333333333;0.10125
0.125;0.0833333333333333;0.1125;0.13;0.085;0.0625;0.095;0.12125
0.15;0.0833333333333333;0.075;0.09;0.09;0.085;0.085;0.08875
0.075;0.133333333333333;0.1125;0.14;0.085;0.09;0.101666666666667;0.0875
0.1;0.0666666666666667;0.1;0.09;0.09;0.1125;0.116666666666667;0.1075
0.1;0.116666666666667;0.05;0.15;0.07;0.1225;0.07;0.1075
0.05;0.0833333333333333;0.1;0.08;0.07;0.0975;0.103333333333333;0.1025
0.1;0.0666666666666667;0.075;0.09;0.095;0.1275;0.108333333333333;0.1025
0.075;0.05;0.0875;0.09;0.11;0.1325;0.1;0.10375
0.15;0.1;0.1;0.15;0.095;0.095;0.09;0.1125
0.1;0.0666666666666667;0.0625;0.11;0.125;0.0825;0.121666666666667;0.1025
0.175;0.0833333333333333;0.0625;0.06;0.115;0.0825;0.0983333333333333;0.09625
0.125;0.0833333333333333;0.15;0.07;0.145;0.09;0.106666666666667;0.11
0.125;0.1;0.075;0.11;0.065;0.1075;0.106666666666667;0.10125
0.025;0.1;0.1625;0.08;0.08;0.09;0.0933333333333333;0.085
0.1;0.0333333333333333;0.125;0.17;0.125;0.0825;0.106666666666667;0.10625
0.075;0.0666666666666667;0.1;0.07;0.07;0.1125;0.106666666666667;0.105
0.05;0.15;0.0375;0.1;0.105;0.1075;0.125;0.115
0.05;0.0666666666666667;0.1375;0.13;0.125;0.1;0.0933333333333333;0.0925
0.1;0.0833333333333333;0.1;0.12;0.135;0.1275;0.11;0.0775
0.025;0.0666666666666667;0.0875;0.13;0.13;0.1025;0.11;0.11625
0.075;0.15;0.1875;0.07;0.095;0.09;0.09;0.0925
0.1;0.0666666666666667;0.1625;0.15;0.115;0.08;0.101666666666667;0.1225
0.1;0.0833333333333333;0.15;0.05;0.085;0.0925;0.111666666666667;0.115
0.075;0.0833333333333333;0.15;0.07;0.09;0.1;0.0916666666666667;0.095
0;0.05;0.1;0.1;0.065;0.0825;0.106666666666667;0.10875
0.1;0.15;0.075;0.14;0.12;0.105;0.0933333333333333;0.09
0;0.116666666666667;0.0875;0.13;0.08;0.12;0.105;0.09
0.2;0.1;0.125;0.08;0.085;0.105;0.116666666666667;0.10625
