40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
4026.425;9560;16114.8125;20380.16;83470.295;385979.7225;841894.791666667;1396965.43625
3577.6;7109.08333333333;13951.5;25310;80848.16;394135.04;819766.333333333;1433592.31125
3577.6;7780;16114.8125;21148.56;90009.405;337562.9775;802151.6;1354581.53125
4056.8;7438.55;15170;20373.76;96973.875;357193.9125;852241.905;1349418.89375
3093.975;9073.85;13188.3375;22173.03;85621.655;359236.5475;754413.498333333;1421584.06375
3200;7435.85;13653.2;19889.63;91441.76;359772.46;785246.508333333;1394224.15625
6123.425;11799.4666666667;13188.3375;23961.36;95761.055;367871;806737.025;1446874.4
3577.6;7223.73333333333;14711.6;20594.03;83404.16;331385.3975;804720;1416140.32
4710.4;7107.41666666667;21391.8;20909.25;94825;366990.7675;857006.72;1450293.25
4366.2;6967.85;16788.4;20852.48;93662.72;353338.6325;825880.546666667;1438619.16
3223.6;8054.4;13392.5;23881.23;84857.485;328256.8625;803764.285;1379667.75
4352.625;11909.8833333333;12769.2625;24538.67;81507.84;343149.9375;744166.4;1381012.32125
3293.6;8710.4;13390;22675.49;94508.885;347304.72;807964.44;1398715.55
3577.6;8054.4;13806.6875;21292.65;92135.695;331451.6675;750630.125;1409178.84
3093.525;7950.65;14607.3875;24015.44;96943.625;349883.0675;838148.855;1478686.71875
3047.775;7950.65;14695.4;24555.49;84809.435;350637.44;767736;1373509.64
4710.975;7790;13653.2;20918.25;81810.515;380809.4425;747250.773333333;1384215.59375
3188.875;7223.6;14154.5875;25328;91461.12;361700.96;772191.306666667;1346460.94
3223.6;7581.86666666667;15150;20580.51;89044.255;323370.2075;832232.64;1360192.58875
3746.825;9122.4;13390;20927.25;86855.08;336181.4375;835509.333333333;1338950
3414.2;7430.45;14190.7125;21911.6;84847.875;341749.6425;782300.375;1408905.04
3200;8054.4;12952.8125;20913.75;81784.055;324625.6;767844;1438888.12
4049.6;7669.85;13956.4;24609.92;89027.445;358788.7625;757696;1424129.96
3188.875;8718.93333333333;12956.8625;21706.63;89392;337530.4875;755834.76;1478002.21875
4026.425;7245.38333333333;14562.2625;20597.41;99687.685;359738.84;783922.56;1405924.27
4356.4;8718.93333333333;13460.0875;19607.81;112192.625;345787.52;766390.891666667;1412243.75
4049.6;7108.25;14695.4;22728.39;82886.375;348131.2975;762120.335;1356481.46
3187.625;6967.85;14297.6;20079.09;98533.76;357760;775444.235;1438820.88
3296;8285.75;13012.4;22855.6;88198.715;373985.6675;763587.093333333;1414593.22625
3200;7245.38333333333;16805.3;22836.24;91383.68;352281.02;752344.906666667;1386119.96
3800;7665.81666666667;12956.8625;25950.87;80378.88;363488.48;750723.875;1405977.56
3292.8;7412.4;15150;26843.52;101137.295;335940.08;783634.133333333;1453046.39875
3785;7105.75;13194.3875;22696.65;92442.08;348005.2725;757696;1352155.06125
3790;7014.35;14719.7;24656.96;87633.44;372353.3;794260.48;1402394.24
3580.8;8049.6;14607.3875;20307.43;87244.875;349856.4225;776631.586666667;1436987.09375
3047.775;7014.05;12627.9375;21160.32;80530.625;351519.1875;745668.095;1474769.12
3410.6;7014.35;14329.6;20592;87620.48;337218.98;809815.541666667;1399018.01
3186.375;7786.66666666667;12768.0375;22845.92;87659.36;365076.4925;804008.301666667;1399068.42
3324.975;7106.58333333333;16114.8125;23432.96;87646.4;337218.98;771075.125;1368735.59375
