40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.1;0.116666666666667;0.1625;0.24;0.19;0.1625;0.201666666666667;0.2
0.1;0.283333333333333;0.2125;0.14;0.19;0.235;0.206666666666667;0.23625
0.25;0.166666666666667;0.15;0.2;0.255;0.2225;0.188333333333333;0.215
0.325;0.116666666666667;0.2125;0.17;0.185;0.1875;0.196666666666667;0.20375
0.175;0.183333333333333;0.2375;0.16;0.18;0.2125;0.216666666666667;0.20375
0.15;0.15;0.15;0.12;0.21;0.21;0.208333333333333;0.2
0.225;0.183333333333333;0.1875;0.19;0.195;0.21;0.218333333333333;0.1925
0.125;0.2;0.275;0.17;0.125;0.205;0.218333333333333;0.20125
0.175;0.15;0.2625;0.23;0.16;0.205;0.158333333333333;0.175
0.2;0.216666666666667;0.2;0.15;0.21;0.19;0.201666666666667;0.2025
0.225;0.166666666666667;0.175;0.24;0.17;0.185;0.218333333333333;0.15625
0.275;0.3;0.1125;0.23;0.18;0.2025;0.206666666666667;0.20875
0.25;0.25;0.15;0.2;0.185;0.22;0.196666666666667;0.2
0.225;0.166666666666667;0.2375;0.17;0.245;0.18;0.208333333333333;0.21125
0.1;0.183333333333333;0.225;0.22;0.205;0.2225;0.198333333333333;0.1975
0.25;0.25;0.25;0.16;0.2;0.19;0.193333333333333;0.20375
0.2;0.3;0.225;0.23;0.17;0.1675;0.176666666666667;0.205
0.125;0.2;0.275;0.2;0.18;0.1725;0.228333333333333;0.20875
0.25;0.183333333333333;0.3;0.17;0.18;0.2025;0.18;0.21125
0.225;0.233333333333333;0.2;0.2;0.18;0.245;0.216666666666667;0.20375
0.225;0.166666666666667;0.2125;0.25;0.185;0.225;0.19;0.18875
0.175;0.15;0.2125;0.18;0.235;0.2125;0.198333333333333;0.19
0.2;0.166666666666667;0.2;0.18;0.21;0.23;0.2;0.19875
0.175;0.25;0.1875;0.18;0.235;0.2025;0.21;0.20625
0.15;0.166666666666667;0.2375;0.23;0.225;0.18;0.223333333333333;0.195
0.15;0.183333333333333;0.275;0.21;0.235;0.2075;0.213333333333333;0.205
0.225;0.166666666666667;0.175;0.22;0.215;0.2025;0.196666666666667;0.18375
0.175;0.0666666666666667;0.25;0.23;0.175;0.23;0.218333333333333;0.2225
0.275;0.15;0.2125;0.25;0.165;0.175;0.195;0.2025
0.175;0.166666666666667;0.2375;0.19;0.195;0.1775;0.211666666666667;0.205
0.2;0.133333333333333;0.25;0.15;0.205;0.205;0.22;0.1925
0.15;0.233333333333333;0.2375;0.22;0.24;0.185;0.185;0.195
0.125;0.1;0.2375;0.14;0.185;0.19;0.18;0.19875
0.125;0.25;0.1375;0.17;0.22;0.19;0.208333333333333;0.195
