40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-0.976956593302505;-0.986801105727905;-1.04098566982629;-0.999747862067974;-1.01215406958687;-1.00974702755278;-1.01614635676187;-1.02625823264898
-1.01962900505902;-0.989466173615351;-1.00794854711035;-1.02513781414586;-0.997869934393286;-1.01994141992606;-1.01874933154205;-1.00840240997477
-0.983573972001366;-1.03987263039433;-0.993468367771957;-1.0016935756854;-1.03523642495784;-1.02159053049977;-1.03285572561419;-1.01432379431416
-0.982128920540462;-1.0288730272957;-1.02315691184144;-1.02713882861886;-1.02865417892355;-1.01314669828134;-1.0350736552415;-1.0159810830388
-0.975437129656961;-0.995065400038503;-0.990588631206313;-0.999747862067974;-1.01521720138551;-1.00115326802606;-1.0214094781928;-1.01401387109697
-0.987626942084294;-1.02495394596154;-1.02886864808238;-1.01892441860465;-1.02571540572924;-1.01641423088077;-1.0215475771202;-1.01500628126052
-0.983092288181064;-1.0444770223941;-0.992154398207578;-1.02568812846467;-1.01988560874837;-1.01382476388794;-0.999301080101216;-1.02813097006222
-0.975501949624629;-1.02495394596154;-1.01915053234746;-0.99073758032038;-0.998372946985113;-1.02356176880259;-1.01487110345022;-1.02195570214252
-1.02742260887224;-0.984211151609017;-0.998099377422765;-0.999747862067974;-1.03775568051968;-1.0369784148398;-1.01760312741516;-1.02666429476722
-0.998411994759564;-0.983575230630118;-1.01058785592228;-1.01025367001226;-1.03685126475548;-1.02144238471381;-1.02223731774138;-1.01231917385369
-1.01430016863406;-0.993716455926762;-0.999220016445436;-1.04375766838406;-1.00750270192051;-1.01323681932462;-1.01259521818964;-1.01524460484322
-0.979431293960255;-0.986946403453934;-1.00994659256735;-1.01603197674419;-0.997050754500763;-1.01977554044401;-1.0087435107945;-1.01291490901232
-0.975469539640795;-0.994847115330068;-1.02923044507444;-1.01463031242196;-1.02819642648491;-1.01356077245082;-1.00915010101434;-1.00935413400325
-1.00047692587209;-1.01353099634321;-1.05491126329386;-1.00450579077951;-1.03460792650123;-1.02097031902986;-1.01632305664986;-1.02634901889535
-0.979431293960255;-1.0288730272957;-1.04560333470385;-0.999747862067974;-1.02914207974517;-1.02949180721049;-1.01929462027935;-1.00691937344442
-1.0335726780847;-0.983565741360548;-0.987980209052221;-0.997474269547827;-1.00347311436977;-1.01413242963906;-1.02257247367316;-1.02237287180139
-1.00047692587209;-0.999205419309658;-1.0243676222597;-1.01892441860465;-0.996976406905569;-1.04279251027932;-1.01174800975739;-1.01653649527737
-1.0022710755814;-1.00711603682171;-1.03159656614243;-0.999032772541042;-1.0142996562863;-1.02214620383525;-1.01750501833754;-1.02675467074859
-1.06963511021862;-1.01071947674419;-1.00236740603583;-1.01288055435211;-1.01853569933592;-1.02807300666342;-1.0091623505785;-1.02697492892664
-0.982128920540462;-1.00065990599706;-0.997725831081875;-1.0166439637986;-1.01626067098391;-1.02336409675124;-1.02190835714601;-1.02398561976578
-1.03246488630498;-1.02488996368383;-0.999220016445436;-1.02713882861886;-1.01405973017633;-1.0112208648201;-1.02304009326508;-1.02139336282972
-1.02086465936515;-1.01192062338501;-0.993468367771957;-1.00970708601517;-1.00368927213934;-1.01971878122674;-1.01790118484945;-1.02712447202224
-0.975534359608463;-1.00138714934077;-1.00162778658537;-1.01820130813953;-1.02040385950762;-1.01435294760343;-1.01669226044733;-1.02260320588628
-1.01430016863406;-0.991298527443106;-1.03317285090177;-0.992898241842808;-1.00750270192051;-1.01058558771734;-1.03892165713565;-1.00221592021894
-1.05654514991448;-0.999205419309658;-0.988658213937156;-1.03824620293432;-1.02496067793258;-1.00716310817395;-1.00746129058923;-1.01647888427996
-1.01696458684654;-1.02029978821434;-0.987621339332997;-0.993759327186317;-1.04201590589488;-1.01446286540799;-1.02661014075;-1.02244964982968
-0.977079263728995;-1.04938836061497;-1.01223541969477;-1.01530152954751;-1.00314887771542;-1.02319403751443;-1.00495997821031;-1.03032849583483
-1.05492285086473;-1.00407500901551;-1.00448376276691;-1.0167550872093;-1.02342906031351;-1.01883010610031;-1.00987145392682;-1.01341279392842
-1.02414363411869;-1.0445737222516;-1.0243676222597;-0.990701116085038;-1.01117239912852;-1.00882847409844;-1.01046512125566;-1.00734695972427
-0.979143313849109;-0.983575230630118;-1.00668799325265;-1.02297609155633;-1.01803482063752;-1.0284520782993;-1.02659358830534;-1.01575166719741
-0.998411994759564;-1.00407500901551;-0.993277035605354;-1.02081994109527;-0.995020275045514;-1.02542361014166;-1.02366499406631;-1.0221425377165
-1.02634148325943;-1.01312177002584;-1.0243676222597;-0.992137432394326;-1.04577017453553;-1.02031718632307;-1.01010660698346;-1.00976579148913
-0.977079263728995;-0.99065357245446;-1.0346979816352;-1.00805466226341;-1.02109738372093;-1.0086130086904;-1.01993631337551;-1.03197540753525
-0.975566769592297;-1.00579156148576;-0.990490090629442;-1.01466902915816;-1.00898737195595;-1.01323681932462;-1.01461599054925;-1.01411227328788
-0.988406984838536;-1.02127477578446;-1.00300638743126;-1.04235389064847;-1.02413193333696;-1.01963354496708;-1.01645585827399;-1.03692508816177
-0.982128920540462;-0.983565741360548;-1.0383292401706;-1.02225492707317;-1.00268767377201;-1.02580759447674;-1.00209831187815;-1.02325195636736
-0.983092288181064;-0.983575230630118;-1.01494367732558;-1.00370535361324;-1.00717925859053;-1.02045006793461;-1.03746962912148;-1.02090812621368
-1.03070158362578;-1.00606523697;-0.995932289482522;-1.00003412785871;-1.02021570038849;-1.01734268866437;-1.0127132138982;-1.01903727171017
-1.02817245782282;-1.05977633018934;-0.989407253393623;-1.01530886627907;-1.01603023640178;-1.02994900574703;-1.00496016970842;-1.01366912918622
-0.975501949624629;-0.99065357245446;-1.00034065546811;-1.00487754349042;-1.01518567813931;-1.00710154746091;-1.01091092260774;-1.02146189968735
-0.979719274071401;-0.986801105727905;-1.00924016951252;-0.990325874899031;-1.00863627228651;-1.01382476388794;-1.01336707746352;-1.01618870652712
-0.982128920540462;-1.01496273066213;-1.04796255765878;-1.00996926059463;-1.01889533382802;-1.0082640685282;-1.0243390694882;-1.00978069192507
-0.979719274071401;-0.999932662653361;-1.01313817223837;-1.01288055435211;-1.01130433239372;-1.02274729901053;-1.01892793851012;-1.01299285863366
-0.982610604360763;-1.01871777160032;-1.04098566982629;-1.0454300781655;-1.02954540170886;-1.01414381464797;-1.02344912145895;-1.02019884068429
-1.02086465936515;-1.03351632816822;-0.993468367771957;-0.996139177488915;-1.01763921510525;-1.02301874504414;-1.01083505863036;-1.00639355553247
-1.01758568461161;-1.00493328525063;-0.990785712360056;-1.00304731238826;-1.05151321493341;-1.00503005379114;-1.01715286925808;-1.01270268750581
-0.992402708226727;-0.988999650107369;-0.997494186122026;-1.00853331184622;-1.00846072245179;-1.01813172119321;-1.01196196093004;-1.01137420016685
-0.980295234293693;-1.05776837307724;-0.994233696438367;-1.02225492707317;-1.01545442635046;-1.0233884800044;-1.02448398350599;-1.02589410510497
-0.991351185071033;-1.00606523697;-1.04903961365796;-1.01747819767442;-1.03158158385329;-1.0121537492925;-1.01208345995359;-1.0098352391722
-1.00865723775464;-0.995972240606622;-0.988658213937156;-1.00614006393219;-1.01889533382802;-1.02353415598804;-1.02448398350599;-1.01811348935545
-1.00865723775464;-1.05977633018934;-0.989283806572029;-0.992756240772606;-1.01518567813931;-1.01140744171458;-1.02609199638963;-1.01177300806784
-0.982610604360763;-0.985407555234739;-1.01811936045261;-0.997862543290571;-1.0167981674062;-1.02408163519713;-1.02949440280917;-1.02308886850011
-0.975534359608463;-1.023114360873;-1.01404092478198;-1.05101130136723;-1.02611127382731;-1.02091265045297;-1.02049940673169;-1.02351789616816
-1.02272588584679;-0.986510510275846;-1.00994659256735;-1.03320719038053;-1.04467183190005;-1.02664524329228;-1.01241218513396;-1.01779891655589
-1.04104974326931;-1.02688149548977;-1.05544439000635;-1.04737737886724;-0.998204462854858;-1.0083353916859;-1.00832222299857;-1.01666038589522
-0.996938383759749;-0.983594209169258;-1.00853374645768;-0.992685240237506;-1.02419433667714;-1.0206042621074;-1.00663901681523;-1.01724461398956
-0.977079263728995;-1.0288730272957;-1.00994659256735;-1.01466902915816;-1.0221847747093;-1.00755864927704;-1.0314409429225;-1.02082635357857
-1.02995708067206;-1.01925793361889;-1.03334194186015;-1.01080025400935;-1.01157471012398;-1.02106519269349;-1.0150395305071;-1.02007567594693
-0.979719274071401;-1.03086455910163;-1.0073182701815;-0.999747862067974;-1.00589114788203;-1.01896902032853;-1.01356053416968;-1.02255448171012
-1.02272588584679;-0.983333333333333;-0.987629297641371;-1.02413730690937;-1.00589114788203;-1.03698333391951;-1.02436266595179;-1.01088466429602
-1.0222934232715;-0.983556252090978;-0.997806565449927;-1.00141700104762;-1.00879686396413;-1.01634338778073;-1.02170843853173;-1.02415261495701
-1.02817245782282;-1.00712294477783;-1.01981146272418;-1.0037622853577;-0.998162341822295;-1.01490202716517;-1.00590388544732;-1.02490231921913
-0.992402708226727;-0.985237711066763;-1.02570826306914;-1.01080025400935;-1.01521720138551;-1.00281114012444;-1.02641069121447;-1.01556385525954
-0.980007254182547;-0.995409677968345;-1.00448376276691;-1.03844430885069;-1.01955551710825;-1.02191445039776;-1.00997987118573;-1.01416147438333
-1.005859375;-1.01071947674419;-1.05793833412221;-1.02225492707317;-1.02972458957417;-1.02472457064566;-1.01666119624024;-1.00430388410718
-1.00633404619263;-0.984284404872634;-1.00641447729318;-0.990341778993664;-1.03250942382227;-1.00033789673977;-1.02247649091382;-1.02014214747631
-0.987626942084294;-1.03904001410415;-0.999220016445436;-0.993661056968402;-1.02189850758624;-1.0284520782993;-1.01380031697169;-1.01647888427996
-1.03539071347678;-1.02188180482837;-1.00342558440137;-1.00757601268061;-1.01236605631418;-1.02932452267512;-1.01252655916605;-1.03309188277226
-0.986846899330052;-0.988766388353378;-1.00395467358414;-1.01921033456202;-1.01746208228445;-1.00911997472565;-1.02021438891141;-1.0273117974638
-0.978567353626818;-0.985322633150751;-0.987995712169323;-0.991885227982016;-1.04759183922542;-1.01534527844311;-1.02829309970266;-1.02021248012115
-0.976956593302505;-1.01782619929997;-1.00501285194968;-1.06899941655687;-1.00665287592719;-1.031191226266;-1.02201476981735;-1.02356825630682
-0.975;-0.986365212549816;-1.03159656614243;-1.00337633300075;-1.0188244091948;-1.01517289222787;-1.01637705754955;-1.01654716875248
-0.975566769592297;-1.04175851824913;-1.04627324840239;-1.02413730690937;-1.03323516333239;-1.02081922623476;-1.00738306324848;-1.01476141118242
-1.03246488630498;-0.983556252090978;-0.988515417381621;-1.02676046585629;-0.9962373753149;-1.00553461927454;-1.02413653484853;-1.01399770751067
-0.991351185071033;-1.01071947674419;-0.994916406516755;-1.02486827870631;-1.01151676669201;-1.01786871035026;-1.00573414776861;-1.02035295990692
