40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
1876.58227848101;3572.52450980392;6703.40259433962;11514.15959799;40461.4127318296;171364.735672716;384734.637199055;660714.204190119
1660.84050632911;4634.43151260504;6402.47806603774;10413.1023115578;46444.2355889724;174762.710187735;408454.092210175;674346.231020169
1660.84050632911;4284.80896358543;7263.59874213837;11514.15959799;45275.595;168134.129414894;409327.300195997;679049.109893684
1542.73449367089;3632.47072829132;6342.56485849057;10152.5749246231;42433.5178070175;161223.044558824;389673.684870726;671987.070532364
1602.47626582278;4077.00630252101;7393.88058176101;11063.3165829146;44560.2969423559;170010.671542553;390778.996385877;674346.231020169
1660.84050632911;4426.45392156863;6530.91949685535;11278.1033165829;43745.4277694236;169252.065081352;360202.46883653;709926.933345841
1542.73449367089;4077.00630252101;7006.59127358491;9872.68748743719;40122.4731954887;175545.103429287;379887.712762024;692608.803702314
1845.08892405063;3640.33837535014;6692.61006289308;10152.5749246231;45765.964924812;185544.430538173;383724.016125938;704103.682802533
1662.58259493671;3512.73963585434;6844.6088836478;10574.7698994975;46444.2355889724;174001.209561952;387890.633862941;668606.510081301
1876.58227848101;3632.47072829132;6692.61006289308;11981.9538190955;41800.2127318296;168656.18428035;376380.101085627;676584.865540963
1562.6079113924;3670.62408963585;6936.3534591195;11063.3165829146;40351.0025062657;172540.707133917;371731.767140673;667514.479988274
1542.73449367089;3792.17030812325;7189.59127358491;10756.5789447236;44999.3495739348;168134.129414894;373308.415145955;661417.957023921
1783.5746835443;3934.62198879552;8460.90062893082;10544.6440201005;45765.964924812;174001.209561952;382517.201690297;704952.595372108
1562.6079113924;4284.80896358543;8137.65416666667;10152.5749246231;45275.595;178884.545732165;385765.928942174;656053.387680582
1991.37215189873;3512.73963585434;6450.31572327044;10302.0100502513;40803.5298370927;168739.087112015;390098.355075063;694078.77724828
1783.5746835443;3712.65;7459.11949685535;11063.3165829146;40351.0025062657;189822.430838548;376370.530998054;678038.946704972
1783.5746835443;3996.18151260504;7676.27798742138;10152.5749246231;42679.806716792;172801.601505006;383477.52940784;706589.70257661
2477.13955696203;3996.18151260504;6804.14591194969;10869.5967839196;43369.4187468672;176758.310140801;372455.558299972;705749.664603658
1660.84050632911;3712.65;6692.61006289308;10756.5789447236;43014.2397994987;174321.610265957;389673.684870726;697729.16860616
1968.58259493671;4284.80896358543;6692.61006289308;11514.15959799;42679.806716792;168080.833842303;393052.121234362;690230.460288462
