40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.53;0.503333333333333;0.509375;0.5238;0.50135;0.5145;0.513;0.5052
0.50375;0.561111111111111;0.501875;0.507;0.53;0.5168;0.526;0.51040625
0.5;0.535555555555556;0.5253125;0.5286;0.5261;0.51085;0.526277777777778;0.511634375
0.4925;0.503333333333333;0.50125;0.5048;0.5126;0.5019;0.515644444444444;0.50845625
0.505;0.531111111111111;0.530625;0.52;0.5216;0.51125;0.516005555555556;0.50999375
0.505;0.55;0.5015625;0.5242;0.514;0.5076375;0.500111111111111;0.520728125
0.4975;0.531111111111111;0.5225;0.4992;0.5006;0.5169;0.510488888888889;0.5140875
0.53;0.5;0.5075;0.5048;0.529;0.5297375;0.5136;0.5198375
0.5075;0.5;0.515625;0.5144;0.5308;0.5121125;0.513566666666667;0.507765625
0.52625;0.5;0.5065625;0.542;0.506;0.509;0.509066666666667;0.510546875
0.5;0.502222222222222;0.5103125;0.5198;0.5;0.5152;0.506133333333333;0.50763125
0.5;0.5;0.5275;0.5156;0.5224;0.51085;0.504;0.50598125
0.51875;0.516666666666667;0.5584375;0.509;0.5299;0.5158625;0.511822222222222;0.519471875
0.495;0.533333333333333;0.555;0.5056;0.5255;0.5223125;0.514;0.504725
0.54375;0.5;0.4990625;0.505;0.501;0.510725;0.515211111111111;0.515853125
0.515;0.511111111111111;0.53125;0.5198;0.49625;0.5352;0.50795;0.51089375
0.5;0.517777777777778;0.5375;0.506;0.511;0.51665;0.511711111111111;0.519490625
0.61;0.519444444444444;0.5109375;0.516;0.5154;0.5215;0.505888888888889;0.5185625
0.49375;0.511111111111111;0.5;0.5176;0.51445;0.5174;0.515527777777778;0.5174375
0.55;0.535;0.5028125;0.5286;0.51275;0.5076875;0.51625;0.5146625
0.5375;0.515;0.50375;0.506;0.5052;0.5151875;0.513138888888889;0.51990625
0.5;0.51;0.505625;0.5198;0.5187;0.51125;0.511366666666667;0.516540625
0.53;0.505;0.5375;0.5;0.50525;0.5050625;0.5294;0.501625
0.59;0.51;0.494375;0.5374;0.5165;0.505425;0.505377777777778;0.51145625
