40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
1853;3542.75;6660.859375;11453.7088;40360.1944;171148.7295;384402.109666667;660292.12
1640.06;4595.75;6362.366875;10361.008;46325;174537.0368;408105.144;673915.46040625
1640;4249.10222222222;7218.20125;11456.4736;45159.0649;167923.86385;408959.6585;678618.89015
1523.4425;3602.03;6302.90625;10101.6608;42326.3314;161021.2401;389342.4768;671542.27140625
1582.375;4043;7345.980625;11008;44448.1024;169789.90625;390443.667222222;673909.61899375
1640.08;4389.51666666667;6490.05625;11221.7128;43630.216;169027.495;359902.079;709461.1842125
1523.4475;4043;6962.7775;9823.3128;40021.9114;175312.8196;379562.755155556;692132.1184
1821.08;3610;6650.75;10101.6608;45649.119;185297.375;383404.1236;703652.9053375
1641.4175;3483.46666666667;6801.390625;10521.8816;46327;173756.32805;387540.661433333;668177.2545625
1852.625;3601.86666666667;6650.65625;11922.002;41694.056;168440.276;376062.996933333;676151.875
1543.05;3640.03555555556;6892.02125;11007.92;40250;172324.48;371417.6148;667082.24768125
1523.45;3760;7144.4025;10701.9116;44883.3664;167923.86385;372980.736;660994.91828125
1761.2;3900.68333333333;8405.815;10491.764;45651.2799;173776.86305;382194.461155556;704498.48
1543.005;4248.53333333333;8085.37;10101.7576;45157.7395;178655.02325;385436.662666667;655638.828025
1966.3;3483.46666666667;6409.99625;10250.5;40699.531;168524.802725;389749.8461;693627.9252125
1760.96;3681.7;7412.5;11007.92;40249.625;189570.5728;376050.88;677594.65234375
1760;3962.56;7628.15;10101.806;42571.264;172585.58285;383147.9296;706121.5119625
2445.16;3962.8;6761.575;10815.184;43259.9584;176537.1685;372137.118555556;705250.2645625
1639.9;3681.7;6650;10702.6336;42906.7042;174097.0196;389341.116;697273.1719375
1943.5;4248.96;6650.28125;11456.4736;42573.056;167864.108;392701.185;689772.2109625
1821.9875;3962.16;6362.45875;10519.454;40701.3832;173038.732;384136.185888889;703654.68740625
1523.45;3681.61;6541.155625;11007.92;43416.7327;168526.75625;381436.000833333;693642.5799625
1853;3690.18;7628.15;10090;41693.549;167304.76225;418439.2576;645421.042125
2255.06;3681.61;6263.224375;11989.3216;44235.5185;164264.360625;370913.4256;677603.44140625
1853.125;4095.33555555556;6243.47125;9922.6376;47816.0965;169031.68;398749.143022222;693623.3955625
1610;4595.75;7042.24;10702.3448;40700.5894;174095.53735;367850.714666667;716371.9669
2900.3675;3851.33333333333;6761.62;11006.72;43814.4265;171142.659225;373728.6058;669287.82184375
1821.685;4424.58;7411.375;9823.2696;41703.4159;166267;373647.413633333;658523.4900125
1543.0725;3483.46666666667;6661.3875;11126.8856;42667.42;177788.4406;395643.449722222;677369.6309
1641.785;3851.16666666667;6362.366875;10899.4428;39603.4879;174893.838475;392054.233888889;693629.9902
1966.3;3962.8;7412.375;9863.02;48418.0249;173042.944;374479.116355556;663093.6544
1610.005;3690.18;7568.79;10642.816;44030;165771.7216;385437.959322222;719984.3767625
1523.45;3851.38888888889;6302.875;10814.6656;41420.8027;168437.12225;379437.095822222;671538.0559375
1582.4375;4042.75;6541.53375;11920.9928;44448.5434;172317.62;381445.527222222;735170.1532
1640.06;3483.45555555556;7816;11221.3256;41002;176127.92;364410;695750.50271875
1640.06;3483.46;7044.8;10221.472;41693.549;172582.785125;412407.7056;688352.88229375
1821.9875;3780.67666666667;6441.98125;10361.0368;43635.992;170455.259675;377701.4656;682819.73734375
1941.3875;4824.66;6440;11006;42668.7675;178261.823475;366364.273055556;670408.094625
1523.45;3690;6650.75;10491.2936;42906.473;164265.12;375250.4586;690711.5148125
1543.0725;3640;6893.00125;10009.9976;41421.7504;169037.62;376911.666666667;676360.2283375
1640;3900.68333333333;8377.14;10643.2768;43632.5264;164721.0701;392054.233888889;661963.78228125
1543.05;3681.43;7044.8;10815.2488;42258.505;174539.636;385440.199;671481.9512
1640;4094.35555555556;7865.2;12955.892;44694.4825;169039.78;390903.401022222;687886.138
1821.9875;4205.42666666667;6362.366875;10002.204;43256.848;173327.90625;373649.5876;654017.2302
1821.685;3851.38888888889;6302.90625;10221.472;49789.8992;163003.005675;382412.8855;668177.3107125
1690.36;3542.75;6441.475;10642.816;41420.8027;170463.901;375224.5681;666082.828
1543.0725;5072.66666666667;6362.366875;11219.2928;42902.0224;175314.72085;394404.900888889;702025.21868125
1689.685;3781.48333333333;8123.8;11007.28;45160.1694;167865.9896;376866.4816;663098.9824
1721.475;3760;6263.280625;10642.4576;43635.4144;174098.353625;394433.852266667;681474.25195
1721.2725;4824.66;6439.975;10090.0576;42904.6234;167865.9896;397505.778155556;668180.7307
1640;3503.21;6962.7775;10250.18;42906.7042;175310.76625;402026.1268;694218.4766875
1523.4475;4043;7045.04;13322.944;44448.8962;172582.785125;386482.6925;696601.5625
1966.48;3640.03555555556;6893.00125;11712.7136;47962.304;175703.55525;376064.834;681476.07530625
1943.5;4248.96;8377.665625;12230.408;40022.0635;165771.7216;370705.7218;678618.89015
1641.6625;3483.46666666667;6892.02125;10089.9496;43817.2842;172581.85255;369624.350933333;681144.9344
1610;4248.53333333333;6893.00125;10814.212;44026.88;165303.03985;406711.442488889;689286.34375
1966.3;3901.24666666667;7347.634375;10521.5348;41703.6682;173034.6496;381250.282666667;685537.7012125
1543.05;4248.96;6661.493125;10101.5156;41443.4272;171145.15875;377774.0441;692171.776
1965.76;3600;6243.47125;11456.4736;41442.736;182949.551225;392706.0946;663948.3844
1853;3483.46555555556;6441.98125;10360.9216;41967.3304;170290.5856;390898.009666667;695713.3085875
1943.5;3781.48333333333;7216.58125;10491.9208;40022.1649;170279.3216;369012.88;698853.90625
1690.225;3503.21;7412.5;10520.1476;42324.3712;161921.7576;396276.48;676142.155
1543.05;3760.56888888889;6761.575;11635.164;43627.328;173781.24385;372888.3125;671551.36359375
1761.2;3962.8;8377.665625;11220.8416;45826.3552;174099.539425;382406.926466667;649627.00703125
1720.8675;3609.99333333333;6892.75625;10009.988;45647.9185;161440.3168;390447.902222222;686886.92874375
1582.375;4389.11555555556;6650.5;9922.6376;43812.7455;177788.4406;379437.095822222;677596.60546875
2255.36;4094.9;6761.215;10643.072;42005.422;177389.9375;377697.82;723607.5638125
1582.375;3542.75;6761.44;10900.6776;42667.42;165710.2626;386474.6075;706147.3459
1542.9375;3503.21;6409.98125;9862.97;49153.18;168518.384;401309.525333333;685522.09948125
1609.96;3901.62222222222;6761.62;14555.1488;41161.5;179136.17675;388641.979655556;694209.318775
1600;3639.95555555556;7628.15;10221.3368;43029.3867;169655.40725;381436.000833333;678612.4034
1523.45;4389.51666666667;7817.953125;11456.4736;45817.024;171856.4305;370916.257;672730.01753125
1943.9225;3483.46333333333;6263.280625;11125.616;40159.936;163403.92025;393861.575466667;673767.832
1690.225;3962.16;6560.24;11126.8856;42259.405;170448.750625;367505.201822222;686940.18225
1641.4175;4093.59333333333;7043.84;10221.5396;45161.7157;167868.224;386487.47;660990.29296875
1690.36;3851.38888888889;7347.634375;10360.9216;40490.1274;169152.27525;387558.979833333;686926.174525
1610.005;3609.98222222222;6650.65625;11455.552;43416.7327;175701.750975;379566.987666667;675106.9020625
1964.86;4043;6489.82;11633.706;43033.2199;166774.84375;370258.181688889;670418.70885625
1523.45;4095.33555555556;6892.45;10101.5156;40021.81;168443.85025;386141.6106;692721.9743125
1721.2725;3781.48333333333;6892.75625;10643.072;48418.0249;170292.224;384127.649;707790.94775
1760.56;4043;7347.634375;10160.192;45345.545;175312.8196;369014.62;727397.3882125
1610;3542.72222222222;6650.78125;10702.6336;42260.08;167870.38;380495.0945;709477.7178125
1640.06;3609.94666666667;8691.55;10904.2056;44446.6912;173042.3608;371409.0451;691246.0234375
1582.375;3503.2;6441.98125;10040;45340.784;183941.17425;376867.415488889;644401.17403125
1761.2;3780.67666666667;7044.8;10813.6288;41694.8672;163824.88675;382408.181;686928.3481375
1609.985;3542.72222222222;6541.609375;11370.25;44885.98;171145.15875;373643.592722222;652467.47265625
1690.36;4595.26;7045.04;10221.472;42669.625;170289.152;388261.349;679822.6142125
1640;4249.10222222222;6559.82;10815.184;41417.1577;174890.717975;386150.5696;669285.2806375
1966.48;3602.13888888889;6962.596875;11008;42904.6234;172581.85255;380324.88;667119.1934
2101.025;3780.67666666667;7143.95125;9863.03;40811.3122;177376.390625;376872.757333333;671559.5465625
1821.685;3610;6490.09;10521.8816;45650.0794;165774.7456;380483.8508;689789.0813875
1523.4425;3602.19333333333;6362.275;11922.002;42002.7312;172583.584475;383151.7696;683773.17175
1641.4175;3610.00222222222;6263.246875;11007.28;42257.92;168518.384;376052.586666667;690667.091
1582.4375;4203.5;6362.1525;10902.618;41212.057;170945.81125;387557.4533;685136.2777625
2086.3125;3601.64888888889;6541.3825;10491.568;44246.6125;176122.88;377766.391;686505.8222
1853;4249.10222222222;7043.84;11007.92;42001.9624;165297.22085;389339.6256;669280.814275
1853.125;3901.62222222222;7144.628125;10040;46694.0059;176124.08;366924.0415;689779.49591875
1761.2;4388.31333333333;6263.280625;10090.036;42664.48;171853.15385;374486.336355556;681151.232
1721.2725;3610;6362.366875;11365.25;41422.6252;168527.593475;378660.267166667;695746.22753125
1761.28;3690.1;7142.371875;10101.6608;40640.6144;162892.73105;378660.267166667;666081.5600125
1582.375;3781.48333333333;7218.1;10101.806;44028.08;169034.02;368109.4536;744652.8075
1610;3640;7044.8;10360.9216;44879.0104;163244.8438;377777.324;653708.4815
1821.08;3483.46555555556;6302.90625;13688.0676;40321.477;176944.48;392059.23;702009.5760625
1543.05;4249.10222222222;6760.495;10002.1716;41702.659;169030.375;385120.888888889;660051.0686875
1852.625;3781.08;7625.88125;9922.5788;41703.8364;173329.171875;389327.9616;660059.177125
1543.05;3601.86666666667;7572.09625;10360.98;42571.264;171143.9685;369367.020833333;676357.10798125
2101.76;3851.16666666667;6761.62;10160.192;40320.61;182333.8736;383152.8448;695725.564125
1543.0725;4248.96;6801.671875;12222.3356;46159.4215;173033.0296;367300.1898;685109.5682125
1690.36;3690.16;6892.94;10903.8528;42257.92;172322.03;400031.2458;684161.9246875
1581.8125;4424.58;6650.75;11989.3216;44448.1024;161021.331225;382192.4976;674929.7464
1943.9225;3483.45555555556;7044.4;10101.806;46328;168527.87255;392048.943888889;677603.44140625
1690;3962.88;7864.3;10249.78;43031.1664;171146.229975;389735.4716;666091.3137625
1761.2;3542.72222222222;6263.280625;9922.618;39902.2174;168434.59925;402642.08;650899.3790125
1640;4622;6362.45875;11918.638;43033.083;168525.546925;387554.0186;729314.288
1610.005;3901.62222222222;6761.215;10089.8848;45823.4752;163244.212;395056.918933333;679875.7492
1543.0725;5083.2;6962.235625;11712.308;40500.5037;181006.210125;389767.0955;665069.09375
1761.2;4042.25;6962.7775;10642.816;39663.1875;173773.85125;376893.363333333;685129.2637
1966.3;3851.33333333333;6801.671875;10904.382;42572.6464;166222.0955;371412.405766667;678610.81775
1821.685;3689.86;6440.015;10040;42326.767;170290.5856;386495.1875;670353.455
1582.25;3681.61;6362.45875;10009.9936;41441.8144;173782.61285;392708.3328;694225.4145
1853;4248.96;6243.474375;12558.348;44886.464;179133.00835;372281.142222222;694229.16091875
1610;3602.13888888889;6441.6775;10520.1476;43417.189;169652.284;376053.333333333;659382.0704
1721.475;4040.5;6889.08125;10002.1716;41422.6252;174537.0368;382409.330988889;677603.44140625
1543.05;3760.53333333333;6892.94;10221.5396;42669.625;180062.702225;384129.0896;689777.19540625
1640.06;3760.24888888889;7144.628125;11369.75;43259.3752;178651.69505;390423.702222222;698169.8072
1582.4375;4249.10222222222;7345.980625;11007.28;45162.1575;165303.03985;417971.149;671560.62109375
1821.08;3503.2;6362.45875;10702.6336;40321.2169;173040.8056;393234.919;686941.3898125
1690.36;3850.88888888889;6560.3;10250.5;40500.5037;174544.2568;373635.885022222;695725.564125
1523.4475;3483.46555555556;7044.4;10101.806;41162.125;173036.14;378564.494155556;692686.8596875
1761.2;3851.33333333333;6441.930625;10361.52;40701.5155;177382.35125;376065.293266667;678599.28575
2650;4388.31333333333;7040;10521.766;43820.9824;166776.5075;378544.237333333;683795.224
1582.375;3851.16666666667;6891.47;12556.6056;40321.2169;177780.679;369627.447488889;677594.65234375
1721.475;3681.7;6409.99;10702.3448;44886.7544;169145.13105;381411.3325;656025.52
1641.4175;3851.38888888889;7411.375;10221.134;41702.659;163403.92025;379562.755155556;701302.00375
1641.785;3503.18;6660.436875;10491.568;45825.8944;167920.03475;377703.504;685133.8088125
1852.625;3610;7345.980625;12290.5;43417.189;165297.22085;368732.0995;677379.3055
2254.3375;4388.31333333333;6439.94;10814.9896;44447.485;162622.302125;377774.0441;706096.8262
1543.005;3602.19333333333;6541.53375;10250.5;41160.375;166780.111;389744.507;689772.2109625
1523.4475;3542.47222222222;6801.8125;10643.2256;42005.1337;169150.786875;379439.806222222;665065.625
2648;4389.11555555556;7409.375;10039.9616;42327.4204;183947.789925;368731.7026;716384.8342
1582.4375;4423.86;7044.8;10521.8816;39663.255;171619.823;377775.4738;661003.71765625
